lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_491_translation,english_translation
θεός,129,unigram,masculine,accusative,singular,Dios,4.425839290203423,Dios,God
θεός,196,unigram,masculine,nominative,singular,Dios,5.519952891408138,Dios,God
κύριος,130,unigram,masculine,nominative,singular,happo,1.5761309292512755,happo,"Lord, lord, master"
γραφή,124,unigram,feminine,accusative,plural,Libro,2.077837551107593,Libro,Scripture
γραφή,49,unigram,feminine,accusative,singular,Libro,1.2992483823507022,Libro,Scripture
γραφή,240,unigram,feminine,nominative,plural,matungpal,1.1332874906202808,matungpal,Scripture
γραφή,295,unigram,feminine,nominative,singular,Libro,1.0888490788522491,Libro,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,anghel,1.9862111775147544,anghel,angel
ἄγγελος,78,unigram,masculine,accusative,singular,Panyan,1.0190578329172162,Panyan,angel
ἄγγελος,47,unigram,masculine,nominative,plural,anghel,3.8909492905921086,anghel,angel
ἄγγελος,103,unigram,masculine,nominative,singular,anghel,3.636359644744819,anghel,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,apostol,2.373125720333804,apostol,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,aheganak,1.1062947896655342,aheganak,apostle
ἐξουσία,188,unigram,feminine,accusative,singular,turay,2.0738528492298065,turay,authority
βρέφος,18,unigram,neuter,accusative,plural,bendisyonan,1.161328723715616,bendisyonan,babies
βρέφος,294,unigram,neuter,accusative,singular,pagkanan,1.1446890058788493,pagkanan,babies
ἀποθήκη,244,unigram,feminine,accusative,plural,kamalig,1.999949042375989,kamalig,barn
ζώνη,166,unigram,feminine,accusative,plural,magbilon,1.554652885011603,magbilon,belt
βλασφημία,33,unigram,feminine,accusative,plural,sinangdidios,1.161346151680032,sinangdidios,blasphemy
βλασφημία,90,unigram,feminine,accusative,singular,pinisad,1.044113834305832,pinisad,blasphemy
βλασφημία,194,unigram,feminine,nominative,plural,paglimad,1.999949021035427,paglimad,blasphemy
πλοῖον,101,unigram,neuter,accusative,plural,abang,2.4264490097559883,abang,boat
πλοῖον,281,unigram,neuter,accusative,singular,abang,4.125973822108759,abang,boat
πλοῖον,210,unigram,neuter,nominative,singular,abang,1.484429423801413,abang,boat
σῶμα,59,unigram,neuter,nominative,singular,pagenta,1.117340345486982,pagenta,body
κλῆμα,55,unigram,neuter,nominative,plural,makisina,1.0960622061228922,makisina,branch
κλῆμα,143,unigram,neuter,nominative,singular,tingi,1.8875720920615984,tingi,branch
ἄρτος,285,unigram,masculine,accusative,plural,tinapay,3.03108082324497,tinapay,bread
ἄρτος,306,unigram,masculine,accusative,singular,kanan,1.4166739807449502,kanan,bread
ἄρτος,151,unigram,masculine,nominative,plural,kanan,1.6274063092618798,kanan,bread
ἄρτος,38,unigram,masculine,nominative,singular,Kanan,2.1430230188674257,Kanan,bread
ἀδελφός,272,unigram,masculine,accusative,plural,hama,1.0755317651102847,hama,brother
ἀδελφός,115,unigram,masculine,accusative,singular,patakka,1.0272796841589342,patakka,brother
ἀδελφός,107,unigram,masculine,nominative,plural,hena,1.170113902417648,hena,brother
ἀδελφός,215,unigram,masculine,nominative,singular,wadi,1.3958152502471128,wadi,brother
στῆθος,149,unigram,neuter,accusative,plural,nagngoyngoy,1.0960622061228922,nagngoyngoy,"chest, breast"
ἀρχιερεύς,224,unigram,masculine,accusative,plural,papadi,1.4065875436275035,papadi,chief priest
ἀρχιερεύς,60,unigram,masculine,accusative,singular,pinumisan,1.3197321106275168,pinumisan,chief priest
ἀρχιερεύς,114,unigram,masculine,nominative,plural,papadi,1.1009589259606172,papadi,chief priest
ἀρχιερεύς,228,unigram,masculine,nominative,singular,Padi,1.049327032657667,Padi,chief priest
τέκνον,302,unigram,neuter,accusative,plural,annak,3.383295056976304,annak,child
τέκνον,171,unigram,neuter,accusative,singular,mangidarum,1.0388541614657705,mangidarum,child
τέκνον,19,unigram,neuter,nominative,plural,mangidarum,1.041320363453906,mangidarum,child
παιδίον,17,unigram,neuter,accusative,plural,salenan,1.041342999676886,salenan,child
παιδίον,86,unigram,neuter,accusative,singular,annak,2.504701887353104,annak,child
παιδίον,40,unigram,neuter,nominative,singular,pinumigsa,1.1639942999400463,pinumigsa,child
πόλις,173,unigram,feminine,accusative,plural,il-ili,1.1811548805266971,il-ili,city
