lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_509_translation,english_translation
θεός,371,unigram,masculine,accusative,plural,moahogbrẽ,1.669327551947858,moahogbrẽ,God
θεός,157,unigram,masculine,accusative,singular,Ahogbrẽ,2.6907304007491466,Ahogbrẽ,God
θεός,35,unigram,masculine,nominative,plural,moahogbrẽ,2.4921192953613502,moahogbrẽ,God
θεός,241,unigram,masculine,nominative,singular,Ahogbrẽ,5.882446971357885,Ahogbrẽ,God
κύριος,373,unigram,masculine,nominative,plural,ashrishri,1.2294565320569912,ashrishri,"Lord, lord, master"
κύριος,158,unigram,masculine,nominative,singular,Adigi-odne,2.6813821755405565,Adigi-odne,"Lord, lord, master"
γραφή,152,unigram,feminine,accusative,plural,Akpa,1.762216948131088,Akpa,Scripture
γραφή,59,unigram,feminine,accusative,singular,Ezhim,1.2450322674251262,Ezhim,Scripture
γραφή,298,unigram,feminine,nominative,plural,Akpa,1.6774468926356974,Akpa,Scripture
γραφή,366,unigram,feminine,nominative,singular,Odlo,2.2628302375824583,Odlo,Scripture
ἄγγελος,117,unigram,masculine,accusative,plural,moanwyeadga,2.5647355295903065,moanwyeadga,angel
ἄγγελος,98,unigram,masculine,accusative,singular,anwyeadga,2.6339345809205876,anwyeadga,angel
ἄγγελος,55,unigram,masculine,nominative,plural,moanwyeadga,1.6893373976651591,moanwyeadga,angel
ἄγγελος,128,unigram,masculine,nominative,singular,Anwyeadga,1.4360512352501926,Anwyeadga,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,nyum,1.2005237089695653,nyum,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,awaghrẽ-akyeŋ,1.421765180924266,awaghrẽ-akyeŋ,apostle
ἐξουσία,80,unigram,feminine,accusative,plural,moa-ogomna,1.5595132047166824,moa-ogomna,authority
ἐξουσία,230,unigram,feminine,accusative,singular,ekʼpo,5.4127473469786445,ekʼpo,authority
βρέφος,20,unigram,neuter,accusative,plural,anyuadzi,1.0820226457189868,anyuadzi,babies
βρέφος,364,unigram,neuter,accusative,singular,ebme,1.269688787365114,ebme,babies
ἀποθήκη,305,unigram,feminine,accusative,plural,ebmro,2.8747859034533305,ebmro,barn
ἀποθήκη,79,unigram,feminine,accusative,singular,ofpo,1.0340933127653495,ofpo,barn
ἀρχή,83,unigram,feminine,accusative,plural,moa-ogomna,1.5585737024615147,moa-ogomna,beginning
ἀρχή,211,unigram,feminine,accusative,singular,oriori,1.8319367668351019,oriori,beginning
ζώνη,202,unigram,feminine,accusative,plural,amgbaŋ,1.3584355768144432,amgbaŋ,belt
ζώνη,259,unigram,feminine,accusative,singular,ekapsu,1.0960524252565438,ekapsu,belt
βλασφημία,38,unigram,feminine,accusative,plural,Ayi,1.0336908452833515,Ayi,blasphemy
βλασφημία,115,unigram,feminine,accusative,singular,moaegŋekyeŋ,1.2929678013388015,moaegŋekyeŋ,blasphemy
βλασφημία,239,unigram,feminine,nominative,plural,ayakplobi,1.561101262837565,ayakplobi,blasphemy
βλασφημία,99,unigram,feminine,nominative,singular,ayakplobi,1.6156708316356223,ayakplobi,blasphemy
πλοῖον,126,unigram,neuter,accusative,plural,ámgblami,1.4338336623779155,ámgblami,boat
πλοῖον,350,unigram,neuter,accusative,singular,amgblami,4.561080882255583,amgblami,boat
