lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2133_translation,version_2134_translation,version_2135_translation,version_2136_translation,english_translation
θεός,331,unigram,masculine,accusative,plural,,,θεούς,,,Θεούς,God
θεός,126,unigram,masculine,accusative,singular,Θεό,198.66034616484137,Θεό,Θεό,Θεό,Θεόν,God
θεός,26,unigram,masculine,nominative,plural,θεοί,2.504147604436635,θεοί,θεοί,θεοί,Θεοί,God
θεός,200,unigram,masculine,nominative,singular,Θεός,131.79930139541483,Θεός,Θεός,Θεός,Θεὸς,God
κύριος,127,unigram,masculine,nominative,singular,Κύριος,5.481065497918307,Kύριος,Κύριος,Κύριος,Κύριος,"Lord, lord, master"
γραφή,122,unigram,feminine,accusative,plural,Γραφές,2.944598060668966,γραφές,Γραφές,Γραφές,γραφάς,Scripture
γραφή,49,unigram,feminine,accusative,singular,,,γραφή,,,γραφὴν,Scripture
γραφή,259,unigram,feminine,nominative,plural,αληθινές,1.1338064325991253,γραφές,αληθινές,αληθινές,ἐκπληρωθοῦν,Scripture
γραφή,326,unigram,feminine,nominative,singular,Γραφής,1.007224234018518,γραφή,Γραφής,Γραφής,,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,αγγέλους,5.990188781708412,αγγέλους,αγγέλους,αγγέλους,ἀγγέλους,angel
ἄγγελος,81,unigram,masculine,accusative,singular,,,αγγελιοφόρο,,,προετοιμάσῃ,angel
ἄγγελος,45,unigram,masculine,nominative,plural,άγγελοι,66.09203627532614,άγγελοι,άγγελοι,άγγελοι,ἄγγελοι,angel
ἄγγελος,103,unigram,masculine,nominative,singular,άγγελος,108.06536984878923,άγγελος,άγγελος,άγγελος,ἄγγελος,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,απόστολοι,7.602774599017944,απόστολοι,απόστολοι,απόστολοι,ἀπόστολοι,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,απεσταλμένος,1.576415150417389,απόστολος,απεσταλμένος,απεσταλμένος,ἀπόστολος,apostle
ἐξουσία,191,unigram,feminine,accusative,singular,εξουσία,78.79201546900394,εξουσία,εξουσία,εξουσία,ἐξουσίαν,authority
βρέφος,324,unigram,neuter,accusative,singular,βρέφος,1.22383511626339,βρέφος,βρέφος,βρέφος,βρέφος,babies
