lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1389_translation,english_translation
θεός,111,unigram,masculine,accusative,singular,Ãcõrẽra,1.6590260233589058,Ãcõrẽra,God
θεός,24,unigram,masculine,nominative,plural,ãcõrẽrãda,1.3939944628312473,ãcõrẽrãda,God
θεός,171,unigram,masculine,nominative,singular,Ãcõrẽba,2.644544885825985,Ãcõrẽba,God
κύριος,278,unigram,masculine,nominative,plural,ẽrã,1.0977400431812858,ẽrã,"Lord, lord, master"
κύριος,112,unigram,masculine,nominative,singular,boroba,1.0208341886828844,boroba,"Lord, lord, master"
γραφή,107,unigram,feminine,accusative,plural,Bed̶eada,1.0538036386318532,Bed̶eada,Scripture
γραφή,40,unigram,feminine,accusative,singular,Bed̶ead̶e,1.4191490423547797,Bed̶ead̶e,Scripture
γραφή,217,unigram,feminine,nominative,plural,Bed̶ead̶e,1.140351464927759,Bed̶ead̶e,Scripture
γραφή,273,unigram,feminine,nominative,singular,Bed̶ead̶e,2.778792143971026,Bed̶ead̶e,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,bajãnebema,2.016566577305328,bajãnebema,angel
ἄγγελος,37,unigram,masculine,nominative,plural,bajãnebema,1.8872588286825849,bajãnebema,angel
ἄγγελος,90,unigram,masculine,nominative,singular,bajãnebema,1.443112900601583,bajãnebema,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,diabued̶arã,1.5507404617778928,diabued̶arã,apostle
ἐξουσία,56,unigram,feminine,accusative,plural,eded̶ibʌrʌ,1.162768449235823,eded̶ibʌrʌ,authority
ἐξουσία,163,unigram,feminine,accusative,singular,ʌb̶ʌada,1.3557120504618272,ʌb̶ʌada,authority
βρέφος,272,unigram,neuter,accusative,singular,cobadad̶e,1.2378641623474125,cobadad̶e,babies
φραγμός,194,unigram,masculine,accusative,plural,cob̶emãrẽã,1.0967079970100362,cob̶emãrẽã,"barrier, wall"
ἀρχή,58,unigram,feminine,accusative,plural,eded̶ibʌrʌ,1.1625438176447127,eded̶ibʌrʌ,beginning
ἀρχή,146,unigram,feminine,accusative,singular,–Dãrãbʌrʌa,1.1070701578523252,–Dãrãbʌrʌa,beginning
βλασφημία,80,unigram,feminine,accusative,singular,–¡Jãwã,1.0967236191151477,–¡Jãwã,blasphemy
βλασφημία,68,unigram,feminine,nominative,singular,bed̶eabada,1.0967236191151477,bed̶eabada,blasphemy
πλοῖον,88,unigram,neuter,accusative,plural,jãbara,1.7519966027185578,jãbara,boat
πλοῖον,258,unigram,neuter,accusative,singular,jãbad̶e,2.781827970064504,jãbad̶e,boat
πλοῖον,188,unigram,neuter,nominative,singular,quẽsidra,1.0653823283536064,quẽsidra,boat
κλῆμα,120,unigram,neuter,nominative,singular,ãbaa,1.065213113484546,ãbaa,branch
ἄρτος,262,unigram,masculine,accusative,plural,paʌ̃da,1.3442781085969462,paʌ̃da,bread
ἄρτος,286,unigram,masculine,accusative,singular,paʌ̃da,1.2032652877642525,paʌ̃da,bread
ἄρτος,127,unigram,masculine,nominative,plural,paʌ̃,1.5490362669132929,paʌ̃,bread
ἄρτος,30,unigram,masculine,nominative,singular,paʌ̃,1.6395638457179642,paʌ̃,bread
ἀδελφός,249,unigram,masculine,accusative,plural,djabarãda,1.4697277401734177,djabarãda,brother
ἀδελφός,100,unigram,masculine,accusative,singular,djaba,2.3420142125015717,djaba,brother
ἀδελφός,93,unigram,masculine,nominative,plural,djabarã,1.5966830888840022,djabarã,brother
ἀδελφός,192,unigram,masculine,nominative,singular,djaba,1.0982015157354863,djaba,brother
στῆθος,234,unigram,neuter,accusative,singular,jidabi,1.0229991852747289,jidabi,"chest, breast"
ἀρχιερεύς,201,unigram,masculine,accusative,plural,sacerdote,3.4864655532750524,sacerdote,chief priest
ἀρχιερεύς,48,unigram,masculine,accusative,singular,sacerdote,1.2586287241772558,sacerdote,chief priest
ἀρχιερεύς,99,unigram,masculine,nominative,plural,sacerdote,1.625547165609773,sacerdote,chief priest
ἀρχιερεύς,204,unigram,masculine,nominative,singular,sacerdote,1.7018558635231018,sacerdote,chief priest
παῖς,38,unigram,masculine,accusative,singular,biabiped̶a,1.0967706246531128,biabiped̶a,child
τέκνον,280,unigram,neuter,accusative,plural,warrarã,3.3921658373514854,warrarã,child
τέκνον,156,unigram,neuter,nominative,singular,Warra,1.2679469853085037,Warra,child
παιδίον,75,unigram,neuter,accusative,singular,warra,1.518607100985285,warra,child
πόλις,147,unigram,feminine,accusative,plural,puru,1.4404384325775663,puru,city
πόλις,52,unigram,feminine,accusative,singular,purud̶aa,1.1547834121707763,purud̶aa,city
πύλη,220,unigram,feminine,nominative,plural,poyaẽ́a,1.4142553601343502,poyaẽ́a,city gate
χιτών,96,unigram,masculine,accusative,plural,jʌ̃,1.269790794137758,jʌ̃,"clothing, undergarments"
χιτών,25,unigram,masculine,accusative,singular,dewarabema,1.2010608452218268,dewarabema,"clothing, undergarments"
ἱμάτιον,110,unigram,neuter,accusative,plural,jʌ̃,1.6343644039699388,jʌ̃,coat
ἱμάτιον,109,unigram,neuter,accusative,singular,cacuad̶e,1.3709064713027392,cacuad̶e,coat
ἐντολή,67,unigram,feminine,accusative,plural,obi,1.392312587333642,obi,commandment
