lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_54_translation,version_29_translation,version_4_translation,version_34_translation,version_51_translation,version_52_translation,version_63_translation,version_10_translation,version_35_translation,version_45_translation,version_6_translation,version_39_translation,version_36_translation,version_31_translation,version_50_translation,version_60_translation,version_14_translation,version_22_translation,version_59_translation,version_13_translation,version_2_translation,version_16_translation,version_62_translation,version_44_translation,version_11_translation,version_42_translation,version_41_translation,version_46_translation,version_40_translation,version_43_translation,version_53_translation,version_32_translation,version_9_translation,version_7_translation,version_38_translation,version_15_translation,version_48_translation,version_26_translation,version_12_translation,version_57_translation,version_24_translation,version_61_translation,version_19_translation,version_25_translation,version_30_translation,version_21_translation,version_49_translation,version_47_translation,version_3_translation,version_17_translation,version_37_translation,version_28_translation,version_20_translation,version_33_translation,version_1_translation,version_5_translation,version_18_translation,version_64_translation,version_55_translation,version_27_translation,version_23_translation,version_56_translation,version_58_translation,version_8_translation,english_translation
θεός,364,unigram,masculine,accusative,plural,gods,108998.01859022409,,gods,gods,gods,gods,gods,,,gods,,,gods,gods,gods,gods,gods,,gods,gods,,,gods,gods,,gods,gods,,,gods,,,gods,,,,,gods,gods,gods,elohim,gods—the,gods,gods,gods,,gods,gods,,,,gods,gods,gods,,gods,gods,gods,gods,,gods,gods,gods,gods,,God
θεός,151,unigram,masculine,accusative,singular,God,1.9221007717120334e+47,,God,God,God,God,God,God,God,God,Hashem,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God-Theos,God,,God,God,,God,God,God,God,God,God,God,God,Elohim,God,God,God,God,God,God,God,,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God
θεός,234,unigram,masculine,nominative,singular,God,9.732904399660351e+64,,God,God,God,God,God,God,God,God,Hashem,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God-Theos,God,,God,God,,God,God,God,God,God,God,God,God,Elohim,God,God,God,God,God,God,God,,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God,God
κύριος,366,unigram,masculine,nominative,plural,owners,262.73318901164515,,owners,,owners,owners,owners,untied,owners,owners,owners,owners,owners,owners,owners,owners,owners,owners,owners,owners,taking,owners,owners,owners,owners,masters,owners,owners,,owners,owners,,owners,owners,owners,owners,owners,owners,owners,owners,,owners,owners,owners,owners,owners,owners,owners,,,owners,owners,owners,owners,owners,owners,owners,owners,owners,,owners,owners,owners,owners,owners,"Lord, lord, master"
κύριος,152,unigram,masculine,nominative,singular,Lord,313460304739.3078,,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Adon,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,,Lord,Lord,,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Master,Lord,Lord,Lord,Lord,Lord,Lord,Lord,,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,Lord,lord,Master,Lord,Lord,Lord,master,Lord,"Lord, lord, master"
γραφή,146,unigram,feminine,accusative,plural,Scriptures,4.760358453418632e+16,,Scriptures,Scriptures,Scriptures,scriptures,scriptures,scriptures,Scriptures,Scriptures,Kitvei,scriptures,Scriptures,scriptures,Scriptures,scriptures,Scriptures,Scriptures,Scriptures,Scriptures,Bible,Scriptures,Scriptures,Scriptures,scriptures,scriptures,scriptures,Scriptures,,Scriptures,scriptures,,scriptures,Scriptures,Tanakh,Scriptures,Scriptures,Scriptures,scriptures,scriptures,Scriptures,Scriptures,Scriptures,Scriptures,Scriptures,scriptures,Scriptures,scriptures,,Scriptures,Scriptures,Scriptures,Scriptures,Scriptures,Scriptures,scriptures,Scriptures,Scriptures,Writings,,scriptures,Scriptures,Scriptures,Scriptures,Scriptures,Scripture
γραφή,54,unigram,feminine,accusative,singular,Scripture,5447272.942576386,,Scripture,,Scripture,scripture,scripture,scripture,Scriptures,,Kitvei,scripture,Scripture,scripture,Scripture,scripture,Scripture,Scripture,scripture,Scripture,Bible,Scripture,Scripture,Scripture,scripture,scripture,scripture,Scriptures,,Scripture,scripture,,scripture,Scriptures,Tanakh,Scripture,Scripture,Scripture,scripture,scripture,Scripture,Scriptures,Scripture,scripture,,scripture,scripture,scripture,,Scripture,Scripture,Scripture,Scripture,scripture,Scripture,scripture,Scripture,scripture,Writing,,scripture,Scripture,,Scripture,Scriptures,Scripture
γραφή,294,unigram,feminine,nominative,plural,Scriptures,5245989.052819995,,Scriptures,fulfilled,Scriptures,scriptures,scriptures,scriptures,come,Scriptures,Kitvei,scriptures,Scriptures,scriptures,Scriptures,scriptures,Scriptures,Scriptures,true,Scriptures,happen,Scriptures,Scriptures,Scriptures,scriptures,scriptures,fulfilled,fulfill,,Scriptures,scriptures,,scriptures,come,fulfilled,Scriptures,fulfill,Scriptures,scriptures,scriptures,Scriptures,show,Scriptures,Scriptures,Scriptures,scriptures,true,scriptures,,Scriptures,Scriptures,Scriptures,Scriptures,Scriptures,Scriptures,scriptures,Scriptures,Scriptures,Writings,,scriptures,Scriptures,fulfills,Scriptures,come,Scripture
γραφή,358,unigram,feminine,nominative,singular,Scripture,314490660035.24725,,Scripture,Scripture,Scripture,scripture,scripture,scripture,Scriptures,Scripture,Kitvei,scripture,Scripture,scripture,Scripture,scripture,Scripture,Scripture,scripture,Scripture,Bible,Scripture,Scripture,Scripture,scripture,scripture,scripture,Scripture,,Scripture,scripture,,scripture,Scriptures,Tanakh,Scripture,Scripture,Scripture,scripture,scripture,Scripture,Scriptures,Scripture,scripture,Scripture,scripture,scripture,scripture,,Scripture,Scripture,Scripture,Scripture,scripture,Scripture,scripture,Scripture,scripture,Writing,,scripture,Scripture,Scripture,Scripture,Scriptures,Scripture
ἄγγελος,112,unigram,masculine,accusative,plural,angels,1.920579540682614e+19,,angels,Angels,angels,angels,angels,angels,angels,angels,malachim,angels,angels,angels,angels,angels,angels,angels,angels,angels,angels,angels,Angels,angels,angels,angels,angels,angels,,angels,angels,,angels,angels,angels,angels,angels,angels,angels,angels,messengers,angels,angels,angels,angels,angels,angels,angels,,angels,angels,angels,angels,angels,angels,angels,angels,angels,messengers,,angels,angels,messengers,angels,angels,angel
ἄγγελος,92,unigram,masculine,accusative,singular,messenger,2849.15313039605,,messenger,Angel,messenger,messenger,messenger,angel,sending,messenger,,messenger,messenger,messenger,messenger,messenger,messenger,messenger,messenger,messenger,message.He,messenger,messenger,messenger,messenger,messenger,messenger,messenger,,messenger,messenger,,messenger,sending,messenger,messenger,messenger,messenger,messenger,angel,messenger,,messenger,messenger,Malachi,messenger,messenger,messenger,,messenger,youto,,messenger,messenger,messenger,messenger,messenger,messenger,messenger,angel,messenger,sending,sending,messenger,sending,angel
ἄγγελος,50,unigram,masculine,nominative,plural,angels,5.108318894105068e+34,,angels,Angels,angels,angels,angels,angels,angels,angels,malachim,angels,angels,angels,angels,angels,angels,angels,angels,angels,angels,angels,Angels,angels,angels,angels,angels,angels,,angels,angels,,angels,angels,angels,angels,angels,angels,angels,angels,messengers,angels,angels,angels,angels,angels,angels,angels,,angels,angels,angels,angels,angels,angels,angels,angels,angels,messengers,angels,angels,angels,angels,angels,angels,angel
ἄγγελος,123,unigram,masculine,nominative,singular,angel,1.2541804004508228e+35,,angel,Angel,angel,angel,angel,angel,angel,angel,malach,angel,angel,angel,angel,angel,angel,angel,angel,angel,angel,angel,Angel,angel,angel,angel,angel,angel,,angel,angel,,angel,angel,angel,angel,angel,angel,angel,angel,messenger,angel,angel,angel,angel,angel,angel,angel,,angel,angel,angel,angel,angel,angel,angel,angel,angel,messenger,angel,angel,angel,angel,angel,angel,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,apostles,2.1685814280873536e+27,,apostles,Apostles,apostles,apostles,apostles,apostles,apostles,apostles,Shlichim,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,Apostles,emissaries,apostles,apostles,apostles,apostles,,apostles,apostles,,apostles,apostles,emissaries,apostles,apostles,apostles,apostles,apostles,emissaries,apostles,emissaries,apostles,apostles,apostles,apostles,apostles,,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,apostles,emissaries,apostles,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,greater,3.494856916240607,,greater,apostle,greater,greater,greater,apostle,messengers,messenger,,nor,messenger,messenger,greater,greater,greater,messenger,slaves,greater,messenger,greater,ambassadour,greater,messengers,greater,lord,Nor,,greater,messengers,,messenger,messengers,emissary,messenger,sender,sends,apostle,apostle,emissary,Believe,greater,slaves,messenger,messenger,slaves,greater,,superior,,sends,greater,slaves,greater,greater,messenger,slaves,apostle,,greater,messenger,apostle,isn,messengers,apostle
ἐξουσία,75,unigram,feminine,accusative,plural,defend,5.043310111816446,,magistrates,,,authorities,authorities,potentates,defend,defend,,defend,defend,defense,authorities,authorities,authorities,defend,,authorities,troubled,,Princes,authorities,defend,authorities,magistrates,,,,defend,,defense,defend,,defend,defend,authorities,magistrates,magistrates,authorities,worry,authorities,,defend,,,authorities,,,,worry,magistrates,,,authorities,defend,,,,magistrates,defend,defending,defend,defend,authority
ἐξουσία,224,unigram,feminine,accusative,singular,authority,2.3284844597739376e+30,,power,authority,authority,authority,authority,power,authority,authority,samchut,authority,authority,authority,authority,authority,authority,authority,authority,authority,authority,authority,authoritie,authority,authority,authority,power,authority,,authority,authority,,authority,authority,authority,authority,authority,authority,power,power,authority,power,authority,authority,authority,authority,authority,authority,,authority,authority,authority,power,authority,authority,authority,authority,authority,authority,authority,power,authority,authority,authority,authority,authority
βρέφος,18,unigram,neuter,accusative,plural,babies,8.164185475668745,,infants,bringing,,babes,babes,young,bothering,babies,rebuking,bless,babies,scold,infants,infants,babies,infants,babies,babies,bringing,reprimanding,touche,babies,People,infants,infants,bless,,infants,People,,infants,bothering,babies,babies,Parents,babies,infants,infants,infants,lay,babies,babies,touch,babies,babies,infants,,babies,infants,babies,infants,babies,,babes,infants,babies,babes,,infants,infants,,babies,bothering,babies
