lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_561_translation,english_translation
θεός,295,unigram,masculine,accusative,plural,echikpo,1.0603242713908851,echikpo,God
θεός,119,unigram,masculine,accusative,singular,Chileke,2.5304355770394964,Chileke,God
θεός,23,unigram,masculine,nominative,plural,dedu,1.1634492944761523,dedu,God
θεός,189,unigram,masculine,nominative,singular,Chileke,7.854939804218381,Chileke,God
κύριος,120,unigram,masculine,nominative,singular,Onye-Nwe-Ọha,3.1396016851860096,Onye-Nwe-Ọha,"Lord, lord, master"
γραφή,115,unigram,feminine,accusative,plural,deru,1.0052215462533003,deru,Scripture
γραφή,44,unigram,feminine,accusative,singular,Okfu,1.077333488564196,Okfu,Scripture
γραφή,237,unigram,feminine,nominative,plural,Okfu,1.0757246543217842,Okfu,Scripture
γραφή,290,unigram,feminine,nominative,singular,deru,1.1026213832264322,deru,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,ojozhi-imigwe,1.9180530580519863,ojozhi-imigwe,angel
ἄγγελος,75,unigram,masculine,accusative,singular,emechaaru,1.4248865988924826,emechaaru,angel
ἄγγελος,41,unigram,masculine,nominative,plural,ojozhi-imigwe,3.8924705413327123,ojozhi-imigwe,angel
ἄγγελος,97,unigram,masculine,nominative,singular,Ojozhi-imigwe,1.3352481232022149,Ojozhi-imigwe,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,Ndụ-ishi-ozhi,1.5066699490997677,Ndụ-ishi-ozhi,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,l'amalẹwho,1.0960817954296525,l'amalẹwho,apostle
ἐξουσία,63,unigram,feminine,accusative,plural,ndẹ-zhia,1.0962199599997684,ndẹ-zhia,authority
ἐξουσία,182,unigram,feminine,accusative,singular,ike,1.6561900044949425,ike,authority
βρέφος,12,unigram,neuter,accusative,plural,l'edutakaaru,1.0960670999999007,l'edutakaaru,babies
ἀποθήκη,62,unigram,feminine,accusative,singular,witi,1.3116191148437548,witi,barn
ἀρχή,65,unigram,feminine,accusative,plural,ndẹ-zhia,1.0961063339256685,ndẹ-zhia,beginning
ἀρχή,165,unigram,feminine,accusative,singular,mbụlembu,1.9999488926359328,mbụlembu,beginning
ζώνη,159,unigram,feminine,accusative,plural,l'ẹkpa,1.1454417825320882,l'ẹkpa,belt
βλασφημία,26,unigram,feminine,accusative,plural,ekfubyishi-a,1.0960768946513286,ekfubyishi-a,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,ụgbo,1.5849364829423085,ụgbo,boat
πλοῖον,277,unigram,neuter,accusative,singular,l'ụgbo,1.5911877157762386,l'ụgbo,boat
πλοῖον,207,unigram,neuter,nominative,singular,ụgbo,1.2018149048859197,ụgbo,boat
σῶμα,53,unigram,neuter,nominative,singular,ogwẹhu,2.198617310137496,ogwẹhu,body
κλῆμα,134,unigram,neuter,nominative,singular,ẹkali,1.4575711912823868,ẹkali,branch
ἄρτος,281,unigram,masculine,accusative,plural,buredi,4.479295493935728,buredi,bread
ἄρτος,304,unigram,masculine,accusative,singular,nri,1.8248620390512784,nri,bread
ἄρτος,143,unigram,masculine,nominative,plural,buredi,1.6734034818953425,buredi,bread
ἄρτος,32,unigram,masculine,nominative,singular,nri,1.5717575198192877,nri,bread
ἀδελφός,268,unigram,masculine,accusative,plural,unwune,1.9361323906227057,unwune,brother
ἀδελφός,107,unigram,masculine,accusative,singular,nwune,2.0279760309270336,nwune,brother
ἀδελφός,100,unigram,masculine,nominative,plural,unwune,1.9026998701873048,unwune,brother
ἀδελφός,212,unigram,masculine,nominative,singular,nwune,5.41344204047012,nwune,brother
στῆθος,139,unigram,neuter,accusative,plural,tsulahaa,1.212541630128925,tsulahaa,"chest, breast"
στῆθος,253,unigram,neuter,accusative,singular,ntse,1.1635676734860336,ntse,"chest, breast"
ἀρχιερεύς,220,unigram,masculine,accusative,plural,l'agbajẹ,1.197451807874777,l'agbajẹ,chief priest
ἀρχιερεύς,54,unigram,masculine,accusative,singular,l'agbajẹ,1.1843967542439504,l'agbajẹ,chief priest
ἀρχιερεύς,106,unigram,masculine,nominative,plural,l'agbajẹ,1.1108102960155801,l'agbajẹ,chief priest
ἀρχιερεύς,224,unigram,masculine,nominative,singular,l'agbajẹ,1.180422757689268,l'agbajẹ,chief priest
παῖς,216,unigram,masculine,accusative,plural,unwoke,1.220503955862586,unwoke,child
