lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_567_translation,version_568_translation,english_translation
θεός,310,unigram,masculine,accusative,plural,enyame,1.097258004808277,enyame,,God
θεός,124,unigram,masculine,accusative,singular,Nyankopɔn,6.765797207238982,Nyankopɔn,,God
θεός,189,unigram,masculine,nominative,singular,Nyankopɔn,16.061112196305302,Nyankopɔn,,God
κύριος,312,unigram,masculine,nominative,plural,wuranom,1.0970894485985805,wuranom,,"Lord, lord, master"
κύριος,125,unigram,masculine,nominative,singular,Ewuradze,1.320539207496502,Ewuradze,,"Lord, lord, master"
γραφή,119,unigram,feminine,accusative,plural,kyerɛwsɛm,1.4945823433814107,kyerɛwsɛm,,Scripture
γραφή,44,unigram,feminine,accusative,singular,kyerɛw,1.807652313631216,kyerɛw,,Scripture
γραφή,243,unigram,feminine,nominative,plural,kyerɛwnsɛm,1.9576839833051118,kyerɛwnsɛm,,Scripture
γραφή,305,unigram,feminine,nominative,singular,kyerɛw,1.4283423412763618,kyerɛw,,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,abɔfoe,1.0521758238740506,abɔfoe,,angel
ἄγγελος,40,unigram,masculine,nominative,plural,abɔfo,2.6478312910203354,abɔfo,,angel
ἄγγελος,97,unigram,masculine,nominative,singular,bɔfoe,1.1981394665193548,bɔfoe,,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,asomafo,2.4136698688044693,asomafo,,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,ɔsomafo,1.2929854298915346,ɔsomafo,,apostle
ἐξουσία,64,unigram,feminine,accusative,plural,etumfo,1.1457324316067354,etumfo,,authority
ἐξουσία,182,unigram,feminine,accusative,singular,tum,4.648350583515917,tum,,authority
βρέφος,303,unigram,neuter,accusative,singular,edzidzidaka,1.0441063733306788,edzidzidaka,,babies
ἀποθήκη,63,unigram,feminine,accusative,singular,ewifua,1.0298057377453576,ewifua,,barn
φραγμός,101,unigram,masculine,accusative,singular,wenyintwer,1.0595319950666118,wenyintwer,,"barrier, wall"
ἀρχή,66,unigram,feminine,accusative,plural,etumfo,1.1455352903531095,etumfo,,beginning
ἀρχή,165,unigram,feminine,accusative,singular,Nsɛnkyerɛdze,1.0662807816552895,Nsɛnkyerɛdze,,beginning
βλασφημία,26,unigram,feminine,accusative,plural,dwendween,1.2555387914136698,dwendween,,blasphemy
βλασφημία,187,unigram,feminine,nominative,plural,ebususɛm,1.6954157610135707,ebususɛm,,blasphemy
βλασφημία,78,unigram,feminine,nominative,singular,ebususɛm,1.6954157610135707,ebususɛm,,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,ahɛn,1.4653812354669618,ahɛn,,boat
πλοῖον,287,unigram,neuter,accusative,singular,hɛn,3.790648991833128,hɛn,,boat
πλοῖον,220,unigram,neuter,nominative,plural,wogyaa,1.0596550866867382,wogyaa,,boat
πλοῖον,206,unigram,neuter,nominative,singular,hɛn,1.083352906748138,hɛn,,boat
σῶμα,194,unigram,neuter,nominative,plural,efun,1.887456721027004,efun,,body
σῶμα,54,unigram,neuter,nominative,singular,nyimpadua,3.763769332637753,nyimpadua,,body
κλῆμα,50,unigram,neuter,nominative,plural,kwetsi,1.0960622061228922,kwetsi,,branch
κλῆμα,136,unigram,neuter,nominative,singular,abaw,1.6157296083518364,abaw,,branch
ἄρτος,292,unigram,masculine,accusative,plural,paanoo,2.8455502562842585,paanoo,,bread
ἄρτος,320,unigram,masculine,accusative,singular,paanoo,3.0933599561194867,paanoo,,bread
ἄρτος,143,unigram,masculine,nominative,plural,paanoo,2.7865745020562787,paanoo,,bread
ἄρτος,31,unigram,masculine,nominative,singular,paanoo,3.0530278412513225,paanoo,,bread
ἀδελφός,277,unigram,masculine,accusative,plural,enuanom,1.1484081138292326,enuanom,,brother
ἀδελφός,111,unigram,masculine,accusative,singular,nua,2.716677961411951,nua,,brother
ἀδελφός,100,unigram,masculine,nominative,plural,nuanom,4.183747391155894,nuanom,,brother
ἀδελφός,213,unigram,masculine,nominative,singular,nua,4.349095573140033,nua,,brother
στῆθος,140,unigram,neuter,accusative,plural,bobɔɔ,1.0354234526482031,bobɔɔ,,"chest, breast"
στῆθος,263,unigram,neuter,accusative,singular,obisaa,1.0258047429816763,obisaa,,"chest, breast"
ἀρχιερεύς,224,unigram,masculine,accusative,plural,asɔfompanyin,4.175244132958908,asɔfompanyin,,chief priest
ἀρχιερεύς,55,unigram,masculine,accusative,singular,ɔsɔfopanyin,1.6320884906312203,ɔsɔfopanyin,,chief priest
ἀρχιερεύς,110,unigram,masculine,nominative,plural,asɔfompanyin,3.5902315681606467,asɔfompanyin,,chief priest
ἀρχιερεύς,228,unigram,masculine,nominative,singular,ɔsɔfopanyin,2.3619268747738387,ɔsɔfopanyin,,chief priest
παῖς,217,unigram,masculine,accusative,plural,hun,1.0078852423379026,hun,,child
παῖς,42,unigram,masculine,accusative,singular,ɔtsetseew,1.2126857550468304,ɔtsetseew,,child
τέκνον,314,unigram,neuter,accusative,plural,mba,5.445264183076148,mba,,child
τέκνον,163,unigram,neuter,accusative,singular,mba,1.049760705115236,mba,,child
τέκνον,13,unigram,neuter,nominative,plural,mba,1.0372278617423316,mba,,child
τέκνον,175,unigram,neuter,nominative,singular,Ɔba,2.962467961680125,Ɔba,,child
παιδίον,12,unigram,neuter,accusative,plural,mbofraba,1.43901173280078,mbofraba,,child
παιδίον,83,unigram,neuter,accusative,singular,abofraba,5.322130802442627,abofraba,,child
παιδίον,156,unigram,neuter,nominative,plural,mbofraba,1.5250681626671962,mbofraba,,child
παιδίον,33,unigram,neuter,nominative,singular,abofraba,2.2090506299269577,abofraba,,child
πόλις,166,unigram,feminine,accusative,plural,nkurow,2.3597569306648434,nkurow,,city
πόλις,59,unigram,feminine,accusative,singular,kurow,5.352889574984489,kurow,,city
πύλη,186,unigram,feminine,nominative,singular,tseaba,1.1454502626623055,tseaba,,city gate
χιτών,106,unigram,masculine,accusative,plural,ebien,1.2437925014051388,ebien,,"clothing, undergarments"
χιτών,23,unigram,masculine,accusative,singular,asetar,1.1592939752424762,asetar,,"clothing, undergarments"
ἱμάτιον,122,unigram,neuter,accusative,plural,atar,1.0308903627477322,atar,,coat
ἱμάτιον,121,unigram,neuter,accusative,singular,nkatado,1.1375565168129655,nkatado,,coat
ἐντολή,76,unigram,feminine,accusative,plural,mbransɛm,2.4984411625475884,mbransɛm,,commandment
ἐντολή,74,unigram,feminine,accusative,singular,mbrasɛm,1.224642691295021,mbrasɛm,,commandment
συνέδριον,297,unigram,neuter,accusative,plural,bagua,1.235814963170497,bagua,,council
συνέδριον,46,unigram,neuter,accusative,singular,kyerɛwfo,1.1334636516124086,kyerɛwfo,,council
χώρα,71,unigram,feminine,accusative,plural,ahoa,1.1614335410543388,ahoa,,"country, countryside"
χώρα,267,unigram,feminine,accusative,singular,asaase,1.786192702166295,asaase,,"country, countryside"
ὄχλος,51,unigram,masculine,accusative,plural,nyimpadodow,6.828558476295125,nyimpadodow,,crowd
ὄχλος,7,unigram,masculine,accusative,singular,nyimpadodow,10.354520386621706,nyimpadodow,,crowd
ὄχλος,89,unigram,masculine,nominative,plural,nyimpadodow,8.179892610529446,nyimpadodow,,crowd
ὄχλος,258,unigram,masculine,nominative,singular,nyimpadodow,6.831226125857822,nyimpadodow,,crowd
θυγάτηρ,104,unigram,feminine,nominative,plural,mbabaa,1.0961506491767987,mbabaa,,daughter
θυγάτηρ,291,unigram,feminine,nominative,singular,babaa,3.6570013314453047,babaa,,daughter
ἡμέρα,69,unigram,feminine,accusative,plural,nda,1.36671599703603,nda,,day
ἡμέρα,79,unigram,feminine,accusative,singular,daa,1.3372043369858992,daa,,day
ἡμέρα,2,unigram,feminine,nominative,plural,nda,2.1440744012075537,nda,,day
ἡμέρα,61,unigram,feminine,nominative,singular,Ahosiesieda,1.2085680008812414,Ahosiesieda,,day
ὀφειλέτης,231,unigram,masculine,nominative,plural,Siloam,1.059531995066612,Siloam,,debtor
ὀφειλέτης,112,unigram,masculine,nominative,singular,mpemdu,1.0960524252565438,mpemdu,,debtor
δαιμόνιον,24,unigram,neuter,accusative,plural,mbɔnsam,2.5662508843357537,mbɔnsam,,demon
δαιμόνιον,308,unigram,neuter,accusative,singular,abɔnsam,1.6128641217843969,abɔnsam,,demon
δαιμόνιον,177,unigram,neuter,nominative,plural,mbɔnsam,1.1677071415909466,mbɔnsam,,demon
δαιμόνιον,154,unigram,neuter,nominative,singular,ham,1.3541361436225612,ham,,demon
δηνάριον,282,unigram,neuter,accusative,plural,denare,2.417418198762232,denare,,denarius (about a day's wages)
δηνάριον,145,unigram,neuter,accusative,singular,denare,1.4945854596785524,denare,,denarius (about a day's wages)
μαθητής,160,unigram,masculine,accusative,plural,esuafo,4.011739110767027,esuafo,,disciple
μαθητής,315,unigram,masculine,accusative,singular,osuanyi,2.871565023830733,osuanyi,,disciple
μαθητής,250,unigram,masculine,nominative,plural,esuafo,5.08675583793011,esuafo,,disciple
