lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1987_translation,version_1988_translation,version_1989_translation,english_translation
θεός,379,unigram,masculine,accusative,plural,kalou,1.4173275488168502,,kalou,,God
θεός,156,unigram,masculine,accusative,singular,Kalou,112.43188193417927,Kalou,Kalou,Kalou,God
θεός,33,unigram,masculine,nominative,plural,kalou,5.200185521804349,kalou,kalou,kalou,God
θεός,240,unigram,masculine,nominative,singular,Kalou,2635.4461143919034,Kalou,Kalou,Kalou,God
κύριος,381,unigram,masculine,nominative,plural,asa,1.1773911800630008,asa,,asa,"Lord, lord, master"
κύριος,157,unigram,masculine,nominative,singular,Turaga,7.600604434149175,Turaga,Turaga,Turaga,"Lord, lord, master"
γραφή,151,unigram,feminine,accusative,plural,Vola,2.795049494720805,Vola,Vola,Vola,Scripture
γραφή,59,unigram,feminine,accusative,singular,Vola,3.3327556203151656,Vola,Vola,Vola,Scripture
γραφή,304,unigram,feminine,nominative,plural,vakayacori,1.8760467525969495,vakayacori,vakayacori,vakayacori,Scripture
γραφή,373,unigram,feminine,nominative,singular,Vola,2.3790996384735186,Vola,Vola,Vola,Scripture
ἄγγελος,117,unigram,masculine,accusative,plural,agilosi,5.138854656787871,agilosi,agilose,agilosi,angel
ἄγγελος,99,unigram,masculine,accusative,singular,caramaka,1.6625371409907816,caramaka,caramaka,caramaka,angel
ἄγγελος,55,unigram,masculine,nominative,plural,agilosi,17.69003912292852,agilosi,agilose,agilosi,angel
ἄγγελος,127,unigram,masculine,nominative,singular,agilosi,17.62809193233072,agilosi,agilose,agilosi,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,apositolo,29.86281514631916,apositolo,apositolo,apositolo,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,veitalai,3.2138427001619676,veitalai,talai,veitalai,apostle
ἐξουσία,80,unigram,feminine,accusative,plural,daulewa,1.201698200701894,daulewa,dauveilewai,daulewa,authority
ἐξουσία,228,unigram,feminine,accusative,singular,kaukauwa,2.1054750874835495,kaukauwa,lewa,kaukauwa,authority
βρέφος,19,unigram,neuter,accusative,plural,karalaki,2.021155460889448,karalaki,vunauci,karalaki,babies
βρέφος,371,unigram,neuter,accusative,singular,kanakana,1.4756383088578482,kanakana,davo,kanakana,babies
ἀποθήκη,311,unigram,feminine,accusative,plural,,,,lololo,:,barn
ἀποθήκη,79,unigram,feminine,accusative,singular,lololo,2.4130242802208723,lololo,lololo,lololo,barn
φραγμός,269,unigram,masculine,accusative,plural,veisala,1.3120563042331448,veisala,,veisala,"barrier, wall"
φραγμός,131,unigram,masculine,accusative,singular,keli,1.3043438565396672,keli,,keli,"barrier, wall"
ἀρχή,83,unigram,feminine,accusative,plural,daulewa,1.201449095271969,daulewa,dauveilewai,daulewa,beginning
ἀρχή,209,unigram,feminine,accusative,singular,Kena,1.5702866839670542,Kena,vakatekivu,Kena,beginning
ζώνη,201,unigram,feminine,accusative,plural,beleti,1.8405713321479615,beleti,parasa,beleti,belt
ζώνη,258,unigram,feminine,accusative,singular,oro,1.0960524252565438,,,oro,belt
βλασφημία,37,unigram,feminine,accusative,plural,vaqaqa,1.4644236449806682,vaqaqa,vakacacataka,vaqaqa,blasphemy
βλασφημία,116,unigram,feminine,accusative,singular,dresulaka,1.2633914052661708,,dresulaka,,blasphemy
βλασφημία,238,unigram,feminine,nominative,plural,dauvakaucacataki,1.2237859634543222,dauvakaucacataki,daudara,dauvakaucacataki,blasphemy
βλασφημία,100,unigram,feminine,nominative,singular,vakacaca,3.83494025821332,vakacaca,,vakacaca,blasphemy
πλοῖον,125,unigram,neuter,accusative,plural,waqa,3.8917995962059573,waqa,waqa,waqa,boat
πλοῖον,355,unigram,neuter,accusative,singular,waqa,5.439422691168422,waqa,waqa,waqa,boat
πλοῖον,276,unigram,neuter,nominative,plural,waqa,2.1065910890404322,waqa,waqa,waqa,boat
πλοῖον,260,unigram,neuter,nominative,singular,waqa,7.540467051163919,waqa,waqa,waqa,boat
σῶμα,70,unigram,neuter,nominative,singular,yago,1.0046258528426304,yago,yagomu,yago,body
κλῆμα,66,unigram,neuter,nominative,plural,tabaqu,1.0960622061228922,,tabaqu,,branch
κλῆμα,174,unigram,neuter,nominative,singular,sema,1.090152930455124,sema,vaini,sema,branch
ἄρτος,360,unigram,masculine,accusative,plural,madrai,8.40805887297107,madrai,madrai,madrai,bread
ἄρτος,391,unigram,masculine,accusative,singular,madrai,18.144458014848073,madrai,madrai,madrai,bread
ἄρτος,183,unigram,masculine,nominative,plural,madrai,5.8494374466105326,madrai,madrai,madrai,bread
ἄρτος,45,unigram,masculine,nominative,singular,madrai,28.431626020866545,madrai,madrai,madrai,bread
ἀδελφός,344,unigram,masculine,accusative,plural,tacina,2.2364800098870394,tacina,veitacini,tacina,brother
ἀδελφός,141,unigram,masculine,accusative,singular,tacina,3.0071761532441927,tacina,tacina,tacina,brother
ἀδελφός,130,unigram,masculine,nominative,plural,tacina,3.9790994558068573,tacina,tacina,tacina,brother
ἀδελφός,267,unigram,masculine,nominative,singular,tacina,1.1491350119264798,tacina,ganequ,tacina,brother
στῆθος,328,unigram,neuter,accusative,singular,Kemuni,1.0430016540221925,,Kemuni,,"chest, breast"
ἀρχιερεύς,282,unigram,masculine,accusative,plural,bete,4.713209810992976,bete,bete,bete,chief priest
ἀρχιερεύς,71,unigram,masculine,accusative,singular,bete,1.2985047457902457,,bete,,chief priest
ἀρχιερεύς,140,unigram,masculine,nominative,plural,bete,3.672985684435553,bete,bete,bete,chief priest
