lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1796_translation,version_1797_translation,version_1798_translation,version_1799_translation,version_1800_translation,english_translation
θεός,124,unigram,masculine,accusative,singular,Jumalaa,33.72106303533118,Jumalaa,,Jumalaa,Jumalaa,Jumalaa,God
θεός,189,unigram,masculine,nominative,singular,Jumala,8422.512355807896,Jumala,,Jumala,Jumala,Jumala,God
κύριος,125,unigram,masculine,nominative,singular,Herra,98.28565343626762,Herra,,Herra,Herra,Herra,"Lord, lord, master"
γραφή,119,unigram,feminine,accusative,plural,kirjoituksia,2.127395659788561,,,kirjoituksia,kirjoituksia,Kirjoituksia,Scripture
γραφή,236,unigram,feminine,nominative,plural,,,Raamattu,,,kirjoitukset,Mutta,Scripture
γραφή,295,unigram,feminine,nominative,singular,,,Raamattu,,kirjoitus,toteen,Raamatun,Scripture
ἄγγελος,89,unigram,masculine,accusative,plural,enkelinsä,1.6002870090024492,,,enkelinsä,enkelinsä,enkelinsä,angel
ἄγγελος,74,unigram,masculine,accusative,singular,valmistava,1.0500981916898025,,,valmistava,,,angel
ἄγγελος,40,unigram,masculine,nominative,plural,enkelit,223.086477854717,enkelit,,enkelit,enkelit,enkelit,angel
ἄγγελος,99,unigram,masculine,nominative,singular,enkeli,83.22707129638111,enkeli,,enkeli,enkeli,enkeli,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,,,apostolit,,apostolit,Apostolit,Apostolit,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,sanansaattaja,1.0960817954296525,sanansaattaja,,,,,apostle
ἐξουσία,61,unigram,feminine,accusative,plural,valtamiesten,1.0962199599997684,valtamiesten,,,,,authority
ἐξουσία,180,unigram,feminine,accusative,singular,,,vallan,,vallan,valta,valta,authority
βρέφος,13,unigram,neuter,accusative,plural,pieniä,1.3167922046544251,,,pieniä,pieniä,pieniä,babies
βρέφος,293,unigram,neuter,accusative,singular,seimessä,4.727568685083618,seimessä,,seimessä,seimessä,seimessä,babies
ἀρχή,63,unigram,feminine,accusative,plural,valtamiesten,1.0961063339256685,valtamiesten,,,,,beginning
ἀρχή,164,unigram,feminine,accusative,singular,tunnustekonsa,1.106290521332697,,,,,tunnustekonsa,beginning
βλασφημία,29,unigram,feminine,accusative,plural,ajattelemaan,1.2238815261158769,,,ajattelemaan,,ajattelemaan,blasphemy
βλασφημία,87,unigram,feminine,accusative,singular,herjasi,1.0960866985123228,,,,herjasi,,blasphemy
βλασφημία,187,unigram,feminine,nominative,plural,herjaukset,1.9999489783035076,,,,herjaukset,,blasphemy
βλασφημία,75,unigram,feminine,nominative,singular,,,pilkka,,,herjaus,,blasphemy
πλοῖον,97,unigram,neuter,accusative,plural,,,venheet,,venheet,veneet,veneet,boat
πλοῖον,278,unigram,neuter,accusative,singular,veneeseen,12.42428688777433,haahteen,,venheeseen,veneeseen,veneeseen,boat
πλοῖον,216,unigram,neuter,nominative,plural,,,,,venheessä,Muitakin,matkassaan,boat
πλοῖον,204,unigram,neuter,nominative,singular,vene,5.100364507490183,haaksi,,venhe,vene,vene,boat
