lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_579_translation,english_translation
θεός,94,unigram,masculine,accusative,singular,Leesa,10.963072381826168,Leesa,God
θεός,155,unigram,masculine,nominative,singular,Leesa,14.568604389814473,Leesa,God
κύριος,95,unigram,masculine,nominative,singular,Mwene,1.8160099714023332,Mwene,"Lord, lord, master"
γραφή,91,unigram,feminine,accusative,plural,aMaandiko,2.8062033131917463,aMaandiko,Scripture
γραφή,37,unigram,feminine,accusative,singular,Ilyandiko,1.9999486772711133,Ilyandiko,Scripture
γραφή,196,unigram,feminine,nominative,plural,aMaandiko,2.9998369347604363,aMaandiko,Scripture
γραφή,248,unigram,feminine,nominative,singular,Ilyandiko,1.0993348655292343,Ilyandiko,Scripture
ἄγγελος,68,unigram,masculine,accusative,plural,yamalaika,1.6513137765386083,yamalaika,angel
ἄγγελος,34,unigram,masculine,nominative,plural,yamalaika,2.6478312910203354,yamalaika,angel
ἄγγελος,76,unigram,masculine,nominative,singular,malaika,1.4492239110725662,malaika,angel
ἀπόστολος,31,unigram,masculine,nominative,plural,mitume,1.93781854983352,mitume,apostle
ἐξουσία,147,unigram,feminine,accusative,singular,maka,1.1617006470153044,maka,authority
βρέφος,7,unigram,neuter,accusative,plural,Yannetela,1.0960670999999007,Yannetela,babies
ἀποθήκη,50,unigram,feminine,accusative,singular,ingano,1.5323096753179035,ingano,barn
φραγμός,80,unigram,masculine,accusative,singular,kukamila,1.3692126354826424,kukamila,"barrier, wall"
βλασφημία,21,unigram,feminine,accusative,plural,misuli,1.0960768946513286,misuli,blasphemy
πλοῖον,74,unigram,neuter,accusative,plural,mato,1.8383904571048064,mato,boat
πλοῖον,236,unigram,neuter,accusative,singular,um-wato,1.6382349872978352,um-wato,boat
σῶμα,42,unigram,neuter,nominative,singular,umwiili,1.0361972930540455,umwiili,body
κλῆμα,107,unigram,neuter,nominative,singular,muli,1.043765141321173,muli,branch
ἄρτος,240,unigram,masculine,accusative,plural,imikate,1.2264855154982617,imikate,bread
ἄρτος,259,unigram,masculine,accusative,singular,unkate,1.678091085832656,unkate,bread
ἄρτος,114,unigram,masculine,nominative,plural,sile,1.1874993859322012,sile,bread
ἄρτος,26,unigram,masculine,nominative,singular,chikile,1.145789287615189,chikile,bread
ἀδελφός,226,unigram,masculine,accusative,plural,anina,1.1423722982587527,anina,brother
ἀδελφός,86,unigram,masculine,accusative,singular,unnina,1.880628457575645,unnina,brother
ἀδελφός,79,unigram,masculine,nominative,plural,anina,1.2479473995549824,anina,brother
ἀδελφός,172,unigram,masculine,nominative,singular,unnina,1.1929376861942955,unnina,brother
στῆθος,112,unigram,neuter,accusative,plural,yaluuma,1.0960622061228922,yaluuma,"chest, breast"
στῆθος,212,unigram,neuter,accusative,singular,chifuwa,2.0484458124013747,chifuwa,"chest, breast"
ἀρχιερεύς,182,unigram,masculine,accusative,plural,iyakapela,1.3628868588094598,iyakapela,chief priest
ἀρχιερεύς,43,unigram,masculine,accusative,singular,Kapela-nkulu,1.4791840998275188,Kapela-nkulu,chief priest
ἀρχιερεύς,85,unigram,masculine,nominative,plural,iyakapela,1.9981981717966268,iyakapela,chief priest
ἀρχιερεύς,186,unigram,masculine,nominative,singular,Kapela-nkulu,5.2759162105995685,Kapela-nkulu,chief priest
παῖς,175,unigram,masculine,accusative,plural,maano,1.5160215175115088,maano,child
τέκνον,253,unigram,neuter,accusative,plural,ana,4.758342374741539,ana,child
τέκνον,130,unigram,neuter,accusative,singular,yalukatukila,1.4789756942417334,yalukatukila,child
τέκνον,8,unigram,neuter,nominative,plural,yalukatukila,1.8985090478050208,yalukatukila,child
τέκνον,140,unigram,neuter,nominative,singular,Mwanane,1.7822418379480822,Mwanane,child
παιδίον,62,unigram,neuter,accusative,singular,umwaana,1.2441836006440217,umwaana,child
παιδίον,28,unigram,neuter,nominative,singular,mwana,1.3531859788809997,mwana,child
πόλις,133,unigram,feminine,accusative,plural,um-misi,1.368614820948865,um-misi,city
πόλις,46,unigram,feminine,accusative,singular,nsi,1.4636232670103948,nsi,city
χιτών,82,unigram,masculine,accusative,plural,intuwa,1.0534773237391453,intuwa,"clothing, undergarments"
χιτών,18,unigram,masculine,accusative,singular,nkanjo,1.7489135200801682,nkanjo,"clothing, undergarments"
ἱμάτιον,93,unigram,neuter,accusative,plural,imyenda,1.403032443156073,imyenda,coat
ἱμάτιον,92,unigram,neuter,accusative,singular,umwenda,1.1559638431925523,umwenda,coat
ἐντολή,57,unigram,feminine,accusative,plural,vyane,1.4062303150556859,vyane,commandment
ἐντολή,55,unigram,feminine,accusative,singular,isunde,1.080630408764044,isunde,commandment
χώρα,217,unigram,feminine,accusative,singular,un-nsi,1.1805602312016024,un-nsi,"country, countryside"
ὄχλος,39,unigram,masculine,accusative,plural,amaumba,3.808334716736007,amaumba,crowd
ὄχλος,5,unigram,masculine,accusative,singular,iumba,4.948949242521109,iumba,crowd
ὄχλος,70,unigram,masculine,nominative,plural,amaumba,1.3265468707519772,amaumba,crowd
ὄχλος,207,unigram,masculine,nominative,singular,iumba,2.3420242242475884,iumba,crowd
θυγάτηρ,239,unigram,feminine,nominative,singular,kachi,4.624202505068157,kachi,daughter
ἡμέρα,53,unigram,feminine,accusative,plural,manda,1.090095881962943,manda,day
ἡμέρα,59,unigram,feminine,accusative,singular,un-ng'anda-nkulu-iyi-Leesa,1.1053966228435097,un-ng'anda-nkulu-iyi-Leesa,day
ἡμέρα,1,unigram,feminine,nominative,plural,amanda,1.9869332340742167,amanda,day
ἡμέρα,48,unigram,feminine,nominative,singular,yalalilile,1.0815738181804817,yalalilile,day
δαιμόνιον,19,unigram,neuter,accusative,plural,ifiwa,1.7164849103799704,ifiwa,demon
δαιμόνιον,249,unigram,neuter,accusative,singular,chiwa,2.36835889371892,chiwa,demon
δαιμόνιον,142,unigram,neuter,nominative,plural,ifiwa,1.7956890869130626,ifiwa,demon
δαιμόνιον,124,unigram,neuter,nominative,singular,ichiwa,2.2710147830560303,ichiwa,demon
δηνάριον,231,unigram,neuter,accusative,plural,impia,1.1768632717904262,impia,denarius (about a day's wages)
δηνάριον,116,unigram,neuter,accusative,singular,ulupia,1.8845513401333929,ulupia,denarius (about a day's wages)
μαθητής,128,unigram,masculine,accusative,plural,alondeshi,2.551774204402272,alondeshi,disciple
μαθητής,254,unigram,masculine,accusative,singular,nnondezi,1.2664641792367006,nnondezi,disciple
μαθητής,202,unigram,masculine,nominative,plural,alondeshi,2.1238804764220816,alondeshi,disciple
μαθητής,252,unigram,masculine,nominative,singular,unndondeshi,2.480759218648767,unndondeshi,disciple
νόσος,2,unigram,feminine,accusative,plural,imbombo,1.887537595001228,imbombo,disease
νόσος,52,unigram,feminine,accusative,singular,indwaala,1.0354317273001432,indwaala,disease
περιστερά,69,unigram,feminine,accusative,plural,un-ng'anda-nkulu-iyi-Leesa,1.013523474584315,un-ng'anda-nkulu-iyi-Leesa,dove
οὖς,106,unigram,neuter,accusative,plural,makutwi,1.155401867741729,makutwi,ear
οὖς,206,unigram,neuter,accusative,singular,apiyulu,1.515995373999256,apiyulu,ear
σεισμός,148,unigram,masculine,nominative,plural,yalukatuka,1.0481380276032792,yalukatuka,"earthquakes, storm"
τέλος,200,unigram,neuter,accusative,singular,alufyuuka,1.0590642765564342,alufyuuka,end
αἰών,176,unigram,masculine,accusative,plural,Alulâsa,1.096185247111637,Alulâsa,eternity
αἰών,227,unigram,masculine,accusative,singular,manda,1.3540786624845187,manda,eternity
ὀφθαλμός,13,unigram,masculine,accusative,plural,amaso,1.9906685198647567,amaso,eye
ὀφθαλμός,45,unigram,masculine,nominative,plural,amaso,1.7908421614646697,amaso,eye
ὀφθαλμός,224,unigram,masculine,nominative,singular,lyaako,1.2220133947034881,lyaako,eye
πρόσωπον,138,unigram,neuter,accusative,singular,tumanyile,1.2004278281929648,tumanyile,face
λιμός,3,unigram,feminine,nominative,plural,yalukatuka,1.0441088591276244,yalukatuka,famine
λιμός,64,unigram,feminine,nominative,singular,ukuulilwa,1.096071996175396,ukuulilwa,famine
γεωργός,187,unigram,masculine,nominative,plural,alimi,1.833724742486716,alimi,"farmer, tenant"
γεωργός,36,unigram,masculine,nominative,singular,unnimi,1.1063308381770665,unnimi,"farmer, tenant"
πατήρ,143,unigram,masculine,accusative,plural,yatatayitu—Ablahamu,1.0971869945960706,yatatayitu—Ablahamu,father
πατήρ,230,unigram,masculine,accusative,singular,Tata,1.9500363855853051,Tata,father
πατήρ,134,unigram,masculine,nominative,singular,Tata,3.792904106182202,Tata,father
σύνδουλος,102,unigram,masculine,accusative,plural,nakoleshi,1.0960670999999007,nakoleshi,"fellow-servant, colleague"
σύνδουλος,241,unigram,masculine,nominative,plural,aomufi,1.0960670999999007,aomufi,"fellow-servant, colleague"
ἀγρός,27,unigram,masculine,accusative,singular,nakamata,1.0766521848584762,nakamata,field
δάκτυλος,127,unigram,masculine,accusative,singular,unwe,1.0595448471241755,unwe,finger
ἰχθύς,109,unigram,masculine,accusative,plural,ninswi,1.6606445368648757,ninswi,fish
ἰχθύς,137,unigram,masculine,accusative,singular,angampa,1.9576978382798211,angampa,fish
δίκτυον,75,unigram,neuter,accusative,plural,amasumbu,1.4819705513611607,amasumbu,fishing net
δίκτυον,146,unigram,neuter,accusative,singular,isumbo,1.5323184880214515,isumbo,fishing net
τροφή,179,unigram,feminine,accusative,plural,ukuyukala,1.2378443565826964,ukuyukala,food
τροφή,247,unigram,feminine,accusative,singular,fyasitwa,1.0595448471241755,fyasitwa,food
πούς,173,unigram,masculine,accusative,plural,mulu,1.046768008317366,mulu,foot
πούς,78,unigram,masculine,accusative,singular,lyako,1.0754639513571784,lyako,foot
καρπός,132,unigram,masculine,accusative,plural,ivisêke,1.406133186601916,ivisêke,"fruit, crop, harvest"
καρπός,171,unigram,masculine,accusative,singular,ifisêke,1.4575161880436158,ifisêke,"fruit, crop, harvest"
πλήρωμα,246,unigram,neuter,accusative,singular,palepuka,1.0595352057902494,palepuka,fullness
γενεά,237,unigram,feminine,nominative,plural,inko,1.9999486339918595,inko,generation
γενεά,105,unigram,feminine,nominative,singular,Mwe,1.0508909498159398,Mwe,generation
δῶρον,229,unigram,neuter,accusative,plural,mawila,1.75421642875655,mawila,gift
δῶρον,117,unigram,neuter,accusative,singular,uwiila,1.761918573437932,uwiila,gift
θρίξ,63,unigram,feminine,nominative,plural,nyele,1.1063007905229203,nyele,hair
χείρ,233,unigram,feminine,accusative,plural,makasa,1.0429714895295863,makasa,hand
χείρ,162,unigram,feminine,accusative,singular,ikasa,4.581634097939474,ikasa,hand
κεφαλή,100,unigram,feminine,accusative,plural,imitwe,2.5672465162574367,imitwe,head
κεφαλή,152,unigram,feminine,accusative,singular,untwe,2.3754678616756237,untwe,head
στάχυς,153,unigram,masculine,accusative,plural,ngano,1.080617455155855,ngano,head of grain
καρδία,22,unigram,feminine,accusative,plural,imyenso,1.694693003727836,imyenso,heart
