lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_581_translation,version_582_translation,english_translation
θεός,361,unigram,masculine,accusative,plural,mawu,1.2154724280609577,,mawu,God
θεός,155,unigram,masculine,accusative,singular,Mawu,2.7594627537398204,,Mawu,God
θεός,33,unigram,masculine,nominative,plural,mawu,1.7829337535830212,,mawu,God
θεός,232,unigram,masculine,nominative,singular,Mawu,6.681974228539245,,Mawu,God
κύριος,363,unigram,masculine,nominative,plural,nǔnɔ,1.3305716286123757,,nǔnɔ,"Lord, lord, master"
κύριος,156,unigram,masculine,nominative,singular,Aklúnɔ,4.653227277295164,,Aklúnɔ,"Lord, lord, master"
γραφή,150,unigram,feminine,accusative,plural,Mawuxó,2.056256800757074,,Mawuxó,Scripture
γραφή,57,unigram,feminine,accusative,singular,Mawuxówéma,1.5382434573759176,,Mawuxówéma,Scripture
γραφή,289,unigram,feminine,nominative,plural,Mawuxówéma,2.0268605110317006,,Mawuxówéma,Scripture
γραφή,355,unigram,feminine,nominative,singular,Mawuxówéma,6.978931211799983,,Mawuxówéma,Scripture
ἄγγελος,115,unigram,masculine,accusative,plural,wɛnsagun,2.774852037156234,,wɛnsagun,angel
ἄγγελος,96,unigram,masculine,accusative,singular,Wɛnsagun,1.0151192783253964,,Wɛnsagun,angel
ἄγγελος,53,unigram,masculine,nominative,plural,wɛnsagun,4.694906813888917,,wɛnsagun,angel
ἄγγελος,126,unigram,masculine,nominative,singular,Wɛnsagun,1.6420804681895598,,Wɛnsagun,angel
ἀπόστολος,50,unigram,masculine,nominative,plural,Mɛsɛ́dó,1.1102693317748724,,Mɛsɛ́dó,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,wɛnsagun,1.0611735416423875,,wɛnsagun,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,linkpɔ́n,1.1064639134979608,,linkpɔ́n,authority
ἐξουσία,223,unigram,feminine,accusative,singular,acɛ,6.811907836964159,,acɛ,authority
βρέφος,18,unigram,neuter,accusative,plural,anɔ̌nu,1.1607980308265309,,anɔ̌nu,babies
βρέφος,354,unigram,neuter,accusative,singular,yɛ̌yɛ́ví,1.1420962508140535,,yɛ̌yɛ́ví,babies
ἀποθήκη,297,unigram,feminine,accusative,plural,agɔ̌,1.4414501735520544,,agɔ̌,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,jinukún,1.1039738017444938,,jinukún,barn
φραγμός,258,unigram,masculine,accusative,plural,aliswɛ́ɛ́n,1.161311312321613,,aliswɛ́ɛ́n,"barrier, wall"
φραγμός,131,unigram,masculine,accusative,singular,glecɔ́tɔ́,1.2377843840690108,,glecɔ́tɔ́,"barrier, wall"
ἀρχή,81,unigram,feminine,accusative,plural,linkpɔ́n,1.106324822855618,,linkpɔ́n,beginning
ἀρχή,205,unigram,feminine,accusative,singular,Kana,1.3278007308030737,,Kana,beginning
ζώνη,250,unigram,feminine,accusative,singular,anyǔ,1.0960524252565438,,anyǔ,belt
βλασφημία,37,unigram,feminine,accusative,plural,Sɛ́nkplɔ́nmɛtɔ́,1.0908730814898722,,Sɛ́nkplɔ́nmɛtɔ́,blasphemy
βλασφημία,112,unigram,feminine,accusative,singular,Kúnnuɖetɔ́,1.3567890523434925,,Kúnnuɖetɔ́,blasphemy
πλοῖον,124,unigram,neuter,accusative,plural,tɔjíhún,1.8260870018497517,,tɔjíhún,boat
πλοῖον,340,unigram,neuter,accusative,singular,tɔjíhún,2.0826313191702983,,tɔjíhún,boat
πλοῖον,264,unigram,neuter,nominative,plural,Tɔjíhún,1.4592723716584075,,Tɔjíhún,boat
πλοῖον,252,unigram,neuter,nominative,singular,xuzan,1.9576445096253965,,xuzan,boat
σῶμα,239,unigram,neuter,nominative,plural,afɔxú,1.1063506554444371,,afɔxú,body
σῶμα,67,unigram,neuter,nominative,singular,agbaza,2.853969200232376,,agbaza,body
κλῆμα,63,unigram,neuter,nominative,plural,dodó,1.0960622061228922,,dodó,branch
κλῆμα,172,unigram,neuter,nominative,singular,sɛ́n,1.030871850716743,,sɛ́n,branch
ἄρτος,344,unigram,masculine,accusative,plural,wɔ̌xúxú,2.448612223399086,,wɔ̌xúxú,bread
