lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_631_translation,english_translation
θεός,114,unigram,masculine,accusative,singular,Gikimoi,2.774317900253464,Gikimoi,God
θεός,175,unigram,masculine,nominative,singular,Gikimoi,6.239053098641462,Gikimoi,God
κύριος,115,unigram,masculine,nominative,singular,Jou,1.857939228240972,Jou,"Lord, lord, master"
γραφή,110,unigram,feminine,accusative,plural,Buku,1.0149223090288824,Buku,Scripture
γραφή,43,unigram,feminine,accusative,singular,Buku,1.0162164950554389,Buku,Scripture
γραφή,222,unigram,feminine,nominative,plural,isilelefo,1.076280560335514,isilelefo,Scripture
γραφή,272,unigram,feminine,nominative,singular,Buku,1.0154797320518618,Buku,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,malaikat,1.3237495186721309,malaikat,angel
ἄγγελος,71,unigram,masculine,accusative,singular,towisulo,1.1298548197653642,towisulo,angel
ἄγγελος,40,unigram,masculine,nominative,plural,malaikat,5.353346352627458,malaikat,angel
ἄγγελος,91,unigram,masculine,nominative,singular,malaikat,4.28911637142821,malaikat,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,yamogiowo,1.2077588040784837,yamogiowo,apostle
ἐξουσία,168,unigram,feminine,accusative,singular,kuasa,2.06742293781132,kuasa,authority
βρέφος,13,unigram,neuter,accusative,plural,yacecekesi,1.161328723715616,yacecekesi,babies
βρέφος,270,unigram,neuter,accusative,singular,haiwani,1.0258518694404364,haiwani,babies
ἀποθήκη,227,unigram,feminine,accusative,plural,pola,1.5944959438095292,pola,barn
ἀποθήκη,58,unigram,feminine,accusative,singular,polaka,1.1420962508140535,polaka,barn
πλοῖον,89,unigram,neuter,accusative,plural,deru,2.159620383281218,deru,boat
πλοῖον,259,unigram,neuter,accusative,singular,deruku,1.6709839712938763,deruku,boat
πλοῖον,191,unigram,neuter,nominative,singular,deru,1.7251906140346989,deru,boat
σῶμα,49,unigram,neuter,nominative,singular,ginano,1.1620417467680448,ginano,body
κλῆμα,126,unigram,neuter,nominative,singular,uma,1.0298039474391794,uma,branch
ἄρτος,263,unigram,masculine,accusative,plural,roti,2.2449355221422587,roti,bread
ἄρτος,284,unigram,masculine,accusative,singular,roti,2.2011477384955858,roti,bread
ἄρτος,134,unigram,masculine,nominative,plural,roti,2.683598506937424,roti,bread
ἄρτος,32,unigram,masculine,nominative,singular,roti,2.794781570975521,roti,bread
ἀδελφός,251,unigram,masculine,accusative,plural,gianongoru,1.7285121737460176,gianongoru,brother
ἀδελφός,103,unigram,masculine,accusative,singular,nongoru,1.544110906594944,nongoru,brother
ἀδελφός,95,unigram,masculine,nominative,plural,gianongoru,1.5079520870402925,gianongoru,brother
ἀδελφός,195,unigram,masculine,nominative,singular,nongoru,1.6355861054646068,nongoru,brother
στῆθος,237,unigram,neuter,accusative,singular,lawangika,1.6917670755464391,lawangika,"chest, breast"
ἀρχιερεύς,204,unigram,masculine,accusative,plural,imamka,1.1616333165270831,imamka,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,Imam,1.1426699968108749,Imam,chief priest
ἀρχιερεύς,102,unigram,masculine,nominative,plural,imamka,1.0118099699051704,imamka,chief priest
ἀρχιερεύς,209,unigram,masculine,nominative,singular,Imam,1.082364834962704,Imam,chief priest
παῖς,199,unigram,masculine,accusative,plural,yanau,1.0183828498633518,yanau,child
τέκνον,279,unigram,neuter,accusative,plural,ngopa-ngopa,1.4086178800468172,ngopa-ngopa,child
τέκνον,14,unigram,neuter,nominative,plural,ngopa-ngopa,1.341060595513183,ngopa-ngopa,child
τέκνον,163,unigram,neuter,nominative,singular,ngopa,1.6844510727745925,ngopa,child
παιδίον,12,unigram,neuter,accusative,plural,Niadohaka,1.0475556606704368,Niadohaka,child
παιδίον,76,unigram,neuter,accusative,singular,ngopa,2.885408268933345,ngopa,child
παιδίον,34,unigram,neuter,nominative,singular,ngopa,2.074529189349575,ngopa,child
πόλις,153,unigram,feminine,accusative,plural,doku,1.170771049991614,doku,city
πόλις,54,unigram,feminine,accusative,singular,doku,1.8408742743999744,doku,city
χιτών,98,unigram,masculine,accusative,plural,baju,1.4936144249550554,baju,"clothing, undergarments"
χιτών,25,unigram,masculine,accusative,singular,niahikeka,1.0003580823969953,niahikeka,"clothing, undergarments"
ἱμάτιον,113,unigram,neuter,accusative,plural,juba,1.7358166416926075,juba,coat
ἱμάτιον,112,unigram,neuter,accusative,singular,baju,2.3234772084415254,baju,coat
ἐντολή,69,unigram,feminine,accusative,plural,niodupa,1.1402753033944313,niodupa,commandment
ἐντολή,67,unigram,feminine,accusative,singular,bobita,1.019722657057578,bobita,commandment
χώρα,241,unigram,feminine,accusative,singular,daeraka,1.473277584209415,daeraka,"country, countryside"
ὄχλος,46,unigram,masculine,accusative,plural,yadadala,3.7706239038807237,yadadala,crowd
ὄχλος,6,unigram,masculine,accusative,singular,yadadala,2.2750751767819604,yadadala,crowd
ὄχλος,83,unigram,masculine,nominative,plural,yadadala,2.4709950104907383,yadadala,crowd
ὄχλος,234,unigram,masculine,nominative,singular,yadadala,3.322846876508238,yadadala,crowd
θυγάτηρ,262,unigram,feminine,nominative,singular,ngopa,1.4471795976616533,ngopa,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,wange,2.026362309608102,wange,day
ἡμέρα,72,unigram,feminine,accusative,singular,wange,1.846848705049279,wange,day
ἡμέρα,2,unigram,feminine,nominative,plural,orasi,1.3658193642481822,orasi,day
ἡμέρα,56,unigram,feminine,nominative,singular,wange,1.6803236703337252,wange,day
ὀφειλέτης,104,unigram,masculine,nominative,singular,wisirisima,1.1795784195212549,wisirisima,debtor
δαιμόνιον,26,unigram,neuter,accusative,plural,toka,2.1544310507405875,toka,demon
δαιμόνιον,275,unigram,neuter,accusative,singular,wikokitoka,1.1829094286138129,wikokitoka,demon
δαιμόνιον,164,unigram,neuter,nominative,plural,toka,1.8396582383007076,toka,demon
δαιμόνιον,146,unigram,neuter,nominative,singular,toka,1.9176732309575812,toka,demon
δηνάριον,255,unigram,neuter,accusative,plural,pipi,1.1427534351975759,pipi,denarius (about a day's wages)
δηνάριον,136,unigram,neuter,accusative,singular,pipi,1.0339594468695823,pipi,denarius (about a day's wages)
μαθητής,149,unigram,masculine,accusative,plural,muri-murika,1.3714588440201687,muri-murika,disciple
μαθητής,280,unigram,masculine,accusative,singular,muri,1.068726331174073,muri,disciple
