lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_615_translation,english_translation
θεός,91,unigram,masculine,accusative,singular,Dios,3.5089211065060724,Dios,God
θεός,147,unigram,masculine,nominative,singular,Dios,1.9860328348429424,Dios,God
κύριος,92,unigram,masculine,nominative,singular,amungnga,1.0919515524564816,amungnga,"Lord, lord, master"
γραφή,87,unigram,feminine,accusative,plural,sapiti,1.1138543871208677,sapiti,Scripture
γραφή,31,unigram,feminine,accusative,singular,nepeturakki,1.4062408000253677,nepeturakki,Scripture
γραφή,184,unigram,feminine,nominative,plural,meyakkuruwino,1.2050657000704477,meyakkuruwino,Scripture
γραφή,227,unigram,feminine,nominative,singular,nepeturakki,1.5763438493795108,nepeturakki,Scripture
ἄγγελος,66,unigram,masculine,accusative,plural,anghelkuwera,1.487126115304709,anghelkuwera,angel
ἄγγελος,57,unigram,masculine,accusative,singular,pallakarannu,1.0500981916898025,pallakarannu,angel
ἄγγελος,29,unigram,masculine,nominative,plural,anghelira,3.5231024764974386,anghelira,angel
ἄγγελος,72,unigram,masculine,nominative,singular,anghel,1.22051277764167,anghel,angel
ἀπόστολος,26,unigram,masculine,nominative,plural,apostolira,1.0685114424606652,apostolira,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,nadundun,1.1613548718850133,nadundun,apostle
ἐξουσία,47,unigram,feminine,accusative,plural,isombaꞌdaw,1.0962199599997684,isombaꞌdaw,authority
ἐξουσία,140,unigram,feminine,accusative,singular,kalintiyana,1.8622218881575336,kalintiyana,authority
ἀρχή,49,unigram,feminine,accusative,plural,isombaꞌdaw,1.0961063339256685,isombaꞌdaw,beginning
ζώνη,120,unigram,feminine,accusative,plural,dipilata,1.1795784195212549,dipilata,belt
ζώνη,158,unigram,feminine,accusative,singular,aꞌakkananna,1.0960524252565438,aꞌakkananna,belt
βλασφημία,20,unigram,feminine,accusative,plural,ikunnaneno,1.0960768946513286,ikunnaneno,blasphemy
βλασφημία,145,unigram,feminine,nominative,plural,mamaraparal,1.1062485993005018,mamaraparal,blasphemy
βλασφημία,58,unigram,feminine,nominative,singular,narakkat,1.3111375716137663,narakkat,blasphemy
πλοῖον,70,unigram,neuter,accusative,plural,abang,1.5500066049201506,abang,boat
πλοῖον,216,unigram,neuter,accusative,singular,abang,4.249630382543269,abang,boat
πλοῖον,166,unigram,neuter,nominative,plural,aggatutturani,1.096239847813496,aggatutturani,boat
σῶμα,39,unigram,neuter,nominative,singular,nabaggawino,1.117340345486982,nabaggawino,body
κλῆμα,103,unigram,neuter,nominative,singular,mattalaginad,1.8875720920615984,mattalaginad,branch
ἄρτος,221,unigram,masculine,accusative,plural,tinapay,1.6313550788487503,tinapay,bread
ἄρτος,240,unigram,masculine,accusative,singular,tinapay,1.363891465395183,tinapay,bread
ἄρτος,107,unigram,masculine,nominative,plural,makabalin,1.3134409756291288,makabalin,bread
ἄρτος,23,unigram,masculine,nominative,singular,maakkana,2.5786596532484807,maakkana,bread
ἀδελφός,209,unigram,masculine,accusative,plural,kakkolaꞌngera,1.7919258553249335,kakkolaꞌngera,brother
ἀδελφός,80,unigram,masculine,accusative,singular,da,1.3034806326567452,da,brother
ἀδελφός,74,unigram,masculine,nominative,plural,inak,1.0434869372950422,inak,brother
