lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_656_translation,english_translation
θεός,347,unigram,masculine,accusative,plural,ebɔrɛana,1.3312679263925702,ebɔrɛana,God
θεός,143,unigram,masculine,accusative,singular,Ebɔrɛ,2.2083020290771738,Ebɔrɛ,God
θεός,32,unigram,masculine,nominative,plural,ebɔrɛana,1.6536361537586075,ebɔrɛana,God
θεός,221,unigram,masculine,nominative,singular,Ebɔrɛ,8.448882893604752,Ebɔrɛ,God
κύριος,349,unigram,masculine,nominative,plural,kurmawuraana,1.2966169264520342,kurmawuraana,"Lord, lord, master"
κύριος,144,unigram,masculine,nominative,singular,Enyɛnpe,2.004252121723469,Enyɛnpe,"Lord, lord, master"
γραφή,138,unigram,feminine,accusative,plural,abɔrɛsibɛ,3.8988556598498327,abɔrɛsibɛ,Scripture
γραφή,57,unigram,feminine,accusative,singular,abɔrɛsibɛ,1.4909303483902032,abɔrɛsibɛ,Scripture
γραφή,280,unigram,feminine,nominative,plural,abɔrɛsibɛ,1.049847690426562,abɔrɛsibɛ,Scripture
γραφή,342,unigram,feminine,nominative,singular,abɔrɛsibɛ,3.366837212954238,abɔrɛsibɛ,Scripture
ἄγγελος,107,unigram,masculine,accusative,plural,emalaika,2.355289302058582,emalaika,angel
ἄγγελος,93,unigram,masculine,accusative,singular,kabɔ,1.3679717160923797,kabɔ,angel
ἄγγελος,53,unigram,masculine,nominative,plural,emalaika,4.788840716701384,emalaika,angel
ἄγγελος,118,unigram,masculine,nominative,singular,malaika,6.221052966691787,malaika,angel
ἀπόστολος,7,unigram,masculine,nominative,singular,kabɔ,1.3432802747523336,kabɔ,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,egomena,1.1457324316067354,egomena,authority
ἐξουσία,212,unigram,feminine,accusative,singular,eleŋ,2.895308605267412,eleŋ,authority
βρέφος,18,unigram,neuter,accusative,plural,mbiwurbi,1.3263593546298147,mbiwurbi,babies
βρέφος,340,unigram,neuter,accusative,singular,edikpa,1.1420962508140535,edikpa,babies
ἀποθήκη,286,unigram,feminine,accusative,plural,mpuro,1.999949042375989,mpuro,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,kapuro,1.044106373330679,kapuro,barn
ἀρχή,81,unigram,feminine,accusative,plural,egomena,1.1455352903531095,egomena,beginning
ἀρχή,194,unigram,feminine,accusative,singular,kejuŋkparso,1.2378094987613537,kejuŋkparso,beginning
ζώνη,186,unigram,feminine,accusative,plural,ejifa,1.7683437712030106,ejifa,belt
βλασφημία,36,unigram,feminine,accusative,plural,gbiti,1.0652122040384926,gbiti,blasphemy
βλασφημία,105,unigram,feminine,accusative,singular,eshɛda,1.3847741282133226,eshɛda,blasphemy
πλοῖον,116,unigram,neuter,accusative,plural,muni,1.0327937236211813,muni,boat
πλοῖον,325,unigram,neuter,accusative,singular,ekuloŋ,2.3389048938062538,ekuloŋ,boat
πλοῖον,255,unigram,neuter,nominative,plural,Ekuloŋ,1.096239847813496,Ekuloŋ,boat
