lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_616_translation,version_617_translation,version_618_translation,version_619_translation,english_translation
θεός,360,unigram,masculine,accusative,plural,déithe,1.3536142608170565,,déé,déithe,déithe,God
θεός,146,unigram,masculine,accusative,singular,Dhia,1.9558407032182306,Dhia,Día,Dhia,Dia,God
θεός,31,unigram,masculine,nominative,plural,déithe,2.331288160669572,déithe,,déithe,déithe,God
θεός,229,unigram,masculine,nominative,singular,Dia,76.71462662740714,Dia,Día,Dia,Dia,God
κύριος,362,unigram,masculine,nominative,plural,tsearraigh,2.1087618706274474,,,tsearraigh,tsearraigh,"Lord, lord, master"
κύριος,147,unigram,masculine,nominative,singular,,,Tiarna,Tighearna,Tighearna,Tiarna,"Lord, lord, master"
γραφή,142,unigram,feminine,accusative,plural,,,scrioptúir,seachrán,scrioptúirí,scrioptúr,Scripture
γραφή,57,unigram,feminine,accusative,singular,scrioptúr,4.620383773403909,scrioptúr,,,scrioptúr,Scripture
γραφή,287,unigram,feminine,nominative,plural,,,scrioptúir,éigin,Scrioptúirí,Ach,Scripture
γραφή,355,unigram,feminine,nominative,singular,scrioptúr,7.352622300795665,scrioptúr,sgríobtúir,Scrioptúir,scrioptúr,Scripture
ἄγγελος,109,unigram,masculine,accusative,plural,aingil,2.186879815964631,,aingil,aingle,aingil,angel
ἄγγελος,94,unigram,masculine,accusative,singular,,,,,shlighe,theachtaire,angel
ἄγγελος,53,unigram,masculine,nominative,plural,haingil,28.839399906458247,haingil,haingil,h-aingle,haingil,angel
ἄγγελος,119,unigram,masculine,nominative,singular,aingeal,2.0646927964005775,,aingeal,aingeal,t‑aingeal,angel
ἀπόστολος,50,unigram,masculine,nominative,plural,haspail,10.905690263362569,haspail,heasbuil,h-Abstail,haspail,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,,,aspal,teachdaire,t-abstal,teachtaire,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,n-uachtarán,1.0962199599997684,,,n-uachtarán,,authority
ἐξουσία,219,unigram,feminine,accusative,singular,údarás,4.934765825568935,údarás,cumhachda,cumhacht,údarás,authority
βρέφος,16,unigram,neuter,accusative,plural,,,Bhíodar,,gcuireadh,,babies
βρέφος,353,unigram,neuter,accusative,singular,,,naíonán,mainnséur,luighe,luí,babies
ἀποθήκη,293,unigram,feminine,accusative,plural,sciobóil,3.18992380952101,sciobóil,,sciobóil,mó,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,scioból,1.5998942979156865,scioból,chruithneachd,scioból,chruithneacht,barn
φραγμός,124,unigram,masculine,accusative,singular,túr,1.044101405315964,,,túr,,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,n-uachtarán,1.0961063339256685,,,n-uachtarán,,beginning
ἀρχή,200,unigram,feminine,accusative,singular,chomharthaí,1.2238654476742756,chomharthaí,,tús,chomharthaí,beginning
ζώνη,191,unigram,feminine,accusative,plural,,,rua,,,buí,belt
ζώνη,246,unigram,feminine,accusative,singular,bheach,1.0960524252565438,,,,bheach,belt
βλασφημία,35,unigram,feminine,accusative,plural,,,diamhaslaí,,diamhaslacha,diamhaslach,blasphemy
βλασφημία,106,unigram,feminine,accusative,singular,thuilleadh,1.0960768946513286,,,thuilleadh,,blasphemy
βλασφημία,227,unigram,feminine,nominative,plural,,,diamhaslaí,,diamhasla,,blasphemy
