lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_633_translation,english_translation
θεός,87,unigram,masculine,accusative,singular,Xoossa,2.9828300559739587,Xoossa,God
θεός,136,unigram,masculine,nominative,singular,Xoossi,2.6256965136319628,Xoossi,God
κύριος,88,unigram,masculine,nominative,singular,Goday,2.3946439324460154,Goday,"Lord, lord, master"
γραφή,84,unigram,feminine,accusative,plural,wolqa,1.5182214489842698,wolqa,Scripture
γραφή,168,unigram,feminine,nominative,plural,maxafatan,1.1858318089947646,maxafatan,Scripture
γραφή,219,unigram,feminine,nominative,singular,qaalay,1.1114234534193694,qaalay,Scripture
ἄγγελος,62,unigram,masculine,accusative,plural,gaxa,1.1033902576143857,gaxa,angel
ἄγγελος,54,unigram,masculine,accusative,singular,sinthara,1.2515429120888235,sinthara,angel
ἄγγελος,28,unigram,masculine,nominative,plural,kitanchata,1.9463773372924582,kitanchata,angel
ἄγγελος,70,unigram,masculine,nominative,singular,kitanchay,1.0968503362569129,kitanchay,angel
ἐξουσία,129,unigram,feminine,accusative,singular,godatethi,1.0490600829493408,godatethi,authority
βρέφος,218,unigram,neuter,accusative,singular,zin7ida,1.7459808737029598,zin7ida,babies
ἀποθήκη,43,unigram,feminine,accusative,singular,taman,1.1291565268115602,taman,barn
φραγμός,72,unigram,masculine,accusative,singular,kira,1.1133013679752972,kira,"barrier, wall"
πλοῖον,68,unigram,neuter,accusative,plural,wogolota,1.454015787238354,wogolota,boat
πλοῖον,208,unigram,neuter,accusative,singular,wogolon,2.085289085951772,wogolon,boat
πλοῖον,148,unigram,neuter,nominative,singular,abba,1.26654947022369,abba,boat
σῶμα,36,unigram,neuter,nominative,singular,asatethay,1.6822714839259998,asatethay,body
κλῆμα,98,unigram,neuter,nominative,singular,Tanan,1.8875720920615984,Tanan,branch
ἄρτος,212,unigram,masculine,accusative,plural,ichachu,1.2119436481347718,ichachu,bread
ἄρτος,228,unigram,masculine,accusative,singular,kath,1.0387835301591497,kath,bread
ἄρτος,104,unigram,masculine,nominative,plural,gidiza,1.0591037403365762,gidiza,bread
ἄρτος,23,unigram,masculine,nominative,singular,qummay,1.880701264143208,qummay,bread
ἀδελφός,198,unigram,masculine,accusative,plural,ishata,2.8151987368399976,ishata,brother
ἀδελφός,79,unigram,masculine,accusative,singular,isha,2.7647998311060826,isha,brother
ἀδελφός,71,unigram,masculine,nominative,plural,ishati,3.188829685331988,ishati,brother
ἀδελφός,152,unigram,masculine,nominative,singular,isha,1.2578348942081463,isha,brother
στῆθος,102,unigram,neuter,accusative,plural,icidi,1.0960622061228922,icidi,"chest, breast"
στῆθος,185,unigram,neuter,accusative,singular,hayththako,1.3179508107705402,hayththako,"chest, breast"
ἀρχιερεύς,158,unigram,masculine,accusative,plural,qesista,1.4818880860290409,qesista,chief priest
ἀρχιερεύς,37,unigram,masculine,accusative,singular,halaqa,1.1110378987733944,halaqa,chief priest
ἀρχιερεύς,78,unigram,masculine,nominative,plural,halaqatine,1.1236860079048985,halaqatine,chief priest
ἀρχιερεύς,160,unigram,masculine,nominative,singular,halaqay,1.8482075598078176,halaqay,chief priest
παῖς,156,unigram,masculine,accusative,plural,gutha,1.0872097974132857,gutha,child
τέκνον,224,unigram,neuter,accusative,plural,nayta,2.078424500635452,nayta,child
τέκνον,123,unigram,neuter,nominative,singular,nazo,3.2023261919835324,nazo,child
παιδίον,8,unigram,neuter,accusative,plural,haytanta,1.112167049862314,haytanta,child
παιδίον,57,unigram,neuter,accusative,singular,gutha,1.1113601442260106,gutha,child
πόλις,41,unigram,feminine,accusative,singular,katama,4.568822160661527,katama,city
πύλη,134,unigram,feminine,nominative,singular,pengeykka,1.9999490850064168,pengeykka,city gate
χιτών,74,unigram,masculine,accusative,plural,mayo,2.11859621248246,mayo,"clothing, undergarments"
χιτών,17,unigram,masculine,accusative,singular,garsara,1.9577185461918991,garsara,"clothing, undergarments"
ἱμάτιον,86,unigram,neuter,accusative,plural,mayo,1.0061043778567418,mayo,coat
ἱμάτιον,85,unigram,neuter,accusative,singular,mayo,2.567385864702703,mayo,coat
ἐντολή,51,unigram,feminine,accusative,singular,azazo,1.4414650219381258,azazo,commandment
συνέδριον,216,unigram,neuter,accusative,plural,garafana,1.0938678392943737,garafana,council
χώρα,187,unigram,feminine,accusative,singular,pinidi,1.2101852221162013,pinidi,"country, countryside"
ὄχλος,33,unigram,masculine,accusative,plural,wogolon,1.1064837291340883,wogolon,crowd
ὄχλος,5,unigram,masculine,accusative,singular,xeygidi,1.0452384995826658,xeygidi,crowd
ὄχλος,64,unigram,masculine,nominative,plural,derey,1.7420899604167857,derey,crowd
ὄχλος,180,unigram,masculine,nominative,singular,asay,1.1131652965099537,asay,crowd
θυγάτηρ,211,unigram,feminine,nominative,singular,Iya7irosas,1.0108951397183463,Iya7irosas,daughter
ἡμέρα,48,unigram,feminine,accusative,plural,guye,1.282682407245071,guye,day
ἡμέρα,1,unigram,feminine,nominative,plural,wodey,2.305290063296265,wodey,day
ἡμέρα,42,unigram,feminine,nominative,singular,Gadey,1.1041659388293723,Gadey,day
δαιμόνιον,18,unigram,neuter,accusative,plural,daydanthata,1.0374763669980078,daydanthata,demon
δαιμόνιον,221,unigram,neuter,accusative,singular,daydanthth,1.251074153790659,daydanthth,demon
δαιμόνιον,124,unigram,neuter,nominative,plural,kezida,2.175526911607105,kezida,demon
