lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_970_translation,english_translation
θεός,104,unigram,masculine,accusative,singular,Devak,1.7655345439881145,Devak,God
θεός,161,unigram,masculine,nominative,singular,Dev,1.8736149072551007,Dev,God
κύριος,105,unigram,masculine,nominative,singular,dhoni,1.1567365143642132,dhoni,"Lord, lord, master"
γραφή,101,unigram,feminine,accusative,plural,chuktat,1.1144519880927128,chuktat,Scripture
γραφή,37,unigram,feminine,accusative,singular,Pustoka,1.4978158516277218,Pustoka,Scripture
γραφή,204,unigram,feminine,nominative,plural,pallon,1.2655947180795055,pallon,Scripture
γραφή,248,unigram,feminine,nominative,singular,Povitr,1.0795370711895018,Povitr,Scripture
ἄγγελος,73,unigram,masculine,accusative,plural,dutank,1.487126115304709,dutank,angel
ἄγγελος,64,unigram,masculine,accusative,singular,dhaddtam,1.2290535651076044,dhaddtam,angel
ἄγγελος,34,unigram,masculine,nominative,plural,devdut,1.6547841585878775,devdut,angel
ἄγγελος,84,unigram,masculine,nominative,singular,devdut,1.2429839051598643,devdut,angel
ἀπόστολος,32,unigram,masculine,nominative,plural,Apostlamnim,1.2806107880130058,Apostlamnim,apostle
ἐξουσία,53,unigram,feminine,accusative,plural,nitidaram,1.0962199599997684,nitidaram,authority
ἐξουσία,155,unigram,feminine,accusative,singular,podvi,1.356107641242575,podvi,authority
ἀρχή,55,unigram,feminine,accusative,plural,nitidaram,1.0961063339256685,nitidaram,beginning
βλασφημία,23,unigram,feminine,accusative,plural,sarkich,1.0595480639608463,sarkich,blasphemy
βλασφημία,72,unigram,feminine,accusative,singular,Sakxidaranchi,1.161346151680032,Sakxidaranchi,blasphemy
πλοῖον,82,unigram,neuter,accusative,plural,hoddim,2.872878738388054,hoddim,boat
πλοῖον,235,unigram,neuter,accusative,singular,hoddear,4.21175002182037,hoddear,boat
πλοῖον,187,unigram,neuter,nominative,plural,hoddeant,1.096239847813496,hoddeant,boat
πλοῖον,177,unigram,neuter,nominative,singular,hoddem,1.2657404238262089,hoddem,boat
σῶμα,167,unigram,neuter,nominative,plural,kuddi,1.999948655640119,kuddi,body
σῶμα,45,unigram,neuter,nominative,singular,kudd,3.1237452321051657,kudd,body
κλῆμα,115,unigram,neuter,nominative,singular,rigun,1.3863351410380578,rigun,branch
ἄρτος,240,unigram,masculine,accusative,plural,undde,4.144753148457632,undde,bread
ἄρτος,261,unigram,masculine,accusative,singular,unddo,3.1417099062596807,unddo,bread
ἄρτος,121,unigram,masculine,nominative,plural,undde,2.8831786479599613,undde,bread
ἄρτος,27,unigram,masculine,nominative,singular,unddo,3.3752692001285576,unddo,bread
ἀδελφός,229,unigram,masculine,accusative,plural,bhav,1.0496800899045695,bhav,brother
ἀδελφός,95,unigram,masculine,accusative,singular,bhava,1.2034511713476614,bhava,brother
ἀδελφός,87,unigram,masculine,nominative,plural,bhav,1.7466553697799183,bhav,brother
ἀδελφός,182,unigram,masculine,nominative,singular,bhav,3.108787886258741,bhav,brother
στῆθος,216,unigram,neuter,accusative,singular,Jezuchea,1.2984661107606272,Jezuchea,"chest, breast"
ἀρχιερεύς,190,unigram,masculine,accusative,plural,mukhel,1.5633059700855625,mukhel,chief priest
ἀρχιερεύς,94,unigram,masculine,nominative,plural,mukhel,1.695315656739866,mukhel,chief priest
ἀρχιερεύς,193,unigram,masculine,nominative,singular,porom,1.5660079928771895,porom,chief priest
παῖς,185,unigram,masculine,accusative,plural,mhonnun,1.172954133463759,mhonnun,child
τέκνον,255,unigram,neuter,accusative,plural,bhurgim-ballam,1.246887921600193,bhurgim-ballam,child
τέκνον,138,unigram,neuter,accusative,singular,laitelim,1.1162010622249998,laitelim,child
τέκνον,149,unigram,neuter,nominative,singular,Puta,2.2041306952161213,Puta,child
παιδίον,9,unigram,neuter,accusative,plural,addainakat,1.2096739892587671,addainakat,child
παιδίον,69,unigram,neuter,accusative,singular,bhurgeak,1.3647419793887028,bhurgeak,child
παιδίον,29,unigram,neuter,nominative,singular,bhurgea,1.0621618815685356,bhurgea,child
πόλις,140,unigram,feminine,accusative,plural,nogrant,1.4474918420498255,nogrant,city
πόλις,49,unigram,feminine,accusative,singular,nogrant,4.70944731373002,nogrant,city
χιτών,91,unigram,masculine,accusative,plural,angavlim,1.2522377192323495,angavlim,"clothing, undergarments"
χιτών,20,unigram,masculine,accusative,singular,jubo-i,1.1160074173855494,jubo-i,"clothing, undergarments"
ἱμάτιον,103,unigram,neuter,accusative,plural,vostram,1.2295699373034708,vostram,coat
ἱμάτιον,102,unigram,neuter,accusative,singular,avoronn,1.397162381223455,avoronn,coat
ἐντολή,63,unigram,feminine,accusative,plural,adnea,1.7581073043324134,adnea,commandment
ἐντολή,61,unigram,feminine,accusative,singular,adnea,2.180544228133321,adnea,commandment
συνέδριον,39,unigram,neuter,accusative,singular,mukhel,1.1559700852179615,mukhel,council
χώρα,220,unigram,feminine,accusative,singular,prantant,1.1352568285709592,prantant,"country, countryside"
ὄχλος,42,unigram,masculine,accusative,plural,lokak,2.294440327781038,lokak,crowd
ὄχλος,6,unigram,masculine,accusative,singular,lokak,3.7613731367791408,lokak,crowd
ὄχλος,75,unigram,masculine,nominative,plural,lôk,1.8590292568867983,lôk,crowd
ὄχλος,213,unigram,masculine,nominative,singular,lôk,1.8207755949303248,lôk,crowd
θυγάτηρ,239,unigram,feminine,nominative,singular,dhuv,3.780565216730684,dhuv,daughter
ἡμέρα,58,unigram,feminine,accusative,plural,dis,2.106392356323524,dis,day
ἡμέρα,65,unigram,feminine,accusative,singular,dis,1.3831582299966445,dis,day
ἡμέρα,2,unigram,feminine,nominative,plural,dis,3.736684319307783,dis,day
ἡμέρα,51,unigram,feminine,nominative,singular,Dis,1.1661485183159093,Dis,day
