lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_643_translation,english_translation
θεός,329,unigram,masculine,accusative,plural,god,1.107736214030479,god,God
θεός,128,unigram,masculine,accusative,singular,God,3.208651131481067,God,God
θεός,28,unigram,masculine,nominative,plural,god,1.3755872250474863,god,God
θεός,203,unigram,masculine,nominative,singular,God,11.294325339800851,God,God
κύριος,331,unigram,masculine,nominative,plural,Kamuna,1.1075294207691853,Kamuna,"Lord, lord, master"
κύριος,129,unigram,masculine,nominative,singular,Taovia,1.9088222920051718,Taovia,"Lord, lord, master"
γραφή,123,unigram,feminine,accusative,plural,Mamare,1.633928827648227,Mamare,Scripture
γραφή,49,unigram,feminine,accusative,singular,tsaqina,1.007738191709988,tsaqina,Scripture
γραφή,261,unigram,feminine,nominative,plural,manatovu,1.101472777106986,manatovu,Scripture
γραφή,324,unigram,feminine,nominative,singular,Mamare,1.5962587742463423,Mamare,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,angelo,2.0532532230101195,angelo,angel
ἄγγελος,84,unigram,masculine,accusative,singular,angelo,1.0615213717813172,angelo,angel
ἄγγελος,46,unigram,masculine,nominative,plural,angelo,6.654111978093705,angelo,angel
ἄγγελος,108,unigram,masculine,nominative,singular,angelo,5.2146102139940185,angelo,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,apostolo,1.853965417954686,apostolo,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,adigoko,1.1748701039984866,adigoko,apostle
ἐξουσία,69,unigram,feminine,accusative,plural,isutugu,1.1457324316067354,isutugu,authority
ἐξουσία,196,unigram,feminine,accusative,singular,susuliga,2.015746473876234,susuliga,authority
βρέφος,15,unigram,neuter,accusative,plural,reivaganana,1.0595416318177246,reivaganana,babies
βρέφος,322,unigram,neuter,accusative,singular,meomeo,1.1614109987944146,meomeo,babies
ἀποθήκη,68,unigram,feminine,accusative,singular,salo,1.0810922260060456,salo,barn
ἀρχή,71,unigram,feminine,accusative,plural,isutugu,1.1455352903531095,isutugu,beginning
ἀρχή,177,unigram,feminine,accusative,singular,saulabatia,1.0662807816552895,saulabatia,beginning
ζώνη,169,unigram,feminine,accusative,plural,adiana,1.0743159313835706,adiana,belt
ζώνη,220,unigram,feminine,accusative,singular,taliguginia,1.0960524252565438,taliguginia,belt
βλασφημία,32,unigram,feminine,accusative,plural,mananaa,1.1454842242733958,mananaa,blasphemy
βλασφημία,97,unigram,feminine,accusative,singular,soasekolia,1.0960768946513286,soasekolia,blasphemy
πλοῖον,106,unigram,neuter,accusative,plural,uaqa,1.615411819488462,uaqa,boat
πλοῖον,307,unigram,neuter,accusative,singular,uaqa,3.8570856847263815,uaqa,boat
πλοῖον,236,unigram,neuter,nominative,plural,votu,1.1840097164529482,votu,boat
πλοῖον,222,unigram,neuter,nominative,singular,uaqa,1.615411819488462,uaqa,boat
σῶμα,59,unigram,neuter,nominative,singular,konimu,1.0798719735868152,konimu,body
κλῆμα,55,unigram,neuter,nominative,plural,vasuna,1.0960622061228922,vasuna,branch
κλῆμα,146,unigram,neuter,nominative,singular,vasuna,1.4686347176453969,vasuna,branch
ἄρτος,311,unigram,masculine,accusative,plural,bredi,4.102491334206295,bredi,bread
ἄρτος,339,unigram,masculine,accusative,singular,bredi,1.172930312998903,bredi,bread
ἄρτος,154,unigram,masculine,nominative,plural,bredi,1.8889517697487168,bredi,bread
ἄρτος,37,unigram,masculine,nominative,singular,mutsa,1.4988100189596345,mutsa,bread
ἀδελφός,297,unigram,masculine,accusative,plural,tasina,1.7434260883041268,tasina,brother
ἀδελφός,117,unigram,masculine,accusative,singular,Iakobo,1.3190038984986996,Iakobo,brother
ἀδελφός,110,unigram,masculine,nominative,plural,tasina,1.3921127799009452,tasina,brother
ἀδελφός,229,unigram,masculine,nominative,singular,tasina,1.0882627484529686,tasina,brother
