lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_663_translation,english_translation
θεός,84,unigram,masculine,accusative,singular,Diosojavabelia,1.2101487402655675,Diosojavabelia,God
θεός,18,unigram,masculine,nominative,plural,padiosovimë,1.549304921249345,padiosovimë,God
θεός,134,unigram,masculine,nominative,singular,Dioso,3.6395355692422986,Dioso,God
κύριος,85,unigram,masculine,nominative,singular,pijatuxanenë,1.4378340545113997,pijatuxanenë,"Lord, lord, master"
γραφή,82,unigram,feminine,accusative,plural,payapëtaemënua,1.0989646870244998,payapëtaemënua,Scripture
γραφή,32,unigram,feminine,accusative,singular,pejumelivaisibaxutota,1.3713928349874585,pejumelivaisibaxutota,Scripture
γραφή,225,unigram,feminine,nominative,singular,pejumelivaisibaxutota,2.1799623970097413,pejumelivaisibaxutota,Scripture
ἄγγελος,64,unigram,masculine,accusative,plural,itorobianajë,1.356197354406693,itorobianajë,angel
ἄγγελος,56,unigram,masculine,accusative,singular,tanejumelivaisipaebinënexa,1.0500981916898025,tanejumelivaisipaebinënexa,angel
ἄγγελος,30,unigram,masculine,nominative,plural,ángelevi,4.820335383086958,ángelevi,angel
ἄγγελος,72,unigram,masculine,nominative,singular,ángel,1.8036333145290733,ángel,angel
ἀπόστολος,28,unigram,masculine,nominative,plural,apóstolevi,1.3854705013602624,apóstolevi,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,matatoxenetsimë,1.0960817954296525,matatoxenetsimë,apostle
ἐξουσία,127,unigram,feminine,accusative,singular,necaëjëpa,1.2750450509259863,necaëjëpa,authority
ζώνη,110,unigram,feminine,accusative,plural,—Panijanamutonexa,1.2125176900525536,—Panijanamutonexa,belt
βλασφημία,21,unigram,feminine,accusative,plural,najamatabëxainena,1.0960768946513286,najamatabëxainena,blasphemy
βλασφημία,57,unigram,feminine,nominative,singular,pibisiacuenia,1.4235317369357199,pibisiacuenia,blasphemy
πλοῖον,70,unigram,neuter,accusative,plural,dujuai,1.3285713507743515,dujuai,boat
πλοῖον,212,unigram,neuter,accusative,singular,jera,1.4686172763115735,jera,boat
πλοῖον,151,unigram,neuter,nominative,singular,ënëaberena,1.072935009330014,ënëaberena,boat
ἄρτος,216,unigram,masculine,accusative,plural,pan,1.223673733694804,pan,bread
ἄρτος,236,unigram,masculine,accusative,singular,panbë,1.1831113452887831,panbë,bread
ἄρτος,99,unigram,masculine,nominative,plural,mapajivibitsaëtoxanetoje,1.2111719196111796,mapajivibitsaëtoxanetoje,bread
ἄρτος,26,unigram,masculine,nominative,singular,pevereverecaejava,1.0856029091799766,pevereverecaejava,bread
ἀδελφός,204,unigram,masculine,accusative,plural,pejuyapijivi,1.3537375868536057,pejuyapijivi,brother
ἀδελφός,78,unigram,masculine,accusative,singular,nacaebananëbeje,1.3061561575886396,nacaebananëbeje,brother
ἀδελφός,73,unigram,masculine,nominative,plural,pejuyapijivi,1.6781586681347245,pejuyapijivi,brother
στῆθος,96,unigram,neuter,accusative,plural,jumaliverevereca,1.0960622061228922,jumaliverevereca,"chest, breast"
στῆθος,193,unigram,neuter,accusative,singular,¿jipatsa,1.1563780507606745,¿jipatsa,"chest, breast"
ἀρχιερεύς,160,unigram,masculine,accusative,plural,sacerdotevi,1.4962425377178283,sacerdotevi,chief priest
ἀρχιερεύς,40,unigram,masculine,accusative,singular,sacerdotevi,1.3411090447826968,sacerdotevi,chief priest
ἀρχιερεύς,77,unigram,masculine,nominative,plural,penamatacaitorobivi,1.0352102930286882,penamatacaitorobivi,chief priest
ἀρχιερεύς,164,unigram,masculine,nominative,singular,sacerdotevi,1.0702061822350275,sacerdotevi,chief priest
τέκνον,231,unigram,neuter,accusative,plural,pexi,1.920783263064392,pexi,child
τέκνον,115,unigram,neuter,accusative,singular,nacuaevetsivijavabelia,1.5893678615513924,nacuaevetsivijavabelia,child
τέκνον,8,unigram,neuter,nominative,plural,nacuaevetsivijavabelia,1.5533882417664469,nacuaevetsivijavabelia,child
παιδίον,7,unigram,neuter,accusative,plural,pejevaxijivixi,1.2240967816767792,pejevaxijivixi,child
πόλις,116,unigram,feminine,accusative,plural,tsiquiritomaraxijava,1.423182639543442,tsiquiritomaraxijava,city
πόλις,43,unigram,feminine,accusative,singular,tomarabelia,1.4306633228216206,tomarabelia,city
πύλη,132,unigram,feminine,nominative,singular,jonepona,1.1454502626623055,jonepona,city gate
χιτών,75,unigram,masculine,accusative,plural,anijacamisabeje,1.2219134754835077,anijacamisabeje,"clothing, undergarments"
ἱμάτιον,83,unigram,neuter,accusative,plural,penaxatabijavanë,1.0056495573155038,penaxatabijavanë,coat
ἐντολή,54,unigram,feminine,accusative,plural,pejumelivaisita,1.242240991901366,pejumelivaisita,commandment
ἐντολή,52,unigram,feminine,accusative,singular,vajasalinaivi,1.1987314294459812,vajasalinaivi,commandment
συνέδριον,221,unigram,neuter,accusative,plural,tomara,1.5537930950945682,tomara,council
συνέδριον,34,unigram,neuter,accusative,singular,nacaetuata,1.026003847653039,nacaetuata,council
χώρα,196,unigram,feminine,accusative,singular,Gerasa,1.3031021103862577,Gerasa,"country, countryside"
ὄχλος,37,unigram,masculine,accusative,plural,ënëabereca,1.1605505517283,ënëabereca,crowd
ὄχλος,4,unigram,masculine,accusative,singular,jivi,1.691764570043514,jivi,crowd
ὄχλος,65,unigram,masculine,nominative,plural,ayaibitsaëtoxaneto,2.0493009729163525,ayaibitsaëtoxaneto,crowd
ὄχλος,189,unigram,masculine,nominative,singular,ayaibitsaëtoxaneto,1.146702981656594,ayaibitsaëtoxaneto,crowd
θυγάτηρ,215,unigram,feminine,nominative,singular,Jairo,1.1172426347789357,Jairo,daughter
ἡμέρα,50,unigram,feminine,accusative,plural,matacabita,1.0422981036165009,matacabita,day
ἡμέρα,58,unigram,feminine,accusative,singular,caematacabi,1.156633778003857,caematacabi,day
ἡμέρα,1,unigram,feminine,nominative,plural,pamatacabibeje,1.7757825778375402,pamatacabibeje,day
ἡμέρα,45,unigram,feminine,nominative,singular,penacueraevetsimatacabinexa,1.134909743265093,penacueraevetsimatacabinexa,day
δαιμόνιον,19,unigram,neuter,accusative,plural,dovathi,1.1902451894476795,dovathi,demon
δαιμόνιον,227,unigram,neuter,accusative,singular,dovathi,2.2519817784441947,dovathi,demon
δαιμόνιον,123,unigram,neuter,nominative,plural,dovathivi,2.498443505483034,dovathivi,demon
δαιμόνιον,109,unigram,neuter,nominative,singular,dovathi,1.025885518535489,dovathi,demon
δηνάριον,208,unigram,neuter,accusative,plural,bajaraponëjavabelia,1.163119394820178,bajaraponëjavabelia,denarius (about a day's wages)
δηνάριον,101,unigram,neuter,accusative,singular,palatanëyo,1.4234560366681357,palatanëyo,denarius (about a day's wages)
μαθητής,113,unigram,masculine,accusative,plural,pijajivi,1.4031455018198404,pijajivi,disciple
μαθητής,232,unigram,masculine,accusative,singular,pemuxuneneta,1.4721197349468798,pemuxuneneta,disciple
μαθητής,184,unigram,masculine,nominative,plural,pijajivi,4.8690443913413155,pijajivi,disciple
μαθητής,230,unigram,masculine,nominative,singular,bajaraponë,1.173515445926416,bajaraponë,disciple
νόσος,49,unigram,feminine,accusative,singular,daxitaviriavitane,1.5323167238096254,daxitaviriavitane,disease
περιστερά,36,unigram,feminine,accusative,singular,beucucuto,1.4349303418097266,beucucuto,dove
οὖς,93,unigram,neuter,accusative,plural,nenamuxunaevetsi,1.1452254883729696,nenamuxunaevetsi,ear
οὖς,188,unigram,neuter,accusative,singular,pinijijumeta,1.04410270151531,pinijijumeta,ear
σεισμός,128,unigram,masculine,nominative,plural,najëabiana,1.0258518694404364,najëabiana,"earthquakes, storm"
τέλος,182,unigram,neuter,accusative,singular,capanepaenatsi,1.5120904422983703,capanepaenatsi,end
αἰών,157,unigram,masculine,accusative,plural,matacabijavabelianexa,1.1798714076530001,matacabijavabelianexa,eternity
αἰών,205,unigram,masculine,accusative,singular,daxitamatacabijavabelianexa,2.6654939290720967,daxitamatacabijavabelianexa,eternity
ὀφθαλμός,13,unigram,masculine,accusative,plural,pitaxutotsëcënaenëmi,2.2293326677971965,pitaxutotsëcënaenëmi,eye
ὀφθαλμός,42,unigram,masculine,nominative,plural,itamajitsipana,1.0843133135425658,itamajitsipana,eye
πρόσωπον,121,unigram,neuter,accusative,singular,irataeya,1.281320809131168,irataeya,face
γεωργός,166,unigram,masculine,nominative,plural,uvabacabo,1.09133571847517,uvabacabo,"farmer, tenant"
πατήρ,207,unigram,masculine,accusative,singular,taxa,1.3718182849280858,taxa,father
πατήρ,214,unigram,masculine,nominative,plural,panijasalinaivimi,1.2557287465860067,panijasalinaivimi,father
πατήρ,117,unigram,masculine,nominative,singular,taxa,1.574217219337843,taxa,father
σύνδουλος,218,unigram,masculine,nominative,plural,nacuenebabiabinëbejejavabelia,1.161328723715616,nacuenebabiabinëbejejavabelia,"fellow-servant, colleague"
ἀγρός,27,unigram,masculine,accusative,singular,bajarapaira,1.406157541348241,bajarapaira,field
δάκτυλος,112,unigram,masculine,accusative,singular,Tomásjavabelia,1.999949021035427,Tomásjavabelia,finger
ἰχθύς,95,unigram,masculine,accusative,plural,papanbëbeje,1.1681360257680522,papanbëbeje,fish
δίκτυον,71,unigram,neuter,accusative,plural,dujuai,3.1567701589878965,dujuai,fishing net
δίκτυον,126,unigram,neuter,accusative,singular,peyamatajucaejava,1.1614657525222758,peyamatajucaejava,fishing net
πούς,154,unigram,masculine,accusative,plural,yaiyataeya,1.0508173238816765,yaiyataeya,foot
καρπός,153,unigram,masculine,accusative,singular,nacuaita,1.4286118460655004,nacuaita,"fruit, crop, harvest"
πλήρωμα,179,unigram,neuter,accusative,plural,bemapirecuenia,1.1909515941956297,bemapirecuenia,fullness
γενεά,180,unigram,feminine,accusative,plural,itaxutotsoniataeyabiabiana,1.0961654628313675,itaxutotsoniataeyabiabiana,generation
γενεά,92,unigram,feminine,nominative,singular,taneitorobinëcuenetsica,1.1098670221889728,taneitorobinëcuenetsica,generation
δῶρον,206,unigram,neuter,accusative,plural,ofrendacuenia,1.386646480287954,ofrendacuenia,gift
δῶρον,102,unigram,neuter,accusative,singular,ofrenda,1.2460483023844229,ofrenda,gift
ἡγεμών,108,unigram,masculine,accusative,plural,presidentevi,1.0595577236652918,presidentevi,"governor, ruler"
ἡγεμών,5,unigram,masculine,accusative,singular,neconitsi,1.2555985597704016,neconitsi,"governor, ruler"
ἀσπασμός,217,unigram,masculine,accusative,plural,callejava,1.2821673157269398,callejava,greeting
ὁδηγός,2,unigram,masculine,nominative,singular,pacujarubabiabame,1.0595319950666118,pacujarubabiabame,guide
θρίξ,140,unigram,feminine,nominative,singular,panejamatabëcuenelivaisi,1.096091603901298,panejamatabëcuenelivaisi,hair
χείρ,209,unigram,feminine,accusative,plural,pecobeyabelia,1.2377997028704,pecobeyabelia,hand
χείρ,142,unigram,feminine,accusative,singular,pecobetsaquenaenëjavabelia,1.0843729210598685,pecobetsaquenaenëjavabelia,hand
κεφαλή,131,unigram,feminine,accusative,singular,pematabocoto,1.3062887494183824,pematabocoto,head
καρδία,22,unigram,feminine,accusative,plural,pexaniajamatabëcuene,1.5527575037471475,pexaniajamatabëcuene,heart
οὐρανός,177,unigram,masculine,accusative,singular,benaëcotsia,1.565430496096338,benaëcotsia,"heaven, sky"
οὐρανός,124,unigram,masculine,nominative,singular,tsitecaena,1.0415642240554654,tsitecaena,"heaven, sky"
ὥρα,16,unigram,feminine,nominative,singular,pijamatacabi,1.1979723621743854,pijamatacabi,hour
οἰκία,222,unigram,feminine,accusative,singular,pijaboyalia,1.0506001164183612,pijaboyalia,house
οἶκος,12,unigram,masculine,accusative,singular,pijaboyabelia,1.3974610024883307,pijaboyabelia,"house, home"
κριτής,104,unigram,masculine,nominative,singular,jueznë,1.9356950382792093,jueznë,judge
κλείς,98,unigram,feminine,accusative,singular,Saicayalivaisi,1.0960524252565438,Saicayalivaisi,key
βασιλεύς,69,unigram,masculine,accusative,plural,presidentevi,1.0596583563413178,presidentevi,king
βασιλεύς,38,unigram,masculine,accusative,singular,Pilato,1.393976159578577,Pilato,king
βασιλεία,100,unigram,feminine,accusative,singular,pijanacuayabetsia,1.7428234152924158,pijanacuayabetsia,kingdom
λύχνος,165,unigram,masculine,nominative,plural,—Icatsia,1.2125775833869603,—Icatsia,lamp
