lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_665_translation,english_translation
θεός,102,unigram,masculine,accusative,singular,Tiuswan,2.049737617039703,Tiuswan,God
θεός,161,unigram,masculine,nominative,singular,Tiusbe,2.275142414742543,Tiusbe,God
κύριος,103,unigram,masculine,nominative,singular,Señor,2.7895702232297506,Señor,"Lord, lord, master"
γραφή,100,unigram,feminine,accusative,plural,wamwan,1.0296695842867565,wamwan,Scripture
γραφή,36,unigram,feminine,accusative,singular,pørigu,1.1719577109766597,pørigu,Scripture
γραφή,206,unigram,feminine,nominative,plural,pørigu,1.1677886620632025,pørigu,Scripture
γραφή,254,unigram,feminine,nominative,singular,wamwan,1.446074940901855,wamwan,Scripture
ἄγγελος,75,unigram,masculine,accusative,plural,ángelesmeran,1.487126115304709,ángelesmeran,angel
ἄγγελος,66,unigram,masculine,accusative,singular,inrrabigwan,1.0925456145049528,inrrabigwan,angel
ἄγγελος,32,unigram,masculine,nominative,plural,ángelesmera,2.7661297216356076,ángelesmera,angel
ἄγγελος,85,unigram,masculine,nominative,singular,ángel,1.5101423872949638,ángel,angel
ἀπόστολος,29,unigram,masculine,nominative,plural,nøashib,1.0467469347000748,nøashib,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,øriinabiibe,1.1613548718850133,øriinabiibe,apostle
ἐξουσία,152,unigram,feminine,accusative,singular,mu,1.0305654162260485,mu,authority
βρέφος,253,unigram,neuter,accusative,singular,patiayu,1.0810922260060456,patiayu,babies
ἀποθήκη,209,unigram,feminine,accusative,plural,ellmarig,1.3229695338723544,ellmarig,barn
βλασφημία,20,unigram,feminine,accusative,plural,Tiustøweimbe,1.0960768946513286,Tiustøweimbe,blasphemy
βλασφημία,159,unigram,feminine,nominative,plural,kerriguh,1.390882500991715,kerriguh,blasphemy
πλοῖον,83,unigram,neuter,accusative,plural,barcomeran,1.4540157872383541,barcomeran,boat
πλοῖον,240,unigram,neuter,accusative,singular,barcoyu,4.575794955949408,barcoyu,boat
πλοῖον,176,unigram,neuter,nominative,singular,barcobe,1.6559775509889267,barcobe,boat
σῶμα,45,unigram,neuter,nominative,singular,asr,1.0954817001949166,asr,body
κλῆμα,41,unigram,neuter,nominative,plural,pønrraisruandøbe,1.1613200159490844,pønrraisruandøbe,branch
κλῆμα,114,unigram,neuter,nominative,singular,kanbalatø,1.1150384034070793,kanbalatø,branch
ἄρτος,245,unigram,masculine,accusative,plural,pirrimeran,1.1560776308383791,pirrimeran,bread
ἄρτος,265,unigram,masculine,accusative,singular,pirriwan,1.8991713156806964,pirriwan,bread
ἄρτος,121,unigram,masculine,nominative,plural,misagweimbe,1.909163720301987,misagweimbe,bread
ἄρτος,25,unigram,masculine,nominative,singular,pirrimbe,1.4153171275281022,pirrimbe,bread
ἀδελφός,232,unigram,masculine,accusative,plural,nunelan,2.3034958448964926,nunelan,brother
ἀδελφός,93,unigram,masculine,accusative,singular,nuneg,3.1199998746418167,nuneg,brother
ἀδελφός,88,unigram,masculine,nominative,plural,nuneløba,1.0611950822765046,nuneløba,brother
ἀδελφός,182,unigram,masculine,nominative,singular,nuneg,1.8008482732617785,nuneg,brother
στῆθος,221,unigram,neuter,accusative,singular,pechoyu,1.9077210775018165,pechoyu,"chest, breast"
ἀρχιερεύς,191,unigram,masculine,accusative,plural,sacerdotesmeran,2.417979689465537,sacerdotesmeran,chief priest
ἀρχιερεύς,46,unigram,masculine,accusative,singular,sacerdotesmeran,1.6384445683439872,sacerdotesmeran,chief priest
ἀρχιερεύς,92,unigram,masculine,nominative,plural,sacerdotesmeran,1.3460831157537883,sacerdotesmeran,chief priest
ἀρχιερεύς,195,unigram,masculine,nominative,singular,sacerdotesmeran,1.4913560281444649,sacerdotesmeran,chief priest
παῖς,185,unigram,masculine,accusative,plural,mørabe,1.0862688736013177,mørabe,child
παῖς,34,unigram,masculine,accusative,singular,webingarua,1.0961210847775034,webingarua,child
τέκνον,260,unigram,neuter,accusative,plural,uregwan,1.6989554970713616,uregwan,child
τέκνον,136,unigram,neuter,accusative,singular,nuneebe,1.3414087870182394,nuneebe,child
τέκνον,9,unigram,neuter,nominative,plural,møskaimbe,1.1583199135600042,møskaimbe,child
τέκνον,145,unigram,neuter,nominative,singular,nusrkai,1.8127333603313682,nusrkai,child
παιδίον,71,unigram,neuter,accusative,singular,unan,1.8190480393918913,unan,child
παιδίον,26,unigram,neuter,nominative,singular,unø,1.5175329540100428,unø,child
πόλις,138,unigram,feminine,accusative,plural,pueblomerasrø,1.2748589690758518,pueblomerasrø,city
πόλις,50,unigram,feminine,accusative,singular,puebloyu,1.4856039057786923,puebloyu,city
πύλη,158,unigram,feminine,nominative,singular,yaskappa,1.6788348222685223,yaskappa,city gate
χιτών,17,unigram,masculine,accusative,singular,ibasingaru,1.1972310676852211,ibasingaru,"clothing, undergarments"
ἱμάτιον,101,unigram,neuter,accusative,plural,kewagúilan,2.262687575229072,kewagúilan,coat
ἐντολή,63,unigram,feminine,accusative,plural,martrai,1.0304862920169522,martrai,commandment
ἐντολή,61,unigram,feminine,accusative,singular,martrai,1.8217430740608234,martrai,commandment
συνέδριον,37,unigram,neuter,accusative,singular,karubeløba,1.2492443109194604,karubeløba,council
χώρα,223,unigram,feminine,accusative,singular,pirausrø,1.473277584209415,pirausrø,"country, countryside"
ὄχλος,42,unigram,masculine,accusative,plural,misagwan,1.5096890732203507,misagwan,crowd
ὄχλος,6,unigram,masculine,accusative,singular,misag,1.0391152633138379,misag,crowd
ὄχλος,77,unigram,masculine,nominative,plural,nu,1.1046133491996624,nu,crowd
ὄχλος,217,unigram,masculine,nominative,singular,nu,1.5466881489573507,nu,crowd
θυγάτηρ,244,unigram,feminine,nominative,singular,nimbasrbe,1.5901563509276788,nimbasrbe,daughter
ἡμέρα,57,unigram,feminine,accusative,plural,kwalømyube,1.1114378906559716,kwalømyube,day
ἡμέρα,67,unigram,feminine,accusative,singular,kwalømmørig,1.9645579068223777,kwalømmørig,day
ἡμέρα,2,unigram,feminine,nominative,plural,kwalømmera,2.640140659093033,kwalømmera,day
ἡμέρα,52,unigram,feminine,nominative,singular,maaben,1.0372325973954135,maaben,day
ὀφειλέτης,94,unigram,masculine,nominative,singular,misraigwan,1.059531995066612,misraigwan,debtor
δαιμόνιον,18,unigram,neuter,accusative,plural,kwaimandziimeran,5.592895842961053,kwaimandziimeran,demon
δαιμόνιον,256,unigram,neuter,accusative,singular,tøgaig,1.0172320281988958,tøgaig,demon
δαιμόνιον,147,unigram,neuter,nominative,plural,kwaimandziimera,1.4212024851225407,kwaimandziimera,demon
δαιμόνιον,131,unigram,neuter,nominative,singular,kwaimandziibe,1.046159661256251,kwaimandziibe,demon
δηνάριον,235,unigram,neuter,accusative,plural,ulø,1.0553757000851665,ulø,denarius (about a day's wages)
δηνάριον,123,unigram,neuter,accusative,singular,anwan,1.0519740088342826,anwan,denarius (about a day's wages)
μαθητής,134,unigram,masculine,accusative,plural,kusrenanøb,1.0999305895036986,kusrenanøb,disciple
μαθητής,261,unigram,masculine,accusative,singular,unig,1.0569771054476305,unig,disciple
μαθητής,211,unigram,masculine,nominative,plural,kusrenanøb,1.0268872346172992,kusrenanøb,disciple
μαθητής,259,unigram,masculine,nominative,singular,unig,1.2863604717618242,unig,disciple
νόσος,56,unigram,feminine,accusative,singular,yamørig,1.181060318618044,yamørig,disease
περιστερά,76,unigram,feminine,accusative,plural,palomamera,1.0874899052557903,palomamera,dove
περιστερά,39,unigram,feminine,accusative,singular,paloma,1.3788397150236984,paloma,dove
οὖς,113,unigram,neuter,accusative,plural,pønsraibe,1.05972797233445,pønsraibe,ear
οὖς,216,unigram,neuter,accusative,singular,yabalasrøngurri,1.1160716799575845,yabalasrøngurri,ear
σεισμός,153,unigram,masculine,nominative,plural,parø,1.2051906966831412,parø,"earthquakes, storm"
σεισμός,48,unigram,masculine,nominative,singular,mur,1.0908581914467728,mur,"earthquakes, storm"
αἰών,233,unigram,masculine,accusative,singular,managatig,1.5038765590962182,managatig,eternity
ὀφθαλμός,49,unigram,masculine,nominative,plural,kabmerabe,1.3240136752985614,kabmerabe,eye
ὀφθαλμός,230,unigram,masculine,nominative,singular,kab,2.0339200998490754,kab,eye
πρόσωπον,143,unigram,neuter,accusative,singular,maløwan,1.4292124795664147,maløwan,face
