lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_686_translation,english_translation
θεός,319,unigram,masculine,accusative,plural,Yẹwhe,1.2591437047102771,Yẹwhe,God
θεός,131,unigram,masculine,accusative,singular,Jiwheyẹwhe,8.139201664109372,Jiwheyẹwhe,God
θεός,197,unigram,masculine,nominative,singular,Jiwheyẹwhe,17.318823860647722,Jiwheyẹwhe,God
κύριος,321,unigram,masculine,nominative,plural,kẹteketevu,1.2128196386466434,kẹteketevu,"Lord, lord, master"
κύριος,132,unigram,masculine,nominative,singular,Oklunọ,7.708932175029086,Oklunọ,"Lord, lord, master"
γραφή,127,unigram,feminine,accusative,plural,wiwe,1.3283843250327316,wiwe,Scripture
γραφή,48,unigram,feminine,accusative,singular,Owé,1.4541020092633492,Owé,Scripture
γραφή,252,unigram,feminine,nominative,plural,wiwe,1.1050784573939043,wiwe,Scripture
γραφή,314,unigram,feminine,nominative,singular,wiwe,2.9475150910976784,wiwe,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,angẹli,3.536681027353799,angẹli,angel
ἄγγελος,83,unigram,masculine,accusative,singular,jla,1.1026481135467905,jla,angel
ἄγγελος,45,unigram,masculine,nominative,plural,angẹli,4.454543361492095,angẹli,angel
ἄγγελος,106,unigram,masculine,nominative,singular,Angeli,1.5653693956734729,Angeli,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,Apọsteli,2.9196529758422547,Apọsteli,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,omẹdohlan,1.0960817954296525,omẹdohlan,apostle
ἐξουσία,189,unigram,feminine,accusative,singular,asẹ,1.8933623966433812,asẹ,authority
βρέφος,14,unigram,neuter,accusative,plural,nu-plọntọ,1.3263593546298147,nu-plọntọ,babies
βρέφος,312,unigram,neuter,accusative,singular,opa,1.0441063733306788,opa,babies
ἀποθήκη,68,unigram,feminine,accusative,singular,zinhò,1.3861411174714335,zinhò,barn
φραγμός,111,unigram,masculine,accusative,singular,haya,1.1420787435810489,haya,"barrier, wall"
πλοῖον,104,unigram,neuter,accusative,plural,vàtle,1.5444011767917405,vàtle,boat
πλοῖον,297,unigram,neuter,accusative,singular,vàtlẹ,1.8058774119621608,vàtlẹ,boat
πλοῖον,231,unigram,neuter,nominative,plural,Vàtlẹ,1.096239847813496,Vàtlẹ,boat
πλοῖον,216,unigram,neuter,nominative,singular,vàtlẹ,1.8534622557534528,vàtlẹ,boat
σῶμα,205,unigram,neuter,nominative,plural,osiọ,1.2992124003512873,osiọ,body
σῶμα,59,unigram,neuter,nominative,singular,agbasa,3.1731331743070985,agbasa,body
κλῆμα,55,unigram,neuter,nominative,plural,jijẹla,1.0960622061228922,jijẹla,branch
κλῆμα,145,unigram,neuter,nominative,singular,alà,1.1761734379039626,alà,branch
ἄρτος,302,unigram,masculine,accusative,plural,akla,3.9248878452988207,akla,bread
ἄρτος,330,unigram,masculine,accusative,singular,akla,5.697160708795089,akla,bread
ἄρτος,152,unigram,masculine,nominative,plural,akla,2.4667408347543573,akla,bread
ἄρτος,36,unigram,masculine,nominative,singular,akla,3.2175265120042797,akla,bread
ἀδελφός,288,unigram,masculine,accusative,plural,mẹmẹsunnu,3.278978571622281,mẹmẹsunnu,brother
ἀδελφός,120,unigram,masculine,accusative,singular,nọvisunnu,2.8177627770604814,nọvisunnu,brother
ἀδελφός,110,unigram,masculine,nominative,plural,mẹmẹsunnu,1.7125553287822812,mẹmẹsunnu,brother
ἀδελφός,223,unigram,masculine,nominative,singular,nọvisunnu,2.034003939944744,nọvisunnu,brother
στῆθος,272,unigram,neuter,accusative,singular,akọnnu,1.4002483351584238,akọnnu,"chest, breast"
ἀρχιερεύς,235,unigram,masculine,accusative,plural,yẹwhenọ,1.8608028746627927,yẹwhenọ,chief priest
ἀρχιερεύς,60,unigram,masculine,accusative,singular,yẹwhenọ,1.3423767468502743,yẹwhenọ,chief priest
ἀρχιερεύς,119,unigram,masculine,nominative,plural,yẹwhenọ,1.0627127388604656,yẹwhenọ,chief priest
ἀρχιερεύς,238,unigram,masculine,nominative,singular,daho,1.6779377142588208,daho,chief priest
παῖς,227,unigram,masculine,accusative,plural,gblehomẹ,1.3746457945950228,gblehomẹ,child
παῖς,47,unigram,masculine,accusative,singular,wọhẹ,1.0730148064013552,wọhẹ,child
τέκνον,323,unigram,neuter,accusative,plural,ovi,3.75138654809959,ovi,child
τέκνον,171,unigram,neuter,accusative,singular,nọvisunnu,1.099713320890636,nọvisunnu,child
τέκνον,15,unigram,neuter,nominative,plural,ovi,1.1761286705032872,ovi,child
τέκνον,181,unigram,neuter,nominative,singular,Ovi,1.1138692572726694,Ovi,child
παιδίον,13,unigram,neuter,accusative,plural,yọpọvu,2.1302369481663805,yọpọvu,child
παιδίον,90,unigram,neuter,accusative,singular,ovi,1.7816291896684164,ovi,child
παιδίον,165,unigram,neuter,nominative,plural,yọpọvu,1.8131984002903991,yọpọvu,child
παιδίον,38,unigram,neuter,nominative,singular,huhlọnnọ,1.5802538850871308,huhlọnnọ,child
πόλις,173,unigram,feminine,accusative,plural,otò,1.2522145379764846,otò,city
πόλις,64,unigram,feminine,accusative,singular,otò,1.7283809080542003,otò,city
πύλη,195,unigram,feminine,nominative,singular,bibó,1.255575087785081,bibó,city gate
χιτών,115,unigram,masculine,accusative,plural,awù,1.5245734871133054,awù,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,awù,1.7655893355308545,awù,"clothing, undergarments"
ἱμάτιον,130,unigram,neuter,accusative,plural,avọ̀,2.012506292375459,avọ̀,coat
ἱμάτιον,129,unigram,neuter,accusative,singular,awù,1.3913673724251248,awù,coat
ἐντολή,80,unigram,feminine,accusative,plural,osén,1.1828271572418043,osén,commandment
ἐντολή,78,unigram,feminine,accusative,singular,osén,1.285230243609674,osén,commandment
συνέδριον,306,unigram,neuter,accusative,plural,payi,1.4066964438220209,payi,council
συνέδριον,50,unigram,neuter,accusative,singular,ogán,1.0166239738030345,ogán,council
χώρα,277,unigram,feminine,accusative,singular,otò,1.2549741919585244,otò,"country, countryside"
ὄχλος,56,unigram,masculine,accusative,plural,agùndaho,3.787835346362328,agùndaho,crowd
ὄχλος,9,unigram,masculine,accusative,singular,agùndaho,4.984715028829456,agùndaho,crowd
ὄχλος,100,unigram,masculine,nominative,plural,agùndaho,1.2085135014891475,agùndaho,crowd
ὄχλος,268,unigram,masculine,nominative,singular,agùndaho,3.9639627461778963,agùndaho,crowd
θυγάτηρ,113,unigram,feminine,nominative,plural,liìó,1.2557635230273705,liìó,daughter
θυγάτηρ,301,unigram,feminine,nominative,singular,Oviyọnnu,1.0798967361070269,Oviyọnnu,daughter
ἡμέρα,73,unigram,feminine,accusative,plural,azán,2.0556748892703447,azán,day
ἡμέρα,84,unigram,feminine,accusative,singular,egbesọ,1.219078450083285,egbesọ,day
ἡμέρα,2,unigram,feminine,nominative,plural,azán,5.3981800477948125,azán,day
ἡμέρα,66,unigram,feminine,nominative,singular,okle,1.3858086367350126,okle,day
ὀφειλέτης,121,unigram,masculine,nominative,singular,degbaweafõ,1.3566765761035169,degbaweafõ,debtor
δαιμόνιον,28,unigram,neuter,accusative,plural,aovi,1.2277176106732488,aovi,demon
δαιμόνιον,317,unigram,neuter,accusative,singular,aovi,6.1800246402989725,aovi,demon
δαιμόνιον,183,unigram,neuter,nominative,plural,aovi,4.808723359847092,aovi,demon
δαιμόνιον,164,unigram,neuter,nominative,singular,aovi,3.4104062357873612,aovi,demon
δηνάριον,293,unigram,neuter,accusative,plural,abọgankuẹ,1.838618977995376,abọgankuẹ,denarius (about a day's wages)
δηνάριον,154,unigram,neuter,accusative,singular,abọgan-kuẹ,2.072303505913872,abọgan-kuẹ,denarius (about a day's wages)
μαθητής,169,unigram,masculine,accusative,plural,nuplọntọ,4.135857808170895,nuplọntọ,disciple
μαθητής,324,unigram,masculine,accusative,singular,nuplọntọ,2.4527054285544003,nuplọntọ,disciple
μαθητής,261,unigram,masculine,nominative,plural,nuplọntọ,2.9921633525292863,nuplọntọ,disciple
μαθητής,322,unigram,masculine,nominative,singular,nuplọntọ,3.457906670846912,nuplọntọ,disciple
περιστερά,99,unigram,feminine,accusative,plural,apoe,1.0874899052557905,apoe,dove
περιστερά,52,unigram,feminine,accusative,singular,apoe,1.6402521880843106,apoe,dove
οὖς,144,unigram,neuter,accusative,plural,otọ́,1.9789264889195668,otọ́,ear
οὖς,267,unigram,neuter,accusative,singular,otọ́,1.203536045095881,otọ́,ear
σεισμός,190,unigram,masculine,nominative,plural,huvẹ,1.9054926055000696,huvẹ,"earthquakes, storm"
σεισμός,62,unigram,masculine,nominative,singular,whinwhàn,1.0954812656457014,whinwhàn,"earthquakes, storm"
τέλος,259,unigram,neuter,accusative,singular,opòdo,1.026830114337369,opòdo,end
αἰών,228,unigram,masculine,accusative,plural,doi,1.096185247111637,doi,eternity
αἰών,289,unigram,masculine,accusative,singular,doi,1.1795108230339166,doi,eternity
ὀφθαλμός,21,unigram,masculine,accusative,plural,nukun,4.525237796143803,nukun,eye
ὀφθαλμός,63,unigram,masculine,nominative,plural,nukun,4.388949589380687,nukun,eye
ὀφθαλμός,286,unigram,masculine,nominative,singular,nukun,2.2992724997294864,nukun,eye
πρόσωπον,178,unigram,neuter,accusative,singular,nukunmẹ,2.6224606308411715,nukunmẹ,face
λιμός,7,unigram,feminine,nominative,plural,huvẹ,1.268939364048538,huvẹ,famine
λιμός,92,unigram,feminine,nominative,singular,hẹnjẹ,1.2125655932085435,hẹnjẹ,famine
λιμός,133,unigram,masculine,nominative,singular,su,1.096071996175396,su,famine
πατήρ,184,unigram,masculine,accusative,plural,Hlan,1.0358993671631749,Hlan,father
πατήρ,292,unigram,masculine,accusative,singular,Otọ́,1.180722137576749,Otọ́,father
πατήρ,300,unigram,masculine,nominative,plural,manna,1.6149347768385738,manna,father
πατήρ,174,unigram,masculine,nominative,singular,Otọ́,5.5027656249047245,Otọ́,father
σύνδουλος,86,unigram,masculine,accusative,singular,ohatọ,1.161328723715616,ohatọ,"fellow-servant, colleague"
ἀγρός,316,unigram,masculine,accusative,plural,aigba,1.0490642755507766,aigba,field
ἀγρός,37,unigram,masculine,accusative,singular,oglè,1.406157541348241,oglè,field
δάκτυλος,221,unigram,masculine,accusative,plural,alọvi,1.2125775833869603,alọvi,finger
δάκτυλος,168,unigram,masculine,accusative,singular,adaja,1.8078099263355247,adaja,finger
ἰχθύς,147,unigram,masculine,accusative,plural,whevi,1.6699784996548197,whevi,fish
ἰχθύς,177,unigram,masculine,accusative,singular,odàn,1.032743718431132,odàn,fish
δίκτυον,105,unigram,neuter,accusative,plural,odò,2.512822209024054,odò,fishing net
δίκτυον,187,unigram,neuter,accusative,singular,odò,1.0500971269798358,odò,fishing net
τροφή,232,unigram,feminine,accusative,plural,(,1.0300591782057724,(,food
