lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_666_translation,english_translation
θεός,115,unigram,masculine,accusative,singular,Cohamacʉre,1.8336702885130904,Cohamacʉre,God
θεός,24,unigram,masculine,nominative,plural,Cohamana,1.097258004808277,Cohamana,God
θεός,181,unigram,masculine,nominative,singular,Cohamacʉ,3.7708162356812074,Cohamacʉ,God
κύριος,116,unigram,masculine,nominative,singular,pʉhtoro,3.2458087298123663,pʉhtoro,"Lord, lord, master"
γραφή,110,unigram,feminine,accusative,plural,joari,1.3465221604771178,joari,Scripture
γραφή,42,unigram,feminine,accusative,singular,ñahaerasinimai,1.1063446289765493,ñahaerasinimai,Scripture
γραφή,228,unigram,feminine,nominative,plural,ñahachʉ,1.2544225845113064,ñahachʉ,Scripture
γραφή,288,unigram,feminine,nominative,singular,joari,1.2941809215985582,joari,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,anjoare,1.570341971119262,anjoare,angel
ἄγγελος,74,unigram,masculine,accusative,singular,yahuyuhtirore,1.0500981916898025,yahuyuhtirore,angel
ἄγγελος,38,unigram,masculine,nominative,plural,anjoa,2.2300146107829435,anjoa,angel
ἄγγελος,97,unigram,masculine,nominative,singular,anjo,4.143298633242034,anjo,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,warocarina,1.376234971653692,warocarina,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,jicʉta,1.2125895793310684,jicʉta,apostle
ἐξουσία,58,unigram,feminine,accusative,plural,dʉcatahti,1.1616007369569912,dʉcatahti,authority
ἐξουσία,172,unigram,feminine,accusative,singular,cũre,1.414076057578873,cũre,authority
βρέφος,12,unigram,neuter,accusative,plural,wihiinare,1.0960670999999007,wihiinare,babies
βρέφος,287,unigram,neuter,accusative,singular,wachʉa,1.2541493811858964,wachʉa,babies
ἀποθήκη,235,unigram,feminine,accusative,plural,wihboa,1.1634539930304015,wihboa,barn
ἀποθήκη,57,unigram,feminine,accusative,singular,trigo,1.0364136840543237,trigo,barn
ἀρχή,60,unigram,feminine,accusative,plural,dʉcatahti,1.1613985352799874,dʉcatahti,beginning
ζώνη,149,unigram,feminine,accusative,plural,naaena,1.2850355143367,naaena,belt
βλασφημία,27,unigram,feminine,accusative,plural,durucuero,1.3304155897845695,durucuero,blasphemy
βλασφημία,179,unigram,feminine,nominative,plural,yacaa,1.1188440400351527,yacaa,blasphemy
βλασφημία,75,unigram,feminine,nominative,singular,pinine,1.0662569236351904,pinine,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,bʉsore,1.0648687290883774,bʉsore,boat
πλοῖον,272,unigram,neuter,accusative,singular,dohoriapʉ,1.090750187334592,dohoriapʉ,boat
πλοῖον,198,unigram,neuter,nominative,singular,bʉcʉpariro,1.0348706650442323,bʉcʉpariro,boat
σῶμα,49,unigram,neuter,nominative,singular,chʉga,1.3030448121834723,chʉga,body
κλῆμα,127,unigram,neuter,nominative,singular,dʉpʉri,1.7459938246101123,dʉpʉri,branch
ἄρτος,276,unigram,masculine,accusative,plural,pão,2.0778795970011763,pão,bread
ἄρτος,300,unigram,masculine,accusative,singular,pãore,1.0915551574012818,pãore,bread
ἄρτος,32,unigram,masculine,nominative,singular,chʉa,1.5592037937843488,chʉa,bread
ἀδελφός,261,unigram,masculine,accusative,plural,bahanare,1.6746360462977277,bahanare,brother
ἀδελφός,104,unigram,masculine,accusative,singular,bahʉro,1.4864623080421482,bahʉro,brother
ἀδελφός,99,unigram,masculine,nominative,plural,bahana,2.42329371939434,bahana,brother
ἀδελφός,203,unigram,masculine,nominative,singular,bahʉ,1.7289449262885743,bahʉ,brother
ἀρχιερεύς,210,unigram,masculine,accusative,plural,sacerdotea,1.6103083029776841,sacerdotea,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,sacerdotea,1.361301162465347,sacerdotea,chief priest
ἀρχιερεύς,103,unigram,masculine,nominative,plural,sacerdotea,1.062557295944753,sacerdotea,chief priest
ἀρχιερεύς,214,unigram,masculine,nominative,singular,sacerdotea,1.809470403682999,sacerdotea,chief priest
παῖς,206,unigram,masculine,accusative,plural,cʉ̃hʉre,1.0101375800206782,cʉ̃hʉre,child
παῖς,40,unigram,masculine,accusative,singular,sãarirocã,1.1614247833415607,sãarirocã,child
τέκνον,294,unigram,neuter,accusative,plural,pohnare,1.6636945559748346,pohnare,child
τέκνον,153,unigram,neuter,accusative,singular,bahʉrore,1.018482295778515,bahʉrore,child
τέκνον,13,unigram,neuter,nominative,plural,pohnare,1.0768224537786986,pohnare,child
τέκνον,165,unigram,neuter,nominative,singular,—Macʉ,1.4819421937059016,—Macʉ,child
παιδίον,11,unigram,neuter,accusative,plural,tinacãre,1.2846454464214931,tinacãre,child
παιδίον,82,unigram,neuter,accusative,singular,tirocãre,1.1649751561809196,tirocãre,child
παιδίον,147,unigram,neuter,nominative,plural,tinacã,1.7248890845577454,tinacã,child
πόλις,156,unigram,feminine,accusative,plural,macaripʉ,1.1234560672419265,macaripʉ,city
πόλις,53,unigram,feminine,accusative,singular,macapʉ,4.450828820573097,macapʉ,city
πύλη,231,unigram,feminine,nominative,plural,yʉhdʉrʉcasi,1.0960622061228922,yʉhdʉrʉcasi,city gate
πύλη,178,unigram,feminine,nominative,singular,mijo,1.3570130644851717,mijo,city gate
χιτών,25,unigram,masculine,accusative,singular,suhtiro,1.1914002303577629,suhtiro,"clothing, undergarments"
ἱμάτιον,113,unigram,neuter,accusative,plural,suhtire,1.1529009959387857,suhtire,coat
ἱμάτιον,112,unigram,neuter,accusative,singular,suhtirore,1.176934364923844,suhtirore,coat
ἐντολή,71,unigram,feminine,accusative,plural,dutiare,2.155997784842576,dutiare,commandment
ἐντολή,69,unigram,feminine,accusative,singular,dutiare,2.3495129227271403,dutiare,commandment
συνέδριον,281,unigram,neuter,accusative,plural,waahca,1.2916354725939068,waahca,council
χώρα,65,unigram,feminine,accusative,plural,Cuatro,1.09612600636564,Cuatro,"country, countryside"
χώρα,252,unigram,feminine,accusative,singular,yahpapʉ,1.315078121799636,yahpapʉ,"country, countryside"
ὄχλος,47,unigram,masculine,accusative,plural,masare,1.5769364352252275,masare,crowd
ὄχλος,6,unigram,masculine,accusative,singular,payʉ,1.4234550863431028,payʉ,crowd
ὄχλος,89,unigram,masculine,nominative,plural,masa,1.2444751488502,masa,crowd
ὄχλος,246,unigram,masculine,nominative,singular,payʉ,1.1493155661898675,payʉ,crowd
θυγάτηρ,101,unigram,feminine,nominative,plural,tiibasaga,1.0961506491767987,tiibasaga,daughter
θυγάτηρ,275,unigram,feminine,nominative,singular,macono,1.1386448065600685,macono,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,dachori,1.153267266645377,dachori,day
ἡμέρα,76,unigram,feminine,accusative,singular,Dachoripe,1.1742422191284907,Dachoripe,day
ἡμέρα,2,unigram,feminine,nominative,plural,pjapʉta,1.0684716178112323,pjapʉta,day
ἡμέρα,55,unigram,feminine,nominative,singular,cjihtire,1.0790966566458868,cjihtire,day
ὀφειλέτης,216,unigram,masculine,nominative,plural,Siloé,1.059531995066612,Siloé,debtor
δαιμόνιον,26,unigram,neuter,accusative,plural,watĩare,1.960384194157528,watĩare,demon
δαιμόνιον,290,unigram,neuter,accusative,singular,masierariro,1.2990291208372768,masierariro,demon
δαιμόνιον,167,unigram,neuter,nominative,plural,watĩa,1.680970415304518,watĩa,demon
δαιμόνιον,146,unigram,neuter,nominative,singular,watĩno,1.65501914946902,watĩno,demon
δηνάριον,266,unigram,neuter,accusative,plural,wapamoriro,1.1991436581868118,wapamoriro,denarius (about a day's wages)
δηνάριον,136,unigram,neuter,accusative,singular,ñʉjihna,1.0998541405794655,ñʉjihna,denarius (about a day's wages)
μαθητής,151,unigram,masculine,accusative,plural,buheinare,5.224651545436311,buheinare,disciple
μαθητής,295,unigram,masculine,accusative,singular,jii,1.0977105947922636,jii,disciple
μαθητής,238,unigram,masculine,nominative,plural,buheina,2.267154604795501,buheina,disciple
μαθητής,293,unigram,masculine,nominative,singular,buheriro,2.1034405678486383,buheriro,disciple
νόσος,62,unigram,feminine,accusative,singular,jipihtia,1.0925864786780772,jipihtia,disease
περιστερά,88,unigram,feminine,accusative,plural,duainare,1.8868911622434417,duainare,dove
περιστερά,45,unigram,feminine,accusative,singular,buja,1.5377804006071532,buja,dove
οὖς,126,unigram,neuter,accusative,plural,tʉhoga,1.4564003048350362,tʉhoga,ear
οὖς,245,unigram,neuter,accusative,singular,yaroca,1.7540968680024407,yaroca,ear
σεισμός,173,unigram,masculine,nominative,plural,jʉca,1.1857032925837374,jʉca,"earthquakes, storm"
τέλος,236,unigram,neuter,accusative,singular,catisinino,1.0091849008756903,catisinino,end
αἰών,262,unigram,masculine,accusative,singular,dachoripe,1.127750759964298,dachoripe,eternity
ὀφθαλμός,18,unigram,masculine,accusative,plural,caparire,1.1619169404875311,caparire,eye
ὀφθαλμός,52,unigram,masculine,nominative,plural,Wʉjo,1.2664750874659232,Wʉjo,eye
πρόσωπον,162,unigram,neuter,accusative,singular,durucuriro,1.2939215986862609,durucuriro,face
λιμός,271,unigram,masculine,nominative,plural,dohatiahca,1.096071996175396,dohatiahca,famine
λιμός,83,unigram,feminine,nominative,singular,baaha,1.044111346118999,baaha,famine
γεωργός,215,unigram,masculine,nominative,plural,wesere,1.0330940853729549,wesere,"farmer, tenant"
γεωργός,41,unigram,masculine,nominative,singular,secʉre,1.044131285173233,secʉre,"farmer, tenant"
πατήρ,265,unigram,masculine,accusative,singular,Pʉcʉ,1.6216977001515311,Pʉcʉ,father
πατήρ,274,unigram,masculine,nominative,plural,ñʉchʉsʉma,1.4278864177792443,ñʉchʉsʉma,father
πατήρ,157,unigram,masculine,nominative,singular,Pʉcʉ,4.595954451098153,Pʉcʉ,father
σύνδουλος,278,unigram,masculine,nominative,plural,Pjíro,1.0960670999999007,Pjíro,"fellow-servant, colleague"
ἀγρός,289,unigram,masculine,accusative,plural,macaricãpʉ,1.0768088294056029,macaricãpʉ,field
ἀγρός,33,unigram,masculine,accusative,singular,yahpare,1.07667758572036,yahpare,field
ἰχθύς,130,unigram,masculine,accusative,plural,pão,1.5288559497891103,pão,fish
ἰχθύς,161,unigram,masculine,accusative,singular,agã,1.124502309283792,agã,fish
δίκτυον,96,unigram,neuter,accusative,plural,wañʉyucʉrire,2.3508250162418767,wañʉyucʉrire,fishing net
δίκτυον,170,unigram,neuter,accusative,singular,wañʉnore,1.1683112205961674,wañʉnore,fishing net
τροφή,286,unigram,feminine,accusative,singular,—Dahra,1.0595448471241755,—Dahra,food
πούς,204,unigram,masculine,accusative,plural,dahporire,1.1524088487567474,dahporire,foot
καρπός,155,unigram,masculine,accusative,plural,Noadʉ,1.3932088399961582,Noadʉ,"fruit, crop, harvest"
καρπός,200,unigram,masculine,accusative,singular,dicha,3.3405721005449687,dicha,"fruit, crop, harvest"
πλήρωμα,285,unigram,neuter,accusative,singular,tʉhnʉchʉ,1.0595352057902494,tʉhnʉchʉ,fullness
γενεά,232,unigram,feminine,accusative,plural,payoinare,1.2127943973741413,payoinare,generation
γενεά,201,unigram,feminine,accusative,singular,macaina,1.053127167485514,macaina,generation
γενεά,125,unigram,feminine,nominative,singular,macaina,1.117753388113417,macaina,generation
δῶρον,264,unigram,neuter,accusative,plural,pache,1.0561452774135676,pache,gift
δῶρον,137,unigram,neuter,accusative,singular,coyeiro,1.0430062219374452,coyeiro,gift
ἡγεμών,145,unigram,masculine,accusative,plural,macari,1.1987167168845778,macari,"governor, ruler"
ἀσπασμός,277,unigram,masculine,accusative,plural,bocasinichʉ,1.5808029358047757,bocasinichʉ,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,Capari,1.1099746787208185,Capari,guide
θρίξ,187,unigram,feminine,nominative,singular,tuhtipahta,1.3848485556162657,tuhtipahta,hair
χείρ,268,unigram,feminine,accusative,plural,wamomacarine,1.1188701718789757,wamomacarine,hand
χείρ,190,unigram,feminine,accusative,singular,wamomaca,1.3498724739053674,wamomaca,hand
κεφαλή,119,unigram,feminine,accusative,plural,wahcãina,1.0482063211547876,wahcãina,head
κεφαλή,177,unigram,feminine,accusative,singular,dapure,2.4130173774498385,dapure,head
καρδία,163,unigram,feminine,nominative,singular,durucupahta,1.090695448978041,durucupahta,heart
οὐρανός,227,unigram,masculine,accusative,singular,mʉanopʉ,2.359837452910993,mʉanopʉ,"heaven, sky"
οὐρανός,299,unigram,masculine,nominative,plural,mʉaha,1.0967444846296657,mʉaha,"heaven, sky"
οὐρανός,168,unigram,masculine,nominative,singular,sohtori,1.1417567863009417,sohtori,"heaven, sky"
ὥρα,20,unigram,feminine,nominative,singular,pja,1.270659065424136,pja,hour
οἰκία,132,unigram,feminine,accusative,plural,wʉhʉsere,1.4803293879658708,wʉhʉsere,house
οἰκία,282,unigram,feminine,accusative,singular,wʉhʉpʉ,1.3902489982240605,wʉhʉpʉ,house
οἶκος,243,unigram,masculine,accusative,plural,cahĩahca,1.0963047455737722,cahĩahca,"house, home"
οἶκος,17,unigram,masculine,accusative,singular,wʉhʉpʉ,1.7508631382916269,wʉhʉpʉ,"house, home"
κριτής,263,unigram,masculine,nominative,plural,watĩare,1.1010848295618931,watĩare,judge
κριτής,139,unigram,masculine,nominative,singular,dutiriro,1.1370367341516514,dutiriro,judge
κλείς,73,unigram,feminine,accusative,plural,sawire,1.2125176900525536,sawire,key
βασιλεύς,94,unigram,masculine,accusative,plural,macari,1.190082053012837,macari,king
βασιλεύς,48,unigram,masculine,accusative,singular,wio,1.1497259005929117,wio,king
βασιλεία,67,unigram,feminine,accusative,plural,buipʉ,1.1557490386757157,buipʉ,kingdom
βασιλεία,135,unigram,feminine,accusative,singular,pʉhtoro,1.0230370321967013,pʉhtoro,kingdom
κόπος,171,unigram,masculine,accusative,plural,Yʉhʉre,1.1529025934581791,Yʉhʉre,"labour, work, trouble, difficulty"
κόπος,77,unigram,masculine,accusative,singular,jipachʉta,1.096902845057517,jipachʉta,"labour, work, trouble, difficulty"
κλῆρος,1,unigram,masculine,accusative,singular,docapea,1.4675836544935406,docapea,"lots (casting of lots), inheritance"
ἄνθρωπος,218,unigram,masculine,accusative,singular,buhiri,1.2555083143231582,buhiri,man
ἄνθρωπος,150,unigram,masculine,nominative,singular,piti,1.1771411835122596,piti,man
ἀνήρ,212,unigram,masculine,accusative,singular,manʉ,1.6343612425095508,manʉ,"man, husband"
ἀνήρ,124,unigram,masculine,nominative,plural,mʉa,1.2694277264069498,mʉa,"man, husband"
ἀνήρ,205,unigram,masculine,nominative,singular,duaja,1.2187980790134472,duaja,"man, husband"
μνᾶ,256,unigram,feminine,accusative,plural,tʉri,1.1566598367066836,tʉri,mina (about 100 days' wages)
μνᾶ,9,unigram,feminine,accusative,singular,cjʉarirore,1.0960670999999007,cjʉarirore,mina (about 100 days' wages)
πρωτοκαθεδρία,92,unigram,feminine,accusative,plural,duara,1.0364088297245309,duara,"most important seat, seat of honour"
πρωτοκαθεδρία,29,unigram,feminine,accusative,singular,Buheri,1.1613200159490844,Buheri,"most important seat, seat of honour"
μήτηρ,239,unigram,feminine,accusative,singular,pʉcʉsʉmare,1.3285446798544711,pʉcʉsʉmare,mother
ὄρος,186,unigram,neuter,accusative,plural,mʉroca,1.0211126915517306,mʉroca,mountain
ὄρος,225,unigram,neuter,accusative,singular,tʉ̃cʉpʉ,1.8524585509671283,tʉ̃cʉpʉ,mountain
μύρον,78,unigram,neuter,accusative,plural,cahnoha,1.0595609466359637,cahnoha,myrrh
μύρον,22,unigram,neuter,accusative,singular,yahto,1.0960965115985384,yahto,myrrh
ὄνομα,28,unigram,neuter,accusative,singular,tuhtiahca,1.0327701315733635,tuhtiahca,name
ὄνομα,213,unigram,neuter,nominative,singular,wama,2.1583676936825733,wama,name
ἔθνος,197,unigram,neuter,accusative,plural,yahparipʉ,1.1462206982654133,yahparipʉ,nation
ἔθνος,164,unigram,neuter,accusative,singular,wajãahca,1.0590919713018012,wajãahca,nation
ἔθνος,259,unigram,neuter,nominative,plural,macarucua,1.4679881612673429,macarucua,nation
ἔθνος,21,unigram,neuter,nominative,singular,wajãahca,1.0805159102027109,wajãahca,nation
νύξ,159,unigram,feminine,accusative,plural,Ñaminipe,1.1133160094489616,Ñaminipe,night
βοῦς,128,unigram,masculine,accusative,plural,cohtotaina,1.5456524038421875,cohtotaina,ox
παραβολή,221,unigram,feminine,accusative,plural,quitire,3.075290767719648,quitire,parable
παραβολή,191,unigram,feminine,accusative,singular,quiti,1.108251266400914,quiti,parable
μέρος,298,unigram,neuter,accusative,plural,sʉi,1.4641979815033983,sʉi,part
μέρος,43,unigram,neuter,accusative,singular,cohãnohca,1.128711480175585,cohãnohca,part
τόπος,234,unigram,masculine,accusative,plural,jʉca,1.1849320941556152,jʉca,place
τόπος,253,unigram,masculine,accusative,singular,tiropʉ,1.0555802217560777,tiropʉ,place
πρωτοκλισία,237,unigram,feminine,accusative,plural,noaa,1.0479169797907872,noaa,place of honor
πρωτοκλισία,30,unigram,feminine,accusative,singular,bose,1.1603036578782218,bose,place of honor
ὄφις,91,unigram,masculine,accusative,singular,agã,1.124412073707937,agã,poison
σκεῦος,217,unigram,neuter,accusative,singular,barore,1.0187949047097629,barore,"possession, object, thing, jar, vessel"
δύναμις,93,unigram,feminine,accusative,plural,tuaa,1.0128950394515115,tuaa,"power, ability, miracle"
δύναμις,37,unigram,feminine,accusative,singular,masierara,1.0238701679736422,masierara,"power, ability, miracle"
δύναμις,70,unigram,feminine,nominative,plural,tuaa,1.2661168493873272,tuaa,"power, ability, miracle"
δύναμις,100,unigram,feminine,nominative,singular,tuaa,1.4777728034746422,tuaa,"power, ability, miracle"
ἱερεύς,207,unigram,masculine,nominative,singular,sacerdote,1.887537595001228,sacerdote,priest
φυλακή,19,unigram,feminine,accusative,singular,peresu,3.2634224145140642,peresu,prison
προφήτης,51,unigram,masculine,accusative,plural,mʉhtaina,1.024288117842841,mʉhtaina,prophet
προφήτης,169,unigram,masculine,accusative,singular,mʉhtariro,1.2341114859996367,mʉhtariro,prophet
προφήτης,192,unigram,masculine,nominative,plural,mʉhtaina,1.589868125311242,mʉhtaina,prophet
προφήτης,226,unigram,masculine,nominative,singular,mʉhtariro,1.0460519638261918,mʉhtariro,prophet
βαλλάντιον,15,unigram,neuter,accusative,singular,suhtire,1.361774347955532,suhtire,purse
ποταμός,105,unigram,masculine,nominative,plural,wãha,1.1592838185922605,wãha,river
ποταμός,142,unigram,masculine,nominative,singular,dia,1.178831913008531,dia,river
λῃστής,279,unigram,masculine,nominative,plural,bʉcʉna,1.1339566333006454,bʉcʉna,robber
λῃστής,133,unigram,masculine,nominative,singular,bʉcʉro,1.04412379902838,bʉcʉro,robber
ἄρχων,175,unigram,masculine,accusative,plural,pjirocachʉ,1.1100923936332556,pjirocachʉ,ruler
ἄρχων,54,unigram,masculine,nominative,plural,pʉhtoa,2.0496239563379355,pʉhtoa,ruler
ἄρχων,273,unigram,masculine,nominative,singular,Ahri,1.105677569409824,Ahri,ruler
