lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_692_translation,english_translation
θεός,280,unigram,masculine,accusative,plural,antł'inlii,1.4880886959439763,antł'inlii,God
θεός,109,unigram,masculine,accusative,singular,Vit'eegwijyąhchy'aa,3.769712757046308,Vit'eegwijyąhchy'aa,God
θεός,22,unigram,masculine,nominative,plural,Nakhwa-law,1.1475365859192672,Nakhwa-law,God
θεός,174,unigram,masculine,nominative,singular,Vit'eegwijyąhchy'aa,6.691162681979253,Vit'eegwijyąhchy'aa,God
κύριος,110,unigram,masculine,nominative,singular,K'eegwaadhat,1.3108327741574084,K'eegwaadhat,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,Dęhtły'aa,1.3174062583578083,Dęhtły'aa,Scripture
γραφή,39,unigram,feminine,accusative,singular,deegwinyąą,1.0272734389908558,deegwinyąą,Scripture
γραφή,215,unigram,feminine,nominative,plural,Dęhtły'aa,1.2228135424118949,Dęhtły'aa,Scripture
γραφή,275,unigram,feminine,nominative,singular,Dęhtły'aa,1.1384055028559026,Dęhtły'aa,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,dizheekat,1.0478946613045763,dizheekat,angel
ἄγγελος,67,unigram,masculine,accusative,singular,shrigweheelyaa,1.3679717160923797,shrigweheelyaa,angel
ἄγγελος,36,unigram,masculine,nominative,plural,gwich'in,1.217240706316913,gwich'in,angel
ἄγγελος,88,unigram,masculine,nominative,singular,gwich'in,1.9037831026775733,gwich'in,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,Tr'ihił,1.7341937966210834,Tr'ihił,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,hil,1.1613548718850133,hil,apostle
ἐξουσία,165,unigram,feminine,accusative,singular,t'aih,3.6660456529298746,t'aih,authority
βρέφος,11,unigram,neuter,accusative,plural,digitr'iinin,1.255508950677359,digitr'iinin,babies
βρέφος,273,unigram,neuter,accusative,singular,Aak'ii,1.2743994146790485,Aak'ii,babies
ἀρχή,151,unigram,feminine,accusative,singular,tr'ookit,1.1624364099787114,tr'ookit,beginning
βλασφημία,24,unigram,feminine,accusative,plural,diitr'agwaanduu,1.0960768946513286,diitr'agwaanduu,blasphemy
βλασφημία,79,unigram,feminine,accusative,singular,tr'ahch'aa,1.0960768946513286,tr'ahch'aa,blasphemy
βλασφημία,172,unigram,feminine,nominative,plural,tr'agwaanduu,1.136888433581691,tr'agwaanduu,blasphemy
βλασφημία,68,unigram,feminine,nominative,singular,tr'agwaanduu,1.1250959969066292,tr'agwaanduu,blasphemy
πλοῖον,86,unigram,neuter,accusative,plural,tr'ihchoo,1.484429423801413,tr'ihchoo,boat
πλοῖον,261,unigram,neuter,accusative,singular,tr'ihchoh,1.226954040509372,tr'ihchoh,boat
πλοῖον,188,unigram,neuter,nominative,singular,dhitin,1.0388667018309226,dhitin,boat
σῶμα,47,unigram,neuter,nominative,singular,nakhwazhin,1.1660992136682342,nakhwazhin,body
κλῆμα,43,unigram,neuter,nominative,plural,shehdan,1.0960622061228922,shehdan,branch
κλῆμα,123,unigram,neuter,nominative,singular,dachan,1.1358854780809584,dachan,branch
ἄρτος,265,unigram,masculine,accusative,plural,łųhchy'aa,3.1563081723329995,łųhchy'aa,bread
ἄρτος,289,unigram,masculine,accusative,singular,łųhchy'aa,3.989026244529248,łųhchy'aa,bread
ἄρτος,131,unigram,masculine,nominative,plural,łųhchy'aa,1.3142376646984693,łųhchy'aa,bread
ἄρτος,28,unigram,masculine,nominative,singular,łųhchy'aa,2.3796206139498635,łųhchy'aa,bread
ἀδελφός,251,unigram,masculine,accusative,plural,dachaa,1.2557422433862144,dachaa,brother
ἀδελφός,98,unigram,masculine,accusative,singular,vachaa,1.2274565378734834,vachaa,brother
ἀδελφός,90,unigram,masculine,nominative,plural,vachaa,1.0850814104729885,vachaa,brother
ἀδελφός,194,unigram,masculine,nominative,singular,vachaa,1.1653639510551077,vachaa,brother
στῆθος,129,unigram,neuter,accusative,plural,digizheh,1.0229068825279235,digizheh,"chest, breast"
στῆθος,236,unigram,neuter,accusative,singular,eeghaii,1.3867782254631966,eeghaii,"chest, breast"
ἀρχιερεύς,202,unigram,masculine,accusative,plural,giinkhih,1.3530707343971895,giinkhih,chief priest
ἀρχιερεύς,48,unigram,masculine,accusative,singular,khii,1.018886561189989,khii,chief priest
ἀρχιερεύς,97,unigram,masculine,nominative,plural,dilk'ii,1.0046674695489364,dilk'ii,chief priest
ἀρχιερεύς,205,unigram,masculine,nominative,singular,khii,1.0120034259954434,khii,chief priest
παῖς,197,unigram,masculine,accusative,plural,goodlit,1.1351344316986265,goodlit,child
τέκνον,283,unigram,neuter,accusative,plural,digii,1.5625239786222211,digii,child
τέκνον,160,unigram,neuter,nominative,singular,Shidinji,1.928609528493038,Shidinji,child
παιδίον,10,unigram,neuter,accusative,plural,goovoh'in,1.11588100894776,goovoh'in,child
παιδίον,74,unigram,neuter,accusative,singular,tr'iinin,2.4559686255589552,tr'iinin,child
παιδίον,144,unigram,neuter,nominative,plural,tr'iinin,1.0522791576159125,tr'iinin,child
παιδίον,30,unigram,neuter,nominative,singular,tr'iinin,2.0759254399731164,tr'iinin,child
πόλις,152,unigram,feminine,accusative,plural,kwaiik'it,1.1307509189274745,kwaiik'it,city
πόλις,51,unigram,feminine,accusative,singular,kwaiik'it,4.686004391833547,kwaiik'it,city
πύλη,171,unigram,feminine,nominative,singular,gwiints'ik,1.1923375320205476,gwiints'ik,city gate
χιτών,94,unigram,masculine,accusative,plural,ik,1.2920551816501007,ik,"clothing, undergarments"
ἱμάτιον,107,unigram,neuter,accusative,plural,giigwach'aa,1.0358197632208928,giigwach'aa,coat
ἱμάτιον,106,unigram,neuter,accusative,singular,ik,2.3120784052099803,ik,coat
ἐντολή,64,unigram,feminine,accusative,plural,ch'eet'igwiniindhan,1.1002826159402574,ch'eet'igwiniindhan,commandment
ἐντολή,62,unigram,feminine,accusative,singular,gwik'eegǫhthat,1.0932984143072988,gwik'eegǫhthat,commandment
συνέδριον,269,unigram,neuter,accusative,plural,gwak'ǫǫhtii,1.347833315104379,gwak'ǫǫhtii,council
χώρα,59,unigram,feminine,accusative,plural,khareheelyaa.,1.09612600636564,khareheelyaa.,"country, countryside"
χώρα,240,unigram,feminine,accusative,singular,nahkat,1.8127627738392087,nahkat,"country, countryside"
ὄχλος,44,unigram,masculine,accusative,plural,łeeljil,1.8575618411905488,łeeljil,crowd
ὄχλος,6,unigram,masculine,accusative,singular,dinjii,1.054761653161066,dinjii,crowd
ὄχλος,81,unigram,masculine,nominative,plural,łeeljil,1.5764566633824475,łeeljil,crowd
ὄχλος,231,unigram,masculine,nominative,singular,lęįį,2.861629346147944,lęįį,crowd
θυγάτηρ,92,unigram,feminine,nominative,plural,gwitr'injaa,1.0961506491767987,gwitr'injaa,daughter
θυγάτηρ,264,unigram,feminine,nominative,singular,nich'it,1.8331979824399052,nich'it,daughter
ἡμέρα,57,unigram,feminine,accusative,plural,gwahaadhat,1.0369533068064185,gwahaadhat,day
ἡμέρα,69,unigram,feminine,accusative,singular,drin,1.2181131225323012,drin,day
ἡμέρα,1,unigram,feminine,nominative,plural,drin,2.425848031408844,drin,day
ἡμέρα,53,unigram,feminine,nominative,singular,drin,1.4101020703587597,drin,day
δαιμόνιον,23,unigram,neuter,accusative,plural,ch'anky'aa,1.0911664790779574,ch'anky'aa,demon
δαιμόνιον,278,unigram,neuter,accusative,singular,ch'anky'aa,1.0262355539829555,ch'anky'aa,demon
δαιμόνιον,161,unigram,neuter,nominative,plural,ch'anky'aa,1.2424465171190142,ch'anky'aa,demon
δαιμόνιον,143,unigram,neuter,nominative,singular,ch'anky'aa,1.223520321604395,ch'anky'aa,demon
δηνάριον,256,unigram,neuter,accusative,plural,laraa,1.5313813421512632,laraa,denarius (about a day's wages)
δηνάριον,133,unigram,neuter,accusative,singular,silver,1.205492582930068,silver,denarius (about a day's wages)
μαθητής,148,unigram,masculine,accusative,plural,ditsyaa,3.958165669872437,ditsyaa,disciple
