lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1353_translation,english_translation
θεός,320,unigram,masculine,accusative,plural,ngöbötre,1.21698205954971,ngöbötre,God
θεός,133,unigram,masculine,accusative,singular,Ngöbö,2.2530563861348685,Ngöbö,God
θεός,204,unigram,masculine,nominative,singular,Ngöbö,1.510853570807701,Ngöbö,God
κύριος,322,unigram,masculine,nominative,plural,bkänkätre,1.097671465961788,bkänkätre,"Lord, lord, master"
κύριος,134,unigram,masculine,nominative,singular,Dänkien,1.1253955413075531,Dänkien,"Lord, lord, master"
γραφή,128,unigram,feminine,accusative,plural,Kukweibtä,1.1313199780308067,Kukweibtä,Scripture
γραφή,51,unigram,feminine,accusative,singular,tödekaba,1.1220367876686888,tödekaba,Scripture
γραφή,253,unigram,feminine,nominative,plural,tikani,1.0114120566066835,tikani,Scripture
γραφή,314,unigram,feminine,nominative,singular,Kukweibtä,1.2538783396833877,Kukweibtä,Scripture
ἄγγελος,48,unigram,masculine,nominative,plural,angele,1.9930814142606557,angele,angel
ἄγγελος,107,unigram,masculine,nominative,singular,angele,2.428944921374992,angele,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,ngwianka,1.2661404125866986,ngwianka,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,juanka,1.0315273603920525,juanka,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,järika,1.162627736530104,järika,authority
ἐξουσία,194,unigram,feminine,accusative,singular,di,1.5457086280353611,di,authority
βρέφος,17,unigram,neuter,accusative,plural,biankäre,1.0812293556660135,biankäre,babies
βρέφος,313,unigram,neuter,accusative,singular,kukwänte,2.4324019043765728,kukwänte,babies
ἀποθήκη,259,unigram,feminine,accusative,plural,ükakrä,1.7865633718931206,ükakrä,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,trigo,1.0407727675634966,trigo,barn
φραγμός,230,unigram,masculine,accusative,plural,Nän,1.3304909571822083,Nän,"barrier, wall"
φραγμός,111,unigram,masculine,accusative,singular,ñöi,1.1197866618593253,ñöi,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,järika,1.1624325129261897,järika,beginning
ἀρχή,177,unigram,feminine,accusative,singular,Jesuye.Jesukwe,1.0667520203191874,Jesuye.Jesukwe,beginning
ζώνη,221,unigram,feminine,accusative,singular,nbikwatabti,1.096635398299773,nbikwatabti,belt
