lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_921_translation,english_translation
θεός,104,unigram,masculine,accusative,singular,Nguluvi,10.781920402780834,Nguluvi,God
θεός,165,unigram,masculine,nominative,singular,Nguluvi,9.078228453604758,Nguluvi,God
κύριος,105,unigram,masculine,nominative,singular,Umutwa,4.324555154433524,Umutwa,"Lord, lord, master"
γραφή,101,unigram,feminine,accusative,plural,Uwandike,1.3682220475781444,Uwandike,Scripture
γραφή,36,unigram,feminine,accusative,singular,Uwandike,1.807652313631216,Uwandike,Scripture
γραφή,204,unigram,feminine,nominative,plural,Uwandike,1.1034081958162951,Uwandike,Scripture
γραφή,251,unigram,feminine,nominative,singular,Uwandike,1.0282120978900575,Uwandike,Scripture
ἄγγελος,72,unigram,masculine,accusative,plural,vanyivaha,1.9180530580519863,vanyivaha,angel
ἄγγελος,63,unigram,masculine,accusative,singular,ngumutuma,1.4033343806563279,ngumutuma,angel
ἄγγελος,33,unigram,masculine,nominative,plural,vanyivaha,3.0038829434993564,vanyivaha,angel
ἄγγελος,81,unigram,masculine,nominative,singular,munyivaha,2.958553920998388,munyivaha,angel
ἐξουσία,157,unigram,feminine,accusative,singular,uludali,3.1342788006175852,uludali,authority
βρέφος,250,unigram,neuter,accusative,singular,mwipugu,1.887566349315513,mwipugu,babies
ἀποθήκη,52,unigram,feminine,accusative,singular,mukisande,1.1236400652057628,mukisande,barn
φραγμός,86,unigram,masculine,accusative,singular,ulusito,1.210068969709598,ulusito,"barrier, wall"
ζώνη,136,unigram,feminine,accusative,plural,mapesa,1.1613026128296644,mapesa,belt
βλασφημία,24,unigram,feminine,accusative,plural,yakumuliga,1.0960768946513286,yakumuliga,blasphemy
πλοῖον,79,unigram,neuter,accusative,plural,ifipugu,2.162381972721006,ifipugu,boat
πλοῖον,239,unigram,neuter,accusative,singular,mukipugu,1.9346960736380183,mukipugu,boat
πλοῖον,179,unigram,neuter,nominative,singular,ikipugu,1.8148002431830736,ikipugu,boat
σῶμα,45,unigram,neuter,nominative,singular,umuvili,1.6217601378007949,umuvili,body
κλῆμα,117,unigram,neuter,nominative,singular,ilitagala,1.5766014418748715,ilitagala,branch
ἄρτος,242,unigram,masculine,accusative,plural,imikate,2.4758479134495475,imikate,bread
ἄρτος,262,unigram,masculine,accusative,singular,umukate,2.8373732693557416,umukate,bread
ἄρτος,122,unigram,masculine,nominative,plural,Manyi,1.1409508631336205,Manyi,bread
ἄρτος,27,unigram,masculine,nominative,singular,mukate,2.033969056758245,mukate,bread
ἀδελφός,231,unigram,masculine,accusative,plural,vanyalukolo,1.9145492753416682,vanyalukolo,brother
ἀδελφός,94,unigram,masculine,accusative,singular,Yakobo,1.1296776696358874,Yakobo,brother
ἀδελφός,85,unigram,masculine,nominative,plural,avanyalukolo,2.860978303934268,avanyalukolo,brother
ἀδελφός,184,unigram,masculine,nominative,singular,umunyalukolo,1.3130651375874485,umunyalukolo,brother
στῆθος,217,unigram,neuter,accusative,singular,umunyigendo,1.0984501622877263,umunyigendo,"chest, breast"
ἀρχιερεύς,190,unigram,masculine,accusative,plural,avatambisi,1.2162270166668512,avatambisi,chief priest
ἀρχιερεύς,93,unigram,masculine,nominative,plural,avavina,1.148494652064937,avavina,chief priest
ἀρχιερεύς,193,unigram,masculine,nominative,singular,Umutambisi,1.6205150608911336,Umutambisi,chief priest
τέκνον,257,unigram,neuter,accusative,plural,vana,3.7805628903598887,vana,child
τέκνον,141,unigram,neuter,accusative,singular,amupituka,1.0149927631330415,amupituka,child
