lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_733_translation,english_translation
θεός,100,unigram,masculine,accusative,singular,God,4.430605383032754,God,God
θεός,21,unigram,masculine,nominative,plural,hihtuya,1.097258004808277,hihtuya,God
θεός,160,unigram,masculine,nominative,singular,God,5.670779779089132,God,God
κύριος,101,unigram,masculine,nominative,singular,Tutuyqawhqa,4.170339851062127,Tutuyqawhqa,"Lord, lord, master"
γραφή,97,unigram,feminine,accusative,plural,tutuvenit,1.1733190866309495,tutuvenit,Scripture
γραφή,39,unigram,feminine,accusative,singular,pey,1.3009300865258069,pey,Scripture
γραφή,206,unigram,feminine,nominative,plural,tutuveni,1.5896355329183092,tutuveni,Scripture
γραφή,257,unigram,feminine,nominative,singular,pey,1.6648452776739149,pey,Scripture
ἄγγελος,73,unigram,masculine,accusative,plural,ihoṅviaymuy,1.0965410826621873,ihoṅviaymuy,angel
ἄγγελος,64,unigram,masculine,accusative,singular,upyeve,1.0500981916898025,upyeve,angel
ἄγγελος,36,unigram,masculine,nominative,plural,hoṅvia,1.853449225473814,hoṅvia,angel
ἄγγελος,81,unigram,masculine,nominative,singular,hoṅviayaat,1.1187214157225909,hoṅviayaat,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,ayaiwyuṅqam,2.064002226436249,ayaiwyuṅqam,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,ayatiwhqa,1.0595512823290478,ayatiwhqa,apostle
ἐξουσία,153,unigram,feminine,accusative,singular,öqalat,3.790125142186007,öqalat,authority
βρέφος,11,unigram,neuter,accusative,plural,tóṅokniqat,1.161328723715616,tóṅokniqat,babies
βρέφος,256,unigram,neuter,accusative,singular,tumalvopkot,1.0810922260060456,tumalvopkot,babies
ἀρχή,137,unigram,feminine,accusative,singular,mohtihaq,1.1062845238338443,mohtihaq,beginning
ζώνη,173,unigram,feminine,accusative,singular,mōmohtuy,1.0960524252565438,mōmohtuy,belt
βλασφημία,24,unigram,feminine,accusative,plural,k̇aptsilawu,1.0960768946513286,k̇aptsilawu,blasphemy
