lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_734_translation,english_translation
θεός,360,unigram,masculine,accusative,plural,wapômbêŋ,1.6822515662267843,wapômbêŋ,God
θεός,152,unigram,masculine,accusative,singular,Wapômbêŋ,2.5633584169052845,Wapômbêŋ,God
θεός,36,unigram,masculine,nominative,plural,wapômbêŋ.,1.5863219987167334,wapômbêŋ.,God
θεός,233,unigram,masculine,nominative,singular,Wapômbêŋ,6.01439603931759,Wapômbêŋ,God
κύριος,153,unigram,masculine,nominative,singular,Bêŋ,1.99138844099484,Bêŋ,"Lord, lord, master"
γραφή,147,unigram,feminine,accusative,plural,kapya,1.2179235335462748,kapya,Scripture
γραφή,60,unigram,feminine,accusative,singular,bu,1.0663207006211544,bu,Scripture
γραφή,291,unigram,feminine,nominative,plural,injik,1.6646068780671408,injik,Scripture
γραφή,356,unigram,feminine,nominative,singular,kapya,2.0917002725739544,kapya,Scripture
ἄγγελος,114,unigram,masculine,accusative,plural,aŋela,1.757409141236046,aŋela,angel
ἄγγελος,96,unigram,masculine,accusative,singular,Malakai,1.5869814052305429,Malakai,angel
ἄγγελος,56,unigram,masculine,nominative,plural,aŋela,1.824951530389307,aŋela,angel
ἄγγελος,125,unigram,masculine,nominative,singular,aŋela,5.872112292043287,aŋela,angel
ἀπόστολος,53,unigram,masculine,nominative,plural,aposel,2.787379901010319,aposel,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,biŋ,1.0752977216250692,biŋ,apostle
ἐξουσία,79,unigram,feminine,accusative,plural,nanaŋ,1.1433811870026174,nanaŋ,authority
ἐξουσία,223,unigram,feminine,accusative,singular,athêŋ,1.936952277850716,athêŋ,authority
βρέφος,21,unigram,neuter,accusative,plural,ethaŋ,1.129303099646059,ethaŋ,babies
βρέφος,354,unigram,neuter,accusative,singular,kasek,1.0595384180401852,kasek,babies
φραγμός,260,unigram,masculine,accusative,plural,kudum,1.3263191276629986,kudum,"barrier, wall"
φραγμός,129,unigram,masculine,accusative,singular,thôk,1.0258486843127548,thôk,"barrier, wall"
ἀρχή,82,unigram,feminine,accusative,plural,nanaŋ,1.1615096549457629,nanaŋ,beginning
ἀρχή,205,unigram,feminine,accusative,singular,môŋ,1.6586694331247571,môŋ,beginning
βλασφημία,40,unigram,feminine,accusative,plural,hasoŋ,1.0172984383039354,hasoŋ,blasphemy
βλασφημία,231,unigram,feminine,nominative,plural,waliliŋ,1.1862356871222677,waliliŋ,blasphemy
βλασφημία,97,unigram,feminine,nominative,singular,leŋdaŋ,1.1062485993005018,leŋdaŋ,blasphemy
πλοῖον,123,unigram,neuter,accusative,plural,yeŋ,1.0175867396623757,yeŋ,boat
πλοῖον,339,unigram,neuter,accusative,singular,yeŋ,5.368740099429816,yeŋ,boat
πλοῖον,266,unigram,neuter,nominative,plural,i.,1.165375831800999,i.,boat
πλοῖον,252,unigram,neuter,nominative,singular,yeŋ,1.0175867396623757,yeŋ,boat
σῶμα,240,unigram,neuter,nominative,plural,veŋiŋlokwaŋ,1.2872628576004848,veŋiŋlokwaŋ,body
σῶμα,70,unigram,neuter,nominative,singular,lemvimkupik,1.5715949819547403,lemvimkupik,body
κλῆμα,67,unigram,neuter,nominative,plural,yahadahaliŋ,1.0960622061228922,yahadahaliŋ,branch
κλῆμα,170,unigram,neuter,nominative,singular,hadahaliŋ,1.1133081710155124,hadahaliŋ,branch
ἄρτος,343,unigram,masculine,accusative,plural,polom,2.7311544191445267,polom,bread
ἄρτος,369,unigram,masculine,accusative,singular,polom,2.254666647848805,polom,bread
ἄρτος,179,unigram,masculine,nominative,plural,polom,1.2327988319177263,polom,bread
ἄρτος,47,unigram,masculine,nominative,singular,polom,3.304437563426017,polom,bread
ἀδελφός,329,unigram,masculine,accusative,plural,iviyaŋ,1.623628240299776,iviyaŋ,brother
ἀδελφός,138,unigram,masculine,accusative,singular,loyaŋ,1.021148095404509,loyaŋ,brother
ἀδελφός,128,unigram,masculine,nominative,plural,iviyaŋ,3.591885096467638,iviyaŋ,brother
ἀδελφός,258,unigram,masculine,nominative,singular,loyaŋ,1.2438682325202377,loyaŋ,brother
στῆθος,175,unigram,neuter,accusative,plural,êvôi,1.1410836578634698,êvôi,"chest, breast"
στῆθος,313,unigram,neuter,accusative,singular,opalê,1.1022406876373585,opalê,"chest, breast"
ἀρχιερεύς,270,unigram,masculine,accusative,plural,êbôk,1.2265770388453634,êbôk,chief priest
ἀρχιερεύς,71,unigram,masculine,accusative,singular,habôk,1.319442276659608,habôk,chief priest
ἀρχιερεύς,137,unigram,masculine,nominative,plural,êbôk,1.1610769384255994,êbôk,chief priest
