lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_732_translation,english_translation
θεός,313,unigram,masculine,accusative,plural,सकालव,1.1634492944761525,सकालव,God
θεός,129,unigram,masculine,accusative,singular,परमेश्वर,3.7084773160814013,परमेश्वर,God
θεός,29,unigram,masculine,nominative,plural,हुईर,1.1229675588924806,हुईर,God
θεός,202,unigram,masculine,nominative,singular,परमेश्वर,17.620110036423835,परमेश्वर,God
κύριος,130,unigram,masculine,nominative,singular,प्रभु,1.4406610296601978,प्रभु,"Lord, lord, master"
γραφή,125,unigram,feminine,accusative,plural,पवित्रशास्त्र,3.885831496201726,पवित्रशास्त्र,Scripture
γραφή,250,unigram,feminine,nominative,plural,पुरा,1.3906603409530147,पुरा,Scripture
γραφή,308,unigram,feminine,nominative,singular,पवित्रशास्त्र,2.4402926873694106,पवित्रशास्त्र,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,स्वर्गदूतगोळ,1.356197354406693,स्वर्गदूतगोळ,angel
ἄγγελος,45,unigram,masculine,nominative,plural,स्वर्गदूत,2.8253552823553174,स्वर्गदूत,angel
ἄγγελος,104,unigram,masculine,nominative,singular,स्वर्गदूत,6.000980107180972,स्वर्गदूत,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,प्रेरितगोळ,1.9294577907921684,प्रेरितगोळ,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,कळुदव,1.3264197692010056,कळुदव,apostle
ἐξουσία,67,unigram,feminine,accusative,plural,अधिकारीगोळ्द,1.0962199599997684,अधिकारीगोळ्द,authority
ἐξουσία,194,unigram,feminine,accusative,singular,अधिकार,7.09383825573428,अधिकार,authority
βρέφος,14,unigram,neuter,accusative,plural,तरली,1.0595416318177246,तरली,babies
βρέφος,307,unigram,neuter,accusative,singular,चरनी,1.4995495031175863,चरनी,babies
φραγμός,108,unigram,masculine,accusative,singular,मचान,1.0595319950666118,मचान,"barrier, wall"
ἀρχή,176,unigram,feminine,accusative,singular,तोर्सकु,1.0493379808291403,तोर्सकु,beginning
ζώνη,167,unigram,feminine,accusative,plural,ईटेतीर,1.0960524252565438,ईटेतीर,belt
βλασφημία,33,unigram,feminine,accusative,plural,पापगोळी,1.1505505525775717,पापगोळी,blasphemy
βλασφημία,91,unigram,feminine,accusative,singular,हरदुन,1.1613461516800319,हरदुन,blasphemy
βλασφημία,200,unigram,feminine,nominative,plural,अपमान,1.4379260362042643,अपमान,blasphemy
βλασφημία,79,unigram,feminine,nominative,singular,अपमान,1.2998217915154762,अपमान,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,ड्वांगागोळी,2.559846381405626,ड्वांगागोळी,boat
πλοῖον,291,unigram,neuter,accusative,singular,ड्वांगा,4.65575523815488,ड्वांगा,boat
πλοῖον,231,unigram,neuter,nominative,plural,बिट्टुर,1.3270697859856349,बिट्टुर,boat
πλοῖον,218,unigram,neuter,nominative,singular,ड्वांगा,2.0073491109828523,ड्वांगा,boat
σῶμα,58,unigram,neuter,nominative,singular,मय,1.5814093124366093,मय,body
κλῆμα,54,unigram,neuter,nominative,plural,खांदीगोळ,1.0960622061228922,खांदीगोळ,branch
κλῆμα,144,unigram,neuter,nominative,singular,खांदी,1.3502510562313164,खांदी,branch
ἄρτος,296,unigram,masculine,accusative,plural,रोट्टीगोळी,1.0507939760771352,रोट्टीगोळी,bread
ἄρτος,322,unigram,masculine,accusative,singular,रोट्टी,8.50663176021703,रोट्टी,bread
ἄρτος,151,unigram,masculine,nominative,plural,रोट्टी,1.414963123409363,रोट्टी,bread
ἄρτος,37,unigram,masculine,nominative,singular,रोट्टी,2.867527879758043,रोट्टी,bread
ἀδελφός,282,unigram,masculine,accusative,plural,वार्टुर,2.406461817224265,वार्टुर,brother
ἀδελφός,116,unigram,masculine,accusative,singular,वार्ट,3.1081080451641734,वार्ट,brother
ἀδελφός,107,unigram,masculine,nominative,plural,वार्टुर,1.7857204282589993,वार्टुर,brother
ἀδελφός,224,unigram,masculine,nominative,singular,वार्ट,7.5557065657739875,वार्ट,brother
στῆθος,148,unigram,neuter,accusative,plural,बडुत,1.1613200159490844,बडुत,"chest, breast"
στῆθος,267,unigram,neuter,accusative,singular,याद्दा,1.6946211124236878,याद्दा,"chest, breast"
ἀρχιερεύς,233,unigram,masculine,accusative,plural,प्रधान,1.7114115556087677,प्रधान,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,महायाजक,1.711017204015277,महायाजक,chief priest
ἀρχιερεύς,115,unigram,masculine,nominative,plural,प्रधान,2.055783586367542,प्रधान,chief priest
ἀρχιερεύς,237,unigram,masculine,nominative,singular,महायाजक,5.275916210599569,महायाजक,chief priest
παῖς,47,unigram,masculine,accusative,singular,सौप्सदुन,1.0961210847775034,सौप्सदुन,child
τέκνον,316,unigram,neuter,accusative,plural,औलाद,1.2099037823459933,औलाद,child
τέκνον,173,unigram,neuter,accusative,singular,वार्ट,1.002698386491796,वार्ट,child
