lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_737_translation,version_738_translation,version_739_translation,english_translation
θεός,129,unigram,masculine,accusative,singular,Boga,228.50522531218462,Boga,Boga,Boga,God
θεός,28,unigram,masculine,nominative,plural,bogovi,1.097258004808277,,bogovi,,God
θεός,202,unigram,masculine,nominative,singular,Bog,195.35262178382348,Bog,Bog,Bog,God
κύριος,130,unigram,masculine,nominative,singular,Gospodin,1.958597906490766,gospodar,Gospodin,Gospodin,"Lord, lord, master"
γραφή,125,unigram,feminine,accusative,plural,,,Pisma,,Sveto,Scripture
γραφή,48,unigram,feminine,accusative,singular,tekst,1.1063446289765493,,tekst,,Scripture
γραφή,256,unigram,feminine,nominative,plural,,,Pisma,mora,ispunilo,Scripture
γραφή,319,unigram,feminine,nominative,singular,Pismo,2.821550979357952,Pismo,,,Scripture
ἄγγελος,94,unigram,masculine,accusative,plural,anđele,7.822564584945934,anđele,anđele,anđele,angel
ἄγγελος,83,unigram,masculine,accusative,singular,glasnika,1.0500981916898025,,glasnika,,angel
ἄγγελος,44,unigram,masculine,nominative,plural,anđeli,56.24273009601945,anđeli,anđeli,anđeli,angel
ἄγγελος,105,unigram,masculine,nominative,singular,anđeo,8.637273572752953,anđeo,anđeo,anđeo,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,apostoli,7.892246343017371,apostoli,apostoli,apostoli,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,poslanik,glasnik,,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,izvedu,1.0962199599997684,,izvedu,,authority
ἐξουσία,192,unigram,feminine,accusative,singular,vlast,60.3410137885511,vlast,vlast,vlast,authority
βρέφος,16,unigram,neuter,accusative,plural,,,,dotakne,malu,babies
βρέφος,317,unigram,neuter,accusative,singular,jaslama,1.999949063699646,,,jaslama,babies
ἀποθήκη,262,unigram,feminine,accusative,plural,žitnice,7.9993885240918114,žitnice,žitnice,žitnice,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,žitnicu,2.3479729410728587,,žitnicu,žitnicu,barn
φραγμός,109,unigram,masculine,accusative,singular,,,kulu,toranj,,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,,,,izvedu,poglavare,beginning
βλασφημία,32,unigram,feminine,accusative,plural,,,promišljati,,huli,blasphemy
βλασφημία,93,unigram,feminine,accusative,singular,Hulio,1.0960768946513286,,,Hulio,blasphemy
βλασφημία,200,unigram,feminine,nominative,plural,,,hule,grijesi,,blasphemy
βλασφημία,84,unigram,feminine,nominative,singular,,,hula,kleveta,,blasphemy
πλοῖον,103,unigram,neuter,accusative,plural,lađice,5.57512608319093,lađe,lađice,lađice,boat
πλοῖον,303,unigram,neuter,accusative,singular,lađu,6.488924958120758,lađu,lađicu,lađu,boat
πλοῖον,221,unigram,neuter,nominative,singular,lađa,2.9998357508366333,lađa,lađica,lađa,boat
σῶμα,209,unigram,neuter,nominative,plural,tijela,5.704308856929604,tijela,tijela,tijela,body
σῶμα,58,unigram,neuter,nominative,singular,tijelo,14.29479481457306,tijelo,tijelo,tijelo,body
κλῆμα,54,unigram,neuter,nominative,plural,mladice,1.2013523596909814,mladice,izdanci,mladice,branch
κλῆμα,146,unigram,neuter,nominative,singular,mladica,2.1845644600840237,mladica,ostane,mladica,branch
ἄρτος,307,unigram,masculine,accusative,plural,kruhova,4.700400575816952,kruhova,kruhova,kruhova,bread
ἄρτος,332,unigram,masculine,accusative,singular,kruh,40.59386985223286,kruh,kruh,kruh,bread
ἄρτος,154,unigram,masculine,nominative,plural,,,kruha,,hrane,bread
ἄρτος,36,unigram,masculine,nominative,singular,kruh,15.903396084811803,kruh,kruh,kruh,bread
ἀδελφός,293,unigram,masculine,accusative,plural,braću,7.67180493357865,braću,braću,braću,brother
ἀδελφός,118,unigram,masculine,accusative,singular,brata,16.70146655510649,brata,brata,brata,brother
ἀδελφός,108,unigram,masculine,nominative,plural,braća,5.422250391369666,braća,braća,braća,brother
ἀδελφός,227,unigram,masculine,nominative,singular,brat,188.27330153491576,brat,brat,brat,brother
στῆθος,151,unigram,neuter,accusative,plural,vraćalo,1.0960622061228922,,,vraćalo,"chest, breast"
στῆθος,278,unigram,neuter,accusative,singular,,,Gospodine,upitao,,"chest, breast"
ἀρχιερεύς,237,unigram,masculine,accusative,plural,,,glavarima,vodećim,svećeničkim,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,svećeniku,1.4440551612208363,svećeniku,vrhovnom,svećeniku,chief priest
ἀρχιερεύς,117,unigram,masculine,nominative,plural,,,svećenički,svećenici,poglavari,chief priest
ἀρχιερεύς,241,unigram,masculine,nominative,singular,svećenik,1.7655107433187875,svećenik,svećenik,svećenik,chief priest
παῖς,231,unigram,masculine,accusative,plural,jako,1.7684764188246855,jako,jako,,child
παῖς,46,unigram,masculine,accusative,singular,grčiti,1.0961210847775034,,,grčiti,child
τέκνον,326,unigram,neuter,accusative,plural,djecu,30.057942276835934,djecu,djecu,djecu,child
τέκνον,175,unigram,neuter,accusative,singular,,,brat,Brat,,child
τέκνον,17,unigram,neuter,nominative,plural,otac,1.2015921631325723,otac,otac,otac,child
τέκνον,186,unigram,neuter,nominative,singular,,,ʻSine,Sine,Sinko,child
παιδίον,15,unigram,neuter,accusative,plural,,,dječicu,djecu,,child
παιδίον,89,unigram,neuter,accusative,singular,dijete,38.50433702050587,dijete,dijete,dijete,child
παιδίον,168,unigram,neuter,nominative,plural,djeca,1.2316390844935698,djeca,,,child
παιδίον,38,unigram,neuter,nominative,singular,dijete,3.2124844212089907,dijete,dijete,,child
πόλις,177,unigram,feminine,accusative,plural,gradove,3.245347632924718,gradove,gradove,,city
πόλις,63,unigram,feminine,accusative,singular,grad,84.56625131158631,grad,grad,grad,city
