lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_742_translation,english_translation
θεός,82,unigram,masculine,accusative,singular,Yuusan,1.8724582162968264,Yuusan,God
θεός,17,unigram,masculine,nominative,plural,Atumetrume,1.297225727579602,Atumetrume,God
θεός,130,unigram,masculine,nominative,singular,Yuus,2.078992210991854,Yuus,God
κύριος,83,unigram,masculine,nominative,singular,patrónkri,1.286704358687521,patrónkri,"Lord, lord, master"
γραφή,209,unigram,feminine,nominative,singular,aarmauwa,1.36513832933279,aarmauwa,Scripture
ἄγγελος,56,unigram,masculine,accusative,plural,nayaimpinmaya,1.4159780106462845,nayaimpinmaya,angel
ἄγγελος,27,unigram,masculine,nominative,plural,nayaimpinmaya,1.0997071619578709,nayaimpinmaya,angel
ἄγγελος,67,unigram,masculine,nominative,singular,nayaimpinmaya,4.017964004368731,nayaimpinmaya,angel
βρέφος,208,unigram,neuter,accusative,singular,tuntuiparin,1.1923499058244968,tuntuiparin,babies
ἀρχή,112,unigram,feminine,accusative,singular,yama,1.1245663355009057,yama,beginning
ζώνη,107,unigram,feminine,accusative,plural,orosha,1.0960524252565438,orosha,belt
ζώνη,142,unigram,feminine,accusative,singular,yumirin,1.0960524252565438,yumirin,belt
βλασφημία,128,unigram,feminine,nominative,plural,pegkerchau,1.1021934457761426,pegkerchau,blasphemy
πλοῖον,65,unigram,neuter,accusative,plural,amikri,1.0817414011467612,amikri,boat
πλοῖον,196,unigram,neuter,accusative,singular,botenam,5.138453447870447,botenam,boat
πλοῖον,152,unigram,neuter,nominative,plural,botenmasha,1.096239847813496,botenmasha,boat
σῶμα,35,unigram,neuter,nominative,singular,iyashrua,1.117340345486982,iyashrua,body
κλῆμα,93,unigram,neuter,nominative,singular,kanawe,1.9999490850064168,kanawe,branch
ἄρτος,200,unigram,masculine,accusative,plural,pankan,1.274827331717559,pankan,bread
ἄρτος,219,unigram,masculine,accusative,singular,pankan,1.7298335746190168,pankan,bread
ἄρτος,99,unigram,masculine,nominative,plural,yutai,1.3184381026341379,yutai,bread
ἀδελφός,188,unigram,masculine,accusative,plural,yachi,1.7392122817029405,yachi,brother
ἀδελφός,74,unigram,masculine,accusative,singular,yachi,2.3965203081665134,yachi,brother
ἀδελφός,69,unigram,masculine,nominative,plural,yachi,2.1444484173278227,yachi,brother
ἀδελφός,148,unigram,masculine,nominative,singular,yachi,1.818587547119684,yachi,brother
στῆθος,178,unigram,neuter,accusative,singular,yaita,1.3432322125716172,yaita,"chest, breast"
ἀρχιερεύς,154,unigram,masculine,accusative,plural,sacerdote,1.8095027790915024,sacerdote,chief priest
ἀρχιερεύς,36,unigram,masculine,accusative,singular,sacerdote,1.2614114974234136,sacerdote,chief priest
ἀρχιερεύς,73,unigram,masculine,nominative,plural,sacerdote,1.0102705886209171,sacerdote,chief priest
ἀρχιερεύς,159,unigram,masculine,nominative,singular,sacerdote,1.1949718768670403,sacerdote,chief priest
παῖς,151,unigram,masculine,accusative,plural,senchi,1.1814915141450903,senchi,child
τέκνον,215,unigram,neuter,accusative,plural,uchiri,1.3461286094213871,uchiri,child
τέκνον,120,unigram,neuter,nominative,singular,Uchiru,1.9004496000481397,Uchiru,child
παιδίον,52,unigram,neuter,accusative,singular,uchin,1.4095114243048523,uchin,child
παιδίον,23,unigram,neuter,nominative,singular,enentaimturaina,1.1278902218653428,enentaimturaina,child
πόλις,113,unigram,feminine,accusative,plural,yaakat,1.3744861444671428,yaakat,city
πόλις,39,unigram,feminine,accusative,singular,yaakat,1.2118066200844044,yaakat,city
χιτών,18,unigram,masculine,accusative,singular,jurutramkaisha,1.1160074173855494,jurutramkaisha,"clothing, undergarments"
ἱμάτιον,81,unigram,neuter,accusative,plural,jaanchrin,1.1236693166955645,jaanchrin,coat
ἱμάτιον,80,unigram,neuter,accusative,singular,jaanch,1.0574583543172504,jaanch,coat
ἐντολή,46,unigram,feminine,accusative,singular,umiktarma,1.0571168253731706,umiktarma,commandment
συνέδριον,205,unigram,neuter,accusative,plural,ainanam,1.3111024368026567,ainanam,council
χώρα,45,unigram,feminine,accusative,plural,uwemrartasa,1.09612600636564,uwemrartasa,"country, countryside"
ὄχλος,32,unigram,masculine,accusative,plural,ainan,1.3310760425799375,ainan,crowd
ὄχλος,5,unigram,masculine,accusative,singular,shuar,2.118813879032881,shuar,crowd
ὄχλος,58,unigram,masculine,nominative,plural,shuar,1.3979761284676444,shuar,crowd
ὄχλος,175,unigram,masculine,nominative,singular,nukap,1.5797330467239503,nukap,crowd
ἡμέρα,44,unigram,feminine,accusative,plural,tsawan,3.4394423703834236,tsawan,day
ἡμέρα,49,unigram,feminine,accusative,singular,kashinig,1.4567620587217178,kashinig,day
ἡμέρα,1,unigram,feminine,nominative,plural,tsawan,2.987017116378268,tsawan,day
ἡμέρα,40,unigram,feminine,nominative,singular,Pascua,1.456543979658706,Pascua,day
δαιμόνιον,19,unigram,neuter,accusative,plural,iwanch,1.4966159183218226,iwanch,demon
δαιμόνιον,211,unigram,neuter,accusative,singular,iwanch,2.1576421851435272,iwanch,demon
δαιμόνιον,122,unigram,neuter,nominative,plural,iwanch,1.9231062834200288,iwanch,demon
δηνάριον,191,unigram,neuter,accusative,plural,akirkata,1.7541367785304045,akirkata,denarius (about a day's wages)
