lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1123_translation,version_1124_translation,version_1125_translation,version_1126_translation,version_1127_translation,version_1128_translation,english_translation
θεός,122,unigram,masculine,accusative,singular,Istent,932.2221601908899,Istent,Istent,Istent,Istent,Istent,Istent,God
θεός,25,unigram,masculine,nominative,plural,istenek,1.321071348012435,,,,istenek,istenek,istenek,God
θεός,193,unigram,masculine,nominative,singular,Isten,197099.4485465031,Isten,Isten,Isten,Isten,Isten,Isten,God
κύριος,123,unigram,masculine,nominative,singular,Úr,16.151192272655038,Úr,Úr,Úr,Úr,Úr,Úr,"Lord, lord, master"
γραφή,118,unigram,feminine,accusative,plural,Írásokat,33.537557135485194,Írásokat,írásokat,írásokat,Írásokat,Írásokat,Írásokat,Scripture
γραφή,47,unigram,feminine,accusative,singular,írást,3.9997947117184753,Írás,írást,írást,,,Írást,Scripture
γραφή,242,unigram,feminine,nominative,plural,,,Írások,beteljesedjenek,írások,kell,kell,Írások,Scripture
γραφή,302,unigram,feminine,nominative,singular,Írás,115.91088663778056,Írás,írás,írás,Írás,Írás,Írás,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,angyalait,1.487126115304709,,angyalait,,,,,angel
ἄγγελος,43,unigram,masculine,nominative,plural,angyalok,4092.6986844601156,angyalok,angyalok,angyalok,angyalok,angyalok,angyalok,angel
ἄγγελος,98,unigram,masculine,nominative,singular,angyal,2.4436549881837792,angyal,angyal,angyal,angyal,angyal,angyal,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,apostolok,35.05783607484875,apostolok,apostolok,apostolok,apostolok,apostolok,apostolok,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,uránál,1.155100448702044,uránál,elküldenek,Uránál,uránál,uránál,Uránál,apostle
ἐξουσία,184,unigram,feminine,accusative,singular,hatalmat,14.994375807907602,felhatalmazást,felhatalmazást,hatalmat,hatalmat,hatalmat,hatalmat,authority
βρέφος,13,unigram,neuter,accusative,plural,megérintse,1.255508950677359,megérintse,kisdedeket,,megérintse,,Kisgyermekeket,babies
βρέφος,301,unigram,neuter,accusative,singular,jászolban,2.0571818337376726,,,jászolban,jászolban,jászolban,kisgyermeket,babies
ἀποθήκη,64,unigram,feminine,accusative,singular,búzát,1.4675800420888785,búzát,,,,,,barn
ἀρχή,168,unigram,feminine,accusative,singular,eleitől,1.2238654476742756,,,,eleitől,kezdettől,eleitől,beginning
ζώνη,160,unigram,feminine,accusative,plural,Övetekben,1.0960524252565438,,Övetekben,,,,,belt
βλασφημία,29,unigram,feminine,accusative,plural,káromlásokat,1.0960768946513286,,káromlásokat,,,,,blasphemy
βλασφημία,86,unigram,feminine,accusative,singular,,,gyalázta,Káromolt,,,,,blasphemy
βλασφημία,191,unigram,feminine,nominative,plural,káromlások,3.9997960867405626,,,káromlások,,,káromlások,blasphemy
βλασφημία,76,unigram,feminine,nominative,singular,káromlás,3.9997960867405626,,,káromlás,,,káromlás,blasphemy
πλοῖον,96,unigram,neuter,accusative,plural,hajót,11.971910999753298,halászok,mentek,hajót,hajót,hajót,hajót,boat
πλοῖον,286,unigram,neuter,accusative,singular,hajóba,562.2088437293331,bárkába,hajóba,hajóba,hajóba,hajóba,hajóba,boat
πλοῖον,221,unigram,neuter,nominative,plural,hajóban,1.201741803934157,,hajóban,,,hajóban,,boat
πλοῖον,208,unigram,neuter,nominative,singular,hajó,49.13364547103967,bárka,hajó,hajó,hajó,hajó,hajó,boat
σῶμα,55,unigram,neuter,nominative,singular,tested,9.029762990965589,,,tested,tested,tested,tested,body
κλῆμα,137,unigram,neuter,nominative,singular,marad,1.1113635834596947,bennem,marad,szőlővessző,marad,marad,szőlővessző,branch
ἄρτος,291,unigram,masculine,accusative,plural,kenyeret,48.47631400575748,kenyeret,kenyeret,kenyeret,kenyeret,kenyeret,kenyeret,bread
ἄρτος,315,unigram,masculine,accusative,singular,kenyeret,5218.0778087400295,kenyeret,kenyeret,kenyeret,kenyeret,kenyeret,kenyeret,bread
ἄρτος,145,unigram,masculine,nominative,plural,kenyér,1.80335407479698,kenyeret,kenyerünk,,kenyér,kenyér,,bread
ἄρτος,35,unigram,masculine,nominative,singular,kenyér,1.927638162751059,kenyér,mennyből,kenyér,kenyér,kenyér,kenyér,bread
ἀδελφός,276,unigram,masculine,accusative,plural,testvéreit,2.1697265320897143,testvéreit,testvéreket,gyermekeit,testvéreit,testvéreit,testvéreit,brother
ἀδελφός,110,unigram,masculine,accusative,singular,testvérét,64.75017060673733,testvérét,testvérét,testvérét,testvérét,testvérét,testvérét,brother
ἀδελφός,101,unigram,masculine,nominative,plural,testvérei,1.4310179653904818,testvérei,testvérei,anyám,,,,brother
ἀδελφός,214,unigram,masculine,nominative,singular,testvére,28.22431809612767,testvére,testvére,testvére,testvére,testvére,testvére,brother
στῆθος,261,unigram,neuter,accusative,singular,,,hajolt,keblére,,,megkérdezte,,"chest, breast"
ἀρχιερεύς,225,unigram,masculine,accusative,plural,főpapokhoz,50.66052721044263,főpapokhoz,főpapokhoz,főpapokhoz,főpapokhoz,főpapokhoz,főpapokhoz,chief priest
ἀρχιερεύς,56,unigram,masculine,accusative,singular,főpaphoz,9.000781200001974,,főpaphoz,főpaphoz,főpaphoz,főpaphoz,főpaphoz,chief priest
ἀρχιερεύς,109,unigram,masculine,nominative,plural,főpapok,4895.517226982789,főpapok,főpapok,főpapok,főpapok,főpapok,főpapok,chief priest
ἀρχιερεύς,229,unigram,masculine,nominative,singular,főpap,3874.395208422307,főpap,főpap,főpap,főpap,főpap,főpap,chief priest
παῖς,218,unigram,masculine,accusative,plural,haragra,3.049096052807853,,fiúkat,látván,haragra,haragra,,child
παῖς,45,unigram,masculine,accusative,singular,dobta,1.0595770845675438,dobta,,,,,,child
τέκνον,309,unigram,neuter,accusative,plural,gyermekeit,6.09228619717166,gyermekeit,gyermekeket,gyermekeit,gyermekeit,gyermekeit,gyermekeit,child
τέκνον,166,unigram,neuter,accusative,singular,szüleik,1.1339044135450578,,szüleikre,,szüleik,szüleik,megöletik,child
τέκνον,14,unigram,neuter,nominative,plural,szüleik,1.141963006758445,,szüleikre,,szüleik,szüleik,megöletik,child
τέκνον,177,unigram,neuter,nominative,singular,Fiam,27.787034625177785,Fiam,Gyermekem,Fiam,Fiam,Fiam,Fiam,child
παιδίον,12,unigram,neuter,accusative,plural,ilyeneké,1.0973728622026753,,ilyeneké,ilyeneké,,,,child
παιδίον,82,unigram,neuter,accusative,singular,gyermeket,52.56964333363765,gyermeket,gyermeket,gyermeket,gyermeket,gyermeket,gyermeket,child
παιδίον,158,unigram,neuter,nominative,plural,kis,1.3879695851040144,,,kis,,,,child
παιδίον,37,unigram,neuter,nominative,singular,,,gyermek,gyermek,gyermek,kisgyermek,kisgyermek,kisgyermek,child
πόλις,169,unigram,feminine,accusative,plural,városokat,4.959263725021654,városokat,városokat,,városokat,városokat,tanított,city
πόλις,60,unigram,feminine,accusative,singular,városba,635.4719293594211,városba,városba,városba,városba,városba,városba,city
πύλη,190,unigram,feminine,nominative,singular,kapu,1.3352941895626949,,kapu,kapu,kapu,kapu,kapu,city gate
χιτών,105,unigram,masculine,accusative,plural,botot,1.329491401798098,ruhát,két,,botot,botot,sarut,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,alsóruhádat,6.39496737861896,kabátodat,,,alsóruhádat,alsóruhádat,alsóruhádat,"clothing, undergarments"
ἱμάτιον,120,unigram,neuter,accusative,plural,felsőruhájukat,2.6861393254958617,ruháit,köpenyét,felső,felsőruhájukat,felsőruhájukat,sorsot,coat
ἱμάτιον,119,unigram,neuter,accusative,singular,,,,köpenyét,ruháját,felsőruháját,felsőruháját,ruháját,coat
ἐντολή,74,unigram,feminine,accusative,plural,parancsolataimat,1.7924387478620036,,parancsolataimat,,,parancsolataimat,parancsolataimat,commandment
ἐντολή,72,unigram,feminine,accusative,singular,,,parancsát,,parancsolatot,parancsolatát,parancsolatát,parancsolatot,commandment
συνέδριον,296,unigram,neuter,accusative,plural,adnak,2.0883281883035685,bíróság,,adnak,,,adnak,council
συνέδριον,48,unigram,neuter,accusative,singular,főpapok,1.5057275092703561,összegyűltek,összegyűjtötték,,főpapok,főpapok,,council
χώρα,265,unigram,feminine,accusative,singular,gadaraiak,2.082669484695019,Gadara,vidékre,vidékre,gadaraiak,gadaraiak,gadaraiak,"country, countryside"
