lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_716_translation,english_translation
θεός,370,unigram,masculine,accusative,plural,gods,1.5297450450234398,gods,God
θεός,152,unigram,masculine,accusative,singular,God,6.526073934526763,God,God
θεός,33,unigram,masculine,nominative,plural,gods,1.2591437047102771,gods,God
θεός,237,unigram,masculine,nominative,singular,God,10.167997928248779,God,God
κύριος,372,unigram,masculine,nominative,plural,ownas,1.2586284575906634,ownas,"Lord, lord, master"
κύριος,153,unigram,masculine,nominative,singular,In,1.0049436182402407,In,"Lord, lord, master"
γραφή,147,unigram,feminine,accusative,plural,Bible,2.2269472904081167,Bible,Scripture
γραφή,58,unigram,feminine,accusative,singular,Bible,1.1758814138495557,Bible,Scripture
γραφή,298,unigram,feminine,nominative,plural,happen,1.0442897711262364,happen,Scripture
γραφή,366,unigram,feminine,nominative,singular,Bible,3.6231865814567352,Bible,Scripture
ἄγγελος,115,unigram,masculine,accusative,plural,angel,1.2056527541002044,angel,angel
ἄγγελος,95,unigram,masculine,accusative,singular,messenja,1.7839341374959805,messenja,angel
ἄγγελος,54,unigram,masculine,nominative,plural,angel,2.6563014619189502,angel,angel
ἄγγελος,125,unigram,masculine,nominative,singular,angel,2.7186942619907923,angel,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,sen,1.4692900749827948,sen,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,slave,1.2715134293577357,slave,apostle
ἐξουσία,76,unigram,feminine,accusative,plural,worry,1.2183926000674272,worry,authority
ἐξουσία,227,unigram,feminine,accusative,singular,powa,1.7289368523677218,powa,authority
βρέφος,19,unigram,neuter,accusative,plural,heads,1.245075795538108,heads,babies
βρέφος,365,unigram,neuter,accusative,singular,bebe,1.2639912368243773,bebe,babies
ἀποθήκη,75,unigram,feminine,accusative,singular,storage,1.2743994146790487,storage,barn
φραγμός,266,unigram,masculine,accusative,plural,roads,1.0258502764859465,roads,"barrier, wall"
φραγμός,130,unigram,masculine,accusative,singular,squeeze,1.1454417825320882,squeeze,"barrier, wall"
ἀρχή,79,unigram,feminine,accusative,plural,worry,1.2179957106882422,worry,beginning
ἀρχή,207,unigram,feminine,accusative,singular,Cana,1.6727060907299083,Cana,beginning
ζώνη,255,unigram,feminine,accusative,singular,grasshoppa,1.0960524252565438,grasshoppa,belt
βλασφημία,37,unigram,feminine,accusative,plural,ack,1.1424123853677104,ack,blasphemy
βλασφημία,112,unigram,feminine,accusative,singular,clothes,1.17884422574883,clothes,blasphemy
βλασφημία,235,unigram,feminine,nominative,plural,stuff.Dass,1.1795452282658914,stuff.Dass,blasphemy
βλασφημία,96,unigram,feminine,nominative,singular,shame,1.3558760556382723,shame,blasphemy
πλοῖον,123,unigram,neuter,accusative,plural,boats,1.830817217174966,boats,boat
πλοῖον,349,unigram,neuter,accusative,singular,boat,4.499685162997862,boat,boat
πλοῖον,272,unigram,neuter,nominative,plural,boats,1.3102599214081876,boats,boat
πλοῖον,257,unigram,neuter,nominative,singular,boat,1.2740066014711902,boat,boat
σῶμα,245,unigram,neuter,nominative,plural,bodies,1.6965732433311491,bodies,body
σῶμα,67,unigram,neuter,nominative,singular,body,2.0904810564009524,body,body
κλῆμα,171,unigram,neuter,nominative,singular,branch,1.4469478881200366,branch,branch
ἄρτος,354,unigram,masculine,accusative,plural,bread,2.0430964371990408,bread,bread
ἄρτος,382,unigram,masculine,accusative,singular,bread,2.1832106226530006,bread,bread
ἄρτος,180,unigram,masculine,nominative,plural,food,1.1800774154827278,food,bread
ἄρτος,45,unigram,masculine,nominative,singular,bread,3.4943007828016013,bread,bread
ἀδελφός,338,unigram,masculine,accusative,plural,braddahs,3.9149775522873522,braddahs,brother
ἀδελφός,139,unigram,masculine,accusative,singular,braddah,2.1274635985843067,braddah,brother
ἀδελφός,129,unigram,masculine,nominative,plural,braddahs,2.058305460193455,braddahs,brother
ἀδελφός,264,unigram,masculine,nominative,singular,braddah,6.345935716672144,braddah,brother
στῆθος,177,unigram,neuter,accusative,plural,ches,1.3263392362107662,ches,"chest, breast"
στῆθος,322,unigram,neuter,accusative,singular,aks,1.0028552171182736,aks,"chest, breast"
ἀρχιερεύς,276,unigram,masculine,accusative,plural,Pries,1.0150520079569445,Pries,chief priest
ἀρχιερεύς,68,unigram,masculine,accusative,singular,Pries,1.0207220115682414,Pries,chief priest
ἀρχιερεύς,138,unigram,masculine,nominative,plural,Pries,1.0059078510487092,Pries,chief priest
ἀρχιερεύς,282,unigram,masculine,nominative,singular,Pries,1.0126267971524978,Pries,chief priest
παῖς,268,unigram,masculine,accusative,plural,boys.,1.1133091990228827,boys.,child
παῖς,56,unigram,masculine,accusative,singular,shake,1.0224249940289625,shake,child
τέκνον,374,unigram,neuter,accusative,plural,kids,5.133245875651144,kids,child
τέκνον,204,unigram,neuter,accusative,singular,kids,1.248040199709599,kids,child
τέκνον,20,unigram,neuter,nominative,plural,kids,1.1770775932302442,kids,child
τέκνον,219,unigram,neuter,nominative,singular,boy,1.8770390167912685,boy,child
παιδίον,18,unigram,neuter,accusative,plural,kids,1.101956257924447,kids,child
παιδίον,105,unigram,neuter,accusative,singular,kid,2.2817424909968818,kid,child
παιδίον,197,unigram,neuter,nominative,plural,Whitewash,1.0632258091670157,Whitewash,child
παιδίον,47,unigram,neuter,nominative,singular,kid,2.1411904691681114,kid,child
πόλις,208,unigram,feminine,accusative,plural,towns,3.1260448167061043,towns,city
πόλις,72,unigram,feminine,accusative,singular,town,4.439241644090167,town,city
πύλη,302,unigram,feminine,nominative,plural,rock.,1.1613200159490844,rock.,city gate
πύλη,234,unigram,feminine,nominative,singular,skinny,1.1682475101679055,skinny,city gate
χιτών,134,unigram,masculine,accusative,plural,extra,1.064362569188257,extra,"clothing, undergarments"
χιτών,34,unigram,masculine,accusative,singular,shirt,1.0481439356080116,shirt,"clothing, undergarments"
ἱμάτιον,150,unigram,neuter,accusative,plural,coats,1.0307243415630796,coats,coat
ἱμάτιον,149,unigram,neuter,accusative,singular,coat,1.5633284777265233,coat,coat
ἐντολή,92,unigram,feminine,accusative,plural,aloha,1.0136206234227487,aloha,commandment
ἐντολή,90,unigram,feminine,accusative,singular,dump,1.0496227115787793,dump,commandment
συνέδριον,359,unigram,neuter,accusative,plural,Watch,1.0686394586086974,Watch,council
συνέδριον,59,unigram,neuter,accusative,singular,leadas,1.1656421712760945,leadas,council
χώρα,85,unigram,feminine,accusative,plural,harves.,1.2931444753198176,harves.,"country, countryside"
χώρα,327,unigram,feminine,accusative,singular,Gerasa,1.3200180479643628,Gerasa,"country, countryside"
