lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_760_translation,english_translation
θεός,343,unigram,masculine,accusative,plural,petara,1.2674955198644065,petara,God
θεός,135,unigram,masculine,accusative,singular,Taala,1.003222639686612,Taala,God
θεός,28,unigram,masculine,nominative,plural,petara,1.5489327595853202,petara,God
θεός,213,unigram,masculine,nominative,singular,Taala,1.0033043126022811,Taala,God
κύριος,345,unigram,masculine,nominative,plural,tali,1.0403527268317192,tali,"Lord, lord, master"
κύριος,136,unigram,masculine,nominative,singular,Tuhan,3.2357886654272154,Tuhan,"Lord, lord, master"
γραφή,131,unigram,feminine,accusative,plural,Bup,1.3107613396086966,Bup,Scripture
γραφή,48,unigram,feminine,accusative,singular,Bup,1.344276014213745,Bup,Scripture
γραφή,272,unigram,feminine,nominative,plural,Bup,1.5628286060267311,Bup,Scripture
γραφή,338,unigram,feminine,nominative,singular,Bup,1.269890385513564,Bup,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,melikat,2.3512877572024493,melikat,angel
ἄγγελος,81,unigram,masculine,accusative,singular,seruan,1.2971658831952204,seruan,angel
ἄγγελος,46,unigram,masculine,nominative,plural,melikat,3.4245800580917836,melikat,angel
ἄγγελος,109,unigram,masculine,nominative,singular,melikat,3.5519203929788032,melikat,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,rasul,3.8628194155649482,rasul,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,dikirumka,1.2112005220568431,dikirumka,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,pechara,1.1422759452227509,pechara,authority
ἐξουσία,202,unigram,feminine,accusative,singular,kuasa,4.192240027258134,kuasa,authority
βρέφος,16,unigram,neuter,accusative,plural,ngerara,1.0125664046065326,ngerara,babies
βρέφος,337,unigram,neuter,accusative,singular,dulang,1.1682581154670333,dulang,babies
ἀποθήκη,279,unigram,feminine,accusative,plural,setor,1.887560603866904,setor,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,setor,1.0662850125332284,setor,barn
φραγμός,241,unigram,masculine,accusative,plural,pejalka,1.4350928226649011,pejalka,"barrier, wall"
ἀρχή,70,unigram,feminine,accusative,plural,pechara,1.1420636612145167,pechara,beginning
ζώνη,176,unigram,feminine,accusative,plural,engkeraju,1.255464243734474,engkeraju,belt
ζώνη,231,unigram,feminine,accusative,singular,Belulang,1.0960524252565438,Belulang,belt
βλασφημία,96,unigram,feminine,accusative,singular,nyarikka,1.0354296571331216,nyarikka,blasphemy
βλασφημία,211,unigram,feminine,nominative,plural,bambai,1.1633394297864443,bambai,blasphemy
πλοῖον,107,unigram,neuter,accusative,plural,perau,1.1854647850557274,perau,boat
πλοῖον,321,unigram,neuter,accusative,singular,perau,1.2588763690792204,perau,boat
πλοῖον,247,unigram,neuter,nominative,plural,Perau,1.3855989909254487,Perau,boat
πλοῖον,233,unigram,neuter,nominative,singular,perau,1.826359576654836,perau,boat
σῶμα,58,unigram,neuter,nominative,singular,tubuh,3.5202402112247637,tubuh,body
κλῆμα,54,unigram,neuter,nominative,plural,lebat,1.1029122929035189,lebat,branch
