lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_759_translation,english_translation
θεός,118,unigram,masculine,accusative,singular,Shiyos,1.4922513642292847,Shiyos,God
θεός,27,unigram,masculine,nominative,plural,shiyos,1.8697257751702907,shiyos,God
θεός,178,unigram,masculine,nominative,singular,Shiyos,1.3849162174543683,Shiyos,God
κύριος,290,unigram,masculine,nominative,plural,pan‐okasi,1.2966169264520342,pan‐okasi,"Lord, lord, master"
κύριος,119,unigram,masculine,nominative,singular,apo,1.2434802568868621,apo,"Lord, lord, master"
γραφή,113,unigram,feminine,accusative,plural,da,1.084188836261338,da,Scripture
γραφή,44,unigram,feminine,accusative,singular,naysolat,1.2059025686726117,naysolat,Scripture
γραφή,229,unigram,feminine,nominative,plural,medeka,1.118432394874635,medeka,Scripture
γραφή,284,unigram,feminine,nominative,singular,naysolat,1.256302682306304,naysolat,Scripture
ἄγγελος,86,unigram,masculine,accusative,plural,anghil,2.226763085785506,anghil,angel
ἄγγελος,74,unigram,masculine,accusative,singular,mepangdo,1.1511672595465654,mepangdo,angel
ἄγγελος,41,unigram,masculine,nominative,plural,anghil,5.70325133768378,anghil,angel
ἄγγελος,96,unigram,masculine,nominative,singular,anghil,4.5516023878881935,anghil,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,apostol,1.3738058351435791,apostol,apostle
ἐξουσία,62,unigram,feminine,accusative,plural,shakejon,1.1616007369569912,shakejon,authority
βρέφος,15,unigram,neuter,accusative,plural,engidaw,1.0662889959392077,engidaw,babies
βρέφος,283,unigram,neuter,accusative,singular,panganan,1.887566349315513,panganan,babies
ἀποθήκη,235,unigram,feminine,accusative,plural,apit,1.4414501735520544,apit,barn
φραγμός,201,unigram,masculine,accusative,plural,mepno,1.096057314542422,mepno,"barrier, wall"
ἀρχή,64,unigram,feminine,accusative,plural,shakejon,1.1613985352799874,shakejon,beginning
ἀρχή,155,unigram,feminine,accusative,singular,koskosto,1.1796099268067013,koskosto,beginning
βλασφημία,29,unigram,feminine,accusative,plural,pa‐so‐is,1.0960768946513286,pa‐so‐is,blasphemy
βλασφημία,85,unigram,feminine,accusative,singular,pa‐so‐is,1.0960768946513286,pa‐so‐is,blasphemy
πλοῖον,94,unigram,neuter,accusative,plural,bangka,1.174670568537698,bangka,boat
πλοῖον,272,unigram,neuter,accusative,singular,bangka,2.030629392930283,bangka,boat
πλοῖον,208,unigram,neuter,nominative,plural,tinongawan,1.08126404368659,tinongawan,boat
πλοῖον,194,unigram,neuter,nominative,singular,bangka,1.3616518507187068,bangka,boat
σῶμα,53,unigram,neuter,nominative,singular,bakdang,1.6063646617636904,bakdang,body
κλῆμα,49,unigram,neuter,nominative,plural,enshi‐ak,1.0960622061228922,enshi‐ak,branch
κλῆμα,130,unigram,neuter,nominative,singular,makapanga,1.179589202084887,makapanga,branch
ἄρτος,276,unigram,masculine,accusative,plural,tinapay,1.6376326346869057,tinapay,bread
ἄρτος,297,unigram,masculine,accusative,singular,tinapay,2.6292366517470382,tinapay,bread
ἄρτος,137,unigram,masculine,nominative,plural,tinapay,1.7010660815958083,tinapay,bread
ἄρτος,34,unigram,masculine,nominative,singular,tinapay,2.7106272070498725,tinapay,bread
ἀδελφός,264,unigram,masculine,accusative,plural,a‐aki,1.7619148639809867,a‐aki,brother
ἀδελφός,104,unigram,masculine,accusative,singular,san‐agi,1.2091827675652922,san‐agi,brother
ἀδελφός,98,unigram,masculine,nominative,plural,a‐aki,1.5536155447526117,a‐aki,brother
ἀδελφός,199,unigram,masculine,nominative,singular,agi,2.539784613065485,agi,brother
στῆθος,251,unigram,neuter,accusative,singular,Sipa,1.040378716037807,Sipa,"chest, breast"
ἀρχιερεύς,210,unigram,masculine,accusative,plural,papashi,1.5956171989788617,papashi,chief priest
ἀρχιερεύς,54,unigram,masculine,accusative,singular,kangeto‐an,1.1126267234136995,kangeto‐an,chief priest
ἀρχιερεύς,103,unigram,masculine,nominative,plural,papashi,1.3024156804816285,papashi,chief priest
ἀρχιερεύς,215,unigram,masculine,nominative,singular,kangeto‐an,1.0764280431639477,kangeto‐an,chief priest
παῖς,204,unigram,masculine,accusative,plural,daleki,1.5897909673348871,daleki,child
τέκνον,292,unigram,neuter,accusative,plural,annak,2.4844913121212215,annak,child
τέκνον,152,unigram,neuter,accusative,singular,agi,1.0938187157305077,agi,child
τέκνον,16,unigram,neuter,nominative,plural,annak,1.1090258487927809,annak,child
τέκνον,166,unigram,neuter,nominative,singular,Anak,1.0203951780462115,Anak,child
παιδίον,14,unigram,neuter,accusative,plural,a‐anak,1.1437139779623795,a‐anak,child
παιδίον,81,unigram,neuter,accusative,singular,nga‐nga,2.7020563020002286,nga‐nga,child
