lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_766_translation,english_translation
θεός,299,unigram,masculine,accusative,plural,nɔ̀ɔ́,1.5213227990095637,nɔ̀ɔ́,God
θεός,123,unigram,masculine,accusative,singular,Ɔ̀ɖáyé,1.2272577559462248,Ɔ̀ɖáyé,God
θεός,26,unigram,masculine,nominative,plural,Ńǹwé-ɛkpa-Ɔ̀ɖáyé†,1.107736214030479,Ńǹwé-ɛkpa-Ɔ̀ɖáyé†,God
θεός,184,unigram,masculine,nominative,singular,Ɔ̀ɖáyé,5.888697270154848,Ɔ̀ɖáyé,God
κύριος,301,unigram,masculine,nominative,plural,ɔlá‐ɛ̀,1.1631489665259134,ɔlá‐ɛ̀,"Lord, lord, master"
κύριος,124,unigram,masculine,nominative,singular,ɔ̀gá‐ɛ̀,1.0313859576461322,ɔ̀gá‐ɛ̀,"Lord, lord, master"
γραφή,119,unigram,feminine,accusative,plural,òkpì-Ìwé-Ɔ̀ɖáyé†,1.177900466681872,òkpì-Ìwé-Ɔ̀ɖáyé†,Scripture
γραφή,46,unigram,feminine,accusative,singular,ńǸwé-Ɔ̀ɖáyé†,1.0184187560164033,ńǸwé-Ɔ̀ɖáyé†,Scripture
γραφή,233,unigram,feminine,nominative,plural,tsɛ.Tsí,1.2844579985275424,tsɛ.Tsí,Scripture
γραφή,293,unigram,feminine,nominative,singular,tsɛ,1.168799004205239,tsɛ,Scripture
ἄγγελος,91,unigram,masculine,accusative,plural,adzítsɛ́-ɔ̀rɔ̃†,1.3454180540446246,adzítsɛ́-ɔ̀rɔ̃†,angel
ἄγγελος,44,unigram,masculine,nominative,plural,adzítsɛ́-ɔ̀rɔ̃†,1.265760384290325,adzítsɛ́-ɔ̀rɔ̃†,angel
ἄγγελος,101,unigram,masculine,nominative,singular,adzítsɛ́-ɔ̀rɔ̃,1.8176707124551663,adzítsɛ́-ɔ̀rɔ̃,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,adzítsɛ́-Yèésù†,1.8135683651369567,adzítsɛ́-Yèésù†,apostle
ἐξουσία,177,unigram,feminine,accusative,singular,ńkpá,1.2065265053226395,ńkpá,authority
βρέφος,14,unigram,neuter,accusative,plural,ɔma-ŋa,1.3847245715397818,ɔma-ŋa,babies
βρέφος,292,unigram,neuter,accusative,singular,ńǹɖì-ìdzɛ-ɛrã,1.4643394883329963,ńǹɖì-ìdzɛ-ɛrã,babies
ἀποθήκη,239,unigram,feminine,accusative,plural,kpaɖí,1.1495338728642934,kpaɖí,barn
ἀποθήκη,64,unigram,feminine,accusative,singular,náàká,1.2555924019945586,náàká,barn
φραγμός,206,unigram,masculine,accusative,plural,ɔ̀nà-oko,1.096057314542422,ɔ̀nà-oko,"barrier, wall"
φραγμός,104,unigram,masculine,accusative,singular,síso-egi,1.0595319950666118,síso-egi,"barrier, wall"
ἀρχή,162,unigram,feminine,accusative,singular,ɖíre,1.0221490568367566,ɖíre,beginning
βλασφημία,29,unigram,feminine,accusative,plural,ńnɔ́-ara-ŋa,1.0960768946513286,ńnɔ́-ara-ŋa,blasphemy
πλοῖον,99,unigram,neuter,accusative,plural,ɔkɔ̃̀,1.0388667018309226,ɔkɔ̃̀,boat
πλοῖον,280,unigram,neuter,accusative,singular,nɔ́kɔ̃̀-odzómi,1.4766641786642558,nɔ́kɔ̃̀-odzómi,boat
πλοῖον,213,unigram,neuter,nominative,plural,ɔkɔ̃̀-odzómi,1.08126404368659,ɔkɔ̃̀-odzómi,boat
πλοῖον,199,unigram,neuter,nominative,singular,náàŋírĩ-oɖò,1.4231319707250831,náàŋírĩ-oɖò,boat
σῶμα,56,unigram,neuter,nominative,singular,ara-ɛ̀ɛ,1.6121510293914378,ara-ɛ̀ɛ,body
κλῆμα,52,unigram,neuter,nominative,plural,egi-ɔtí,1.255494041147772,egi-ɔtí,branch
κλῆμα,138,unigram,neuter,nominative,singular,Akpá-egi,1.857981828903236,Akpá-egi,branch
