lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_773_translation,english_translation
θεός,347,unigram,masculine,accusative,plural,chi,1.083359134453297,chi,God
θεός,146,unigram,masculine,accusative,singular,Chiokike,5.190793189232277,Chiokike,God
θεός,32,unigram,masculine,nominative,plural,Ọkwukwo,1.1442423255686258,Ọkwukwo,God
θεός,222,unigram,masculine,nominative,singular,Chiokike,9.014952174436157,Chiokike,God
κύριος,349,unigram,masculine,nominative,plural,nọotoma,1.361455346332629,nọotoma,"Lord, lord, master"
κύριος,147,unigram,masculine,nominative,singular,Nyenwe,2.5464837721285387,Nyenwe,"Lord, lord, master"
γραφή,141,unigram,feminine,accusative,plural,nsọ,1.3029061217522715,nsọ,Scripture
γραφή,57,unigram,feminine,accusative,singular,n'ọkwukwo,1.061255433570753,n'ọkwukwo,Scripture
γραφή,278,unigram,feminine,nominative,plural,n'ọkwukwo,1.0603328822674405,n'ọkwukwo,Scripture
γραφή,342,unigram,feminine,nominative,singular,nsọ,1.9849529200526008,nsọ,Scripture
ἄγγελος,109,unigram,masculine,accusative,plural,enine,1.2099555685562084,enine,angel
ἄγγελος,91,unigram,masculine,accusative,singular,jeemekwata,1.1134356737717326,jeemekwata,angel
ἄγγελος,53,unigram,masculine,nominative,plural,enine,1.4900589990431572,enine,angel
ἄγγελος,120,unigram,masculine,nominative,singular,izi,1.831806834100633,izi,angel
ἀπόστολος,50,unigram,masculine,nominative,plural,izi,1.1297535567086443,izi,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,dusiri,1.5761256811826556,dusiri,apostle
ἐξουσία,213,unigram,feminine,accusative,singular,rikne,2.042787138523448,rikne,authority
βρέφος,17,unigram,neuter,accusative,plural,bnanụ,1.0960670999999007,bnanụ,babies
βρέφος,341,unigram,neuter,accusative,singular,bịganu,1.2743994146790485,bịganu,babies
ἀποθήκη,77,unigram,feminine,accusative,singular,n'ọbna,1.1634432758492033,n'ọbna,barn
φραγμός,249,unigram,masculine,accusative,plural,kwnagidne,1.0595352057902494,kwnagidne,"barrier, wall"
ἀρχή,196,unigram,feminine,accusative,singular,n'ọziri,1.1188889224190788,n'ọziri,beginning
ζώνη,188,unigram,feminine,accusative,plural,jí,1.0820062409734648,jí,belt
βλασφημία,36,unigram,feminine,accusative,plural,nookwulu,1.309405351641145,nookwulu,blasphemy
βλασφημία,106,unigram,feminine,accusative,singular,kwuluru,1.0960768946513286,kwuluru,blasphemy
βλασφημία,220,unigram,feminine,nominative,plural,ọkaja,1.1062485993005018,ọkaja,blasphemy
πλοῖον,118,unigram,neuter,accusative,plural,ọgbo,2.3880500077691957,ọgbo,boat
πλοῖον,326,unigram,neuter,accusative,singular,ọgbo,2.4293560222916346,ọgbo,boat
πλοῖον,254,unigram,neuter,nominative,plural,bnakwnusi,1.096239847813496,bnakwnusi,boat
πλοῖον,241,unigram,neuter,nominative,singular,ọgbo,1.885477088666291,ọgbo,boat
σῶμα,68,unigram,neuter,nominative,singular,ẹhni,1.010760726525599,ẹhni,body
κλῆμα,64,unigram,neuter,nominative,plural,anụwa,1.1613200159490844,anụwa,branch
κλῆμα,163,unigram,neuter,nominative,singular,nkala,1.5538840862828218,nkala,branch
ἄρτος,330,unigram,masculine,accusative,plural,brẹdi,1.8652823879409568,brẹdi,bread
