lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_777_translation,version_778_translation,english_translation
θεός,119,unigram,masculine,accusative,singular,Dios,20.031185490658526,Dios,Dios,God
θεός,25,unigram,masculine,nominative,plural,,,didioskayo,didioscayo,God
θεός,188,unigram,masculine,nominative,singular,Dios,132.83992685614297,Dios,Dios,God
κύριος,120,unigram,masculine,nominative,singular,Apo,9.392653935522754,Apo,Apo,"Lord, lord, master"
γραφή,115,unigram,feminine,accusative,plural,Sursurat,10.12606015358499,Sursurat,Sursurat,Scripture
γραφή,46,unigram,feminine,accusative,singular,Surat,1.033731644039942,Surat,,Scripture
γραφή,238,unigram,feminine,nominative,plural,,,Nasantoan,Sursurat,Scripture
γραφή,296,unigram,feminine,nominative,singular,Surat,2.3780660022997386,Surat,Surat,Scripture
ἄγγελος,86,unigram,masculine,accusative,plural,,,angheles,ibaonnanto,angel
ἄγγελος,76,unigram,masculine,accusative,singular,dalanmo,1.4945714991835437,dalanmo,,angel
ἄγγελος,42,unigram,masculine,nominative,plural,,,angheles,angel,angel
ἄγγελος,97,unigram,masculine,nominative,singular,,,anghel,angel,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,,,apostoles,apostol,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,naibaon,1.4329530769262189,naibaon,naibaon,apostle
ἐξουσία,180,unigram,feminine,accusative,singular,,,turay,pannacabalin,authority
βρέφος,12,unigram,neuter,accusative,plural,ipatayna,1.0441088591276242,,ipatayna,babies
βρέφος,294,unigram,neuter,accusative,singular,,,kulluong,naipaidda,babies
ἀρχή,162,unigram,feminine,accusative,singular,,,Impakitana,pangrugian,beginning
ζώνη,155,unigram,feminine,accusative,plural,,,kuarta—balitok,barikesyo,belt
βλασφημία,28,unigram,feminine,accusative,plural,tabbaaw,1.0960768946513286,,tabbaaw,blasphemy
βλασφημία,77,unigram,feminine,nominative,singular,kinadakes,1.6954157610135707,kinadakes,,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,,,bangka,barangay,boat
πλοῖον,280,unigram,neuter,accusative,singular,,,bangka,barangay,boat
πλοῖον,215,unigram,neuter,nominative,plural,bimmallasiwda,1.096239847813496,bimmallasiwda,,boat
πλοῖον,204,unigram,neuter,nominative,singular,,,bangka,barangay,boat
σῶμα,55,unigram,neuter,nominative,singular,bagim,2.476085946399564,bagim,bagim,body
κλῆμα,133,unigram,neuter,nominative,singular,,,sanga,santac,branch
ἄρτος,284,unigram,masculine,accusative,plural,tinapay,14.427924059768483,tinapay,tinapay,bread
ἄρτος,309,unigram,masculine,accusative,singular,tinapay,23.2873634478198,tinapay,tinapay,bread
ἄρτος,141,unigram,masculine,nominative,plural,tinapay,5.393641842257846,tinapay,tinapay,bread
ἄρτος,33,unigram,masculine,nominative,singular,tinapay,10.028718511219639,tinapay,tinapay,bread
ἀδελφός,270,unigram,masculine,accusative,plural,,,kakabsat,cacabsat,brother
ἀδελφός,108,unigram,masculine,accusative,singular,,,agkabsat,cabsatna,brother
ἀδελφός,99,unigram,masculine,nominative,plural,,,lallaki,cacabsatna,brother
ἀδελφός,209,unigram,masculine,nominative,singular,,,kabsatmo,cabsat,brother
στῆθος,256,unigram,neuter,accusative,singular,,,nagsadag,barucongna,"chest, breast"
ἀρχιερεύς,219,unigram,masculine,accusative,plural,,,panguloen,papadi,chief priest
ἀρχιερεύς,56,unigram,masculine,accusative,singular,,,Padi,cangatoan,chief priest
ἀρχιερεύς,107,unigram,masculine,nominative,plural,,,panguloen,papadi,chief priest
ἀρχιερεύς,223,unigram,masculine,nominative,singular,,,Padi,padi,chief priest
παῖς,212,unigram,masculine,accusative,plural,ubbing,1.2351168088664795,ubbing,ubbing,child
παῖς,44,unigram,masculine,accusative,singular,pinarigatna,1.0961210847775034,,pinarigatna,child
τέκνον,303,unigram,neuter,accusative,plural,,,annak,annac,child
τέκνον,160,unigram,neuter,accusative,singular,,,papapataydanto,cabsat,child
τέκνον,13,unigram,neuter,nominative,plural,,,papapataydanto,iyawatnanto,child
τέκνον,172,unigram,neuter,nominative,singular,,,Anakko,Anac,child
παιδίον,11,unigram,neuter,accusative,plural,,,ubbing,pawilan,child
παιδίον,82,unigram,neuter,accusative,singular,ubing,7.308309077324862,ubing,ubing,child
παιδίον,153,unigram,neuter,nominative,plural,ubbing,1.4438319974249707,ubbing,,child
παιδίον,35,unigram,neuter,nominative,singular,ubing,11.34706115695212,ubing,ubing,child
πόλις,163,unigram,feminine,accusative,plural,,,il-ili,purpuroc,city
πόλις,60,unigram,feminine,accusative,singular,ili,3.6057778459006506,ili,ili,city
πύλη,186,unigram,feminine,nominative,singular,,,nailet,mangiturong,city gate
χιτών,103,unigram,masculine,accusative,plural,,,sarukod,dua,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,cagaymo,1.5513101462150265,,cagaymo,"clothing, undergarments"
ἱμάτιον,117,unigram,neuter,accusative,plural,,,kagayda,pagananayna,coat
ἱμάτιον,116,unigram,neuter,accusative,singular,,,kagayna,cagayna,coat
ἐντολή,74,unigram,feminine,accusative,plural,bilbilin,1.654822697149529,bilbilin,bilbilin,commandment
ἐντολή,72,unigram,feminine,accusative,singular,bilin,10.374737285888969,bilin,bilin,commandment
συνέδριον,289,unigram,neuter,accusative,plural,,,Saplitendakayto,pangocoman,council
συνέδριον,48,unigram,neuter,accusative,singular,,,Sanhedrin,papadi,council
χώρα,261,unigram,feminine,accusative,singular,daga,3.0578274472542484,daga,daga,"country, countryside"
ὄχλος,52,unigram,masculine,accusative,plural,,,tattao,adu,crowd
ὄχλος,7,unigram,masculine,accusative,singular,,,tattao,adu,crowd
ὄχλος,88,unigram,masculine,nominative,plural,,,tattao,adu,crowd
ὄχλος,252,unigram,masculine,nominative,singular,,,tattao,adu,crowd
θυγάτηρ,283,unigram,feminine,nominative,singular,babai,2.10263658457591,,babai,daughter
ἡμέρα,67,unigram,feminine,accusative,plural,aldaw,10.92212610118537,aldaw,aldaw,day
ἡμέρα,78,unigram,feminine,accusative,singular,,,Inaldaw,inaldaw,day
ἡμέρα,2,unigram,feminine,nominative,plural,,,tiempo,aldaw,day
ἡμέρα,62,unigram,feminine,nominative,singular,,,Panagsagana,aldaw,day
δαιμόνιον,27,unigram,neuter,accusative,plural,,,demonio,sairo,demon
δαιμόνιον,299,unigram,neuter,accusative,singular,demonio,2.9749124292373663,demonio,,demon
δαιμόνιον,174,unigram,neuter,nominative,plural,,,demonio,sairo,demon
δαιμόνιον,152,unigram,neuter,nominative,singular,,,demonio,sairo,demon
δηνάριον,275,unigram,neuter,accusative,plural,denario,3.477876731041779,denario,denario,denarius (about a day's wages)
δηνάριον,143,unigram,neuter,accusative,singular,,,man,denario,denarius (about a day's wages)
μαθητής,158,unigram,masculine,accusative,plural,adalanna,10.903641300763184,adalanna,adalanna,disciple
μαθητής,304,unigram,masculine,accusative,singular,,,dinungdungngo,adalan,disciple
μαθητής,246,unigram,masculine,nominative,plural,,,adalan,adalanna,disciple
μαθητής,302,unigram,masculine,nominative,singular,adalan,8.799004807431961,adalan,adalan,disciple
νόσος,66,unigram,feminine,accusative,singular,,,Sinursor,sakit,disease
περιστερά,87,unigram,feminine,accusative,plural,aglaclaco,1.4569397199596297,,aglaclaco,dove
περιστερά,50,unigram,feminine,accusative,singular,,,kalapati,calapati,dove
οὖς,132,unigram,neuter,accusative,plural,dumngeg,1.4459578543100124,,dumngeg,ear
οὖς,251,unigram,neuter,accusative,singular,balbalay,1.0388092741128272,balbalay,,ear
σεισμός,181,unigram,masculine,nominative,plural,ginggined,1.1133149773729267,ginggined,,"earthquakes, storm"
σεισμός,58,unigram,masculine,nominative,singular,,,Pagammoan,dackel,"earthquakes, storm"
τέλος,244,unigram,neuter,accusative,singular,panungpalan,1.3797431829956623,panungpalan,panungpalan,end
αἰών,271,unigram,masculine,accusative,singular,agnanayon,2.8933224336612953,agnanayon,agnanayon,eternity
ὀφθαλμός,19,unigram,masculine,accusative,plural,,,mata,matana,eye
ὀφθαλμός,59,unigram,masculine,nominative,plural,matada,3.9783693830230717,,matada,eye
ὀφθαλμός,268,unigram,masculine,nominative,singular,matam,2.74646686186628,matam,matam,eye
πρόσωπον,109,unigram,neuter,accusative,plural,rupada,1.9999486772711133,,rupada,face
πρόσωπον,169,unigram,neuter,accusative,singular,,,idumdumam,rupana,face
λιμός,5,unigram,feminine,nominative,plural,,,bisin,bisbisin,famine
λιμός,121,unigram,masculine,nominative,singular,bisin,1.096071996175396,,bisin,famine
