lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_784_translation,english_translation
θεός,94,unigram,masculine,accusative,singular,Taita,1.5247127494564825,Taita,God
θεός,145,unigram,masculine,nominative,singular,Taita,1.521468692743449,Taita,God
κύριος,95,unigram,masculine,nominative,singular,Iaia,1.3309433129634636,Iaia,"Lord, lord, master"
γραφή,91,unigram,feminine,accusative,plural,librupi,1.428086345788531,librupi,Scripture
γραφή,32,unigram,feminine,accusative,singular,ñugpa­manda,1.1361816608423037,ñugpa­manda,Scripture
γραφή,183,unigram,feminine,nominative,plural,willa­raias­ka­sina,1.0728526523130717,willa­raias­ka­sina,Scripture
γραφή,228,unigram,feminine,nominative,singular,librupi,1.1981771085683612,librupi,Scripture
ἄγγελος,31,unigram,masculine,nominative,plural,anjil­kuna,2.6855636270729173,anjil­kuna,angel
ἄγγελος,75,unigram,masculine,nominative,singular,anjil,1.1981394665193548,anjil,angel
ἀπόστολος,28,unigram,masculine,nominative,plural,puriska,1.1230909551257102,puriska,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,kacha­mug­manda,1.1613548718850133,kacha­mug­manda,apostle
βρέφος,9,unigram,neuter,accusative,plural,kati­ra­iag­kunaka,1.0960670999999007,kati­ra­iag­kunaka,babies
βρέφος,227,unigram,neuter,accusative,singular,siri­kus­ka­ta­mi,1.1923499058244968,siri­kus­ka­ta­mi,babies
ἀποθήκη,48,unigram,feminine,accusative,singular,ninapi,1.4173718379039892,ninapi,barn
βλασφημία,20,unigram,feminine,accusative,plural,pasin­sian­ga­pa,1.161346151680032,pasin­sian­ga­pa,blasphemy
βλασφημία,143,unigram,feminine,nominative,plural,jiru,1.278488335669761,jiru,blasphemy
βλασφημία,59,unigram,feminine,nominative,singular,jiru,1.278488335669761,jiru,blasphemy
πλοῖον,214,unigram,neuter,accusative,singular,kanuapi,1.2041258068091634,kanuapi,boat
πλοῖον,167,unigram,neuter,nominative,plural,chimba­chii,1.096239847813496,chimba­chii,boat
πλοῖον,159,unigram,neuter,nominative,singular,Kati­raiag­kunaka,1.0891406342928178,Kati­raiag­kunaka,boat
κλῆμα,38,unigram,neuter,nominative,plural,malki­kuna­sina,1.0960622061228922,malki­kuna­sina,branch
κλῆμα,103,unigram,neuter,nominative,singular,malki,1.5642772693613285,malki,branch
ἄρτος,218,unigram,masculine,accusative,plural,tandata,1.0305006867798334,tandata,bread
ἄρτος,239,unigram,masculine,accusative,singular,tanda,1.7516492183387669,tanda,bread
ἄρτος,107,unigram,masculine,nominative,plural,tanda,1.7677414889132206,tanda,bread
ἄρτος,24,unigram,masculine,nominative,singular,tanda,1.6047687277826541,tanda,bread
ἀδελφός,207,unigram,masculine,accusative,plural,kati­wagka,1.148702814445704,kati­wagka,brother
ἀδελφός,79,unigram,masculine,nominative,plural,mama,2.2740253072342105,mama,brother
ἀδελφός,163,unigram,masculine,nominative,singular,waugki,1.243097649396092,waugki,brother
στῆθος,196,unigram,neuter,accusative,singular,kimi­rispa,1.2125994585434807,kimi­rispa,"chest, breast"
ἀρχιερεύς,169,unigram,masculine,accusative,plural,iaia,1.9394945352366872,iaia,chief priest
ἀρχιερεύς,41,unigram,masculine,accusative,singular,Kaifás,1.0650244463297476,Kaifás,chief priest
ἀρχιερεύς,86,unigram,masculine,nominative,plural,sasir­duti­kuna,1.151364693803325,sasir­duti­kuna,chief priest
ἀρχιερεύς,172,unigram,masculine,nominative,singular,iaia,1.493085032530798,iaia,chief priest
παῖς,166,unigram,masculine,accusative,plural,kari,1.3126854720290069,kari,child
τέκνον,234,unigram,neuter,accusative,plural,wam­bra­kuna,1.0175500010766474,wam­bra­kuna,child
τέκνον,130,unigram,neuter,nominative,singular,—Wam­bra,1.1385637964624875,—Wam­bra,child
παιδίον,63,unigram,neuter,accusative,singular,wawata,1.6797780350327929,wawata,child
