lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1913_translation,english_translation
θεός,115,unigram,masculine,accusative,singular,Anutu,1.5885857566605397,Anutu,God
θεός,21,unigram,masculine,nominative,plural,anutu,1.0986548379163994,anutu,God
θεός,174,unigram,masculine,nominative,singular,Anututä,1.7530497147531905,Anututä,God
κύριος,277,unigram,masculine,nominative,plural,imikamän,1.218509536970467,imikamän,"Lord, lord, master"
κύριος,116,unigram,masculine,nominative,singular,Ekänitä,1.5968289715198605,Ekänitä,"Lord, lord, master"
γραφή,111,unigram,feminine,accusative,plural,takinik,1.1035930512270813,takinik,Scripture
γραφή,43,unigram,feminine,accusative,singular,akwekta,1.182672243190246,akwekta,Scripture
γραφή,224,unigram,feminine,nominative,plural,namiŋirä,1.1594886373680746,namiŋirä,Scripture
γραφή,271,unigram,feminine,nominative,singular,täwani,1.5755166074643132,täwani,Scripture
ἄγγελος,76,unigram,masculine,accusative,singular,Mal,1.0509655398149251,Mal,angel
ἄγγελος,39,unigram,masculine,nominative,plural,Aŋero,1.2187506573639528,Aŋero,angel
ἄγγελος,96,unigram,masculine,nominative,singular,aŋero,2.267075558503981,aŋero,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,iwaräntäkiye,1.57851221358549,iwaräntäkiye,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,Ekänini,1.2977843528575257,Ekänini,apostle
ἐξουσία,61,unigram,feminine,accusative,plural,tepmanayäŋ,1.060517986333324,tepmanayäŋ,authority
ἐξουσία,166,unigram,feminine,accusative,singular,kehäromi,1.825287130161876,kehäromi,authority
βρέφος,270,unigram,neuter,accusative,singular,paki,1.2789243753189723,paki,babies
ἀποθήκη,60,unigram,feminine,accusative,singular,kädäp,1.0675899740929766,kädäp,barn
φραγμός,98,unigram,masculine,accusative,singular,täŋ-äyäŋurek,1.1078918345482622,täŋ-äyäŋurek,"barrier, wall"
ἀρχή,63,unigram,feminine,accusative,plural,tepmanayäŋ,1.0604479178219166,tepmanayäŋ,beginning
βλασφημία,25,unigram,feminine,accusative,plural,Anutu-tägän,1.097401460139086,Anutu-tägän,blasphemy
βλασφημία,172,unigram,feminine,nominative,plural,Nadäwäwak,1.1078670563866673,Nadäwäwak,blasphemy
πλοῖον,94,unigram,neuter,accusative,plural,gäpe,1.1163937083814592,gäpe,boat
πλοῖον,257,unigram,neuter,accusative,singular,gäpe,2.9479549023405167,gäpe,boat
