lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_774_translation,english_translation
θεός,116,unigram,masculine,accusative,singular,Nchileke,1.8777433100668115,Nchileke,God
θεός,23,unigram,masculine,nominative,plural,'nchí,1.097258004808277,'nchí,God
θεός,183,unigram,masculine,nominative,singular,Nchileke,5.940228290456679,Nchileke,God
κύριος,117,unigram,masculine,nominative,singular,Nnajiufu,2.841956340628704,Nnajiufu,"Lord, lord, master"
γραφή,112,unigram,feminine,accusative,plural,l'ẹkwo,1.6810659775131207,l'ẹkwo,Scripture
γραφή,43,unigram,feminine,accusative,singular,l'ẹkwo,1.0111006892883696,l'ẹkwo,Scripture
γραφή,233,unigram,feminine,nominative,plural,mefutaje,1.0781607741190389,mefutaje,Scripture
γραφή,289,unigram,feminine,nominative,singular,l'ẹkwo,1.0113771867869024,l'ẹkwo,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,ojozi-imigwe,1.855728435125132,ojozi-imigwe,angel
ἄγγελος,75,unigram,masculine,accusative,singular,Ọwaa,1.0375220149820292,Ọwaa,angel
ἄγγελος,40,unigram,masculine,nominative,plural,ojozi-imigwe,2.1873094460817883,ojozi-imigwe,angel
ἄγγελος,94,unigram,masculine,nominative,singular,Ojozi-imigwe,1.371742464254384,Ojozi-imigwe,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,ishi-ozi,3.8628194155649482,ishi-ozi,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,akajẹ,1.2125895793310684,akajẹ,apostle
ἐξουσία,61,unigram,feminine,accusative,plural,ayọkwa,1.0962199599997684,ayọkwa,authority
ἐξουσία,177,unigram,feminine,accusative,singular,ike,2.130052972465313,ike,authority
βρέφος,288,unigram,neuter,accusative,singular,l'ikweswi,1.887566349315513,l'ikweswi,babies
ἀποθήκη,239,unigram,feminine,accusative,plural,ka,1.113328048870902,ka,barn
ἀποθήκη,60,unigram,feminine,accusative,singular,witu,1.2399657335953544,witu,barn
φραγμός,208,unigram,masculine,accusative,plural,woroworo,1.1454502626623055,woroworo,"barrier, wall"
ἀρχή,63,unigram,feminine,accusative,plural,ayọkwa,1.0961063339256685,ayọkwa,beginning
ἀρχή,161,unigram,feminine,accusative,singular,mbụlembu,1.9999488926359328,mbụlembu,beginning
ζώνη,154,unigram,feminine,accusative,plural,l'ẹkpa,1.059531995066612,l'ẹkpa,belt
ζώνη,199,unigram,feminine,accusative,singular,akpọ-anụ,1.0960524252565438,akpọ-anụ,belt
βλασφημία,26,unigram,feminine,accusative,plural,ẹga-wa,1.0595480639608463,ẹga-wa,blasphemy
πλοῖον,92,unigram,neuter,accusative,plural,ụgbo,1.2018149048859197,ụgbo,boat
πλοῖον,275,unigram,neuter,accusative,singular,l'ụgbo,3.781018302977619,l'ụgbo,boat
πλοῖον,201,unigram,neuter,nominative,singular,ụgbo,1.2018149048859197,ụgbo,boat
σῶμα,52,unigram,neuter,nominative,singular,ugwẹhu,1.978759702054728,ugwẹhu,body
κλῆμα,130,unigram,neuter,nominative,singular,ẹkali-oshi,1.8875720920615984,ẹkali-oshi,branch
ἄρτος,279,unigram,masculine,accusative,plural,buredi,4.323675292798269,buredi,bread
ἄρτος,301,unigram,masculine,accusative,singular,nri,2.2989288670269854,nri,bread
ἄρτος,136,unigram,masculine,nominative,plural,buredi,1.477602890076245,buredi,bread
ἄρτος,31,unigram,masculine,nominative,singular,nri,2.0416413760331564,nri,bread
ἀδελφός,264,unigram,masculine,accusative,plural,unwunne,1.6972809803305866,unwunne,brother
ἀδελφός,105,unigram,masculine,accusative,singular,nwunne,1.5418044229721246,nwunne,brother
ἀδελφός,98,unigram,masculine,nominative,plural,unwunne,2.4240498049463834,unwunne,brother
ἀδελφός,206,unigram,masculine,nominative,singular,nwunne,5.41344204047012,nwunne,brother
στῆθος,133,unigram,neuter,accusative,plural,kụtsuaru,1.0960622061228922,kụtsuaru,"chest, breast"
ἀρχιερεύς,216,unigram,masculine,accusative,plural,achịjeru,1.1668771175273922,achịjeru,chief priest
ἀρχιερεύς,53,unigram,masculine,accusative,singular,achịjeru,1.1954125797193198,achịjeru,chief priest
ἀρχιερεύς,104,unigram,masculine,nominative,plural,achịjeru,1.089724395044162,achịjeru,chief priest
ἀρχιερεύς,220,unigram,masculine,nominative,singular,achịjeru,1.1656836958052703,achịjeru,chief priest
παῖς,211,unigram,masculine,accusative,plural,unwoke,1.3472202264044002,unwoke,child
τέκνον,296,unigram,neuter,accusative,plural,ụnwu,2.2280505440721767,ụnwu,child
τέκνον,12,unigram,neuter,nominative,plural,Ụnwegirima,1.5066799781438145,Ụnwegirima,child
τέκνον,171,unigram,neuter,nominative,singular,Nwa,1.6364222431601008,Nwa,child
παιδίον,11,unigram,neuter,accusative,plural,anashị,1.3939489630735455,anashị,child
παιδίον,81,unigram,neuter,accusative,singular,nwata,2.026274659061958,nwata,child
παιδίον,152,unigram,neuter,nominative,plural,ụnwegirima,1.4761258678463383,ụnwegirima,child
παιδίον,33,unigram,neuter,nominative,singular,nwata,1.993064530873749,nwata,child
πόλις,162,unigram,feminine,accusative,plural,mkpụkpu,1.356232950506918,mkpụkpu,city
πόλις,56,unigram,feminine,accusative,singular,mkpụkpu,2.0815869062690044,mkpụkpu,city
πύλη,237,unigram,feminine,nominative,plural,a-kpụ,1.0960622061228922,a-kpụ,city gate
χιτών,101,unigram,masculine,accusative,plural,uwe,2.096721965422732,uwe,"clothing, undergarments"
χιτών,24,unigram,masculine,accusative,singular,ime,1.046366897410308,ime,"clothing, undergarments"
ἱμάτιον,114,unigram,neuter,accusative,plural,uwe,3.883023066528065,uwe,coat
ἱμάτιον,113,unigram,neuter,accusative,singular,uwe,2.995443138419062,uwe,coat
ἐντολή,71,unigram,feminine,accusative,singular,ekemu,1.5276320466785016,ekemu,commandment
συνέδριον,283,unigram,neuter,accusative,plural,kpụ-jeru,1.1634754434391563,kpụ-jeru,council
συνέδριον,45,unigram,neuter,accusative,singular,ọgbo,1.2291779081546568,ọgbo,council
χώρα,256,unigram,feminine,accusative,singular,l'uswe,1.0806128896258402,l'uswe,"country, countryside"
ὄχλος,49,unigram,masculine,accusative,plural,lawaru,1.1153257002492514,lawaru,crowd
