lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_761_translation,english_translation
θεός,113,unigram,masculine,accusative,singular,Dyos,4.540706832885244,Dyos,God
θεός,26,unigram,masculine,nominative,plural,dyos,1.2154724280609577,dyos,God
θεός,172,unigram,masculine,nominative,singular,Dyos,3.2577366909961074,Dyos,God
κύριος,114,unigram,masculine,nominative,singular,āmo,1.1031985759305456,āmo,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,Tolas,1.3843587710904288,Tolas,Scripture
γραφή,43,unigram,feminine,accusative,singular,Tolas,1.014926013656069,Tolas,Scripture
γραφή,221,unigram,feminine,nominative,plural,matongpal,1.1059341785550771,matongpal,Scripture
γραφή,273,unigram,feminine,nominative,singular,Tolas,1.1889405552404515,Tolas,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,anghilis,1.7841933161895087,anghilis,angel
ἄγγελος,73,unigram,masculine,accusative,singular,Panmahen,1.1298548197653642,Panmahen,angel
ἄγγελος,40,unigram,masculine,nominative,plural,anghil,1.1247425553229893,anghil,angel
ἄγγελος,93,unigram,masculine,nominative,singular,anghil,1.1849128137561693,anghil,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,apostolis,2.787379901010319,apostolis,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,natoboyaw,1.3847989250177577,natoboyaw,apostle
ἐξουσία,59,unigram,feminine,accusative,plural,kaikalintegan,1.2129278269959223,kaikalintegan,authority
ἐξουσία,165,unigram,feminine,accusative,singular,toray,3.838553971513388,toray,authority
βρέφος,13,unigram,neuter,accusative,plural,siran,1.0595416318177246,siran,babies
βρέφος,272,unigram,neuter,accusative,singular,nakapoktad,1.453494883810588,nakapoktad,babies
ἀποθήκη,224,unigram,feminine,accusative,plural,agāmang,1.887560603866904,agāmang,barn
φραγμός,195,unigram,masculine,accusative,plural,mateng,1.0595352057902494,mateng,"barrier, wall"
ἀρχή,61,unigram,feminine,accusative,plural,kaikalintegan,1.212649645711236,kaikalintegan,beginning
ἀρχή,151,unigram,feminine,accusative,singular,dya.Ki,1.0484087977095673,dya.Ki,beginning
ζώνη,145,unigram,feminine,accusative,plural,bolsa,1.1454417825320882,bolsa,belt
πλοῖον,91,unigram,neuter,accusative,plural,abang,2.625914622932972,abang,boat
πλοῖον,259,unigram,neuter,accusative,singular,abang,1.1582737807804349,abang,boat
πλοῖον,201,unigram,neuter,nominative,plural,nachisabay,1.2560353802588686,nachisabay,boat
πλοῖον,190,unigram,neuter,nominative,singular,nagloganan,1.197649977537404,nagloganan,boat
σῶμα,51,unigram,neuter,nominative,singular,inawan,2.542285012634808,inawan,body
