lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_813_translation,english_translation
θεός,115,unigram,masculine,accusative,singular,Teoso,3.9102408583760617,Teoso,God
θεός,182,unigram,masculine,nominative,singular,Teoso,3.2776160217668284,Teoso,God
κύριος,116,unigram,masculine,nominative,singular,Hiti,5.486861971781645,Hiti,"Lord, lord, master"
γραφή,111,unigram,feminine,accusative,plural,hani,1.8438363902334285,hani,Scripture
γραφή,43,unigram,feminine,accusative,singular,watomataramaroke,1.005564940218774,watomataramaroke,Scripture
γραφή,228,unigram,feminine,nominative,plural,hani,1.574790781406764,hani,Scripture
γραφή,282,unigram,feminine,nominative,singular,hani,3.2032654787182477,hani,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,nanarifa,1.4943188994216756,nanarifa,angel
ἄγγελος,39,unigram,masculine,nominative,plural,nanarifa,3.367179867764332,nanarifa,angel
ἄγγελος,93,unigram,masculine,nominative,singular,nanarifa,2.323233451222982,nanarifa,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,kaminamehemetemoneke,1.93781854983352,kaminamehemetemoneke,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,torihi,1.1613548718850133,torihi,apostle
ἐξουσία,174,unigram,feminine,accusative,singular,ihi,1.11827138526842,ihi,authority
βρέφος,281,unigram,neuter,accusative,singular,bowi,1.527444243640461,bowi,babies
ἀποθήκη,62,unigram,feminine,accusative,singular,sari,1.0160423698381544,sari,barn
βλασφημία,26,unigram,feminine,accusative,plural,nite,1.0595480639608463,nite,blasphemy
βλασφημία,83,unigram,feminine,accusative,singular,hiyarareka,1.0960768946513286,hiyarareka,blasphemy
βλασφημία,180,unigram,feminine,nominative,plural,somawamatehiba,1.1062485993005018,somawamatehiba,blasphemy
πλοῖον,91,unigram,neuter,accusative,plural,Kanawa,1.9442660687436093,Kanawa,boat
πλοῖον,269,unigram,neuter,accusative,singular,kanawa,2.0112468177874145,kanawa,boat
πλοῖον,197,unigram,neuter,nominative,singular,baikani,1.1523336513355205,baikani,boat
σῶμα,54,unigram,neuter,nominative,singular,abono,2.4387550611966544,abono,body
κλῆμα,50,unigram,neuter,nominative,plural,totamabone,1.0960622061228922,totamabone,branch
κλῆμα,130,unigram,neuter,nominative,singular,kobobo,1.098215449723277,kobobo,branch
ἄρτος,273,unigram,masculine,accusative,plural,bao,1.5635725045716822,bao,bread
ἄρτος,296,unigram,masculine,accusative,singular,bao,2.9277053152514414,bao,bread
ἄρτος,137,unigram,masculine,nominative,plural,bao,2.412407082245917,bao,bread
ἄρτος,31,unigram,masculine,nominative,singular,bao,1.781036325793783,bao,bread
ἀδελφός,105,unigram,masculine,accusative,singular,nisori,1.7615270582057223,nisori,brother
ἀδελφός,95,unigram,masculine,nominative,plural,nisori,2.604706306126065,nisori,brother
στῆθος,135,unigram,neuter,accusative,plural,Ahabi,1.212541630128925,Ahabi,"chest, breast"
στῆθος,246,unigram,neuter,accusative,singular,tofori,1.2312317582102197,tofori,"chest, breast"
ἀρχιερεύς,212,unigram,masculine,accusative,plural,sasetoti,1.5346696607639954,sasetoti,chief priest
ἀρχιερεύς,55,unigram,masculine,accusative,singular,sasetoti,1.1051171799927548,sasetoti,chief priest
ἀρχιερεύς,104,unigram,masculine,nominative,plural,hiti,1.1118519736237011,hiti,chief priest
ἀρχιερεύς,216,unigram,masculine,nominative,singular,ehebote,1.7060586438997145,ehebote,chief priest
παῖς,205,unigram,masculine,accusative,plural,Tafi,1.0945333818030456,Tafi,child
παῖς,41,unigram,masculine,accusative,singular,katomari,1.1614247833415607,katomari,child
τέκνον,289,unigram,neuter,accusative,plural,matehe,1.5646945987341498,matehe,child
τέκνον,167,unigram,neuter,nominative,singular,'Okatao,1.2069141303148692,'Okatao,child
παιδίον,12,unigram,neuter,accusative,plural,Matehe,1.1570715825120603,Matehe,child
παιδίον,79,unigram,neuter,accusative,singular,inamatewe,1.3603010622922187,inamatewe,child
παιδίον,152,unigram,neuter,nominative,plural,Matehe,1.3324437922408072,Matehe,child
παιδίον,33,unigram,neuter,nominative,singular,Inamatewe,1.1943499447326442,Inamatewe,child
