lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1520_translation,english_translation
θεός,117,unigram,masculine,accusative,singular,Dios,1.2764874943583409,Dios,God
θεός,186,unigram,masculine,nominative,singular,Dios,2.9105292814785577,Dios,God
κύριος,292,unigram,masculine,nominative,plural,chepuhilo,1.0603242713908851,chepuhilo,"Lord, lord, master"
κύριος,118,unigram,masculine,nominative,singular,yahaw,1.7634427227913607,yahaw,"Lord, lord, master"
γραφή,114,unigram,feminine,accusative,plural,Yum,1.3041292741200878,Yum,Scripture
γραφή,232,unigram,feminine,nominative,plural,yuni,1.3468347088287402,yuni,Scripture
γραφή,286,unigram,feminine,nominative,singular,Yum,1.1341442966555069,Yum,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,ángel,1.3681444949811432,ángel,angel
ἄγγελος,75,unigram,masculine,accusative,singular,habeh,1.0502030003482712,habeh,angel
ἄγγελος,41,unigram,masculine,nominative,plural,ángel,3.6474583239406337,ángel,angel
ἄγγελος,97,unigram,masculine,nominative,singular,ángel,1.8412838402957512,ángel,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,ischejab,1.3595074501034872,ischejab,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,chichejni,1.096239847813496,chichejni,apostle
ἐξουσία,177,unigram,feminine,accusative,singular,wipan,1.4020217409932918,wipan,authority
βρέφος,16,unigram,neuter,accusative,plural,initi,1.0441890409572692,initi,babies
βρέφος,284,unigram,neuter,accusative,singular,no,1.0494512947928176,no,babies
ἀποθήκη,61,unigram,feminine,accusative,singular,trigo,1.0059637167680882,trigo,barn
βλασφημία,76,unigram,feminine,nominative,singular,istxꞌojal,1.0510041323925337,istxꞌojal,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,cabeb,1.2664137783041218,cabeb,boat
πλοῖον,273,unigram,neuter,accusative,singular,barco,1.7891380855151746,barco,boat
πλοῖον,215,unigram,neuter,nominative,plural,iscancano,1.1621676944690271,iscancano,boat
πλοῖον,203,unigram,neuter,nominative,singular,barco,2.2883187228078925,barco,boat
σῶμα,52,unigram,neuter,nominative,singular,conimanil,1.0362962613097677,conimanil,body
ἄρτος,277,unigram,masculine,accusative,plural,pan,1.3979582306825629,pan,bread
ἄρτος,299,unigram,masculine,accusative,singular,pan,1.5995248956035573,pan,bread
ἄρτος,139,unigram,masculine,nominative,plural,chon̈tohan̈,1.4931413694208828,chon̈tohan̈,bread
ἄρτος,33,unigram,masculine,nominative,singular,wah,2.3419667954823464,wah,bread
ἀδελφός,264,unigram,masculine,accusative,plural,yuẍtaj,1.6804399018632703,yuẍtaj,brother
ἀδελφός,108,unigram,masculine,accusative,singular,yuẍta,1.9781581781132969,yuẍta,brother
ἀδελφός,100,unigram,masculine,nominative,plural,yuẍta,1.3950153873693922,yuẍta,brother
ἀδελφός,208,unigram,masculine,nominative,singular,yuẍta,2.6045379717009016,yuẍta,brother
στῆθος,250,unigram,neuter,accusative,singular,istxam,1.1614036844778886,istxam,"chest, breast"
ἀρχιερεύς,217,unigram,masculine,accusative,plural,sacerdote,2.279970568136028,sacerdote,chief priest
ἀρχιερεύς,53,unigram,masculine,accusative,singular,sacerdote,1.260958845286803,sacerdote,chief priest
ἀρχιερεύς,107,unigram,masculine,nominative,plural,sacerdote,2.1451788133809035,sacerdote,chief priest
ἀρχιερεύς,220,unigram,masculine,nominative,singular,sacerdote,1.5687397085364203,sacerdote,chief priest
παῖς,212,unigram,masculine,accusative,plural,tit,1.1194777059220191,tit,child
παῖς,43,unigram,masculine,accusative,singular,Yalaxcanico,1.0962797372460371,Yalaxcanico,child
