lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_818_translation,english_translation
θεός,358,unigram,masculine,accusative,plural,Yi,1.1303550206921305,Yi,God
θεός,151,unigram,masculine,accusative,singular,Shìdun,1.3127685568885192,Shìdun,God
θεός,32,unigram,masculine,nominative,plural,dokaná,1.5353113161558043,dokaná,God
θεός,231,unigram,masculine,nominative,singular,Shìdun,5.013973585898803,Shìdun,God
κύριος,152,unigram,masculine,nominative,singular,Shinn,1.6400484887905262,Shinn,"Lord, lord, master"
γραφή,146,unigram,feminine,accusative,plural,nang,1.115381716762771,nang,Scripture
γραφή,289,unigram,feminine,nominative,plural,ba,1.2789380312716594,ba,Scripture
γραφή,353,unigram,feminine,nominative,singular,àràg,1.1415576870198283,àràg,Scripture
ἄγγελος,111,unigram,masculine,accusative,plural,aswamká,1.052317832850987,aswamká,angel
ἄγγελος,94,unigram,masculine,accusative,singular,aswammí,1.4945714991835437,aswammí,angel
ἄγγελος,53,unigram,masculine,nominative,plural,wai,1.2642322533228945,wai,angel
ἄγγελος,122,unigram,masculine,nominative,singular,aswam,1.3597313419426509,aswam,angel
ἀπόστολος,50,unigram,masculine,nominative,plural,aswamká,1.2006978304418807,aswamká,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,fàu,1.1932959840405528,fàu,apostle
ἐξουσία,77,unigram,feminine,accusative,plural,agib,1.0781412446208705,agib,authority
ἐξουσία,221,unigram,feminine,accusative,singular,gbam,1.4123227566217271,gbam,authority
βρέφος,18,unigram,neuter,accusative,plural,bubá,1.3563670344260643,bubá,babies
βρέφος,351,unigram,neuter,accusative,singular,kwài,1.029805737745357,kwài,babies
ἀποθήκη,76,unigram,feminine,accusative,singular,pyìr-à,1.09447199856764,pyìr-à,barn
φραγμός,259,unigram,masculine,accusative,plural,gbìbká,1.1029056725907564,gbìbká,"barrier, wall"
ἀρχή,79,unigram,feminine,accusative,plural,agib,1.0780131941509736,agib,beginning
ἀρχή,203,unigram,feminine,accusative,singular,jag,1.2643231965090935,jag,beginning
ζώνη,249,unigram,feminine,accusative,singular,Jà,1.0960524252565438,Jà,belt
βλασφημία,36,unigram,feminine,accusative,plural,pyìrwá,1.3959109375836394,pyìrwá,blasphemy
βλασφημία,109,unigram,feminine,accusative,singular,ka,1.1062172867709417,ka,blasphemy
βλασφημία,229,unigram,feminine,nominative,plural,azìnn,1.0493193668751777,azìnn,blasphemy
πλοῖον,120,unigram,neuter,accusative,plural,zàpìr-à,1.0650640657832708,zàpìr-à,boat
πλοῖον,337,unigram,neuter,accusative,singular,kòr-à,2.3549619046977064,kòr-à,boat
πλοῖον,265,unigram,neuter,nominative,plural,Kòrká,1.2639560527644509,Kòrká,boat
πλοῖον,251,unigram,neuter,nominative,singular,kòr-à,2.701786848444553,kòr-à,boat
σῶμα,239,unigram,neuter,nominative,plural,Shar,1.163521575429783,Shar,body
σῶμα,67,unigram,neuter,nominative,singular,dìrwú,1.4317307173793483,dìrwú,body
κλῆμα,63,unigram,neuter,nominative,plural,ayabká,1.3846998116489941,ayabká,branch
κλῆμα,169,unigram,neuter,nominative,singular,ayab,1.8875720920615984,ayab,branch
ἄρτος,341,unigram,masculine,accusative,plural,brodi,2.183405271798904,brodi,bread
ἄρτος,369,unigram,masculine,accusative,singular,buju,1.4772483850274507,buju,bread
ἄρτος,178,unigram,masculine,nominative,plural,Yá,1.0948597306257764,Yá,bread
ἄρτος,44,unigram,masculine,nominative,singular,brodi-à,2.056276243707136,brodi-à,bread
ἀδελφός,328,unigram,masculine,accusative,plural,wunzàwá,2.180404162693905,wunzàwá,brother
ἀδελφός,135,unigram,masculine,accusative,singular,wunzàwá,1.3499162015535848,wunzàwá,brother
ἀδελφός,126,unigram,masculine,nominative,plural,wunzàwá,1.719079290538566,wunzàwá,brother
ἀδελφός,257,unigram,masculine,nominative,singular,wunzàwá,1.1916410362880638,wunzàwá,brother
στῆθος,174,unigram,neuter,accusative,plural,mìb,1.5188026195677982,mìb,"chest, breast"
στῆθος,312,unigram,neuter,accusative,singular,yàr,1.36655577663405,yàr,"chest, breast"
ἀρχιερεύς,268,unigram,masculine,accusative,plural,twìb,1.023510127709809,twìb,chief priest
ἀρχιερεύς,68,unigram,masculine,accusative,singular,twìb,1.0265195869160686,twìb,chief priest
ἀρχιερεύς,134,unigram,masculine,nominative,plural,twìb,1.014961945270948,twìb,chief priest
ἀρχιερεύς,274,unigram,masculine,nominative,singular,twìb,1.0255315378650212,twìb,chief priest
παῖς,262,unigram,masculine,accusative,plural,wunùká,1.7541101778532555,wunùká,child
παῖς,55,unigram,masculine,accusative,singular,zwab,1.320005725317176,zwab,child
τέκνον,361,unigram,neuter,accusative,plural,yanká,2.3550728409555752,yanká,child
τέκνον,200,unigram,neuter,accusative,singular,nàbá,1.0648494792904102,nàbá,child
