lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_819_translation,version_820_translation,english_translation
θεός,385,unigram,masculine,accusative,plural,,,karai,dep,God
θεός,161,unigram,masculine,accusative,singular,Kasang,1.0048995346318657,Kasang,,God
θεός,36,unigram,masculine,nominative,plural,,,karai,Karai,God
θεός,246,unigram,masculine,nominative,singular,Karai,1.0863587338419256,Karai,Karai,God
κύριος,387,unigram,masculine,nominative,plural,lawze,1.7698466963367216,lawze,lawze,"Lord, lord, master"
κύριος,162,unigram,masculine,nominative,singular,Madu,4.761501655116909,Madu,Madu,"Lord, lord, master"
γραφή,157,unigram,feminine,accusative,plural,Chyum,3.3991812381445503,Chyum,Chyum,Scripture
γραφή,62,unigram,feminine,accusative,singular,Wahpang,1.0524988206608914,Wahpang,,Scripture
γραφή,308,unigram,feminine,nominative,plural,dik,1.6163063289112054,dik,dik,Scripture
γραφή,379,unigram,feminine,nominative,singular,,,Chyum,laika,Scripture
ἄγγελος,122,unigram,masculine,accusative,plural,kasa,4.022799035146262,kasa,kasa,angel
ἄγγελος,102,unigram,masculine,accusative,singular,kasa,3.6485948932359853,kasa,kasa,angel
ἄγγελος,58,unigram,masculine,nominative,plural,kasa,2.790941466284703,kasa,kasa,angel
ἄγγελος,133,unigram,masculine,nominative,singular,kasa,4.3398500939431885,kasa,kasa,angel
ἀπόστολος,55,unigram,masculine,nominative,plural,,,Kasa,kasa,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,,,mayam,Mayam,apostle
ἐξουσία,83,unigram,feminine,accusative,plural,,,makawp,aya,authority
ἐξουσία,236,unigram,feminine,accusative,singular,ahkang,13.049693047268056,ahkang,ahkang,authority
βρέφος,21,unigram,neuter,accusative,plural,Ma,1.1742025958555635,,Ma,babies
ἀποθήκη,316,unigram,feminine,accusative,plural,,,dum,grau,barn
ἀποθήκη,82,unigram,feminine,accusative,singular,mam,1.445712582961798,mam,mam,barn
ἀρχή,86,unigram,feminine,accusative,plural,,,makawp,aya,beginning
ἀρχή,215,unigram,feminine,accusative,singular,shawng,1.4245644973853409,shawng,shawng,beginning
ζώνη,206,unigram,feminine,accusative,plural,dingsen,1.2928797874965523,dingsen,dingsen,belt
βλασφημία,40,unigram,feminine,accusative,plural,Ning,1.0955423553835433,Ning,Ning,blasphemy
βλασφημία,119,unigram,feminine,accusative,singular,,,matsa,shatan,blasphemy
βλασφημία,244,unigram,feminine,nominative,plural,,,hkru,shatan,blasphemy
βλασφημία,103,unigram,feminine,nominative,singular,shatan,1.0776767401849607,shatan,shatan,blasphemy
πλοῖον,131,unigram,neuter,accusative,plural,,,jahkring,sek,boat
πλοῖον,362,unigram,neuter,accusative,singular,li,6.415709031764803,li,li,boat
πλοῖον,280,unigram,neuter,nominative,plural,,,Li,jashawn,boat
πλοῖον,266,unigram,neuter,nominative,singular,li,2.1822612319261716,li,li,boat
σῶμα,254,unigram,neuter,nominative,plural,,,Lup,tsawp,body
σῶμα,73,unigram,neuter,nominative,singular,hkum,1.9512075228682197,hkum,hkum,body
κλῆμα,69,unigram,neuter,nominative,plural,madung,1.4274278785513907,madung,madung,branch
κλῆμα,179,unigram,neuter,nominative,singular,noi,1.0439984127205653,noi,noi,branch
ἄρτος,367,unigram,masculine,accusative,plural,muk,10.753464865650267,muk,muk,bread
ἄρτος,396,unigram,masculine,accusative,singular,muk,6.047362176792823,muk,muk,bread
ἄρτος,188,unigram,masculine,nominative,plural,muk,1.4900950364972345,muk,muk,bread
ἄρτος,48,unigram,masculine,nominative,singular,muk,8.523439344696916,muk,muk,bread
ἀδελφός,351,unigram,masculine,accusative,plural,kanau,1.2920726856053204,kanau,kanau,brother
ἀδελφός,147,unigram,masculine,accusative,singular,kanau,3.673049069732699,kanau,kanau,brother
ἀδελφός,137,unigram,masculine,nominative,plural,kanau,2.5960113532509057,kanau,kanau,brother
ἀδελφός,272,unigram,masculine,nominative,singular,kanau,2.031872557681943,kanau,kanau,brother
στῆθος,184,unigram,neuter,accusative,plural,sinda,1.2013523596909814,sinda,sinda,"chest, breast"
στῆθος,334,unigram,neuter,accusative,singular,sinda,2.3204717016907126,sinda,sinda,"chest, breast"
ἀρχιερεύς,286,unigram,masculine,accusative,plural,,,hkinjawng,agyi,chief priest
ἀρχιερεύς,74,unigram,masculine,accusative,singular,hkinjawng,1.2134110501516209,,hkinjawng,chief priest
ἀρχιερεύς,146,unigram,masculine,nominative,plural,agyi,2.762118336507358,agyi,agyi,chief priest
ἀρχιερεύς,292,unigram,masculine,nominative,singular,,,Agyi,hkinjawng,chief priest
παῖς,276,unigram,masculine,accusative,plural,,,pawt,kata,child
παῖς,60,unigram,masculine,accusative,singular,,,gari,kashan,child
τέκνον,389,unigram,neuter,accusative,plural,kasha,2.2795168651516664,kasha,kasha,child
τέκνον,212,unigram,neuter,accusative,singular,,,kahpu,kanau,child
τέκνον,22,unigram,neuter,nominative,plural,,,kawa,kasha,child
τέκνον,228,unigram,neuter,nominative,singular,Sha,8.438484356183332,Sha,Sha,child
παιδίον,20,unigram,neuter,accusative,plural,Ma,2.2473089671853854,Ma,Ma,child
παιδίον,112,unigram,neuter,accusative,singular,kaji,4.993554035590156,kaji,kaji,child
παιδίον,204,unigram,neuter,nominative,plural,kaji,1.1801143913579408,kaji,kaji,child
παιδίον,50,unigram,neuter,nominative,singular,kaji,1.312994440455258,kaji,kaji,child
πόλις,216,unigram,feminine,accusative,plural,mare,2.692624036345697,mare,mare,city
πόλις,78,unigram,feminine,accusative,singular,mare,17.8961664364988,mare,mare,city
πύλη,312,unigram,feminine,nominative,plural,lunghkrung,1.1430733926769372,lunghkrung,,city gate
πύλη,243,unigram,feminine,nominative,singular,gyip,1.5948765455704415,gyip,gyip,city gate
χιτών,142,unigram,masculine,accusative,plural,palawng,1.8890157110468535,palawng,palawng,"clothing, undergarments"
χιτών,37,unigram,masculine,accusative,singular,,,palawng,lawnghkoi,"clothing, undergarments"
