lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1928_translation,english_translation
θεός,372,unigram,masculine,accusative,plural,a̱yaagwaza,1.4657629759385362,a̱yaagwaza,God
θεός,155,unigram,masculine,accusative,singular,A̱gwaza,1.4613669815529522,A̱gwaza,God
θεός,34,unigram,masculine,nominative,plural,a̱yaagwaza,1.5297450450234398,a̱yaagwaza,God
θεός,237,unigram,masculine,nominative,singular,A̱gwaza,6.135452305631981,A̱gwaza,God
κύριος,156,unigram,masculine,nominative,singular,A̱tyoli,3.5663587897574667,A̱tyoli,"Lord, lord, master"
γραφή,150,unigram,feminine,accusative,plural,A̱lyiat,1.6579759191638126,A̱lyiat,Scripture
γραφή,60,unigram,feminine,accusative,singular,A̱lyiat,1.235718805355576,A̱lyiat,Scripture
γραφή,295,unigram,feminine,nominative,plural,A̱lyiat,1.070593093716885,A̱lyiat,Scripture
γραφή,366,unigram,feminine,nominative,singular,A̱lyiat,2.0542665156674533,A̱lyiat,Scripture
ἄγγελος,116,unigram,masculine,accusative,plural,a̱yaata̱m,1.0845329594328068,a̱yaata̱m,angel
ἄγγελος,97,unigram,masculine,accusative,singular,a̱ta̱m,1.5179353593889977,a̱ta̱m,angel
ἄγγελος,56,unigram,masculine,nominative,plural,tswá,1.3706379297808031,tswá,angel
ἄγγελος,127,unigram,masculine,nominative,singular,tswa,2.1277651383701204,tswa,angel
ἀπόστολος,53,unigram,masculine,nominative,plural,A̱yaata̱m,2.0107272933266915,A̱yaata̱m,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,A̱tsak,1.040474192572182,A̱tsak,apostle
ἐξουσία,81,unigram,feminine,accusative,plural,njhyang,1.0664134541304189,njhyang,authority
ἐξουσία,227,unigram,feminine,accusative,singular,tyok,6.388121069417171,tyok,authority
βρέφος,20,unigram,neuter,accusative,plural,dyem,1.2264790614473051,dyem,babies
βρέφος,364,unigram,neuter,accusative,singular,zwa,1.1381216186966705,zwa,babies
ἀποθήκη,303,unigram,feminine,accusative,plural,a̱yaagban,1.7208814824772918,a̱yaagban,barn
ἀποθήκη,80,unigram,feminine,accusative,singular,a̱gban,1.1420962508140535,a̱gban,barn
φραγμός,265,unigram,masculine,accusative,plural,a̱gi̱gak,1.2554791388355584,a̱gi̱gak,"barrier, wall"
ἀρχή,84,unigram,feminine,accusative,plural,njhyang,1.0939026478734035,njhyang,beginning
ἀρχή,208,unigram,feminine,accusative,singular,Kana,1.2531108027493236,Kana,beginning
ζώνη,199,unigram,feminine,accusative,plural,gumaat,1.2166712400173212,gumaat,belt
βλασφημία,38,unigram,feminine,accusative,plural,Kwot,1.0246654184702817,Kwot,blasphemy
βλασφημία,113,unigram,feminine,accusative,singular,sheda,1.0258566529985271,sheda,blasphemy
βλασφημία,235,unigram,feminine,nominative,plural,kuzang,1.0538933657227478,kuzang,blasphemy
πλοῖον,125,unigram,neuter,accusative,plural,a̱kukwon,1.2705708010831671,a̱kukwon,boat
πλοῖον,348,unigram,neuter,accusative,singular,a̱wak,1.0068217772807482,a̱wak,boat
πλοῖον,269,unigram,neuter,nominative,plural,a̱kukwon,1.3701997646114408,a̱kukwon,boat
πλοῖον,256,unigram,neuter,nominative,singular,a̱wak,1.0119741287368786,a̱wak,boat
σῶμα,71,unigram,neuter,nominative,singular,vam,1.6272262042479584,vam,body
κλῆμα,67,unigram,neuter,nominative,plural,nta̱meet,1.255494041147772,nta̱meet,branch
κλῆμα,173,unigram,neuter,nominative,singular,ta̱meet,1.3570241260193554,ta̱meet,branch
ἄρτος,353,unigram,masculine,accusative,plural,burodi,3.3179775313568807,burodi,bread
ἄρτος,381,unigram,masculine,accusative,singular,kyayak,1.582315520098722,kyayak,bread
ἄρτος,182,unigram,masculine,nominative,plural,burodi,1.92999298094676,burodi,bread
ἄρτος,46,unigram,masculine,nominative,singular,kyayak,1.0983800107304726,kyayak,bread
ἀδελφός,338,unigram,masculine,accusative,plural,á̱na̱nyiuk,3.6995346741139574,á̱na̱nyiuk,brother
ἀδελφός,140,unigram,masculine,accusative,singular,a̱na̱nyiuk,1.7501127233421732,a̱na̱nyiuk,brother
ἀδελφός,131,unigram,masculine,nominative,plural,á̱na̱nyiuk,3.369094604795233,á̱na̱nyiuk,brother
ἀδελφός,263,unigram,masculine,nominative,singular,a̱na̱nyiuk,5.015706606604965,a̱na̱nyiuk,brother
στῆθος,178,unigram,neuter,accusative,plural,fi̱ri̱ng,1.3567215332868223,fi̱ri̱ng,"chest, breast"
στῆθος,321,unigram,neuter,accusative,singular,a̱nyan,1.2054419031930916,a̱nyan,"chest, breast"
ἀρχιερεύς,274,unigram,masculine,accusative,plural,a̱yaapris,1.5056038350957746,a̱yaapris,chief priest
ἀρχιερεύς,72,unigram,masculine,accusative,singular,Ka̱yafat,1.186582160107302,Ka̱yafat,chief priest
ἀρχιερεύς,139,unigram,masculine,nominative,plural,a̱yaapris,1.8517048904829447,a̱yaapris,chief priest
ἀρχιερεύς,279,unigram,masculine,nominative,singular,pris,2.489000543086345,pris,chief priest
παῖς,267,unigram,masculine,accusative,plural,ya,1.2099946918173874,ya,child
