lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_856_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,Ndzimu,7.452961785747564,Ndzimu,God
θεός,25,unigram,masculine,nominative,plural,midzimu,1.2154724280609577,midzimu,God
θεός,172,unigram,masculine,nominative,singular,Ndzimu,12.23604270196017,Ndzimu,God
κύριος,110,unigram,masculine,nominative,singular,She,2.5104137442923977,She,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,hwalo,2.0820645330440493,hwalo,Scripture
γραφή,43,unigram,feminine,accusative,singular,dze,1.0517858171943015,dze,Scripture
γραφή,220,unigram,feminine,nominative,plural,hwalo,1.5896355329183092,hwalo,Scripture
γραφή,270,unigram,feminine,nominative,singular,Hwalo,1.0282120978900575,Hwalo,Scripture
ἄγγελος,78,unigram,masculine,accusative,plural,batumwa,2.5961080317879124,batumwa,angel
ἄγγελος,69,unigram,masculine,accusative,singular,ntumwa,1.6870833844887658,ntumwa,angel
ἄγγελος,40,unigram,masculine,nominative,plural,batumwa,1.384883185791192,batumwa,angel
ἄγγελος,88,unigram,masculine,nominative,singular,ntumwa,2.287197163326472,ntumwa,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,Batumwa,1.6368369948478851,Batumwa,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,wakantuma,1.4688101448063309,wakantuma,apostle
ἐξουσία,165,unigram,feminine,accusative,singular,simba,2.271841633992937,simba,authority
βρέφος,269,unigram,neuter,accusative,singular,lele,1.4511845496107512,lele,babies
ἀποθήκη,224,unigram,feminine,accusative,plural,matula,1.999949042375989,matula,barn
ἀποθήκη,58,unigram,feminine,accusative,singular,dula,1.070990627143154,dula,barn
ζώνη,142,unigram,feminine,accusative,plural,khopa,1.0960524252565438,khopa,belt
πλοῖον,86,unigram,neuter,accusative,plural,migoro,2.77440322901558,migoro,boat
πλοῖον,256,unigram,neuter,accusative,singular,n'goro,3.781284183054306,n'goro,boat
πλοῖον,188,unigram,neuter,nominative,singular,n'goro,1.5929564262602034,n'goro,boat
σῶμα,178,unigram,neuter,nominative,plural,mibili,1.745733644199248,mibili,body
σῶμα,50,unigram,neuter,nominative,singular,mbili,2.301252590671067,mbili,body
κλῆμα,123,unigram,neuter,nominative,singular,lutabi,1.4976869224352756,lutabi,branch
ἄρτος,261,unigram,masculine,accusative,plural,zwiwunga,2.4871676171716386,zwiwunga,bread
ἄρτος,282,unigram,masculine,accusative,singular,tjiwunga,3.878075293455383,tjiwunga,bread
ἄρτος,127,unigram,masculine,nominative,plural,zwiwunga,2.7865745020562787,zwiwunga,bread
ἄρτος,32,unigram,masculine,nominative,singular,tjiwunga,2.6867851839269585,tjiwunga,bread
ἀδελφός,247,unigram,masculine,accusative,plural,tate,1.159340401728688,tate,brother
ἀδελφός,98,unigram,masculine,accusative,singular,nnung'una,1.8019001645424235,nnung'una,brother
ἀδελφός,90,unigram,masculine,nominative,plural,banung'una,5.101807381217013,banung'una,brother
ἀδελφός,193,unigram,masculine,nominative,singular,nnung'una,1.7078064233848491,nnung'una,brother
στῆθος,234,unigram,neuter,accusative,singular,akanayila,1.5090916422020189,akanayila,"chest, breast"
ἀρχιερεύς,202,unigram,masculine,accusative,plural,bapirisiti,1.016119828414605,bapirisiti,chief priest
ἀρχιερεύς,51,unigram,masculine,accusative,singular,Ntungamili,1.0942864594785282,Ntungamili,chief priest
ἀρχιερεύς,97,unigram,masculine,nominative,plural,bakulu,1.6004254552360633,bakulu,chief priest
ἀρχιερεύς,206,unigram,masculine,nominative,singular,Ntungamili,1.0459814722128735,Ntungamili,chief priest
τέκνον,277,unigram,neuter,accusative,plural,bana,4.568813515491949,bana,child
τέκνον,148,unigram,neuter,accusative,singular,bana,1.0428091200881522,bana,child
τέκνον,13,unigram,neuter,nominative,plural,bazwadzi,1.0232828270505565,bazwadzi,child
τέκνον,159,unigram,neuter,nominative,singular,wangu,1.8307591142713333,wangu,child
παιδίον,74,unigram,neuter,accusative,singular,mwana,3.0950552040149133,mwana,child
παιδίον,140,unigram,neuter,nominative,plural,bana,1.3873613466903247,bana,child
παιδίον,34,unigram,neuter,nominative,singular,mwana,2.417711640882433,mwana,child
πόλις,150,unigram,feminine,accusative,plural,mizi,1.4865283407075018,mizi,city
πόλις,54,unigram,feminine,accusative,singular,nzi,6.925025645247543,nzi,city
πύλη,223,unigram,feminine,nominative,plural,atowolikunda,1.0960622061228922,atowolikunda,city gate
πύλη,170,unigram,feminine,nominative,singular,wakamanikana,1.0441038887271343,wakamanikana,city gate
χιτών,93,unigram,masculine,accusative,plural,zwiambalo,1.0514919117335308,zwiambalo,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,hempe,1.532313197894071,hempe,"clothing, undergarments"
ἱμάτιον,107,unigram,neuter,accusative,plural,hazu,1.1386140679304475,hazu,coat
ἱμάτιον,106,unigram,neuter,accusative,singular,ngubo,1.0786807200176964,ngubo,coat
ἐντολή,67,unigram,feminine,accusative,plural,milayo,2.9002832729775885,milayo,commandment
ἐντολή,65,unigram,feminine,accusative,singular,milayo,1.5288517080422654,milayo,commandment
συνέδριον,266,unigram,neuter,accusative,plural,banowomuyisa,1.6998943240028503,banowomuyisa,council
συνέδριον,44,unigram,neuter,accusative,singular,makulukota,1.6562767340756706,makulukota,council
χώρα,236,unigram,feminine,accusative,singular,shango,1.3055074032338416,shango,"country, countryside"
ὄχλος,48,unigram,masculine,accusative,plural,mbunga,1.0569217778043805,mbunga,crowd
ὄχλος,9,unigram,masculine,accusative,singular,mbunga,1.0943521372373677,mbunga,crowd
ὄχλος,80,unigram,masculine,nominative,plural,bathu,1.0111480011132084,bathu,crowd
ὄχλος,231,unigram,masculine,nominative,singular,mbunga,1.1890579231615537,mbunga,crowd
θυγάτηρ,260,unigram,feminine,nominative,singular,nkololokadzi,1.2162769803768363,nkololokadzi,daughter
ἡμέρα,62,unigram,feminine,accusative,plural,mazhuba,3.2384758348668075,mazhuba,day
ἡμέρα,70,unigram,feminine,accusative,singular,zhuba,1.6354999717051617,zhuba,day
ἡμέρα,2,unigram,feminine,nominative,plural,mazhuba,1.0822917093666482,mazhuba,day
ἡμέρα,56,unigram,feminine,nominative,singular,zhuba,1.1669341231850017,zhuba,day
ὀφειλέτης,208,unigram,masculine,nominative,plural,bawigwa,1.0960524252565438,bawigwa,debtor
δαιμόνιον,27,unigram,neuter,accusative,plural,mibi,1.0477507113195976,mibi,demon
δαιμόνιον,273,unigram,neuter,accusative,singular,mbi,1.1790694435907831,mbi,demon
δαιμόνιον,161,unigram,neuter,nominative,plural,mibi,1.1718456814670748,mibi,demon
δαιμόνιον,139,unigram,neuter,nominative,singular,mbi,1.2009673029383263,mbi,demon
δηνάριον,251,unigram,neuter,accusative,plural,siliva,1.1070578829246889,siliva,denarius (about a day's wages)
δηνάριον,129,unigram,neuter,accusative,singular,ling'ompela,1.6052412475418136,ling'ompela,denarius (about a day's wages)
μαθητής,145,unigram,masculine,accusative,plural,badiyiwa,1.5494894147652785,badiyiwa,disciple
μαθητής,278,unigram,masculine,accusative,singular,n'diyiwa,1.6397042212283512,n'diyiwa,disciple
μαθητής,227,unigram,masculine,nominative,plural,badiyiwa,2.0362901183353426,badiyiwa,disciple
μαθητής,276,unigram,masculine,nominative,singular,n'diyiwa,3.0460663270713675,n'diyiwa,disciple
νόσος,3,unigram,feminine,accusative,plural,njigwele,1.7459160277733203,njigwele,disease
νόσος,61,unigram,feminine,accusative,singular,buworoworo,1.5323167238096254,buworoworo,disease
περιστερά,79,unigram,feminine,accusative,plural,ngurukuku,1.0354296571331216,ngurukuku,dove
περιστερά,46,unigram,feminine,accusative,singular,njiba,1.6950880335507352,njiba,dove
οὖς,122,unigram,neuter,accusative,plural,zebe,1.3621371752553106,zebe,ear
οὖς,230,unigram,neuter,accusative,singular,zhalima,1.0895526495064636,zhalima,ear
σεισμός,166,unigram,masculine,nominative,plural,kutengenyeka,1.0810922260060456,kutengenyeka,"earthquakes, storm"
τέλος,225,unigram,neuter,accusative,singular,kunoti,1.0228138825892996,kunoti,end
αἰών,248,unigram,masculine,accusative,singular,unowotjilila,1.1193725452931222,unowotjilila,eternity
ὀφθαλμός,19,unigram,masculine,accusative,plural,mesho,3.0592583846261725,mesho,eye
ὀφθαλμός,53,unigram,masculine,nominative,plural,mesho,2.288696751290767,mesho,eye
ὀφθαλμός,245,unigram,masculine,nominative,singular,zhisho,1.1976200402790529,zhisho,eye
πρόσωπον,99,unigram,neuter,accusative,plural,kwabo,1.1361816608423037,kwabo,face
πρόσωπον,156,unigram,neuter,accusative,singular,buso,1.5746022145676035,buso,face
λιμός,6,unigram,feminine,nominative,plural,bhamba,1.106276804395426,bhamba,famine
