lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_927_translation,version_928_translation,english_translation
θεός,370,unigram,masculine,accusative,plural,dok,1.4173275488168502,,dok,God
θεός,154,unigram,masculine,accusative,singular,Dok,3.1326407349941863,,Dok,God
θεός,35,unigram,masculine,nominative,plural,dok,1.2154724280609577,,dok,God
θεός,238,unigram,masculine,nominative,singular,Dok,11.426187920240276,,Dok,God
κύριος,155,unigram,masculine,nominative,singular,Bageyal,1.874440175036009,,Bageyal,"Lord, lord, master"
γραφή,149,unigram,feminine,accusative,plural,ya̰me,1.2284413706083308,,ya̰me,Scripture
γραφή,59,unigram,feminine,accusative,singular,keŋ,1.0398107487515804,,keŋ,Scripture
γραφή,297,unigram,feminine,nominative,plural,dé,1.1601517101508505,,dé,Scripture
γραφή,365,unigram,feminine,nominative,singular,wi,1.2958867006888857,,wi,Scripture
ἄγγελος,115,unigram,masculine,accusative,plural,maleka,2.8331630617134236,,maleka,angel
ἄγγελος,97,unigram,masculine,accusative,singular,ɗaɗe,1.0738293131762455,,ɗaɗe,angel
ἄγγελος,55,unigram,masculine,nominative,plural,maleka,5.048094528496578,,maleka,angel
ἄγγελος,126,unigram,masculine,nominative,singular,Maleka,1.1612060418059278,,Maleka,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,temeya,4.537906119983375,,temeya,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,mo̰r,1.063304328450462,,mo̰r,apostle
ἐξουσία,80,unigram,feminine,accusative,plural,ɗaŋge,1.2638871126457474,,ɗaŋge,authority
ἐξουσία,228,unigram,feminine,accusative,singular,pool,3.4216258159281216,,pool,authority
βρέφος,20,unigram,neuter,accusative,plural,mḛre,1.0475835402457174,,mḛre,babies
βρέφος,363,unigram,neuter,accusative,singular,kavaar,1.553142822719476,,kavaar,babies
ἀποθήκη,305,unigram,feminine,accusative,plural,hal,1.4264274544225577,,hal,barn
ἀποθήκη,79,unigram,feminine,accusative,singular,gḛme,1.1120221081348087,,gḛme,barn
φραγμός,265,unigram,masculine,accusative,plural,‹Gwa̰,1.9485517892270092,,‹Gwa̰,"barrier, wall"
φραγμός,131,unigram,masculine,accusative,singular,ɓerse,1.1454417825320882,,ɓerse,"barrier, wall"
ἀρχή,83,unigram,feminine,accusative,plural,ɗaŋge,1.2634933776829889,,ɗaŋge,beginning
ἀρχή,208,unigram,feminine,accusative,singular,e,1.150461973488696,,e,beginning
βλασφημία,39,unigram,feminine,accusative,plural,sal,1.337316044524579,,sal,blasphemy
βλασφημία,113,unigram,feminine,accusative,singular,salla,1.0960768946513286,,salla,blasphemy
βλασφημία,236,unigram,feminine,nominative,plural,salla,1.106282796604272,,salla,blasphemy
βλασφημία,98,unigram,feminine,nominative,singular,salla,1.999949021035427,,salla,blasphemy
πλοῖον,124,unigram,neuter,accusative,plural,fak,2.3527263501358884,,fak,boat
πλοῖον,349,unigram,neuter,accusative,singular,fak,1.8488310301781243,,fak,boat
πλοῖον,271,unigram,neuter,nominative,plural,fak,1.0597902180236178,,fak,boat
πλοῖον,256,unigram,neuter,nominative,singular,fak,2.3527263501358884,,fak,boat
σῶμα,246,unigram,neuter,nominative,plural,gabe,1.3276282216920816,,gabe,body
σῶμα,70,unigram,neuter,nominative,singular,duur,3.3635726714098215,,duur,body
κλῆμα,66,unigram,neuter,nominative,plural,oyo̰r,1.2232682902622314,,oyo̰r,branch
κλῆμα,173,unigram,neuter,nominative,singular,oyo̰r,1.2229815890440332,,oyo̰r,branch
ἄρτος,354,unigram,masculine,accusative,plural,katugum,3.829790453275204,,katugum,bread
ἄρτος,382,unigram,masculine,accusative,singular,kaŋzam,1.1818094383779054,,kaŋzam,bread
ἄρτος,183,unigram,masculine,nominative,plural,katugum,1.9797402363934844,,katugum,bread
ἄρτος,46,unigram,masculine,nominative,singular,katugum,2.9939900431413404,,katugum,bread
ἀδελφός,339,unigram,masculine,accusative,plural,ná,1.6789160310790578,,ná,brother
ἀδελφός,140,unigram,masculine,accusative,singular,ná,1.6919496740957618,,ná,brother
ἀδελφός,130,unigram,masculine,nominative,plural,ná,1.5642429043686727,,ná,brother
ἀδελφός,263,unigram,masculine,nominative,singular,ná,1.65486342996571,,ná,brother
στῆθος,179,unigram,neuter,accusative,plural,njet,1.1454587468979875,,njet,"chest, breast"
στῆθος,323,unigram,neuter,accusative,singular,ko̰o̰l,1.754269402835106,,ko̰o̰l,"chest, breast"
ἀρχιερεύς,277,unigram,masculine,accusative,plural,tuwaleya,1.9531694007355973,,tuwaleya,chief priest
ἀρχιερεύς,71,unigram,masculine,accusative,singular,kep,1.402325208677356,,kep,chief priest
ἀρχιερεύς,139,unigram,masculine,nominative,plural,tuwaleya,1.4423439527712478,,tuwaleya,chief priest
ἀρχιερεύς,282,unigram,masculine,nominative,singular,tuwaleya,1.2373629520376008,,tuwaleya,chief priest
παῖς,268,unigram,masculine,accusative,plural,vḛne,1.176900481906985,,vḛne,child
παῖς,57,unigram,masculine,accusative,singular,pil,1.3141486557602158,,pil,child
τέκνον,373,unigram,neuter,accusative,plural,vya,2.3555624971950277,,vya,child
τέκνον,206,unigram,neuter,accusative,singular,Ná,1.2465640740171329,,Ná,child
τέκνον,21,unigram,neuter,nominative,plural,Ná,1.4381473991087137,,Ná,child
τέκνον,220,unigram,neuter,nominative,singular,vya,1.629173927583086,,vya,child
παιδίον,19,unigram,neuter,accusative,plural,jabso,1.300434213127574,,jabso,child
παιδίον,106,unigram,neuter,accusative,singular,vya,1.3757392361851553,,vya,child
παιδίον,199,unigram,neuter,nominative,plural,jabso,1.299889993747144,,jabso,child
παιδίον,48,unigram,neuter,nominative,singular,jyale,1.3254004201853573,,jyale,child
πόλις,209,unigram,feminine,accusative,plural,suwal,1.258059151381046,,suwal,city
πόλις,75,unigram,feminine,accusative,singular,suwal,2.231164807488708,,suwal,city
πύλη,301,unigram,feminine,nominative,plural,],1.0229068825279235,,],city gate
πύλη,235,unigram,feminine,nominative,singular,gorse,1.7535819657049232,,gorse,city gate
χιτών,135,unigram,masculine,accusative,plural,ba̰r,1.841951759219168,,ba̰r,"clothing, undergarments"
χιτών,36,unigram,masculine,accusative,singular,ba̰r,1.130187362943699,,ba̰r,"clothing, undergarments"
ἱμάτιον,152,unigram,neuter,accusative,plural,ba̰r,4.025658467821269,,ba̰r,coat
ἱμάτιον,151,unigram,neuter,accusative,singular,ba̰r,2.5231326805011336,,ba̰r,coat
ἐντολή,94,unigram,feminine,accusative,plural,honna,1.7404823644069958,,honna,commandment
