lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_926_translation,english_translation
θεός,302,unigram,masculine,accusative,plural,leidoki,1.097258004808277,leidoki,God
θεός,121,unigram,masculine,accusative,singular,Yaubada,4.2463497585072885,Yaubada,God
θεός,26,unigram,masculine,nominative,plural,Lakaibiga,1.097258004808277,Lakaibiga,God
θεός,192,unigram,masculine,nominative,singular,Yaubada,10.84820401071727,Yaubada,God
κύριος,122,unigram,masculine,nominative,singular,Guyau,1.1056157113988114,Guyau,"Lord, lord, master"
γραφή,116,unigram,feminine,accusative,plural,Pilabumaboma,1.0079561292410162,Pilabumaboma,Scripture
γραφή,48,unigram,feminine,accusative,singular,Pilabumaboma,1.008716610619018,Pilabumaboma,Scripture
γραφή,243,unigram,feminine,nominative,plural,Pilabumaboma,1.008444748516007,Pilabumaboma,Scripture
γραφή,297,unigram,feminine,nominative,singular,Pilabumaboma,1.007577978556073,Pilabumaboma,Scripture
ἄγγελος,89,unigram,masculine,accusative,plural,anelosi,2.2823948032129717,anelosi,angel
ἄγγελος,78,unigram,masculine,accusative,singular,awitali,1.0500981916898025,awitali,angel
ἄγγελος,44,unigram,masculine,nominative,plural,anelosi,3.4732828759411736,anelosi,angel
ἄγγελος,99,unigram,masculine,nominative,singular,anelosi,2.5483603604529206,anelosi,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,aposetolo,1.6098940806247295,aposetolo,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,towitala,1.2851594296616975,towitala,apostle
ἐξουσία,65,unigram,feminine,accusative,plural,bimaiyaimi,1.1616007369569912,bimaiyaimi,authority
ἐξουσία,185,unigram,feminine,accusative,singular,karaiwaga,2.4954365874949236,karaiwaga,authority
βρέφος,15,unigram,neuter,accusative,plural,pwapwawa,1.0441088591276242,pwapwawa,babies
ἀποθήκη,248,unigram,feminine,accusative,plural,bwaima,1.887560603866904,bwaima,barn
ἀποθήκη,64,unigram,feminine,accusative,singular,bwaima,1.4675800420888785,bwaima,barn
φραγμός,215,unigram,masculine,accusative,plural,bikasewa,1.161311312321613,bikasewa,"barrier, wall"
ἀρχή,67,unigram,feminine,accusative,plural,bimaiyaimi,1.1613985352799874,bimaiyaimi,beginning
βλασφημία,30,unigram,feminine,accusative,plural,ibigigagi,1.520818808232267,ibigigagi,blasphemy
βλασφημία,79,unigram,feminine,nominative,singular,mitugaga,1.107682696815574,mitugaga,blasphemy
πλοῖον,97,unigram,neuter,accusative,plural,waga,1.2609594568087443,waga,boat
πλοῖον,284,unigram,neuter,accusative,singular,waga,3.1845739175437524,waga,boat
