lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_922_translation,version_923_translation,version_924_translation,english_translation
θεός,120,unigram,masculine,accusative,singular,Ngai,91.11753739274512,Ngai,Ngai,,God
θεός,193,unigram,masculine,nominative,singular,Ngai,197.64835645414618,Ngai,Ngai,,God
κύριος,121,unigram,masculine,nominative,singular,Mwathani,10.82458302630134,Mwathani,Mwathani,,"Lord, lord, master"
γραφή,116,unigram,feminine,accusative,plural,Maandĩko,8.177981068120232,Maandĩko,Maandĩko,,Scripture
γραφή,45,unigram,feminine,accusative,singular,maandĩko,1.7457467116308565,,maandĩko,,Scripture
γραφή,241,unigram,feminine,nominative,plural,Maandĩko,3.4555225513911014,Maandĩko,Maandĩko,,Scripture
γραφή,294,unigram,feminine,nominative,singular,Maandĩko,3.8975556385303367,Maandĩko,Maandĩko,,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,araika,2.726837188586201,araika,araika,,angel
ἄγγελος,75,unigram,masculine,accusative,singular,,,mũtũmwo,mũrekio,,angel
ἄγγελος,42,unigram,masculine,nominative,plural,araika,28.749942123305782,araika,araika,,angel
ἄγγελος,96,unigram,masculine,nominative,singular,mũraika,17.819875991844235,mũraika,mũraika,,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,atũmwo,3.636609205539655,atũmwo,atũmwo,,apostle
ἐξουσία,186,unigram,feminine,accusative,singular,ũhoti,36.83083780069958,ũhoti,ũhoti,,authority
βρέφος,293,unigram,neuter,accusative,singular,gakenge,1.0595384180401852,,gakenge,,babies
ἀποθήκη,245,unigram,feminine,accusative,plural,magetha,1.5538386120611394,magetha,,,barn
ἀποθήκη,62,unigram,feminine,accusative,singular,,,ikũmbĩ,ngano,,barn
ζώνη,161,unigram,feminine,accusative,plural,mĩcibi-inĩ,1.0960524252565438,mĩcibi-inĩ,,,belt
βλασφημία,27,unigram,feminine,accusative,plural,,,ũkũruma,ũraruma,,blasphemy
πλοῖον,94,unigram,neuter,accusative,plural,,,tũtarũ,tũtarũinĩ,,boat
πλοῖον,279,unigram,neuter,accusative,singular,gatarũ,5.491442392679953,gatarũ,gatarũ,,boat
πλοῖον,209,unigram,neuter,nominative,singular,,,nyũmũ,gatarũ,,boat
σῶμα,53,unigram,neuter,nominative,singular,mwĩrĩ,10.100517930637931,mwĩrĩ,mwĩrĩ,,body
κλῆμα,136,unigram,neuter,nominative,singular,rũhonge,3.9997963426180037,rũhonge,rũhonge,,branch
ἄρτος,284,unigram,masculine,accusative,plural,mĩgate,17.927140121564037,mĩgate,mĩgate,,bread
ἄρτος,307,unigram,masculine,accusative,singular,mũgate,4.2364706166483534,mũgate,mũgate,,bread
ἄρτος,143,unigram,masculine,nominative,plural,mĩgate,6.8796906861146185,mĩgate,mĩgate,,bread
ἄρτος,33,unigram,masculine,nominative,singular,mũgate,10.950415403215194,mũgate,mũgate,,bread
ἀδελφός,272,unigram,masculine,accusative,plural,,,ariũ,aariũ,,brother
ἀδελφός,107,unigram,masculine,accusative,singular,,,mũrũ,nyina,,brother
ἀδελφός,98,unigram,masculine,nominative,plural,,,ariũ,aariũ,,brother
ἀδελφός,215,unigram,masculine,nominative,singular,mũrũ,4.946563712938408,mũrũ,mũrũ,,brother
στῆθος,140,unigram,neuter,accusative,plural,methikĩire,1.0960622061228922,,methikĩire,,"chest, breast"
στῆθος,258,unigram,neuter,accusative,singular,,,nũũ,gĩthũriinĩ,,"chest, breast"
ἀρχιερεύς,224,unigram,masculine,accusative,plural,,,anene,athĩnjĩri,,chief priest
