lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_934_translation,version_935_translation,version_936_translation,version_937_translation,english_translation
θεός,119,unigram,masculine,accusative,singular,Imana,722.5894702693773,Imana,Imana,Imana,Imana,God
θεός,189,unigram,masculine,nominative,singular,Imana,699.1291894244268,Imana,Imana,Imana,Imana,God
κύριος,120,unigram,masculine,nominative,singular,Nyagasani,9.801564105415911,Nyagasani,Nyagasani,Umwami,Nyagasani,"Lord, lord, master"
γραφή,115,unigram,feminine,accusative,plural,Ibyanditswe,8.579627166030964,Ibyanditswe,Ibyanditswe,ibyanditswe,Ibyanditswe,Scripture
γραφή,45,unigram,feminine,accusative,singular,Ibyanditswe,1.9775131876559862,Ibyanditswe,Ibyanditswe,ibyanditswe,,Scripture
γραφή,237,unigram,feminine,nominative,plural,bibereyeho,1.4996494570521026,bibereyeho,bibereyeho,ibyanditswe,Ibyanditswe,Scripture
γραφή,293,unigram,feminine,nominative,singular,Ibyanditswe,7.307758385882325,Ibyanditswe,Ibyanditswe,ibyanditswe,Ibyanditswe,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,abamarayika,10.077376615326756,abamarayika,abamarayika,abamarayika,abamalayika,angel
ἄγγελος,41,unigram,masculine,nominative,plural,abamarayika,7.815878833767921,abamarayika,abamarayika,abamarayika,abamalayika,angel
ἄγγελος,96,unigram,masculine,nominative,singular,umumarayika,1.6037716136511455,umumarayika,umumarayika,marayika,Malayika,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,Intumwa,1.9195285101394568,Intumwa,Intumwa,intumwa,,apostle
ἐξουσία,179,unigram,feminine,accusative,singular,ubushobozi,1.7666754437906536,ubushobozi,ubushobozi,ubutware,ububasha,authority
βρέφος,14,unigram,neuter,accusative,plural,,,,,abakoreho,ibitambambuga,babies
βρέφος,292,unigram,neuter,accusative,singular,ruryamye,1.1226216593030982,ruryamye,ruryamye,,,babies
ἀποθήκη,242,unigram,feminine,accusative,plural,:,1.1369324303943296,,,:,,barn
ἀποθήκη,63,unigram,feminine,accusative,singular,kigega,2.9480969848998986,kigega,kigega,,kigega,barn
ἀρχή,163,unigram,feminine,accusative,singular,mbere,1.5932082012068969,mbere,mbere,mbere,,beginning
ζώνη,204,unigram,feminine,accusative,singular,awukenyeje,1.2013309189107515,awukenyeje,awukenyeje,,,belt
