lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2184_translation,english_translation
θεός,99,unigram,masculine,accusative,singular,Худайны,3.72881023580161,Худайны,God
θεός,22,unigram,masculine,nominative,plural,худайзар,1.097258004808277,худайзар,God
θεός,157,unigram,masculine,nominative,singular,Худай,7.3938102294404295,Худай,God
κύριος,100,unigram,masculine,nominative,singular,ээзі,1.1860795593510378,ээзі,"Lord, lord, master"
γραφή,97,unigram,feminine,accusative,plural,Худай,1.0674323876145508,Худай,Scripture
γραφή,34,unigram,feminine,accusative,singular,Пічиинде,1.6893981174685233,Пічиинде,Scripture
γραφή,201,unigram,feminine,nominative,plural,пазылғаны,1.1221629298331721,пазылғаны,Scripture
γραφή,249,unigram,feminine,nominative,singular,Пічиинде,2.2102731926795296,Пічиинде,Scripture
ἄγγελος,71,unigram,masculine,accusative,plural,ангеллерін,1.0965410826621873,ангеллерін,angel
ἄγγελος,32,unigram,masculine,nominative,plural,ангеллер,1.8240154757502396,ангеллер,angel
ἄγγελος,81,unigram,masculine,nominative,singular,ангелі,1.0416190693700338,ангелі,angel
ἀπόστολος,4,unigram,masculine,nominative,singular,ызылған,1.1613548718850133,ызылған,apostle
ἐξουσία,148,unigram,feminine,accusative,singular,ӱлгӱ,1.6269892968094009,ӱлгӱ,authority
βρέφος,12,unigram,neuter,accusative,plural,теерт,1.0960670999999007,теерт,babies
βρέφος,247,unigram,neuter,accusative,singular,от,1.0688132807775208,от,babies
ἀποθήκη,52,unigram,feminine,accusative,singular,ӧртебізер,1.5323096753179035,ӧртебізер,barn
ἀρχή,134,unigram,feminine,accusative,singular,пастабох,1.1062845238338443,пастабох,beginning
πλοῖον,79,unigram,neuter,accusative,plural,кимені,1.3519970715473972,кимені,boat
πλοῖον,236,unigram,neuter,accusative,singular,кимее,2.683605118758196,кимее,boat
πλοῖον,180,unigram,neuter,nominative,plural,кимеде,1.096239847813496,кимеде,boat
πλοῖον,171,unigram,neuter,nominative,singular,киме,1.830817217174966,киме,boat
σῶμα,44,unigram,neuter,nominative,singular,чарых,1.2846108999841896,чарых,body
κλῆμα,40,unigram,neuter,nominative,plural,Тӧзібін,1.1613200159490844,Тӧзібін,branch
κλῆμα,112,unigram,neuter,nominative,singular,салаа,1.2923009647397394,салаа,branch
ἄρτος,239,unigram,masculine,accusative,plural,халас,2.6138809245986176,халас,bread
ἄρτος,262,unigram,masculine,accusative,singular,халас,1.586494209298793,халас,bread
ἄρτος,117,unigram,masculine,nominative,plural,халас,1.3334713434626717,халас,bread
ἄρτος,27,unigram,masculine,nominative,singular,халас,1.8896192461995096,халас,bread
