lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_959_translation,english_translation
θεός,352,unigram,masculine,accusative,plural,nyesoa,1.362234405535402,nyesoa,God
θεός,146,unigram,masculine,accusative,singular,Nyesoa,1.9929746414872151,Nyesoa,God
θεός,30,unigram,masculine,nominative,plural,nyesoa,1.6039132777225478,nyesoa,God
θεός,225,unigram,masculine,nominative,singular,Nyesoa,6.921681474220454,Nyesoa,God
κύριος,354,unigram,masculine,nominative,plural,wlâ,1.036925221716873,wlâ,"Lord, lord, master"
κύριος,147,unigram,masculine,nominative,singular,Kɔnyɔ̂,3.7429506274920135,Kɔnyɔ̂,"Lord, lord, master"
γραφή,141,unigram,feminine,accusative,plural,Nyesoa-a̍,1.908546630985526,Nyesoa-a̍,Scripture
γραφή,55,unigram,feminine,accusative,singular,Nyesoa-a̍,1.5745846681326918,Nyesoa-a̍,Scripture
γραφή,281,unigram,feminine,nominative,plural,Nyesoa-a̍,1.2101319984440353,Nyesoa-a̍,Scripture
γραφή,347,unigram,feminine,nominative,singular,Nyesoa-a̍,1.4103179201117109,Nyesoa-a̍,Scripture
ἄγγελος,108,unigram,masculine,accusative,plural,naje̍˖,2.35742860468864,naje̍˖,angel
ἄγγελος,91,unigram,masculine,accusative,singular,Mô‑o̍,1.1298548197653642,Mô‑o̍,angel
ἄγγελος,51,unigram,masculine,nominative,plural,naje̍˖,1.1708188918038014,naje̍˖,angel
ἄγγελος,119,unigram,masculine,nominative,singular,naje̍,3.5042420209376846,naje̍,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,tàdloyɔ˖,1.3598286500945418,tàdloyɔ˖,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,tàdloyɔ‑a̍,1.0960817954296525,tàdloyɔ‑a̍,apostle
ἐξουσία,76,unigram,feminine,accusative,plural,wlu‑a̍,1.1064639134979608,wlu‑a̍,authority
ἐξουσία,214,unigram,feminine,accusative,singular,kpe̍h,3.3460071182434654,kpe̍h,authority
