lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1025_translation,english_translation
θεός,303,unigram,masculine,accusative,plural,goden,1.362234405535402,goden,God
θεός,121,unigram,masculine,accusative,singular,God,3.4548584980364563,God,God
θεός,191,unigram,masculine,nominative,singular,God,4.9230042066095585,God,God
κύριος,122,unigram,masculine,nominative,singular,Harapa,2.9967904528974687,Harapa,"Lord, lord, master"
γραφή,117,unigram,feminine,accusative,plural,keyir,2.006282204363211,keyir,Scripture
γραφή,47,unigram,feminine,accusative,singular,keyir,1.1688576207111645,keyir,Scripture
γραφή,241,unigram,feminine,nominative,plural,sapa,1.0313742114351525,sapa,Scripture
γραφή,298,unigram,feminine,nominative,singular,keyir,1.662575325819617,keyir,Scripture
ἄγγελος,90,unigram,masculine,accusative,plural,ejel,1.212433584129549,ejel,angel
ἄγγελος,77,unigram,masculine,accusative,singular,ejel,1.0081002750063597,ejel,angel
ἄγγελος,43,unigram,masculine,nominative,plural,ejel,2.636023014267329,ejel,angel
ἄγγελος,101,unigram,masculine,nominative,singular,ejel,5.160649864013521,ejel,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,aposel,2.029015895354647,aposel,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,wochitawak,1.1796431938591756,wochitawak,apostle
ἐξουσία,64,unigram,feminine,accusative,plural,kiyatayeniga,1.0962199599997684,kiyatayeniga,authority
ἐξουσία,184,unigram,feminine,accusative,singular,hapaga,2.0489305147881174,hapaga,authority
βρέφος,14,unigram,neuter,accusative,plural,neekik,1.0960670999999007,neekik,babies
βρέφος,297,unigram,neuter,accusative,singular,bulamakaw,1.3592147301000634,bulamakaw,babies
ἀποθήκη,246,unigram,feminine,accusative,plural,saga,1.5033019945696249,saga,barn
φραγμός,104,unigram,masculine,accusative,singular,otiibar,1.3258728381919376,otiibar,"barrier, wall"
ἀρχή,66,unigram,feminine,accusative,plural,kiyatayeniga,1.0961063339256685,kiyatayeniga,beginning
ἀρχή,169,unigram,feminine,accusative,singular,yuway,1.1062845238338443,yuway,beginning
ζώνη,161,unigram,feminine,accusative,plural,kwowok,1.0960524252565438,kwowok,belt
βλασφημία,30,unigram,feminine,accusative,plural,Namapa,1.0960768946513286,Namapa,blasphemy
βλασφημία,78,unigram,feminine,nominative,singular,Hoi,1.1062485993005018,Hoi,blasphemy
πλοῖον,99,unigram,neuter,accusative,plural,jabiir,2.515007020217776,jabiir,boat
πλοῖον,284,unigram,neuter,accusative,singular,jabiirek,3.1354164759289627,jabiirek,boat
πλοῖον,218,unigram,neuter,nominative,plural,jabiirebak,1.212976523872311,jabiirebak,boat
πλοῖον,209,unigram,neuter,nominative,singular,jabiir,1.0228429484742327,jabiir,boat
σῶμα,56,unigram,neuter,nominative,singular,maba,2.6289831284717717,maba,body
κλῆμα,136,unigram,neuter,nominative,singular,tanan,1.2225640739435084,tanan,branch
ἄρτος,288,unigram,masculine,accusative,plural,geyen,1.3586865826126115,geyen,bread
ἄρτος,312,unigram,masculine,accusative,singular,geyen,3.4597970539579648,geyen,bread
ἄρτος,145,unigram,masculine,nominative,plural,geyen,1.7243992731785531,geyen,bread
ἄρτος,35,unigram,masculine,nominative,singular,gey,2.3507319203963344,gey,bread
ἀδελφός,273,unigram,masculine,accusative,plural,yaka,1.5530899944638097,yaka,brother
ἀδελφός,111,unigram,masculine,accusative,singular,kumwoy,1.8768440200547305,kumwoy,brother
ἀδελφός,103,unigram,masculine,nominative,plural,kumwoy,2.4380156595576485,kumwoy,brother
ἀδελφός,214,unigram,masculine,nominative,singular,kumwoy,2.4840217149104364,kumwoy,brother
