lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_875_translation,english_translation
θεός,96,unigram,masculine,accusative,singular,Anumaya,1.871689061280532,Anumaya,God
θεός,20,unigram,masculine,nominative,plural,Kotigatama,1.2154724280609577,Kotigatama,God
θεός,155,unigram,masculine,nominative,singular,Anumaya,1.2439849809796677,Anumaya,God
κύριος,97,unigram,masculine,nominative,singular,Anumayamoꞌa,1.0367221533422484,Anumayamoꞌa,"Lord, lord, master"
γραφή,93,unigram,feminine,accusative,plural,kae-malenaya,1.456039952288377,kae-malenaya,Scripture
γραφή,195,unigram,feminine,nominative,plural,kemoꞌa,1.0389246777515468,kemoꞌa,Scripture
γραφή,237,unigram,feminine,nominative,singular,kae-malenaya,1.515526385220099,kae-malenaya,Scripture
ἄγγελος,71,unigram,masculine,accusative,plural,ensole,1.5437124238804656,ensole,angel
ἄγγελος,59,unigram,masculine,accusative,singular,valino,1.4033343806563279,valino,angel
ἄγγελος,37,unigram,masculine,nominative,plural,ensole,2.3155230385180516,ensole,angel
ἄγγελος,79,unigram,masculine,nominative,singular,ensole,2.857923338152864,ensole,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,Aposolo,1.5885421187060669,Aposolo,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,omainegi,1.0595512823290478,omainegi,apostle
ἐξουσία,148,unigram,feminine,accusative,singular,kalima,1.0654340012625456,kalima,authority
βρέφος,236,unigram,neuter,accusative,singular,nenea,1.141981254286308,nenea,babies
ἀποθήκη,51,unigram,feminine,accusative,singular,atafi,1.0644268935825352,atafi,barn
φραγμός,81,unigram,masculine,accusative,singular,anafi,1.0595319950666118,anafi,"barrier, wall"
βλασφημία,24,unigram,feminine,accusative,plural,otategahayanagi,1.161346151680032,otategahayanagi,blasphemy
βλασφημία,69,unigram,feminine,accusative,singular,hu-oꞌatesae,1.0960768946513286,hu-oꞌatesae,blasphemy
βλασφημία,153,unigram,feminine,nominative,plural,yaꞌene,1.162692923760364,yaꞌene,blasphemy
βλασφημία,60,unigram,feminine,nominative,singular,yaꞌene,1.162692923760364,yaꞌene,blasphemy
πλοῖον,77,unigram,neuter,accusative,plural,tipi,1.222706034831322,tipi,boat
πλοῖον,225,unigram,neuter,accusative,singular,tipi,1.0721397699403918,tipi,boat
πλοῖον,168,unigram,neuter,nominative,singular,tipi,1.0544008201829504,tipi,boat
κλῆμα,108,unigram,neuter,nominative,singular,ai-okaꞌmaesayana,1.1454502626623055,ai-okaꞌmaesayana,branch
ἄρτος,229,unigram,masculine,accusative,plural,maya,3.142438960664836,maya,bread
ἄρτος,247,unigram,masculine,accusative,singular,maya,1.8658461793262324,maya,bread
ἄρτος,115,unigram,masculine,nominative,plural,maya,1.4500870033822588,maya,bread
ἄρτος,28,unigram,masculine,nominative,singular,maya,3.7964297720506583,maya,bread
ἀδελφός,88,unigram,masculine,accusative,singular,kukonogo,1.3223572450658885,kukonogo,brother
ἀδελφός,80,unigram,masculine,nominative,plural,aganaꞌamoꞌyaene,1.314495145159266,aganaꞌamoꞌyaene,brother
ἀδελφός,174,unigram,masculine,nominative,singular,aganaꞌamoꞌa,1.4526874015596565,aganaꞌamoꞌa,brother
στῆθος,207,unigram,neuter,accusative,singular,avaꞌale,1.2312317582102197,avaꞌale,"chest, breast"
ἀρχιερεύς,180,unigram,masculine,accusative,plural,note,1.5212654566450068,note,chief priest
ἀρχιερεύς,45,unigram,masculine,accusative,singular,note,1.1042484473606338,note,chief priest
ἀρχιερεύς,87,unigram,masculine,nominative,plural,note,1.6469617661868072,note,chief priest
ἀρχιερεύς,184,unigram,masculine,nominative,singular,hagote,1.558372397742287,hagote,chief priest
τέκνον,142,unigram,neuter,nominative,singular,Nafaꞌneꞌnimoga,1.4448594104604475,Nafaꞌneꞌnimoga,child
παιδίον,64,unigram,neuter,accusative,singular,nafaꞌnene,1.1901386300385677,nafaꞌnene,child
παιδίον,30,unigram,neuter,nominative,singular,nafaꞌne,1.0463180987838363,nafaꞌne,child
πόλις,133,unigram,feminine,accusative,plural,kumaꞌyagaleꞌene,1.7044754191552405,kumaꞌyagaleꞌene,city
πόλις,47,unigram,feminine,accusative,singular,kumate,1.938194523428269,kumate,city
πύλη,152,unigram,feminine,nominative,singular,fia,1.0441038887271343,fia,city gate
