lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_876_translation,english_translation
θεός,113,unigram,masculine,accusative,singular,Diyos,4.712478383112856,Diyos,God
θεός,26,unigram,masculine,nominative,plural,didiyos,1.5863219987167334,didiyos,God
θεός,176,unigram,masculine,nominative,singular,Diyos,8.886254976634618,Diyos,God
κύριος,114,unigram,masculine,nominative,singular,among,1.3385749527395212,among,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,naisolat,1.6256749324414237,naisolat,Scripture
γραφή,43,unigram,feminine,accusative,singular,inpaisolat,1.030472081886162,inpaisolat,Scripture
γραφή,224,unigram,feminine,nominative,plural,inpaisolat,1.1059341785550771,inpaisolat,Scripture
γραφή,282,unigram,feminine,nominative,singular,inpaisolat,3.7334421430720033,inpaisolat,Scripture
ἄγγελος,86,unigram,masculine,accusative,plural,aanghel,1.5102708715165192,aanghel,angel
ἄγγελος,41,unigram,masculine,nominative,plural,aanghel,3.7226430100709824,aanghel,angel
ἄγγελος,95,unigram,masculine,nominative,singular,anghel,7.262912743557807,anghel,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,aapostol,3.4813454341640484,aapostol,apostle
ἐξουσία,58,unigram,feminine,accusative,plural,gogobernador,1.035490102867098,gogobernador,authority
ἐξουσία,167,unigram,feminine,accusative,singular,kalebbengan,1.6448217751381669,kalebbengan,authority
βρέφος,14,unigram,neuter,accusative,plural,bindisyonanas,1.106276804395426,bindisyonanas,babies
βρέφος,281,unigram,neuter,accusative,singular,naipababaktad,1.1062708150644622,naipababaktad,babies
ἀποθήκη,229,unigram,feminine,accusative,plural,agamang,1.887560603866904,agamang,barn
ἀποθήκη,57,unigram,feminine,accusative,singular,pagey,1.2614109106588662,pagey,barn
φραγμός,201,unigram,masculine,accusative,plural,ad-addawi,1.096057314542422,ad-addawi,"barrier, wall"
ἀρχή,60,unigram,feminine,accusative,plural,gogobernador,1.0354420932147959,gogobernador,beginning
ἀρχή,155,unigram,feminine,accusative,singular,damo,1.4412505324187959,damo,beginning
ζώνη,148,unigram,feminine,accusative,plural,silsilyo,1.2125176900525536,silsilyo,belt
βλασφημία,29,unigram,feminine,accusative,plural,Is-o,1.2555387914136698,Is-o,blasphemy
βλασφημία,174,unigram,feminine,nominative,plural,mangipalawlawas,1.1062485993005018,mangipalawlawas,blasphemy
βλασφημία,73,unigram,feminine,nominative,singular,mangipalawlawa,1.6156708316356223,mangipalawlawa,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,bangka,1.6769484818014486,bangka,boat
πλοῖον,266,unigram,neuter,accusative,singular,bangka,5.1244003959853766,bangka,boat
πλοῖον,194,unigram,neuter,nominative,singular,bangka,1.169555803997755,bangka,boat
σῶμα,50,unigram,neuter,nominative,singular,awak,1.2473448170073291,awak,body
κλῆμα,127,unigram,neuter,nominative,singular,makies-esa,1.8875720920615984,makies-esa,branch
ἄρτος,271,unigram,masculine,accusative,plural,tinapay,2.9736390001885087,tinapay,bread
ἄρτος,292,unigram,masculine,accusative,singular,tinapay,1.7147019955758618,tinapay,bread
ἄρτος,134,unigram,masculine,nominative,plural,kanen,1.2488695137625907,kanen,bread
ἄρτος,33,unigram,masculine,nominative,singular,makan,2.7356672286463684,makan,bread
ἀδελφός,257,unigram,masculine,accusative,plural,aag-i,1.8495142451886641,aag-i,brother
ἀδελφός,104,unigram,masculine,accusative,singular,sin-iyogtan,1.0665341393507215,sin-iyogtan,brother
ἀδελφός,97,unigram,masculine,nominative,plural,aag-i,1.1539574609165266,aag-i,brother
ἀδελφός,199,unigram,masculine,nominative,singular,agi,2.6423040542233998,agi,brother
στῆθος,244,unigram,neuter,accusative,singular,manglipot,1.4319696940143642,manglipot,"chest, breast"
ἀρχιερεύς,209,unigram,masculine,accusative,plural,papadi,1.093055643006424,papadi,chief priest
ἀρχιερεύς,103,unigram,masculine,nominative,plural,papangolon,1.008841980249036,papangolon,chief priest
παῖς,203,unigram,masculine,accusative,plural,ono,1.0317378184977437,ono,child
τέκνον,287,unigram,neuter,accusative,plural,an-ak,1.4312613365444975,an-ak,child
τέκνον,153,unigram,neuter,accusative,singular,agi,1.3428032117553568,agi,child
τέκνον,163,unigram,neuter,nominative,singular,nangilaan,1.1677854038864823,nangilaan,child
παιδίον,80,unigram,neuter,accusative,singular,moyang,1.4628601827606451,moyang,child
παιδίον,34,unigram,neuter,nominative,singular,anak,1.6179591541157876,anak,child
πόλις,156,unigram,feminine,accusative,plural,man-it-itdo,1.1261545707737204,man-it-itdo,city
πόλις,53,unigram,feminine,accusative,singular,ili,1.8743772753091348,ili,city
πύλη,173,unigram,feminine,nominative,singular,nalipit,1.1454502626623055,nalipit,city gate
χιτών,100,unigram,masculine,accusative,plural,bado,1.8218195857203976,bado,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,badom,1.0481439356080116,badom,"clothing, undergarments"
ἱμάτιον,112,unigram,neuter,accusative,plural,bado,1.6342741208221307,bado,coat
ἱμάτιον,111,unigram,neuter,accusative,singular,tak-ep,1.2806784512608025,tak-ep,coat
ἐντολή,71,unigram,feminine,accusative,plural,bilbilin,1.6573377793874706,bilbilin,commandment
ἐντολή,69,unigram,feminine,accusative,singular,onodan,2.1788174300241225,onodan,commandment
συνέδριον,276,unigram,neuter,accusative,plural,sopliten,1.1454842242733958,sopliten,council
συνέδριον,45,unigram,neuter,accusative,singular,papadi,1.0312876897026524,papadi,council
χώρα,249,unigram,feminine,accusative,singular,mangagadang,1.2355347985930003,mangagadang,"country, countryside"
ὄχλος,47,unigram,masculine,accusative,plural,kaipoipogaw,3.0828919158560897,kaipoipogaw,crowd
ὄχλος,8,unigram,masculine,accusative,singular,kaipoipogaw,2.715832180543379,kaipoipogaw,crowd
ὄχλος,88,unigram,masculine,nominative,plural,kaipoipogaw,2.5866976227895253,kaipoipogaw,crowd
ὄχλος,239,unigram,masculine,nominative,singular,kaipoipogaw,2.467593113991987,kaipoipogaw,crowd
θυγάτηρ,99,unigram,feminine,nominative,plural,Babbabai,1.0961506491767987,Babbabai,daughter
θυγάτηρ,270,unigram,feminine,nominative,singular,anak,2.191237234648435,anak,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,agew,3.100161499692448,agew,day
ἡμέρα,74,unigram,feminine,accusative,singular,Inag-agew,1.638628917371933,Inag-agew,day
ἡμέρα,2,unigram,feminine,nominative,plural,timpon,1.2139300196922074,timpon,day
ἡμέρα,55,unigram,feminine,nominative,singular,tan,1.016332628066103,tan,day
δαιμόνιον,28,unigram,neuter,accusative,plural,aanito,1.2212370963395078,aanito,demon
δαιμόνιον,164,unigram,neuter,nominative,plural,aanito,2.0299022002832783,aanito,demon
δαιμόνιον,146,unigram,neuter,nominative,singular,anito,1.5300412429865355,anito,demon
δηνάριον,261,unigram,neuter,accusative,plural,otang,1.3130527349743284,otang,denarius (about a day's wages)
δηνάριον,136,unigram,neuter,accusative,singular,denario,1.4945854596785524,denario,denarius (about a day's wages)
μαθητής,151,unigram,masculine,accusative,plural,papasolot,2.390580432054456,papasolot,disciple
μαθητής,288,unigram,masculine,accusative,singular,laydelaydena,1.57496864443176,laydelaydena,disciple
μαθητής,232,unigram,masculine,nominative,plural,papasolot,7.1368360180873625,papasolot,disciple
μαθητής,286,unigram,masculine,nominative,singular,pasolot,2.472091846421254,pasolot,disciple
νόσος,3,unigram,feminine,accusative,plural,nangaan,1.0453436961984244,nangaan,disease
νόσος,62,unigram,feminine,accusative,singular,kalasin,1.4522353075138732,kalasin,disease
περιστερά,87,unigram,feminine,accusative,plural,kalapati,1.4349303418097266,kalapati,dove
οὖς,126,unigram,neuter,accusative,plural,manmannge,1.025687821673383,manmannge,ear
οὖς,238,unigram,neuter,accusative,singular,dengngen,1.3294074740398738,dengngen,ear
σεισμός,168,unigram,masculine,nominative,plural,yegyeg,1.0810922260060456,yegyeg,"earthquakes, storm"
τέλος,230,unigram,neuter,accusative,singular,mankeykeyat,1.2506067218553747,mankeykeyat,end
αἰών,204,unigram,masculine,accusative,plural,patinggan,1.2933576305580583,patinggan,eternity
αἰών,258,unigram,masculine,accusative,singular,eng-enggana,2.9767127544113636,eng-enggana,eternity
ὀφθαλμός,20,unigram,masculine,accusative,plural,godab,1.1490204800199315,godab,eye
ὀφθαλμός,52,unigram,masculine,nominative,plural,mata,1.3702208009686467,mata,eye
λιμός,6,unigram,feminine,nominative,plural,betil,1.0595416318177244,betil,famine
λιμός,265,unigram,masculine,nominative,plural,betil,1.096071996175396,betil,famine
λιμός,82,unigram,feminine,nominative,singular,betil,1.096071996175396,betil,famine
γεωργός,213,unigram,masculine,nominative,plural,nom-a,1.0445979934681382,nom-a,"farmer, tenant"
γεωργός,42,unigram,masculine,nominative,singular,poon,1.0493821282623346,poon,"farmer, tenant"
πατήρ,260,unigram,masculine,accusative,singular,Amak,1.6591604163656506,Amak,father
πατήρ,269,unigram,masculine,nominative,plural,ap-apo,2.7287782761048485,ap-apo,father
πατήρ,157,unigram,masculine,nominative,singular,Amak,1.604517666634259,Amak,father
σύνδουλος,121,unigram,masculine,accusative,plural,makiin-inom,1.161328723715616,makiin-inom,"fellow-servant, colleague"
σύνδουλος,76,unigram,masculine,accusative,singular,sineg-angan,1.1634539930304015,sineg-angan,"fellow-servant, colleague"
σύνδουλος,273,unigram,masculine,nominative,plural,dinad-at,1.1236481724403693,dinad-at,"fellow-servant, colleague"
ἀγρός,283,unigram,masculine,accusative,plural,aag-i,1.0311720715567247,aag-i,field
δάκτυλος,150,unigram,masculine,accusative,singular,bikes,1.0938620478411156,bikes,finger
ἰχθύς,129,unigram,masculine,accusative,plural,piskaw,1.369576066140427,piskaw,fish
ἰχθύς,161,unigram,masculine,accusative,singular,piskaw,1.062144946184225,piskaw,fish
