lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1855_translation,english_translation
θεός,327,unigram,masculine,accusative,plural,nyorsoa⧾,1.2154724280609577,nyorsoa⧾,God
θεός,131,unigram,masculine,accusative,singular,'nyne,1.3508140408259026,'nyne,God
θεός,26,unigram,masculine,nominative,plural,nyorsoa⧾,1.3312679263925702,nyorsoa⧾,God
θεός,202,unigram,masculine,nominative,singular,Nyorsoa,6.994617662598484,Nyorsoa,God
κύριος,329,unigram,masculine,nominative,plural,bhehn-dih-a,1.2150588415383703,bhehn-dih-a,"Lord, lord, master"
κύριος,132,unigram,masculine,nominative,singular,Gwlor,1.4694317444144351,Gwlor,"Lord, lord, master"
γραφή,126,unigram,feminine,accusative,plural,'chlee-deh-,1.240540434203049,'chlee-deh-,Scripture
γραφή,48,unigram,feminine,accusative,singular,'see-eh,1.2407008043529155,'see-eh,Scripture
γραφή,260,unigram,feminine,nominative,plural,'jeh-,1.3625184357490592,'jeh-,Scripture
γραφή,323,unigram,feminine,nominative,singular,'chlee-deh,1.6183726543498775,'chlee-deh,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,'enjor-nyor⧾,2.4110138233245966,'enjor-nyor⧾,angel
ἄγγελος,83,unigram,masculine,accusative,singular,'an-a,1.1132584099804643,'an-a,angel
ἄγγελος,45,unigram,masculine,nominative,plural,'enjor-nyor,1.7735411314068508,'enjor-nyor,angel
ἄγγελος,106,unigram,masculine,nominative,singular,'enjor,3.584392108081094,'enjor,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,dboo-nyor⧾,2.202937236104361,dboo-nyor⧾,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,dboo-nyor,1.4108312135332781,dboo-nyor,apostle
ἐξουσία,69,unigram,feminine,accusative,plural,'kwi⧾,1.0596420238117508,'kwi⧾,authority
ἐξουσία,192,unigram,feminine,accusative,singular,'kpih,6.203457051123924,'kpih,authority
βρέφος,14,unigram,neuter,accusative,plural,kan-uh-,1.2744182908410857,kan-uh-,babies
βρέφος,322,unigram,neuter,accusative,singular,nena-deh⧾-a,1.1420962508140535,nena-deh⧾-a,babies
ἀποθήκη,268,unigram,feminine,accusative,plural,dii-deh⧾-a,1.1331785194363777,dii-deh⧾-a,barn
ἀποθήκη,68,unigram,feminine,accusative,singular,deh⧾-yor,1.0297423653386144,deh⧾-yor,barn
φραγμός,229,unigram,masculine,accusative,plural,gwie⧾-,1.4581135529140172,gwie⧾-,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,'kwi⧾,1.0595673971889907,'kwi⧾,beginning
ἀρχή,176,unigram,feminine,accusative,singular,'Kena-gwlor,1.0662807816552895,'Kena-gwlor,beginning
ζώνη,167,unigram,feminine,accusative,plural,'sebla-,1.0960524252565438,'sebla-,belt
βλασφημία,30,unigram,feminine,accusative,plural,'beh-dih-eh,1.1029321735684017,'beh-dih-eh,blasphemy
βλασφημία,94,unigram,feminine,accusative,singular,'kor-dih-eh,1.0960768946513286,'kor-dih-eh,blasphemy
βλασφημία,200,unigram,feminine,nominative,plural,deh⧾-zon⧾-a,1.1987434062918123,deh⧾-zon⧾-a,blasphemy
πλοῖον,104,unigram,neuter,accusative,plural,'blagbe⧾,1.9576445096253965,'blagbe⧾,boat
πλοῖον,308,unigram,neuter,accusative,singular,'blagbe,2.7470371757125758,'blagbe,boat
πλοῖον,236,unigram,neuter,nominative,plural,nee'-a,1.0354985076290648,nee'-a,boat
πλοῖον,220,unigram,neuter,nominative,singular,'blagbe,1.5758643242532446,'blagbe,boat
σῶμα,58,unigram,neuter,nominative,singular,yau-a,2.6941117144151496,yau-a,body
κλῆμα,54,unigram,neuter,nominative,plural,'gabuh⧾-,1.255494041147772,'gabuh⧾-,branch
κλῆμα,145,unigram,neuter,nominative,singular,'gabuh,1.5327296491342408,'gabuh,branch
ἄρτος,311,unigram,masculine,accusative,plural,'bhlee,1.4603014171890751,'bhlee,bread
ἄρτος,338,unigram,masculine,accusative,singular,'bhlee,1.6496686250735124,'bhlee,bread
ἄρτος,151,unigram,masculine,nominative,plural,'bhlee,3.2585734916267133,'bhlee,bread
ἄρτος,37,unigram,masculine,nominative,singular,dii-deh,1.5973776439109415,dii-deh,bread
ἀδελφός,299,unigram,masculine,accusative,plural,'de-di'-boi'-,1.3738541495407008,'de-di'-boi'-,brother
ἀδελφός,117,unigram,masculine,accusative,singular,dei,1.6600690385090575,dei,brother
ἀδελφός,108,unigram,masculine,nominative,plural,'de-,1.3017860703722457,'de-,brother
ἀδελφός,227,unigram,masculine,nominative,singular,'de-di,2.094109906587465,'de-di,brother
στῆθος,148,unigram,neuter,accusative,plural,wehlih,1.027257286138156,wehlih,"chest, breast"
στῆθος,284,unigram,neuter,accusative,singular,na-yu,1.457482980978081,na-yu,"chest, breast"
ἀρχιερεύς,241,unigram,masculine,accusative,plural,za-nyor,1.0654270889719646,za-nyor,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,za-nyor⧾-a,1.2831485657255195,za-nyor⧾-a,chief priest
ἀρχιερεύς,116,unigram,masculine,nominative,plural,za-nyor,1.0350326504784166,za-nyor,chief priest
ἀρχιερεύς,245,unigram,masculine,nominative,singular,za-nyor⧾-a,1.1865531622116343,za-nyor⧾-a,chief priest
παῖς,232,unigram,masculine,accusative,plural,'chehn,1.3597121829115857,'chehn,child
παῖς,47,unigram,masculine,accusative,singular,du-or,1.1063428775234152,du-or,child
τέκνον,331,unigram,neuter,accusative,plural,'nynuu-,1.3856051246127759,'nynuu-,child
τέκνον,173,unigram,neuter,accusative,singular,'de-di,1.1414406421411771,'de-di,child
τέκνον,15,unigram,neuter,nominative,plural,'Nynuu-a,1.5066799781438145,'Nynuu-a,child
τέκνον,184,unigram,neuter,nominative,singular,'An,1.2542354411431564,'An,child
παιδίον,13,unigram,neuter,accusative,plural,nyene,1.0802858814630174,nyene,child
παιδίον,165,unigram,neuter,nominative,plural,nyene,1.2570924525110132,nyene,child
παιδίον,39,unigram,neuter,nominative,singular,'yu-yu,1.328163463193118,'yu-yu,child
πόλις,177,unigram,feminine,accusative,plural,gwlor⧾,1.248727021111434,gwlor⧾,city
πόλις,63,unigram,feminine,accusative,singular,gwlor,1.4801206107708038,gwlor,city
