lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1775_translation,english_translation
θεός,86,unigram,masculine,accusative,singular,Apudyus,6.904356009571703,Apudyus,God
θεός,18,unigram,masculine,nominative,plural,apudyus-ayu,1.0974404143213414,apudyus-ayu,God
θεός,147,unigram,masculine,nominative,singular,Apudyus,6.239560878375379,Apudyus,God
κύριος,87,unigram,masculine,nominative,singular,sanilu,1.3647113449733514,sanilu,"Lord, lord, master"
γραφή,83,unigram,feminine,accusative,plural,niyug-is,1.0989051020142246,niyug-is,Scripture
γραφή,29,unigram,feminine,accusative,singular,niyug-is,1.2471496225623129,niyug-is,Scripture
γραφή,188,unigram,feminine,nominative,plural,amasna,1.0690821136098712,amasna,Scripture
γραφή,234,unigram,feminine,nominative,singular,niyug-is,1.5768448953891456,niyug-is,Scripture
ἄγγελος,59,unigram,masculine,accusative,plural,mangarus,1.4870931442225268,mangarus,angel
ἄγγελος,26,unigram,masculine,nominative,plural,aangheles,4.384028444489084,aangheles,angel
ἄγγελος,67,unigram,masculine,nominative,singular,anghel,4.178751107469759,anghel,angel
ἀπόστολος,24,unigram,masculine,nominative,plural,apostoles,1.824239393834178,apostoles,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,mafaun,1.385775723588013,mafaun,apostle
ἐξουσία,139,unigram,feminine,accusative,singular,annan,1.325486359084359,annan,authority
βρέφος,233,unigram,neuter,accusative,singular,atutung,1.8873402512856507,atutung,babies
ἀρχή,122,unigram,feminine,accusative,singular,chamchamuy,1.1065083726974134,chamchamuy,beginning
ζώνη,117,unigram,feminine,accusative,plural,siping,1.3101138663347889,siping,belt
βλασφημία,145,unigram,feminine,nominative,plural,lawing,1.1895251324790794,lawing,blasphemy
βλασφημία,52,unigram,feminine,nominative,singular,lawing,1.1895251324790794,lawing,blasphemy
πλοῖον,65,unigram,neuter,accusative,plural,fangka,1.5143497289325758,fangka,boat
πλοῖον,220,unigram,neuter,accusative,singular,fangka,2.193753384994693,fangka,boat
πλοῖον,162,unigram,neuter,nominative,singular,nangkinawan,1.2926688436746536,nangkinawan,boat
σῶμα,36,unigram,neuter,nominative,singular,long-ag,1.2159456176237158,long-ag,body
κλῆμα,97,unigram,neuter,nominative,singular,panga,1.1457842255377808,panga,branch
ἄρτος,224,unigram,masculine,accusative,plural,tinapoy,2.5042655623007484,tinapoy,bread
ἄρτος,245,unigram,masculine,accusative,singular,tinapoy,1.5408866286975282,tinapoy,bread
ἄρτος,104,unigram,masculine,nominative,plural,tinapoy,1.3676716333481391,tinapoy,bread
ἄρτος,22,unigram,masculine,nominative,singular,maan,2.0719540891595183,maan,bread
ἀδελφός,215,unigram,masculine,accusative,plural,susunudna,1.403196496252716,susunudna,brother
ἀδελφός,77,unigram,masculine,accusative,singular,mansunud,1.0799684336280255,mansunud,brother
ἀδελφός,69,unigram,masculine,nominative,plural,susunudna,1.1962395673347157,susunudna,brother
στῆθος,101,unigram,neuter,accusative,plural,asisasauychay,1.1616627212852015,asisasauychay,"chest, breast"
ἀρχιερεύς,174,unigram,masculine,accusative,plural,papachi,1.1765785604569172,papachi,chief priest
ἀρχιερεύς,76,unigram,masculine,nominative,plural,pangpangun,1.0629004228758452,pangpangun,chief priest
ἀρχιερεύς,178,unigram,masculine,nominative,singular,Angatuwani,1.14190851879556,Angatuwani,chief priest
παῖς,169,unigram,masculine,accusative,plural,an-ananà,1.2953445730248287,an-ananà,child
τέκνον,240,unigram,neuter,accusative,plural,susunudna,1.1106570835205498,susunudna,child
τέκνον,132,unigram,neuter,nominative,singular,Anàu,1.4793418767012103,Anàu,child
παιδίον,9,unigram,neuter,accusative,plural,an-ananà,1.1383187264141867,an-ananà,child
παιδίον,56,unigram,neuter,accusative,singular,anà,1.9417680546053824,anà,child
παιδίον,23,unigram,neuter,nominative,singular,mangipafafa,1.3549159260129824,mangipafafa,child
πόλις,123,unigram,feminine,accusative,plural,ili,1.1412788784930024,ili,city
πόλις,40,unigram,feminine,accusative,singular,ili,3.798978523971633,ili,city
πύλη,144,unigram,feminine,nominative,singular,mangoy,1.161217074408293,mangoy,city gate
χιτών,72,unigram,masculine,accusative,plural,mangawit,1.6663465886327975,mangawit,"clothing, undergarments"
ἱμάτιον,85,unigram,neuter,accusative,plural,silupna,1.0936801207983795,silupna,coat
ἐντολή,50,unigram,feminine,accusative,singular,achawiyanyu,1.5080237858977406,achawiyanyu,commandment
συνέδριον,229,unigram,neuter,accusative,plural,sinagogacha,1.8074136433448655,sinagogacha,council
συνέδριον,31,unigram,neuter,accusative,singular,kukunsisar,1.8265179113530488,kukunsisar,council
χώρα,206,unigram,feminine,accusative,singular,sakupon,1.1711566233251804,sakupon,"country, countryside"
ὄχλος,33,unigram,masculine,accusative,plural,disipulusnan,1.4354220598272194,disipulusnan,crowd
ὄχλος,7,unigram,masculine,accusative,singular,ad-adchuwani,1.7629575243470352,ad-adchuwani,crowd
ὄχλος,61,unigram,masculine,nominative,plural,naarus,1.1484753476693297,naarus,crowd
ὄχλος,199,unigram,masculine,nominative,singular,ad-adchuwani,1.4463112925335435,ad-adchuwani,crowd
θυγάτηρ,223,unigram,feminine,nominative,singular,fafarasang,1.0449276142882131,fafarasang,daughter
ἡμέρα,47,unigram,feminine,accusative,plural,padcha,2.481615583027711,padcha,day
ἡμέρα,53,unigram,feminine,accusative,singular,tiniliw,1.0329721195984432,tiniliw,day
ἡμέρα,2,unigram,feminine,nominative,plural,timpuy,1.683840047117613,timpuy,day
ἡμέρα,42,unigram,feminine,nominative,singular,padchay,1.3976420694411584,padchay,day
δαιμόνιον,19,unigram,neuter,accusative,plural,aran,1.6788281717299691,aran,demon
δαιμόνιον,237,unigram,neuter,accusative,singular,nakafarfaray,1.4247944708073652,nakafarfaray,demon
δαιμόνιον,134,unigram,neuter,nominative,plural,aran,1.4463802576318876,aran,demon
δαιμόνιον,115,unigram,neuter,nominative,singular,aran,1.8414065376908308,aran,demon
μαθητής,119,unigram,masculine,accusative,plural,disipulusna,5.328881211676097,disipulusna,disciple
μαθητής,193,unigram,masculine,nominative,plural,disipulusna,1.679536710720008,disipulusna,disciple
νόσος,46,unigram,feminine,accusative,singular,sakit,1.188510211415022,sakit,disease
περιστερά,60,unigram,feminine,accusative,plural,karupati,1.4351657120494976,karupati,dove
οὖς,96,unigram,neuter,accusative,plural,Naingaan-ayu,1.2052025095496206,Naingaan-ayu,ear
οὖς,198,unigram,neuter,accusative,singular,aafusanyu,1.9576070603140492,aafusanyu,ear
σεισμός,140,unigram,masculine,nominative,plural,manita,1.3872791181175756,manita,"earthquakes, storm"
σεισμός,38,unigram,masculine,nominative,singular,napigsa,1.8074336368416852,napigsa,"earthquakes, storm"
τέλος,192,unigram,neuter,accusative,singular,mangipapati,1.0555865736943353,mangipapati,end
αἰών,216,unigram,masculine,accusative,singular,ing-ingkana,3.8146561811911335,ing-ingkana,eternity
ὀφθαλμός,13,unigram,masculine,accusative,plural,kurap,1.0724609437815262,kurap,eye
ὀφθαλμός,39,unigram,masculine,nominative,plural,makailasin-ayu,1.0845540589656633,makailasin-ayu,eye
ὀφθαλμός,213,unigram,masculine,nominative,singular,ata,1.5756914478554185,ata,eye
πρόσωπον,129,unigram,neuter,accusative,singular,laksikom,1.0650757477841617,laksikom,face
γεωργός,28,unigram,masculine,nominative,singular,manarkon,1.2562332200949446,manarkon,"farmer, tenant"
πατήρ,217,unigram,masculine,accusative,singular,Ama,3.88480405562072,Ama,father
πατήρ,222,unigram,masculine,nominative,plural,awi,1.3222393121392848,awi,father
πατήρ,124,unigram,masculine,nominative,singular,Ama,3.30593471510224,Ama,father
σύνδουλος,226,unigram,masculine,nominative,plural,impilit,1.161671593281553,impilit,"fellow-servant, colleague"
ἀγρός,236,unigram,masculine,accusative,plural,foforoy,1.5348222209826283,foforoy,field
ἰχθύς,99,unigram,masculine,accusative,plural,filis,1.3629571742978115,filis,fish
ἰχθύς,128,unigram,masculine,accusative,singular,adchanyù,1.0890732543746728,adchanyù,fish
δίκτυον,66,unigram,neuter,accusative,plural,takufurcha,2.418239634586055,takufurcha,fishing net
δίκτυον,137,unigram,neuter,accusative,singular,napnù,1.2631766163615852,napnù,fishing net
πούς,167,unigram,masculine,accusative,plural,ikì,1.3102162150096266,ikì,foot
καρπός,121,unigram,masculine,accusative,plural,mamfaru,1.1548589444538042,mamfaru,"fruit, crop, harvest"
καρπός,165,unigram,masculine,accusative,singular,imong,1.029276507150852,imong,"fruit, crop, harvest"
πλήρωμα,190,unigram,neuter,accusative,plural,langngay,1.5205678060867702,langngay,fullness
γενεά,166,unigram,feminine,accusative,singular,sillumunap,1.957588226139865,sillumunap,generation
γενεά,95,unigram,feminine,nominative,singular,lunap,1.9531774841589415,lunap,generation
δῶρον,106,unigram,neuter,accusative,singular,altar,1.724826298343046,altar,gift
ἡγεμών,114,unigram,masculine,accusative,plural,nangangatuy,1.1032136523627372,nangangatuy,"governor, ruler"
ἀσπασμός,225,unigram,masculine,accusative,plural,malispitu,1.4090614238232286,malispitu,greeting
ὁδηγός,4,unigram,masculine,nominative,plural,mangipuyut,1.0962498059215229,mangipuyut,guide
ὁδηγός,3,unigram,masculine,nominative,singular,nakurap,1.3897862892188129,nakurap,guide
χείρ,155,unigram,feminine,accusative,singular,imana,1.4105455995237706,imana,hand
κεφαλή,143,unigram,feminine,accusative,singular,urun,1.3176641272891627,urun,head
καρδία,201,unigram,feminine,accusative,singular,maawatan,1.3545844593227772,maawatan,heart
καρδία,130,unigram,feminine,nominative,singular,somsomòchan,1.3907207861598077,somsomòchan,heart
οὐρανός,187,unigram,masculine,accusative,singular,langit,2.3646698445681,langit,"heaven, sky"
οὐρανός,135,unigram,masculine,nominative,singular,langit,1.1502975293476148,langit,"heaven, sky"
ὥρα,16,unigram,feminine,nominative,singular,chumatong,1.3034101119170802,chumatong,hour
οἰκία,230,unigram,feminine,accusative,singular,foroy,1.5741819495060516,foroy,house
οἶκος,12,unigram,masculine,accusative,singular,foroycha,1.0190867481653627,foroycha,"house, home"
κριτής,108,unigram,masculine,nominative,singular,kuis,1.9355456930808523,kuis,judge
βασιλεύς,64,unigram,masculine,accusative,plural,nangangatuy,1.1034046427195836,nangangatuy,king
βασιλεύς,34,unigram,masculine,accusative,singular,Aliyuy,1.1907082644852114,Aliyuy,king
βασιλεία,105,unigram,feminine,accusative,singular,Manturayan,3.3648910576839484,Manturayan,kingdom
κόπος,138,unigram,masculine,accusative,plural,Mamfaru,1.5285539656747342,Mamfaru,"labour, work, trouble, difficulty"
λύχνος,163,unigram,masculine,nominative,singular,silaw,1.6870725374954871,silaw,lamp
κλῆρος,1,unigram,masculine,accusative,singular,namfinnunutcha,1.0648803016371091,namfinnunutcha,"lots (casting of lots), inheritance"
ἄνθρωπος,208,unigram,masculine,accusative,plural,mifilang,1.3074518584381292,mifilang,man
ἄνθρωπος,179,unigram,masculine,accusative,singular,mangiparwing,1.1508768533031517,mangiparwing,man
ἄνθρωπος,73,unigram,masculine,nominative,plural,takun,1.1288809537863704,takun,man
ἄνθρωπος,118,unigram,masculine,nominative,singular,osay,1.4094019433717366,osay,man
ἀνήρ,176,unigram,masculine,accusative,singular,asawam,1.7959307746722442,asawam,"man, husband"
ἀνήρ,93,unigram,masculine,nominative,plural,lallarai,1.6595575870423893,lallarai,"man, husband"
ἀνήρ,168,unigram,masculine,nominative,singular,nampalintumong,1.247804984852778,nampalintumong,"man, husband"
μνᾶ,210,unigram,feminine,accusative,plural,simpuru,1.1197285544358742,simpuru,mina (about 100 days' wages)
μήτηρ,194,unigram,feminine,accusative,singular,inana,1.2472790099456503,inana,mother
ὄρος,152,unigram,neuter,accusative,plural,mantaru,1.0878931504327722,mantaru,mountain
ὄρος,185,unigram,neuter,accusative,singular,filig,1.0898590312008758,filig,mountain
ὄνομα,20,unigram,neuter,accusative,singular,kapu,1.09506920088579,kapu,name
ὄνομα,177,unigram,neuter,nominative,singular,nangngachan,1.1137252827627253,nangngachan,name
ἔθνος,161,unigram,neuter,accusative,plural,ailiili,1.2801115212966137,ailiili,nation
ἔθνος,131,unigram,neuter,accusative,singular,turay,1.0699060213015723,turay,nation
