lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_944_translation,english_translation
θεός,307,unigram,masculine,accusative,plural,mɛ̄lɛ̄ka̍la̍ŋ,1.549304921249345,mɛ̄lɛ̄ka̍la̍ŋ,God
θεός,126,unigram,masculine,accusative,singular,Mɛ̄lɛ̄ka̍,2.3498944144879625,Mɛ̄lɛ̄ka̍,God
θεός,27,unigram,masculine,nominative,plural,mɛ̄lɛ̄ka̍la̍ŋ,1.1634492944761523,mɛ̄lɛ̄ka̍la̍ŋ,God
θεός,196,unigram,masculine,nominative,singular,Mɛ̄lɛ̄ka̍,6.8605532943474925,Mɛ̄lɛ̄ka̍,God
κύριος,127,unigram,masculine,nominative,singular,Māsānɔ̄ɔ̍,2.580211653817876,Māsānɔ̄ɔ̍,"Lord, lord, master"
γραφή,49,unigram,feminine,accusative,singular,Yāu̍,1.230561624152938,Yāu̍,Scripture
γραφή,249,unigram,feminine,nominative,plural,Yāu̍,1.157265416143925,Yāu̍,Scripture
γραφή,303,unigram,feminine,nominative,singular,Yāu̍,2.0221214742469225,Yāu̍,Scripture
ἄγγελος,94,unigram,masculine,accusative,plural,ki̍i̍la̍a̍,2.4038901958520498,ki̍i̍la̍a̍,angel
ἄγγελος,81,unigram,masculine,accusative,singular,pɔ̄ɔ̄,1.3162867351457581,pɔ̄ɔ̄,angel
ἄγγελος,46,unigram,masculine,nominative,plural,ki̍i̍la̍a̍,1.4481111209752695,ki̍i̍la̍a̍,angel
ἄγγελος,104,unigram,masculine,nominative,singular,ki̍i̍la̍nɔ̍,2.2803093845959226,ki̍i̍la̍nɔ̍,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,hɔ̄ltē,1.3136435730460143,hɔ̄ltē,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,ki̍i̍la̍le̍ŋ,1.0960817954296525,ki̍i̍la̍le̍ŋ,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,lēlɛ̄ŋnda̍,1.1799480038640215,lēlɛ̄ŋnda̍,authority
ἐξουσία,188,unigram,feminine,accusative,singular,kpāāyāa̍,2.463634592627668,kpāāyāa̍,authority
βρέφος,13,unigram,neuter,accusative,plural,dōōnu᷄ŋ,1.0354255198080204,dōōnu᷄ŋ,babies
βρέφος,302,unigram,neuter,accusative,singular,dōū,1.0662850125332282,dōū,babies
ἀποθήκη,67,unigram,feminine,accusative,singular,lōm,1.4173718379039892,lōm,barn
ἀρχή,70,unigram,feminine,accusative,plural,lēlɛ̄ŋnda̍,1.1796973176479804,lēlɛ̄ŋnda̍,beginning
ἀρχή,171,unigram,feminine,accusative,singular,kɔ̄ndɔ̄fi̍li̍yɛ̍ī,1.1062845238338443,kɔ̄ndɔ̄fi̍li̍yɛ̍ī,beginning
ζώνη,165,unigram,feminine,accusative,plural,sɔ̄lāā,1.3567585854385988,sɔ̄lāā,belt
βλασφημία,31,unigram,feminine,accusative,plural,dīōla̍,1.0258566529985271,dīōla̍,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,dɛ̄ndɛ̄la̍ŋ,1.0648687290883774,dɛ̄ndɛ̄la̍ŋ,boat
πλοῖον,290,unigram,neuter,accusative,singular,dɛ̄ndɔ̄ɔ̍,2.8273866009944486,dɛ̄ndɔ̄ɔ̍,boat
πλοῖον,226,unigram,neuter,nominative,plural,Dɛ̄ndɛ̄la̍,1.3575384320084214,Dɛ̄ndɛ̄la̍,boat
πλοῖον,213,unigram,neuter,nominative,singular,dɛ̄ndɔ̄ɔ̍,1.2989895582519626,dɛ̄ndɔ̄ɔ̍,boat
σῶμα,59,unigram,neuter,nominative,singular,dīāllūŋ,1.291863986882802,dīāllūŋ,body
κλῆμα,55,unigram,neuter,nominative,plural,mɔ̄ɔ̄sa᷅ŋ,1.0441063733306788,mɔ̄ɔ̄sa᷅ŋ,branch
κλῆμα,142,unigram,neuter,nominative,singular,lɛ̄vīī,1.1062648286089038,lɛ̄vīī,branch
ἄρτος,294,unigram,masculine,accusative,plural,bēe̍dīi̍,1.604174281883859,bēe̍dīi̍,bread
ἄρτος,318,unigram,masculine,accusative,singular,bēe̍dīi̍yo̍,1.659154890736166,bēe̍dīi̍yo̍,bread
ἄρτος,148,unigram,masculine,nominative,plural,ka̍āku̍u̍wo̍,1.393938955173981,ka̍āku̍u̍wo̍,bread
ἄρτος,38,unigram,masculine,nominative,singular,bēe̍dīi̍,1.7721075242049968,bēe̍dīi̍,bread
ἀδελφός,280,unigram,masculine,accusative,plural,pɔ̄mbūāā,1.2894281081393355,pɔ̄mbūāā,brother
ἀδελφός,114,unigram,masculine,accusative,singular,Chēmi̍si̍,1.3007866935430117,Chēmi̍si̍,brother
ἀδελφός,107,unigram,masculine,nominative,plural,pɔ̄mbūāā,3.7981728968711694,pɔ̄mbūāā,brother
ἀδελφός,219,unigram,masculine,nominative,singular,pɔ̄mbɔ̄,1.0440100607369636,pɔ̄mbɔ̄,brother
στῆθος,145,unigram,neuter,accusative,plural,kɔ̄mɔ᷄ŋ,1.4351218331004618,kɔ̄mɔ᷄ŋ,"chest, breast"
στῆθος,266,unigram,neuter,accusative,singular,pīsī,1.0777480266239867,pīsī,"chest, breast"
ἀρχιερεύς,230,unigram,masculine,accusative,plural,sōlīāā,1.0171374290739104,sōlīāā,chief priest
ἀρχιερεύς,60,unigram,masculine,accusative,singular,sōlīāā,1.0207220115682414,sōlīāā,chief priest
