lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1508_translation,english_translation
θεός,346,unigram,masculine,accusative,plural,nyɩsʋapʋ,1.2591437047102771,nyɩsʋapʋ,God
θεός,144,unigram,masculine,accusative,singular,Nyɩsʋa,2.526240087241572,Nyɩsʋa,God
θεός,30,unigram,masculine,nominative,plural,nyɩsʋapʋ,1.297225727579602,nyɩsʋapʋ,God
θεός,221,unigram,masculine,nominative,singular,Nyɩsʋa,2.6951371318615838,Nyɩsʋa,God
κύριος,145,unigram,masculine,nominative,singular,Kʋkɔnyɔ,1.874916222271188,Kʋkɔnyɔ,"Lord, lord, master"
γραφή,139,unigram,feminine,accusative,plural,Nyɩsʋacrɩɛn,2.741965523276851,Nyɩsʋacrɩɛn,Scripture
γραφή,54,unigram,feminine,accusative,singular,Nyɩsʋacrɩɛn,1.3170879049837063,Nyɩsʋacrɩɛn,Scripture
γραφή,274,unigram,feminine,nominative,plural,Nyɩsʋacrɩɛn,1.212830922859513,Nyɩsʋacrɩɛn,Scripture
γραφή,340,unigram,feminine,nominative,singular,Nyɩsʋacrɩɛn,1.288174754369313,Nyɩsʋacrɩɛn,Scripture
ἄγγελος,107,unigram,masculine,accusative,plural,lɛlenyʋ,1.7445907597245909,lɛlenyʋ,angel
ἄγγελος,90,unigram,masculine,accusative,singular,kla,1.0730762021628657,kla,angel
ἄγγελος,51,unigram,masculine,nominative,plural,lɛlenyʋ,3.6828530615941153,lɛlenyʋ,angel
ἄγγελος,117,unigram,masculine,nominative,singular,lɛlenyɔ,3.9326318637018485,lɛlenyɔ,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,‑mɔnanyʋ*,2.2806118711761814,‑mɔnanyʋ*,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,lɛleyu,1.7399882177412218,lɛleyu,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,꞊tutuo,1.1135345497336029,꞊tutuo,authority
ἐξουσία,209,unigram,feminine,accusative,singular,'klɩ,1.701025411453468,'klɩ,authority
βρέφος,16,unigram,neuter,accusative,plural,'haa,1.1421050108759827,'haa,babies
βρέφος,338,unigram,neuter,accusative,singular,'yupanʋ,1.118907177762274,'yupanʋ,babies
ἀποθήκη,72,unigram,feminine,accusative,singular,‑kʋbʋ,1.1776471892175242,‑kʋbʋ,barn
φραγμός,245,unigram,masculine,accusative,plural,꞊Tɩ,1.096057314542422,꞊Tɩ,"barrier, wall"
ἀρχή,76,unigram,feminine,accusative,plural,꞊tutuo,1.1133763843410922,꞊tutuo,beginning
ζώνη,186,unigram,feminine,accusative,plural,'gbaa,1.4045409058169418,'gbaa,belt
βλασφημία,34,unigram,feminine,accusative,plural,wlɔnlɛ'pʋplɛ,1.0595480639608463,wlɔnlɛ'pʋplɛ,blasphemy
βλασφημία,105,unigram,feminine,accusative,singular,lɛ‑hɛɛlɛ,1.0960768946513286,lɛ‑hɛɛlɛ,blasphemy
βλασφημία,219,unigram,feminine,nominative,plural,'lawlu,1.1633394297864443,'lawlu,blasphemy
βλασφημία,91,unigram,feminine,nominative,singular,꞊yrɛ,1.1188440400351527,꞊yrɛ,blasphemy
πλοῖον,115,unigram,neuter,accusative,plural,'blagbɩ,2.495998607199685,'blagbɩ,boat
πλοῖον,323,unigram,neuter,accusative,singular,'blagbɩ,1.5452525292642287,'blagbɩ,boat
πλοῖον,252,unigram,neuter,nominative,plural,wlu,1.331161583451831,wlu,boat
πλοῖον,238,unigram,neuter,nominative,singular,'blagbɩ,1.2619853102658862,'blagbɩ,boat
σῶμα,65,unigram,neuter,nominative,singular,'bɛ꞊ɛ,1.02691543533778,'bɛ꞊ɛ,body
κλῆμα,61,unigram,neuter,nominative,plural,bʋba,1.1613200159490844,bʋba,branch
κλῆμα,161,unigram,neuter,nominative,singular,‑kʋɛ,1.8078393466791265,‑kʋɛ,branch
ἄρτος,328,unigram,masculine,accusative,plural,'flɔɔkui,1.2004228524064933,'flɔɔkui,bread
ἄρτος,355,unigram,masculine,accusative,singular,'flɔɔ,1.8715604389662013,'flɔɔ,bread
ἄρτος,169,unigram,masculine,nominative,plural,'flɔɔ,1.1774473989980627,'flɔɔ,bread
ἄρτος,42,unigram,masculine,nominative,singular,diidɛdʋ,1.737914822881944,diidɛdʋ,bread
ἀδελφός,314,unigram,masculine,accusative,plural,'dɩayɩnʋ,5.143737753214741,'dɩayɩnʋ,brother
ἀδελφός,130,unigram,masculine,accusative,singular,'dɩayɩ,1.2737115814146616,'dɩayɩ,brother
ἀδελφός,120,unigram,masculine,nominative,plural,'dɩayɩnʋ,1.5989713802625916,'dɩayɩnʋ,brother
ἀδελφός,243,unigram,masculine,nominative,singular,'dɩayɩ,3.765495959780118,'dɩayɩ,brother
στῆθος,166,unigram,neuter,accusative,plural,'nɛɛ,1.2821673157269395,'nɛɛ,"chest, breast"
στῆθος,298,unigram,neuter,accusative,singular,'ma,1.2177745851011148,'ma,"chest, breast"
ἀρχιερεύς,255,unigram,masculine,accusative,plural,‑cɔhlʋnpinyʋ*,1.043203692681203,‑cɔhlʋnpinyʋ*,chief priest
ἀρχιερεύς,129,unigram,masculine,nominative,plural,gbagbɩ,1.2576396067120232,gbagbɩ,chief priest
ἀρχιερεύς,259,unigram,masculine,nominative,singular,‑cɔhlʋnpinyʋ,1.812183680333836,‑cɔhlʋnpinyʋ,chief priest
παῖς,248,unigram,masculine,accusative,plural,yrʋ,1.0274851866150423,yrʋ,child
τέκνον,349,unigram,neuter,accusative,plural,'yonʋ,5.054992051478807,'yonʋ,child
τέκνον,192,unigram,neuter,accusative,singular,'diinʋ,1.0906930490593283,'diinʋ,child
τέκνον,17,unigram,neuter,nominative,plural,'yonʋ,1.288495952977049,'yonʋ,child
τέκνον,202,unigram,neuter,nominative,singular,'yu,1.0819357298760692,'yu,child
παιδίον,15,unigram,neuter,accusative,plural,'kaa,1.2254246132582436,'kaa,child
παιδίον,98,unigram,neuter,accusative,singular,'hɩangbe,1.0226040292998897,'hɩangbe,child
παιδίον,184,unigram,neuter,nominative,plural,'ku,1.020216517664681,'ku,child
παιδίον,44,unigram,neuter,nominative,singular,'hɩangbe,1.2586417495991862,'hɩangbe,child
πόλις,194,unigram,feminine,accusative,plural,'dɩɩ,2.7445309271240506,'dɩɩ,city
πόλις,68,unigram,feminine,accusative,singular,'dɩɔ,3.631120156395808,'dɩɔ,city
πύλη,278,unigram,feminine,nominative,plural,'Kʋkʋʋ,1.0960622061228922,'Kʋkʋʋ,city gate
πύλη,218,unigram,feminine,nominative,singular,wlɔnnaalɛ,1.2377993660996982,wlɔnnaalɛ,city gate
χιτών,125,unigram,masculine,accusative,plural,wlawlʋ,1.6359857093813155,wlawlʋ,"clothing, undergarments"
χιτών,31,unigram,masculine,accusative,singular,wlawlʋ,1.167753218816608,wlawlʋ,"clothing, undergarments"
ἱμάτιον,142,unigram,neuter,accusative,plural,danɩ,1.3544384855381861,danɩ,coat
ἱμάτιον,141,unigram,neuter,accusative,singular,wlawlʋ,2.055566609733952,wlawlʋ,coat
ἐντολή,87,unigram,feminine,accusative,plural,tete,1.1484030239736236,tete,commandment
ἐντολή,85,unigram,feminine,accusative,singular,tete,1.7507453831834088,tete,commandment
συνέδριον,333,unigram,neuter,accusative,plural,‑batipʋʋlɛ,1.3153714819837905,‑batipʋʋlɛ,council
συνέδριον,56,unigram,neuter,accusative,singular,‑gbolugbo,1.5825419469510946,‑gbolugbo,council
χώρα,302,unigram,feminine,accusative,singular,'blʋgba,2.6045638231340824,'blʋgba,"country, countryside"
ὄχλος,62,unigram,masculine,accusative,plural,‑Tɛ,1.2828363673130487,‑Tɛ,crowd
ὄχλος,9,unigram,masculine,accusative,singular,nyibli,1.4128831038999652,nyibli,crowd
ὄχλος,108,unigram,masculine,nominative,plural,꞊wien,1.0694867883917551,꞊wien,crowd
ὄχλος,293,unigram,masculine,nominative,singular,‑hʋɔhʋɩ,2.279472706519255,‑hʋɔhʋɩ,crowd
θυγάτηρ,123,unigram,feminine,nominative,plural,leelɛ,1.1190427185048166,leelɛ,daughter
θυγάτηρ,327,unigram,feminine,nominative,singular,nyrɔyu,1.1952263668347711,nyrɔyu,daughter
ἡμέρα,80,unigram,feminine,accusative,plural,‑nyrɔwɩ,2.6218395112610837,‑nyrɔwɩ,day
ἡμέρα,92,unigram,feminine,accusative,singular,‑nyrɔwɔ,2.0657501621132157,‑nyrɔwɔ,day
ἡμέρα,2,unigram,feminine,nominative,plural,‑nyrɔwɩ,2.562772209288158,‑nyrɔwɩ,day
ἡμέρα,70,unigram,feminine,nominative,singular,'wee,1.0149727861202176,'wee,day
ὀφειλέτης,132,unigram,masculine,nominative,singular,'Wli,1.2125176900525536,'Wli,debtor
δαιμόνιον,32,unigram,neuter,accusative,plural,'kuo,1.6613800130238745,'kuo,demon
δαιμόνιον,343,unigram,neuter,accusative,singular,ke,1.039845099902006,ke,demon
δαιμόνιον,204,unigram,neuter,nominative,plural,'kuo,1.0936472362797791,'kuo,demon
δαιμόνιον,183,unigram,neuter,nominative,singular,'ku,1.190120917675094,'ku,demon
δηνάριον,318,unigram,neuter,accusative,plural,'wliyɛ,1.1067908243576985,'wliyɛ,denarius (about a day's wages)
