lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2199_translation,english_translation
θεός,102,unigram,masculine,accusative,singular,Аллагьгъа,1.8024984957958616,Аллагьгъа,God
θεός,21,unigram,masculine,nominative,plural,аллагьлар,1.097258004808277,аллагьлар,God
θεός,161,unigram,masculine,nominative,singular,Аллагь,7.60479674797775,Аллагь,God
κύριος,103,unigram,masculine,nominative,singular,еси,1.1564960472736954,еси,"Lord, lord, master"
γραφή,99,unigram,feminine,accusative,plural,Язывланы,1.313361399807865,Язывланы,Scripture
γραφή,38,unigram,feminine,accusative,singular,Сыйлы,1.2883675756039348,Сыйлы,Scripture
γραφή,198,unigram,feminine,nominative,plural,чыкъмагъа,1.0214043682257303,чыкъмагъа,Scripture
γραφή,246,unigram,feminine,nominative,singular,Сыйлы,1.3332833734091136,Сыйлы,Scripture
ἄγγελος,74,unigram,masculine,accusative,plural,малайиклерин,1.487126115304709,малайиклерин,angel
ἄγγελος,35,unigram,masculine,nominative,plural,малайиклер,1.6497591388815702,малайиклер,angel
ἄγγελος,83,unigram,masculine,nominative,singular,малайик,2.4993662898601516,малайик,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,элчилер,1.2551270819352482,элчилер,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,тапшурув,1.1613548718850133,тапшурув,apostle
ἐξουσία,154,unigram,feminine,accusative,singular,ихтияр,1.4746719592973527,ихтияр,authority
βρέφος,10,unigram,neuter,accusative,plural,тийдирсин,1.0595416318177246,тийдирсин,babies
βρέφος,245,unigram,neuter,accusative,singular,Яшны,1.58306411573898,Яшны,babies
ἀποθήκη,54,unigram,feminine,accusative,singular,жыйып,1.2614109106588662,жыйып,barn
ζώνη,135,unigram,feminine,accusative,plural,багъыр,1.044101405315964,багъыр,belt
βλασφημία,24,unigram,feminine,accusative,plural,Капир,1.0960768946513286,Капир,blasphemy
βλασφημία,73,unigram,feminine,accusative,singular,эшитдигиз,1.0595480639608463,эшитдигиз,blasphemy
