lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1001_translation,english_translation
θεός,100,unigram,masculine,accusative,singular,Mbumbukiam,1.4114977769400494,Mbumbukiam,God
θεός,21,unigram,masculine,nominative,plural,mbumbúk,1.2591437047102771,mbumbúk,God
θεός,162,unigram,masculine,nominative,singular,Mbumbukiam,4.718774066999315,Mbumbukiam,God
κύριος,101,unigram,masculine,nominative,singular,Evezøza,3.278587340218913,Evezøza,"Lord, lord, master"
γραφή,95,unigram,feminine,accusative,plural,gemø̄-khandi꞉zāk,1.021068688774604,gemø̄-khandi꞉zāk,Scripture
γραφή,250,unigram,feminine,nominative,singular,tàbete-unimanqatín,1.1347987192600983,tàbete-unimanqatín,Scripture
ἄγγελος,72,unigram,masculine,accusative,plural,enzol,2.2823948032129717,enzol,angel
ἄγγελος,37,unigram,masculine,nominative,plural,enzol,2.623240725176036,enzol,angel
ἄγγελος,82,unigram,masculine,nominative,singular,enzol,3.464779699725024,enzol,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,u-anim,3.5773350921454776,u-anim,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,géløvuák,1.0960817954296525,géløvuák,apostle
ἐξουσία,157,unigram,feminine,accusative,singular,bazaføgakh,1.95041852914078,bazaføgakh,authority
βρέφος,7,unigram,neuter,accusative,plural,ndo-itub,1.161328723715616,ndo-itub,babies
βρέφος,249,unigram,neuter,accusative,singular,kao,1.234442446441625,kao,babies
ἀποθήκη,55,unigram,feminine,accusative,singular,Wit,1.2399657335953544,Wit,barn
ἀρχή,142,unigram,feminine,accusative,singular,tò꞉-eqavét,1.1062845238338443,tò꞉-eqavét,beginning
βλασφημία,24,unigram,feminine,accusative,plural,ngengenøitit,1.0960768946513286,ngengenøitit,blasphemy
πλοῖον,80,unigram,neuter,accusative,plural,khagua,1.383546732296128,khagua,boat
πλοῖον,237,unigram,neuter,accusative,singular,khagua-té,2.4228296740505355,khagua-té,boat
πλοῖον,176,unigram,neuter,nominative,singular,khagua,1.484429423801413,khagua,boat
σῶμα,47,unigram,neuter,nominative,singular,kha,1.4077967731000087,kha,body
κλῆμα,115,unigram,neuter,nominative,singular,goneav,1.695462353734308,goneav,branch
ἄρτος,242,unigram,masculine,accusative,plural,flawa,2.544216072930736,flawa,bread
ἄρτος,262,unigram,masculine,accusative,singular,lou,2.00066784123451,lou,bread
ἄρτος,123,unigram,masculine,nominative,plural,nginik,1.4175323730840974,nginik,bread
ἄρτος,29,unigram,masculine,nominative,singular,Lou,1.018702948390583,Lou,bread
ἀδελφός,229,unigram,masculine,accusative,plural,namba-qaniap,1.858838353959708,namba-qaniap,brother
ἀδελφός,90,unigram,masculine,accusative,singular,Voe,1.025954647685178,Voe,brother
ἀδελφός,84,unigram,masculine,nominative,plural,evo,1.2004564581831627,evo,brother
στῆθος,120,unigram,neuter,accusative,plural,ndøqambubám,1.0960622061228922,ndøqambubám,"chest, breast"
στῆθος,219,unigram,neuter,accusative,singular,vømbōbevap,1.6259611672533971,vømbōbevap,"chest, breast"
ἀρχιερεύς,187,unigram,masculine,accusative,plural,iziz,1.1813453663178224,iziz,chief priest
ἀρχιερεύς,48,unigram,masculine,accusative,singular,iziz,1.0533935521996551,iziz,chief priest
ἀρχιερεύς,89,unigram,masculine,nominative,plural,iziz,1.17287395168551,iziz,chief priest
ἀρχιερεύς,191,unigram,masculine,nominative,singular,iziz,1.5281784141003596,iziz,chief priest
παῖς,183,unigram,masculine,accusative,plural,qaqa,1.0065019475510781,qaqa,child
τέκνον,257,unigram,neuter,accusative,plural,nakheis,2.0063534624810644,nakheis,child
τέκνον,140,unigram,neuter,accusative,singular,segezǿ-qambuzát,1.0648494792904102,segezǿ-qambuzát,child
τέκνον,8,unigram,neuter,nominative,plural,segezǿ-qambuzát,1.0331226160126372,segezǿ-qambuzát,child
τέκνον,151,unigram,neuter,nominative,singular,Áti,1.726016573095042,Áti,child
παιδίον,69,unigram,neuter,accusative,singular,nakhasam,2.886796262277312,nakhasam,child
παιδίον,134,unigram,neuter,nominative,plural,nakheis,1.0696864192424038,nakheis,child
παιδίον,31,unigram,neuter,nominative,singular,nakhasam,1.6520008922081202,nakhasam,child
πόλις,143,unigram,feminine,accusative,plural,vemiav,1.6711919257293015,vemiav,city
πόλις,51,unigram,feminine,accusative,singular,vemiav-té,1.4775296098514663,vemiav-té,city
πύλη,160,unigram,feminine,nominative,singular,mboqog,1.2098315353651434,mboqog,city gate
χιτών,87,unigram,masculine,accusative,plural,ndabua,1.6104705405884672,ndabua,"clothing, undergarments"
