lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1026_translation,english_translation
θεός,129,unigram,masculine,accusative,singular,Anatu,3.028171768747953,Anatu,God
θεός,205,unigram,masculine,nominative,singular,Anatumi,1.151404816950521,Anatumi,God
κύριος,329,unigram,masculine,nominative,plural,kumambona,1.0970894485985805,kumambona,"Lord, lord, master"
κύριος,130,unigram,masculine,nominative,singular,Kamongo,2.4359015074594583,Kamongo,"Lord, lord, master"
γραφή,125,unigram,feminine,accusative,plural,pyasi,2.2229657287759315,pyasi,Scripture
γραφή,53,unigram,feminine,accusative,singular,pyasi,1.075511807033074,pyasi,Scripture
γραφή,323,unigram,feminine,nominative,singular,pyasi,1.5473372685965312,pyasi,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,aŋala,2.6197716639322404,aŋala,angel
ἄγγελος,84,unigram,masculine,accusative,singular,aŋala,1.198045537888227,aŋala,angel
ἄγγελος,50,unigram,masculine,nominative,plural,aŋala,3.151081187670753,aŋala,angel
ἄγγελος,106,unigram,masculine,nominative,singular,aŋala,2.886611487709992,aŋala,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,Aposele,1.1230909551257102,Aposele,apostle
ἐξουσία,196,unigram,feminine,accusative,singular,renge,2.703989209318024,renge,authority
βρέφος,18,unigram,neuter,accusative,plural,minyandapyali,1.161328723715616,minyandapyali,babies
βρέφος,321,unigram,neuter,accusative,singular,maingi,1.1365765931475356,maingi,babies
ἀποθήκη,70,unigram,feminine,accusative,singular,witi,1.3116191148437548,witi,barn
ἀρχή,178,unigram,feminine,accusative,singular,kanda,1.0615149972133893,kanda,beginning
ζώνη,170,unigram,feminine,accusative,plural,kuikui,1.059531995066612,kuikui,belt
βλασφημία,34,unigram,feminine,accusative,plural,kaeyakamingi,1.2555387914136698,kaeyakamingi,blasphemy
πλοῖον,104,unigram,neuter,accusative,plural,bote,1.4304042658152076,bote,boat
πλοῖον,307,unigram,neuter,accusative,singular,bote,3.1378055658685557,bote,boat
πλοῖον,238,unigram,neuter,nominative,plural,bote,1.0229593397005547,bote,boat
πλοῖον,223,unigram,neuter,nominative,singular,bote,2.0490963248803173,bote,boat
σῶμα,61,unigram,neuter,nominative,singular,yanenge,1.1534428761691125,yanenge,body
ἄρτος,311,unigram,masculine,accusative,plural,borete,4.164160426192339,borete,bread
ἄρτος,338,unigram,masculine,accusative,singular,borete,1.4781481342938951,borete,bread
ἄρτος,154,unigram,masculine,nominative,plural,borete,1.5070322141036514,borete,bread
ἄρτος,41,unigram,masculine,nominative,singular,borete,1.483308416056249,borete,bread
ἀδελφός,297,unigram,masculine,accusative,plural,yangonge,4.431280681285356,yangonge,brother
ἀδελφός,118,unigram,masculine,accusative,singular,yangonge,2.439718175511457,yangonge,brother
ἀδελφός,109,unigram,masculine,nominative,plural,yangonge,2.004041230867625,yangonge,brother
ἀδελφός,230,unigram,masculine,nominative,singular,yangonge,1.9774836229974575,yangonge,brother
στῆθος,150,unigram,neuter,accusative,plural,kyangali,1.0960622061228922,kyangali,"chest, breast"
στῆθος,281,unigram,neuter,accusative,singular,kyangali,1.5607511177343265,kyangali,"chest, breast"
ἀρχιερεύς,241,unigram,masculine,accusative,plural,purisi,1.394989382188294,purisi,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,purisi,1.2985047457902457,purisi,chief priest
ἀρχιερεύς,117,unigram,masculine,nominative,plural,mupwa,1.1602022383780186,mupwa,chief priest
ἀρχιερεύς,246,unigram,masculine,nominative,singular,purisi,1.6764247238024437,purisi,chief priest
παῖς,234,unigram,masculine,accusative,plural,dokonape,1.3294436197006592,dokonape,child
τέκνον,331,unigram,neuter,accusative,plural,wane,1.5040997327142522,wane,child
τέκνον,175,unigram,neuter,accusative,singular,kumakana,1.0294235006491503,kumakana,child
τέκνον,19,unigram,neuter,nominative,plural,wane,1.1257884455380018,wane,child
τέκνον,189,unigram,neuter,nominative,singular,Rakane,2.5491633610948425,Rakane,child
παιδίον,17,unigram,neuter,accusative,plural,wanakepe,1.2603822161801983,wanakepe,child
παιδίον,88,unigram,neuter,accusative,singular,wane,2.1093531249266584,wane,child
παιδίον,43,unigram,neuter,nominative,singular,wane,2.168807145876873,wane,child
πόλις,179,unigram,feminine,accusative,plural,taone,1.6384363796030916,taone,city
πόλις,66,unigram,feminine,accusative,singular,taone,1.6746049455084222,taone,city
πύλη,203,unigram,feminine,nominative,singular,rambu,1.4251573412646612,rambu,city gate
χιτών,114,unigram,masculine,accusative,plural,komau,1.225444967762282,komau,"clothing, undergarments"
χιτών,32,unigram,masculine,accusative,singular,pee,1.751989423525576,pee,"clothing, undergarments"
ἱμάτιον,128,unigram,neuter,accusative,plural,komau,3.7280834635927103,komau,coat
ἱμάτιον,127,unigram,neuter,accusative,singular,komau,2.2752265375006946,komau,coat
ἐντολή,81,unigram,feminine,accusative,plural,pyakami,1.0300637592970217,pyakami,commandment
ἐντολή,79,unigram,feminine,accusative,singular,mawa,1.7842100735305813,mawa,commandment
συνέδριον,315,unigram,neuter,accusative,plural,pyaroko,1.3287883265471654,pyaroko,council
συνέδριον,54,unigram,neuter,accusative,singular,wato,1.460518869393069,wato,council
χώρα,285,unigram,feminine,accusative,singular,yuu,1.2388913665267487,yuu,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,rukuraka,1.2888233423976845,rukuraka,crowd
ὄχλος,11,unigram,masculine,accusative,singular,malu,1.6175338779059178,malu,crowd
ὄχλος,97,unigram,masculine,nominative,plural,wambu,1.041529649389418,wambu,crowd
ὄχλος,276,unigram,masculine,nominative,singular,malu,1.1599037916941015,malu,crowd
θυγάτηρ,112,unigram,feminine,nominative,plural,rangesape,1.2127581307420916,rangesape,daughter
θυγάτηρ,310,unigram,feminine,nominative,singular,wanenge,4.238689779729783,wanenge,daughter
ἡμέρα,75,unigram,feminine,accusative,plural,yuu,1.193822247294095,yuu,day
ἡμέρα,85,unigram,feminine,accusative,singular,tembole,1.0324852935667028,tembole,day
ἡμέρα,2,unigram,feminine,nominative,plural,gii,1.0619859477277172,gii,day
ἡμέρα,68,unigram,feminine,nominative,singular,Yuu,1.1360193236461638,Yuu,day
ὀφειλέτης,249,unigram,masculine,nominative,plural,Silome,1.059531995066612,Silome,debtor
ὀφειλέτης,119,unigram,masculine,nominative,singular,milyane,1.2928797874965523,milyane,debtor
δαιμόνιον,33,unigram,neuter,accusative,plural,imambu,1.0622600242114586,imambu,demon
δαιμόνιον,326,unigram,neuter,accusative,singular,imambu,1.592178977741855,imambu,demon
δαιμόνιον,191,unigram,neuter,nominative,plural,imambu,1.2186279888478395,imambu,demon
δαιμόνιον,168,unigram,neuter,nominative,singular,imambu,1.120148939094788,imambu,demon
δηνάριον,302,unigram,neuter,accusative,plural,kina,1.1586680070521629,kina,denarius (about a day's wages)
δηνάριον,156,unigram,neuter,accusative,singular,Kana,1.046806692641197,Kana,denarius (about a day's wages)
μαθητής,173,unigram,masculine,accusative,plural,disaepole,4.532843226447632,disaepole,disciple
μαθητής,332,unigram,masculine,accusative,singular,disaepole,1.5180978662634153,disaepole,disciple
μαθητής,271,unigram,masculine,nominative,plural,disaepole,6.617483689617453,disaepole,disciple
μαθητής,330,unigram,masculine,nominative,singular,disaepole,3.8975189141119473,disaepole,disciple
νόσος,3,unigram,feminine,accusative,plural,anga,1.1127695804447597,anga,disease
νόσος,73,unigram,feminine,accusative,singular,anga,1.205984028447354,anga,disease
περιστερά,96,unigram,feminine,accusative,plural,wayamu,1.1148337188464237,wayamu,dove
περιστερά,56,unigram,feminine,accusative,singular,wayamu,1.2997794513552774,wayamu,dove
οὖς,144,unigram,neuter,accusative,plural,selapape,1.0308990745676645,selapape,ear
σεισμός,197,unigram,masculine,nominative,plural,lopo,1.0379252327954631,lopo,"earthquakes, storm"
σεισμός,64,unigram,masculine,nominative,singular,yuusili,1.1062426219317925,yuusili,"earthquakes, storm"
τέλος,269,unigram,neuter,accusative,singular,kaeya,1.264330595086329,kaeya,end
αἰών,235,unigram,masculine,accusative,plural,Mairamopa,1.1615389611051674,Mairamopa,eternity
αἰών,298,unigram,masculine,accusative,singular,mendeme,1.1904641454225366,mendeme,eternity
ὀφθαλμός,25,unigram,masculine,accusative,plural,lenge,1.3478209176721971,lenge,eye
ὀφθαλμός,65,unigram,masculine,nominative,plural,lenge,1.1297987716445006,lenge,eye
ὀφθαλμός,295,unigram,masculine,nominative,singular,lukunyi,1.0336303475833004,lukunyi,eye
πρόσωπον,186,unigram,neuter,accusative,singular,kambu,1.3098028068956964,kambu,face
λιμός,7,unigram,feminine,nominative,plural,pyala,1.1039815813744984,pyala,famine
λιμός,90,unigram,feminine,nominative,singular,pyambe,1.096071996175396,pyambe,famine
λιμός,131,unigram,masculine,nominative,singular,pakinyamange,1.0172972834789311,pakinyamange,famine
γεωργός,248,unigram,masculine,nominative,plural,dusipame,1.033326234685439,dusipame,"farmer, tenant"
γεωργός,52,unigram,masculine,nominative,singular,marange,1.0595706247739851,marange,"farmer, tenant"
πατήρ,301,unigram,masculine,accusative,singular,rakange,1.063314036143433,rakange,father
πατήρ,309,unigram,masculine,nominative,plural,kyawa,1.0289062484049096,kyawa,father
πατήρ,180,unigram,masculine,nominative,singular,Rakane,1.2313936549453526,Rakane,father
σύνδουλος,139,unigram,masculine,accusative,plural,sisingi,1.0911244488700824,sisingi,"fellow-servant, colleague"
σύνδουλος,110,unigram,masculine,nominative,singular,waiyako,1.0595416318177246,waiyako,"fellow-servant, colleague"
ἀγρός,325,unigram,masculine,accusative,plural,andape,1.3096858390011747,andape,field
ἀγρός,42,unigram,masculine,accusative,singular,ropo,1.2909490401407626,ropo,field
δάκτυλος,228,unigram,masculine,accusative,plural,pambu,1.0960768946513286,pambu,finger
δάκτυλος,172,unigram,masculine,accusative,singular,pambu,1.1454757276999707,pambu,finger
ἰχθύς,147,unigram,masculine,accusative,plural,oma,1.4940536962607234,oma,fish
ἰχθύς,185,unigram,masculine,accusative,singular,oma,1.6113090549646896,oma,fish
δίκτυον,105,unigram,neuter,accusative,plural,nyuu,1.1867424348904834,nyuu,fishing net
δίκτυον,194,unigram,neuter,accusative,singular,nyuu,1.2226730756416864,nyuu,fishing net
τροφή,239,unigram,feminine,accusative,plural,papeyami,1.2556270565564822,papeyami,food
τροφή,320,unigram,feminine,accusative,singular,apiyakalende,1.0298093209783643,apiyakalende,food
πούς,231,unigram,masculine,accusative,plural,kimbu,4.341886840356986,kimbu,foot
πούς,108,unigram,masculine,accusative,singular,kapena,1.1638215900446345,kapena,foot
καρπός,177,unigram,masculine,accusative,plural,jingi,2.4056857667687885,jingi,"fruit, crop, harvest"
καρπός,226,unigram,masculine,accusative,singular,jingi,3.3375688301579434,jingi,"fruit, crop, harvest"
πλήρωμα,265,unigram,neuter,accusative,plural,simbuyami,1.1133081710155124,simbuyami,fullness
πλήρωμα,319,unigram,neuter,accusative,singular,wambarae,1.1419721206805624,wambarae,fullness
γενεά,266,unigram,feminine,accusative,plural,dupwapebaa,1.0961654628313675,dupwapebaa,generation
γενεά,227,unigram,feminine,accusative,singular,ando,1.31235147480855,ando,generation
γενεά,143,unigram,feminine,nominative,singular,epapu,1.2087856604661809,epapu,generation
δῶρον,300,unigram,neuter,accusative,plural,bokote,1.3171387375631642,bokote,gift
δῶρον,158,unigram,neuter,accusative,singular,bange,1.0156508205790409,bange,gift
ἡγεμών,166,unigram,masculine,accusative,plural,dupwanape,1.3615464384058575,dupwanape,"governor, ruler"
ἡγεμών,14,unigram,masculine,accusative,singular,nayako,1.0960965115985384,nayako,"governor, ruler"
ἀσπασμός,312,unigram,masculine,accusative,plural,lamili,1.438414788484373,lamili,greeting
ἀσπασμός,167,unigram,masculine,accusative,singular,Ilisapetame,1.1062887916934805,Ilisapetame,greeting
