lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_981_translation,english_translation
θεός,80,unigram,masculine,accusative,singular,mósá,1.7189647014166092,mósá,God
θεός,127,unigram,masculine,nominative,singular,Áánútu,5.478299187128688,Áánútu,God
κύριος,81,unigram,masculine,nominative,singular,Ísóigo,1.0429856406485891,Ísóigo,"Lord, lord, master"
γραφή,78,unigram,feminine,accusative,plural,Áánútun-aai,1.2073934963840942,Áánútun-aai,Scripture
γραφή,29,unigram,feminine,accusative,singular,aúváívimba,1.185368585698546,aúváívimba,Scripture
γραφή,164,unigram,feminine,nominative,plural,aúváívimba,1.045989897442244,aúváívimba,Scripture
γραφή,203,unigram,feminine,nominative,singular,agaimaréna,1.017610536855833,agaimaréna,Scripture
ἄγγελος,57,unigram,masculine,accusative,plural,kwíyómpaken-kwayo'narawa,1.1709599193764035,kwíyómpaken-kwayo'narawa,angel
ἄγγελος,49,unigram,masculine,accusative,singular,sénaÁánútu,1.0925456145049528,sénaÁánútu,angel
ἄγγελος,27,unigram,masculine,nominative,plural,kwayó'nárawa,1.4212615597743776,kwayó'nárawa,angel
ἄγγελος,64,unigram,masculine,nominative,singular,kwíyómpakewai,1.8172561378175611,kwíyómpakewai,angel
ἀπόστολος,25,unigram,masculine,nominative,plural,aantá-kwaasi,1.0685114424606652,aantá-kwaasi,apostle
βρέφος,6,unigram,neuter,accusative,plural,umátinkainkwae,1.0595416318177246,umátinkainkwae,babies
βρέφος,202,unigram,neuter,accusative,singular,purumakankóná,1.1682581154670333,purumakankóná,babies
ἀποθήκη,168,unigram,feminine,accusative,plural,áká'mai,1.887560603866904,áká'mai,barn
ἀρχή,110,unigram,feminine,accusative,singular,mimbáyáí-áwáámé,1.1062845238338443,mimbáyáí-áwáámé,beginning
βλασφημία,19,unigram,feminine,accusative,plural,kwésimankaiye,1.2125775833869603,kwésimankaiye,blasphemy
βλασφημία,56,unigram,feminine,accusative,singular,mináíntávéta,1.0960768946513286,mináíntávéta,blasphemy
βλασφημία,125,unigram,feminine,nominative,plural,simái,1.3527902555792857,simái,blasphemy
βλασφημία,50,unigram,feminine,nominative,singular,simái,1.2228627963322856,simái,blasphemy
πλοῖον,192,unigram,neuter,accusative,singular,nompí-sípívímbá,4.4750543277068555,nompí-sípívímbá,boat
πλοῖον,139,unigram,neuter,nominative,singular,nompí-sípívímbá,1.5704335238910243,nompí-sípívímbá,boat
σῶμα,34,unigram,neuter,nominative,singular,túrankomo,1.2086014243758008,túrankomo,body
ἄρτος,195,unigram,masculine,accusative,plural,topán-topan-umai,1.2474122638777847,topán-topan-umai,bread
ἄρτος,214,unigram,masculine,accusative,singular,toómbá,2.0153706297313536,toómbá,bread
ἄρτος,93,unigram,masculine,nominative,plural,toómbá,1.5020639414519252,toómbá,bread
ἄρτος,22,unigram,masculine,nominative,singular,kwíyómpaken-tomba,1.0403185262929409,kwíyómpaken-tomba,bread
ἀδελφός,71,unigram,masculine,accusative,singular,áváko,1.2481991846777891,áváko,brother
ἀδελφός,65,unigram,masculine,nominative,plural,kesinó,1.157280788871885,kesinó,brother
ἀδελφός,144,unigram,masculine,nominative,singular,ávákoma,1.3138455950124208,ávákoma,brother
στῆθος,91,unigram,neuter,accusative,plural,koawánanaumne,1.255494041147772,koawánanaumne,"chest, breast"
στῆθος,177,unigram,neuter,accusative,singular,Ísóigoo,1.2543497159181178,Ísóigoo,"chest, breast"
ἀρχιερεύς,149,unigram,masculine,accusative,plural,mono-káwáá-kwáásíyé,1.3469140751382658,mono-káwáá-kwáásíyé,chief priest
ἀρχιερεύς,35,unigram,masculine,accusative,singular,áí'maesa,1.0722326507314393,áí'maesa,chief priest
ἀρχιερεύς,70,unigram,masculine,nominative,plural,mono-káwáá-kwáásíyé,2.7712298503155544,mono-káwáá-kwáásíyé,chief priest
ἀρχιερεύς,153,unigram,masculine,nominative,singular,aiva'-mónó-káwáánákó,2.7881540277185195,aiva'-mónó-káwáánákó,chief priest
τέκνον,209,unigram,neuter,accusative,plural,ónááowe,1.1802884737944068,ónááowe,child
παιδίον,5,unigram,neuter,accusative,plural,kóro,1.1771315885963736,kóro,child
παιδίον,23,unigram,neuter,nominative,singular,miníyámpóígó,1.1330279193258137,miníyámpóígó,child
πόλις,111,unigram,feminine,accusative,plural,naaó'-nao,1.8156252416319392,naaó'-nao,city
